ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
ADP,1995Q2,1995,Q2,0,1,0,0,799.8,452.9,346.9,302.4,195.2,203.4,150.5,144.5,105.9,54.3,160.2,3201.1,2096.6,3080.2,2019.6,0.0678919729932483,0.2440610152538134,0.5662665666416604,0.1881720430107527,0.1324081020255064,48.1,,,,,,,,,,,,0.0602002503128911,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,2.0,1,6.685611228001011,799.0,,8.071562123549947,7.648549113009436,8.033074410478811,7.611149775993632
ADP,1995Q3,1995,Q3,0,0,1,0,747.1,430.3,316.8,313.7,215.0,161.1,116.6,110.8,81.9,54.2,136.10000000000002,3275.4,2131.5,3201.1,2096.6,0.0725471824387632,0.2877794137331013,0.575960380136528,0.1560701378664168,0.1096238789987953,54.3,48.1,,,,,,,,,,,0.0678919729932483,0.0602002503128911,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,3.0,2,6.617536658878359,799.8,,8.094500537641448,7.665050279365834,8.071562123549947,7.648549113009436
ADP,1995Q4,1995,Q4,0,0,0,1,819.7,477.0,342.7,317.8,210.3,207.8,159.2,150.6,108.9,58.9,167.8,3727.5,2249.2,3275.4,2131.5,0.071855556911065,0.2565572770525802,0.5819202147126997,0.1942173966085152,0.1328534829815786,54.2,54.3,48.1,,,,,,,,,,0.0725471824387632,0.0678919729932483,0.0602002503128911,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,4.0,3,6.710157634635666,747.1,,8.22376128698385,7.7187743801369715,8.094500537641448,7.665050279365834
ADP,1996Q1,1996,Q1,1,0,0,0,1031.9,603.5,428.4,395.8,276.7,263.0,207.7,199.9,143.9,63.8,207.7,3946.5,2419.9,3727.5,2249.2,0.0618276964822172,0.2681461381916852,0.5848434925864909,0.2012791937203217,0.1394514972381044,58.9,54.2,54.3,48.1,,,,,,,,,0.071855556911065,0.0725471824387632,0.0678919729932483,0.0602002503128911,,,,,,,,,0.2914893617021277,0.1484437350359138,0.2331426236207601,0.3264033264033263,0.2108655616942909,0.1861793260993718,0.18214074512123,0.3837209302325579,0.2347166443551984,0.2593063951638561,0.0270338771162492,-0.043959105688726,-0.0451778696840902,-0.0815415432179493,-0.1107602051616484,0.1978085351787772,Industrials,20.0,1.0,4,6.940125659012588,819.7,799.0,8.280837746129798,7.7918946508392075,8.22376128698385,7.7187743801369715
ADP,1996Q2,1996,Q2,0,1,0,0,967.9,539.3,428.6,357.7,231.7,234.8,181.6,174.1,120.0,72.8,192.8,3839.9,2315.3,3946.5,2419.9,0.075214381650997,0.2393842339084616,0.5571856596755863,0.1876226882942452,0.1239797499741708,63.8,58.9,54.2,54.3,48.1,,,,,,,,0.0618276964822172,0.071855556911065,0.0725471824387632,0.0678919729932483,0.0602002503128911,,,,,,,,0.2101775443860964,0.1331444759206799,0.1907705895341134,0.3406998158379373,0.1543756145526056,0.2066445182724252,0.2048442906574394,0.2355145575093689,0.1869877049180328,0.1828703703703704,0.1078538203400996,-0.0191623448771127,-0.0160364526197086,-0.0029194279220108,-0.0636543528862902,0.2034956304619226,Industrials,20.0,2.0,5,6.876161407390958,1031.9,799.8,8.253461993120244,7.7477263639828795,8.280837746129798,7.7918946508392075
ADP,1996Q3,1996,Q3,0,0,1,0,910.7,519.2,391.5,380.0,260.8,192.3,139.2,132.1,93.3,66.1,159.39999999999998,3970.9,2370.5,3839.9,2315.3,0.0725815306906774,0.2863731195783463,0.5701109037004503,0.1528494564620621,0.1024486658614252,72.8,63.8,58.9,54.2,54.3,48.1,,,,,,,0.075214381650997,0.0618276964822172,0.071855556911065,0.0725471824387632,0.0678919729932483,0.0602002503128911,,,,,,,0.2189800562173738,0.1391941391941391,0.2066000464792006,0.2195571955719555,0.1936685288640596,0.1938250428816466,0.1922382671480145,0.2357954545454545,0.2130232558139535,0.2113484220592922,0.0004734608672536,-0.0048867086651975,-0.0101560396128135,-0.0206361155848487,-0.0654530126364979,0.1711976487876558,Industrials,20.0,3.0,6,6.815310988590857,967.9,747.1,8.286999848614501,7.771277945317636,8.253461993120244,7.7477263639828795
ADP,1996Q4,1996,Q4,0,0,0,1,995.6,577.6,418.0,389.9,261.5,243.0,187.7,180.7,127.6,73.1,200.7,4123.8,2526.6,3970.9,2370.5,0.07342306147047,0.2626556850140619,0.5801526717557252,0.1885295299316994,0.1281639212535154,66.1,72.8,63.8,58.9,54.2,54.3,48.1,,,,,,0.0725815306906774,0.075214381650997,0.0618276964822172,0.071855556911065,0.0725471824387632,0.0678919729932483,0.0602002503128911,,,,,,0.2145907039160668,0.1717171717171717,0.2109014675052412,0.2410865874363326,0.1693936477382098,0.1790201005025125,0.199867197875166,0.2197257076159906,0.2434617213504517,0.2268722466960351,0.0218146602265589,0.0237701617024561,-0.0030374317858113,-0.0292860823805648,-0.0352987488383228,0.1960667461263407,Industrials,20.0,4.0,7,6.9043494858473045,910.7,819.7,8.324772812744868,7.8350255148993,8.286999848614501,7.771277945317636
ADP,1997Q1,1997,Q1,1,0,0,0,1126.3,686.0,440.3,442.1,308.1,303.1,243.9,236.6,164.9,74.8,239.7,4283.3,2583.9,4123.8,2526.6,0.066412145964663,0.2735505637929504,0.6090739589807334,0.2165497647163278,0.1464085945130072,73.1,66.1,72.8,63.8,58.9,54.2,54.3,48.1,,,,,0.07342306147047,0.0725815306906774,0.075214381650997,0.0618276964822172,0.071855556911065,0.0725471824387632,0.0678919729932483,0.0602002503128911,,,,,0.0914817327260391,0.1459346768589298,0.1367025683512841,0.1724137931034481,0.152471482889734,0.1742898411169957,0.1835917958979489,0.0277777777777779,0.1134803035778824,0.116978271854472,0.0741487997011882,0.0201547769351122,0.0414306847924088,0.0758676081404847,0.0498890109657548,0.1540683678382282,Industrials,20.0,1.0,8,7.027580672050486,995.6,1031.9,8.362712457126998,7.857442101474721,8.324772812744868,7.8350255148993
ADP,1997Q2,1997,Q2,0,1,0,0,1079.6,606.5,473.1,396.1,257.7,266.3,210.4,174.5,127.7,82.5,210.2,4382.8,2660.6,4283.3,2583.9,0.0764171915524268,0.2386995183401259,0.5617821415339015,0.1948869951834012,0.1182845498332716,74.8,73.1,66.1,72.8,63.8,58.9,54.2,54.3,48.1,,,,0.066412145964663,0.07342306147047,0.0725815306906774,0.075214381650997,0.0618276964822172,0.071855556911065,0.0725471824387632,0.0678919729932483,0.0602002503128911,,,,0.1154044839342907,0.0641666666666667,0.1246059707027629,0.1332417582417582,0.1341567291311753,0.1585903083700441,0.0022975301550833,0.1038264115725617,0.1122140699179974,0.1073525300531172,0.0159917541702463,-0.0028603202356152,0.0082494618777364,0.0387176356718836,-0.0459365351364702,0.0902489626556015,Industrials,20.0,2.0,9,6.9852717214099656,1126.3,967.9,8.385671207149251,7.886682724704267,8.362712457126998,7.857442101474721
ADP,1997Q3,1997,Q3,0,0,1,0,1038.5,595.1,443.4,434.1,289.4,218.4,161.0,153.4,105.4,87.3,192.7,4536.1,2698.5,4382.8,2660.6,0.08388273450189668,0.2786711603273952,0.5730380356283101,0.1550312951372171,0.1014925373134328,82.5,74.8,73.1,66.1,72.8,63.8,58.9,54.2,54.3,48.1,,,0.0764171915524268,0.066412145964663,0.07342306147047,0.0725815306906774,0.075214381650997,0.0618276964822172,0.071855556911065,0.0725471824387632,0.0678919729932483,0.0602002503128911,,,0.1403316130449103,0.1296891747052519,0.146186440677966,0.3207261724659607,0.1357254290171605,0.156609195402299,0.1612414837244513,0.132567049808429,0.1096625766871164,0.1423684210526317,0.1581948245207034,-0.0268948400684092,0.0051343201978082,0.0142744287461469,-0.0093327574346914,0.2089084065244668,Industrials,20.0,3.0,10,6.946495107298068,1079.6,910.7,8.420043320417317,7.9008218496583416,8.385671207149251,7.886682724704267
