ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
AEE,1998Q1,1998,Q1,1,0,0,0,700.8,490.9,209.9,370.6,0.0,214.4,120.3,69.8,39.9,0.0,39.9,8797.3,3206.7,8827.5,3254.2,0.0,0.0,0.7004851598173516,0.1716609589041096,0.0569349315068493,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,55.0,1.0,1,6.5536484631491145,732.0,,9.082313799986105,8.073309448404016,9.085740403742854,8.08800899668748
AEE,1998Q2,1998,Q2,0,1,0,0,821.8,595.5,226.3,408.4,0.0,277.1,187.1,142.4,83.6,0.0,83.6,8880.4,3203.1,8797.3,3206.7,0.0,0.0,0.7246288634704308,0.2276709661718179,0.1017279143343879,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,55.0,2.0,2,6.712713157778802,700.8,,9.091714481217211,8.072186518687465,9.082313799986105,8.073309448404016
AEE,1998Q3,1998,Q3,0,0,1,0,1117.1,864.3,252.8,427.1,0.0,531.6,437.2,390.3,236.7,0.0,236.7,9122.1,3352.5,8880.4,3203.1,0.0,0.0,0.7736997583027482,0.3913705129352788,0.2118879240891594,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,55.0,3.0,3,7.0193860951533225,821.8,,9.118564937591987,8.117759855539791,9.091714481217211,8.072186518687465
AEE,1998Q4,1998,Q4,0,0,0,1,678.5,495.6,182.9,401.3,0.0,191.2,94.3,51.7,26.3,0.0,26.3,8847.4,3291.3,9122.1,3352.5,0.0,0.0,0.7304347826086957,0.1389830508474576,0.038761974944731,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,-0.0730874316939891,-5.87037037037037,,,-1.1075244629400518,-1.0530311551006637,,,,-0.451775956284153,,,,-1.0572126831741868,-6.25440104806354,-5.87037037037037,Utilities,55.0,4.0,4,6.521357233591198,1117.1,732.0,9.087991930696868,8.099341687657024,9.118564937591987,8.117759855539791
AEE,1999Q1,1999,Q1,1,0,0,0,735.9,495.857,240.045,360.94,0.0,232.359,134.917,89.589,54.359,0.0,54.359,8813.1,3258.6,8847.4,3291.3,0.0,0.0,0.6738103003125425,0.1833360510938986,0.0738673732844136,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0500856164383562,0.3623809523809524,0.0100977795885111,,0.0837639925373134,0.1215045719035743,0.2835100286532952,0.1436160076226773,,-0.0260658391797086,,,-0.0380805490751073,0.0680125071205666,0.2973998796420321,0.3623809523809524,Utilities,55.0,1.0,5,6.602452197772954,678.5,700.8,9.084107990924139,8.089359767446064,9.087991930696868,8.099341687657024
AEE,1999Q2,1999,Q2,0,1,0,0,859.9,611.884,248.0,419.6,0.0,287.684,192.284,148.3,86.5,0.0,86.5,8936.9,3258.0,8813.1,3258.6,0.0,0.0,0.7115757646237935,0.2236120479125479,0.1005930922200255,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0463616451691408,0.0346889952153111,0.0275130142737196,,0.0381955972573078,0.0277071084981292,0.041432584269663,0.095890410958904,,0.0274240940254653,,,-0.018013495603974,-0.0178280012050673,-0.0111554642773081,0.0346889952153111,Utilities,55.0,2.0,6,6.757978353663909,735.9,821.8,9.098055941245532,8.089175678837561,9.084107990924139,8.089359767446064
AEE,1999Q3,1999,Q3,0,0,1,0,1193.5,888.8,304.7,429.0,0.0,1193.5,459.8,412.8,249.8,0.0,249.8,9258.7,3420.7,8936.9,3258.0,0.0,0.0,0.744700460829493,0.3852534562211981,0.2093003770423125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0683913705129353,0.0553443177017323,0.0283466388985305,,1.245109104589917,0.0516925892040256,0.0576479631053035,0.2053006329113922,,0.0044486068836337,,,-0.0374813319534574,-0.0156298354421307,-0.0122118665231629,0.0553443177017323,Utilities,55.0,3.0,7,7.0854829667658645,859.9,1117.1,9.13342692970721,8.13789278257868,9.098055941245532,8.089175678837561
AEE,1999Q4,1999,Q4,0,0,0,1,734.3,414.4,319.9,380.0,0.0,120.5,34.4,-6.7,-5.6,0.0,-5.6,9177.6,3324.9,9258.7,3420.7,0.0,0.0,0.5643469971401335,0.0468473376004357,-0.0076263107721639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0822402358142961,-1.2129277566539924,-0.1638418079096045,,-0.3697698744769874,-0.6352067868504772,-1.1295938104448742,0.7490431930016401,,-0.0530774981310739,,,-0.2273820872486267,-0.6629276928749133,-1.1967472189700856,-1.2129277566539924,Utilities,55.0,4.0,8,6.600278579202176,1193.5,678.5,9.124629966537775,8.109495593155357,9.13342692970721,8.13789278257868
AEE,2000Q1,2000,Q1,1,0,0,0,825.376,527.451,297.925,374.622,0.0,252.183,152.829,105.644,61.393,0.0,61.393,9315.289,3299.126,9177.6,3324.9,0.0,0.0,0.6390432966308689,0.1851628833404412,0.0743818574807118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1215871721701318,0.1293989955665115,0.063715950364722,,0.0853162563102785,0.1327631062060379,0.1792072687495116,0.241121456393593,,0.0379065772704605,,,-0.0515976138470236,0.0099643918129717,0.0069649721307571,0.1293989955665115,Utilities,55.0,1.0,9,6.7170498757573815,734.3,735.9,9.139519652420873,8.101715928543847,9.124629966537775,8.109495593155357
AEE,2000Q2,2000,Q2,0,1,0,0,940.304,670.614,270.094,432.169,0.0,337.824,238.445,192.824,113.585,0.0,113.585,9312.463,3325.36,9315.289,3299.126,0.0,0.0,0.7131885007401862,0.2535828838333134,0.1207960404294781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0935038958018374,0.313121387283237,0.0959822450006864,,0.1742884553885513,0.2400667762268311,0.3002292650033715,0.0890887096774193,,0.0299547187797901,,,0.0022664292357474,0.1340305059613189,0.2008383256104997,0.313121387283237,Utilities,55.0,2.0,10,6.8472661479864065,825.376,859.9,9.139216266737405,8.109633892019422,9.139519652420873,8.101715928543847
