ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
AEP,1995Q2,1995,Q2,0,1,0,0,1305.3,948.2,357.1,684.4,0.0,496.1,263.8,149.2,96.5,0.0,96.5,15960.7,5088.6,15766.2,5101.1,0.0,0.0,0.7264230445108405,0.2020991342986287,0.0739293648969585,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,55.0,2.0,1,7.174953992492518,1416.2,,9.677947381622069,8.53495452099488,9.665687111878285,8.537407498666477
AEP,1995Q3,1995,Q3,0,0,1,0,1523.4,1066.9,456.5,723.5,0.0,542.0,343.4,235.1,154.2,0.0,154.2,15699.7,5061.1,15960.7,5088.6,0.0,0.0,0.7003413417355915,0.2254168307732703,0.1012209531311539,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,55.0,3.0,2,7.3293561689997055,1305.3,,9.661460576329736,8.529536695947476,9.677947381622069,8.53495452099488
AEP,1995Q4,1995,Q4,0,0,0,1,1425.4,1025.4,400.0,730.3,0.0,334.0,295.1,193.3,131.4,0.0,131.4,15902.3,5003.1,15699.7,5061.1,0.0,0.0,0.7193770169776905,0.2070296057247088,0.0921846499228286,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,55.0,4.0,3,7.26290906654893,1523.4,,9.6742819138432,8.518012855399913,9.661460576329736,8.529536695947476
AEP,1996Q1,1996,Q1,1,0,0,0,1517.8,1076.8,441.0,685.8,0.0,553.2,391.0,278.8,180.0,0.0,180.0,15985.8,5056.2,15902.3,5003.1,0.0,0.0,0.7094478850968507,0.2576096982474634,0.1185926999604691,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0717412794802994,0.2170385395537524,0.0722963553077076,,0.1119597989949749,0.1643835616438356,0.2319929297392842,0.0703883495145631,,0.0260323159784559,,,0.0005179196117905,0.0864409013045197,0.135571208140746,0.2170385395537524,Utilities,55.0,1.0,4,7.325675828357647,1425.4,1416.2,9.679518660722131,8.528568249437743,9.6742819138432,8.518012855399913
AEP,1996Q2,1996,Q2,0,1,0,0,1400.9,996.0,404.9,710.1,0.0,511.5,285.9,177.9,112.7,0.0,112.7,15857.6,5075.4,15985.8,5056.2,0.0,0.0,0.710971518309658,0.2040830894425012,0.0804482832464844,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0732398682295258,0.1678756476683938,0.0504113056317232,,0.0310421286031041,0.0837755875663379,0.1923592493297587,0.1338560627275271,,0.037551139684395,,,-0.0212706993781939,0.0098167424158333,0.0881776592915655,0.1678756476683938,Utilities,55.0,2.0,5,7.24558373837449,1517.8,1305.3,9.671467218909248,8.53235762793601,9.679518660722131,8.528568249437743
AEP,1996Q3,1996,Q3,0,0,1,0,1484.4,1067.9,416.5,708.6,0.0,584.0,359.3,261.9,162.3,0.0,162.3,15686.6,5115.2,15857.6,5075.4,0.0,0.0,0.7194152519536513,0.2420506601994071,0.1093371059013743,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-0.0256006301693579,0.0525291828793776,0.0009372949667261,,0.0774907749077491,0.0463016889924288,0.1139940450871968,-0.0876232201533406,,-0.0205943331029716,,,0.0272351624577675,0.0737914261729089,0.080182536512021,0.0525291828793776,Utilities,55.0,3.0,6,7.303439375235196,1400.9,1523.4,9.660625870355815,8.540167254976058,9.671467218909248,8.53235762793601
AEP,1996Q4,1996,Q4,0,0,0,1,1446.1,1021.7,424.4,707.7,0.0,347.7,314.0,210.9,132.4,0.0,132.4,15885.5,5145.5,15686.6,5115.2,0.0,0.0,0.7065209874835766,0.2171357444160155,0.0915566005117212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0145222393714044,0.0076103500761035,-0.003608347961771,,0.0410179640718562,0.0640460860725176,0.0910501810657009,0.0609999999999999,,-0.030946186498699,,,-0.0178710595288764,0.0488149443937258,-0.0068129500045099,0.0076103500761035,Utilities,55.0,4.0,7,7.277316832743947,1484.4,1425.4,9.673224970951834,8.546072150966614,9.660625870355815,8.540167254976058
AEP,1997Q1,1997,Q1,1,0,0,0,1492.1,1057.4,434.7,680.3,0.0,530.1,377.1,277.8,172.6,0.0,172.6,15905.7,4799.1,15885.5,5145.5,0.0,0.0,0.7086656390322366,0.252731050197708,0.1156758930366597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.0169324021610225,-0.0411111111111111,-0.0180163447251112,,-0.0417570498915401,-0.035549872122762,-0.003586800573888,-0.0142857142857143,,-0.0080198308544765,,,-0.0011026124413738,-0.0189381381327847,-0.0245951641608769,-0.0411111111111111,Utilities,55.0,1.0,8,7.308609774532618,1446.1,1517.8,9.674495683098966,8.476392030012304,9.673224970951834,8.546072150966614
AEP,1997Q2,1997,Q2,0,1,0,0,1382.2,990.3,391.9,698.7,0.0,532.6,291.6,191.4,121.1,0.0,121.1,16326.8,4823.5,15905.7,4799.1,0.0,0.0,0.7164665026768918,0.2109680219939227,0.0876139487773115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.0133485616389463,0.0745341614906831,-0.0057228915662651,,0.0412512218963831,0.0199370409233998,0.0758853288364249,-0.0321066930106198,,-0.0160540768905788,,,0.0077288389558813,0.0337359286858567,0.0890717022372291,0.0745341614906831,Utilities,55.0,2.0,9,7.232154934369081,1492.1,1400.9,9.700624455517064,8.481462381460439,9.674495683098966,8.476392030012304
AEP,1997Q3,1997,Q3,0,0,1,0,1584.0,1061.2,522.8,694.3,0.0,585.1,366.9,293.6,91.2,0.0,91.2,16250.4,4820.5,16326.8,4823.5,0.0,0.0,0.669949494949495,0.2316287878787878,0.0575757575757575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.067097817299919,-0.4380776340110905,-0.0062739956924806,,0.0018835616438357,0.0211522404675756,0.1210385643375335,0.2552220888355341,,-0.020180637877505,,,-0.0687582823269684,-0.0430565746527339,-0.4734106312664538,-0.4380776340110905,Utilities,55.0,3.0,10,7.368339686311381,1382.2,1484.4,9.695934337893007,8.480840361950438,9.700624455517064,8.481462381460439
AEP,1997Q4,1997,Q4,0,0,0,1,1703.2,1009.2,694.0,719.0,0.0,298.2,290.2,199.0,126.1,0.0,126.1,16615.3,4851.5,16250.4,4820.5,0.0,0.0,0.5925317050258337,0.1703851573508689,0.0740371066228276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1777885346794827,-0.0475830815709971,-0.0122345111089361,,-0.1423641069887834,-0.075796178343949,-0.0564248458985301,0.6352497643732329,,0.0159672177476331,,,-0.1613388483528843,-0.2153058087735936,-0.1913515114254456,-0.0475830815709971,Utilities,55.0,4.0,11,7.440851071393856,1584.0,1446.1,9.718139420279817,8.487249315043165,9.695934337893007,8.480840361950438
AEP,1998Q1,1998,Q1,1,0,0,0,1521.0,1036.0,485.0,692.0,0.0,497.0,344.0,234.0,151.0,0.0,151.0,16798.4,4907.1,16615.3,4851.5,0.0,0.0,0.6811308349769888,0.2261669953977646,0.0992767915844839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193686750217814,-0.1251448435689455,-0.0202383204085493,,-0.0624410488587059,-0.0877751259612835,-0.1576673866090713,0.1157119852772026,,0.0171982948699103,,,-0.0388544364770524,-0.105107998321388,-0.1417676667253278,-0.1251448435689455,Utilities,55.0,1.0,12,7.3277805384216315,1703.2,1492.1,9.729098450467866,8.498642180521362,9.718139420279817,8.487249315043165
AEP,1998Q2,1998,Q2,0,1,0,0,1557.0,1003.0,554.0,709.0,0.0,528.0,294.0,198.0,118.0,0.0,118.0,17812.2,4934.0,16798.4,4907.1,0.0,0.0,0.6441875401412974,0.1888246628131021,0.0757867694283879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1264650557082911,-0.0255986787778694,0.0128243966474805,,-0.0086368757040932,0.008230452674897,0.0344827586206897,0.4136259249808625,,0.014741663088593,,,-0.1008825426807014,-0.1049607375162218,-0.1349919677628588,-0.0255986787778694,Utilities,55.0,2.0,13,7.351158226430694,1521.0,1382.2,9.787695034484464,8.504107951867582,9.729098450467866,8.498642180521362
AEP,1998Q3,1998,Q3,0,0,1,0,1858.0,1206.0,652.0,793.0,0.0,624.0,413.0,300.0,195.0,0.0,195.0,17476.2,5035.1,17812.2,4934.0,0.0,0.0,0.6490850376749193,0.2222820236813778,0.1049515608180839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172979797979798,1.138157894736842,0.1364493026762154,,0.0664843616475816,0.1256473153447805,0.0217983651226156,0.2471308339709259,,0.142157568774305,,,-0.0311433286118807,-0.040352342569358,0.822842898419353,1.138157894736842,Utilities,55.0,3.0,14,7.527793987721444,1557.0,1584.0,9.768652453312487,8.524387251996478,9.787695034484464,8.504107951867582
AEP,1998Q4,1998,Q4,0,0,0,1,-3200.7,968.6,-4169.3,770.7,0.0,222.3,197.9,108.1,72.2,0.0,72.2,19483.2,5015.4,17476.2,5035.1,-0.0,-0.0,-0.3026213015902771,-0.0618302246383603,-0.0225575655325397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.87922733677783,-0.4274385408406026,-0.0402298850574712,,-0.2545271629778671,-0.3180565127498277,-0.45678391959799,-7.0076368876080695,,0.0719054242002781,,,-1.51072592238264,-1.3628850399864072,-1.3046791880652,-0.4274385408406026,Utilities,55.0,4.0,15,0.0,1858.0,1703.2,9.877359159706433,8.520467823949895,9.768652453312487,8.524387251996478
