ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
AMD,1995Q2,1995,Q2,0,1,0,0,626.214,325.255,300.959,198.396,97.364,182.589,126.859,133.516,91.985,101.032,193.017,2901.119,1948.773,2702.011,1842.417,0.1613378174234367,0.1554803948809831,0.5193991191509612,0.2025809068465412,0.1468906795440536,92.5,,,,,,,,,,,,0.1491704510269377,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Technology,45.0,2.0,1,6.44128779021565,620.096,,7.973196438806021,7.575468234525182,7.9021216158205165,7.519376193606657
AMD,1995Q3,1995,Q3,0,0,1,0,590.385,246.041,344.344,195.539,95.525,116.401,50.502,60.369,56.163,100.014,156.177,2967.407,2020.455,2901.119,1948.773,0.1694047104855306,0.1618011975236498,0.4167466991878181,0.0855407911786376,0.0951294494270687,101.032,92.5,,,,,,,,,,,0.1613378174234367,0.1491704510269377,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Technology,45.0,3.0,2,6.382467243552584,626.214,,7.995780724265951,7.611572828135551,7.973196438806021,7.575468234525182
AMD,1995Q4,1995,Q4,0,0,0,1,593.029,230.228,362.801,199.19,95.181,114.427,31.038,37.858,55.582,104.009,159.591,3031.268,2100.128,2967.407,2020.455,0.1753860266529967,0.1604997394731117,0.3882238474003801,0.0523380812742715,0.0937256019520124,100.014,101.032,92.5,,,,,,,,,,0.1694047104855306,0.1613378174234367,0.1491704510269377,,,,,,,,,,,,,,,,,,,,,,,,,,Information Technology,45.0,4.0,3,6.386928139719734,590.385,,8.017066133357371,7.650229622359071,7.995780724265951,7.611572828135551
AMD,1996Q1,1996,Q1,1,0,0,0,544.212,175.477,368.735,197.791,103.011,53.493,-22.314,3.764,25.327,94.78,120.107,2954.809,2121.948,3031.268,2100.128,0.1741600699727312,0.1892846905250159,0.3224423570226309,-0.0410024034751163,0.0465388488309702,104.009,100.014,101.032,92.5,,,,,,,,,0.1753860266529967,0.1694047104855306,0.1613378174234367,0.1491704510269377,,,,,,,,,-0.1223746000619259,-0.7383601409076352,-0.4671600004858437,0.0246486486486485,-0.7289586088436926,-1.159524728692146,-0.974322941537622,0.2681241660132338,0.0625606007468075,0.0440494916757281,0.1675239216195756,0.2107222521383069,-0.3928616929822748,-1.1817685868064007,-0.7018775218779831,-0.3655236897850512,Information Technology,45.0,1.0,4,6.301174709851615,593.029,620.096,7.991527665636788,7.6605609677622075,8.017066133357371,7.650229622359071
AMD,1996Q2,1996,Q2,0,1,0,0,455.077,75.298,379.779,175.831,83.063,-5.584,-100.533,-79.306,-34.672,92.768,58.096,2845.025,2071.355,2954.809,2121.948,0.2038512163875564,0.1825251550836452,0.1654621086101912,-0.2209142628610103,-0.0761893042276362,94.78,104.009,100.014,101.032,92.5,,,,,,,,0.1741600699727312,0.1753860266529967,0.1694047104855306,0.1613378174234367,0.1491704510269377,,,,,,,,-0.2732883646804448,-1.3769310213621786,-0.7684954881554472,-0.0817958666561089,-1.0305823461435246,-1.7924782632686684,-1.5939812456934002,0.2618961386766967,-0.1468818043630089,-0.1137371721204056,0.263505479639295,0.1739432178787827,-0.6814355232626021,-2.0904989334871376,-1.518680316982171,-0.6990109679458285,Information Technology,45.0,2.0,5,6.122661654908323,544.212,626.214,7.9536785628698246,7.636440920750047,7.991527665636788,7.6605609677622075
AMD,1996Q3,1996,Q3,0,0,1,0,456.862,119.17,337.692,196.088,90.432,0.783,-76.918,-76.147,-38.362,105.656,67.29400000000001,3053.992,2036.658,2845.025,2071.355,0.2312645831782901,0.1979416103768753,0.2608446314204289,-0.1683615621347365,-0.0839684631245321,92.768,94.78,104.009,100.014,101.032,92.5,,,,,,,0.2038512163875564,0.1741600699727312,0.1753860266529967,0.1694047104855306,0.1613378174234367,0.1491704510269377,,,,,,,-0.2261625888191603,-1.683047558000819,-0.5156498307192703,0.0564121023056773,-0.9932732536662056,-2.523068393330957,-2.2613593069290534,-0.0193178914109146,-0.0533158858937451,0.0028076240545364,0.3651602869569743,0.2233630739843133,-0.3740931075668285,-2.96820206845108,-1.882675802606287,-0.5691170915051511,Information Technology,45.0,3.0,6,6.126567828667525,455.077,590.385,8.02453225294433,7.619556388120751,7.9536785628698246,7.636440920750047
AMD,1996Q4,1996,Q4,0,0,0,1,496.868,142.246,354.622,195.791,88.292,30.638,-53.545,-57.067,-21.243,107.499,86.256,3145.283,2021.878,3053.992,2036.658,0.2163532366745292,0.177697094600578,0.28628529106322,-0.1077650402118872,-0.0427538098649943,105.656,92.768,94.78,104.009,100.014,101.032,92.5,,,,,,0.2312645831782901,0.2038512163875564,0.1741600699727312,0.1753860266529967,0.1694047104855306,0.1613378174234367,0.1491704510269377,,,,,,-0.1621522724858312,-1.382192076571552,-0.3821516062338204,0.0335547885279157,-0.7322485077822543,-2.7251433726399896,-2.507396058957156,-0.0225440392942687,-0.0723778905453819,-0.0170641096440584,0.233583089846642,0.1071488040038053,-0.2625767505519297,-3.059017785676116,-1.456159352136082,-0.4595183938943925,Information Technology,45.0,4.0,7,6.210334981649015,456.862,593.029,8.053977035071517,7.612276528873705,8.02453225294433,7.619556388120751
AMD,1997Q1,1997,Q1,1,0,0,0,551.999,202.923,349.076,199.427,94.519,92.296,3.496,7.408,12.951,104.908,117.859,3426.126,2043.757,3145.283,2021.878,0.1900510689330959,0.1712303826637367,0.3676147964036166,0.006333344806784,0.0234619990253605,107.499,105.656,92.768,94.78,104.009,100.014,101.032,92.5,,,,,0.2163532366745292,0.2312645831782901,0.2038512163875564,0.1741600699727312,0.1753860266529967,0.1694047104855306,0.1613378174234367,0.1491704510269377,,,,,0.0143087620265631,-0.4886484779089509,0.1564079622970531,0.1068579869170711,0.7253846297646422,-1.1566729407546832,0.9681190223166848,-0.0533147111068924,-0.0824377979050779,0.0082713571396069,0.0912436413401347,-0.0953817649552233,0.140094619696057,-1.1544627697405023,-0.4958620676120536,-0.0187166443254763,Information Technology,45.0,1.0,8,6.315356193202436,496.868,544.212,8.139477288050198,7.623034235010618,8.053977035071517,7.612276528873705
AMD,1997Q2,1997,Q2,0,1,0,0,594.561,222.295,372.266,213.004,102.983,103.316,9.291,9.051,9.968,110.021,119.989,3471.731,2090.547,3426.126,2043.757,0.1850457732680078,0.1732084680966292,0.373880896997953,0.015626655633316,0.0167653108764281,104.908,107.499,105.656,92.768,94.78,104.009,100.014,101.032,92.5,,,,0.1900510689330959,0.2163532366745292,0.2312645831782901,0.2038512163875564,0.1741600699727312,0.1753860266529967,0.1694047104855306,0.1613378174234367,0.1491704510269377,,,,0.3065063714492273,-1.2874942316566682,1.95220324577014,0.1859800793377026,-19.50214899713467,-1.092417415177106,-1.114127556553098,-0.0197825577506918,0.2398179694930353,0.2114132320239321,-0.0922508261309376,-0.0510433040462089,1.259616416945171,-1.0707362912242004,-1.2200480900355417,1.0653573395758742,Information Technology,45.0,2.0,9,6.389503818477888,551.999,455.077,8.152696595094149,7.645659262539876,8.139477288050198,7.623034235010618
AMD,1997Q3,1997,Q3,0,0,1,0,596.644,168.404,428.24,226.832,100.915,45.537,-58.428,-67.047,-31.675,125.917,94.242,3425.946,2043.617,3471.731,2090.547,0.2110420954539055,0.1691377102593841,0.2822520632068704,-0.0979277425064192,-0.0530886089527423,110.021,104.908,107.499,105.656,92.768,94.78,104.009,100.014,101.032,92.5,,,0.1850457732680078,0.1900510689330959,0.2163532366745292,0.2312645831782901,0.2038512163875564,0.1741600699727312,0.1753860266529967,0.1694047104855306,0.1613378174234367,0.1491704510269377,,,0.3059610998507207,-0.1743131223606694,0.4131408911638834,0.1917638373589762,57.15708812260536,-0.2403858654671209,-0.1195056929360317,0.2681378297383414,0.11592135527247,0.1567867488066583,-0.0874430811949895,-0.1455171556028532,0.0820696660301858,-0.4183485751453795,-0.3677553812791885,0.4004517490415191,Information Technology,45.0,3.0,10,6.392995258952923,594.561,456.862,8.139424764528403,7.622965764873108,8.152696595094149,7.645659262539876
AMD,1997Q4,1997,Q4,0,0,0,1,613.171,184.315,428.856,229.327,102.296,62.663,-45.012,-50.244,-12.334,127.031,114.697,3515.271,2029.543,3425.946,2043.617,0.20717059352122,0.1668311123650661,0.3005931461207395,-0.0734085597655466,-0.0201151065526582,125.917,110.021,104.908,107.499,105.656,92.768,94.78,104.009,100.014,101.032,92.5,,0.2110420954539055,0.1850457732680078,0.1900510689330959,0.2163532366745292,0.2312645831782901,0.2038512163875564,0.1741600699727312,0.1753860266529967,0.1694047104855306,0.1613378174234367,0.1491704510269377,,0.2340722284389416,-0.4193852092453984,0.295748210845999,0.1816947134391948,1.045270579019518,-0.1593612849005509,-0.1195612175162528,0.2093327543130432,0.1586100665972003,0.1712846862215322,-0.0424428277314063,-0.061148902068073,0.049977611509073,-0.3188091460717597,-0.5295131213761621,0.3297277870524948,Information Technology,45.0,4.0,11,6.420273391001428,596.644,496.868,8.16515633205783,7.61605852395211,8.139424764528403,7.622965764873108
AMD,1998Q1,1998,Q1,1,0,0,0,540.9,229.5,311.4,328.5,88.2,13.2,-99.0,-109.7,-62.7,128.1,65.39999999999999,3332.306,1965.711,3515.271,2029.543,0.2368275097060455,0.1630615640599002,0.4242928452579035,-0.1830282861896838,-0.1159179145867997,127.031,125.917,110.021,104.908,107.499,105.656,92.768,94.78,104.009,100.014,101.032,92.5,0.20717059352122,0.2110420954539055,0.1850457732680078,0.1900510689330959,0.2163532366745292,0.2312645831782901,0.2038512163875564,0.1741600699727312,0.1753860266529967,0.1694047104855306,0.1613378174234367,0.1491704510269377,-0.0201069204835516,-5.841324994208941,0.1309708608684081,0.2210698898082128,-0.8569818843720205,-29.31807780320366,-15.808315334773216,-0.1079306512048953,-0.0668542832657984,0.6472192832465014,0.2461256389429538,-0.0477065955045986,0.1541778225707164,-29.89915072895289,-5.940666584356335,-0.4450996529751654,Information Technology,45.0,1.0,12,6.295081482572068,613.171,551.999,8.111719883274453,7.584117883344507,8.16515633205783,7.61605852395211
AMD,1998Q2,1998,Q2,0,1,0,0,526.5,249.5,277.0,353.5,101.2,9.1,-104.0,-108.7,-64.6,139.2,74.6,3858.584,1918.451,3332.306,1965.711,0.2643874643874643,0.1922127255460589,0.4738841405508072,-0.1975308641975308,-0.1226970560303893,128.1,127.031,125.917,110.021,104.908,107.499,105.656,92.768,94.78,104.009,100.014,101.032,0.2368275097060455,0.20717059352122,0.2110420954539055,0.1850457732680078,0.1900510689330959,0.2163532366745292,0.2312645831782901,0.2038512163875564,0.1741600699727312,0.1753860266529967,0.1694047104855306,0.1613378174234367,-0.1144726949799936,-7.480738362760834,0.1223824197575293,0.2652130047899945,-0.9119207092802664,-12.193628242385104,-13.00972268257651,-0.2559084095780974,-0.0173135371857491,0.6595932470751724,0.4287679189761519,0.1097189857878517,0.2674735306238491,-13.640635900134338,-8.318507657552601,-0.3782763419980165,Information Technology,45.0,2.0,13,6.268148865350222,540.9,594.561,8.25831468463033,7.559794486633906,8.111719883274453,7.584117883344507
