ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
AMGN,1995Q2,1995,Q2,0,1,0,0,484.1,430.4,53.7,235.5,104.4,217.6,194.9,205.8,137.7,108.4,246.1,2160.1,1396.8,2052.4,1337.3,0.2239206775459615,0.2156579219169593,0.8890725056806444,0.4026027680231357,0.2844453625284032,113.9,,,,,,,,,,,,0.2642691415313225,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,2.0,1,6.184355055251171,431.0,,7.678372630308981,7.242654851043029,7.627252234864865,7.199155430802329
AMGN,1995Q3,1995,Q3,0,0,1,0,484.4,442.2,42.2,234.1,106.7,230.0,208.1,213.6,145.8,105.5,251.3,2348.2,1574.8,2160.1,1396.8,0.217795210569777,0.2202725020644096,0.9128819157720892,0.4296036333608588,0.300990916597853,108.4,113.9,,,,,,,,,,,0.2239206775459615,0.2642691415313225,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,3.0,2,6.184973293292501,484.1,,7.761830123648364,7.362518358811588,7.678372630308981,7.242654851043029
AMGN,1995Q4,1995,Q4,0,0,0,1,504.3,458.4,45.9,257.7,113.8,220.6,200.7,213.1,145.6,124.0,269.6,2432.8,1671.8,2348.2,1574.8,0.2458853856831251,0.2256593297640293,0.9089827483640688,0.3979773944080904,0.2887170335117985,105.5,108.4,113.9,,,,,,,,,,0.217795210569777,0.2239206775459615,0.2642691415313225,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,4.0,3,6.225152312297863,484.4,,7.7972091009027,7.4222541481144235,7.761830123648364,7.362518358811588
AMGN,1996Q1,1996,Q1,1,0,0,0,498.7,459.7,39.0,265.3,106.8,222.3,194.4,207.0,143.6,130.6,274.2,2366.8,1752.9,2432.8,1671.8,0.2618808903148185,0.21415680770002,0.9217966713454984,0.3898135151393623,0.2879486665329857,124.0,105.5,108.4,113.9,,,,,,,,,0.2458853856831251,0.217795210569777,0.2239206775459615,0.2642691415313225,,,,,,,,,0.1570765661252899,0.3222836095764272,0.1968237438167142,0.1466198419666373,0.2573529411764705,0.2374283895607893,0.2785670166769609,-0.1684434968017057,0.1434689507494646,0.1687224669603524,-0.0090371929263671,-0.0117603413414493,0.0343513807599835,0.069443825748346,0.142779698671426,0.2323595505617977,Healthcare,35.0,1.0,4,6.214007918350159,504.3,431.0,7.769716532977536,7.469597158764092,7.7972091009027,7.4222541481144235
AMGN,1996Q2,1996,Q2,0,1,0,0,560.9,519.6,41.3,281.8,131.2,264.8,237.8,258.8,178.7,123.6,302.29999999999995,2496.3,1820.8,2366.8,1752.9,0.2203601354965234,0.2339097878409698,0.92636833660189,0.4239614904617579,0.31859511499376,130.6,124.0,105.5,108.4,113.9,,,,,,,,0.2618808903148185,0.2458853856831251,0.217795210569777,0.2239206775459615,0.2642691415313225,,,,,,,,0.1586449080768435,0.2977487291212781,0.2072490706319703,0.140221402214022,0.2169117647058824,0.220112878399179,0.2575315840621963,-0.2309124767225326,0.2567049808429116,0.1966029723991507,-0.0159009078056548,0.0846334127759913,0.0419491443981758,0.0530516035532939,0.12005733600929,0.2283624542868751,Healthcare,35.0,2.0,5,6.3313238981181525,498.7,484.1,7.822965427236047,7.50758030231071,7.769716532977536,7.469597158764092
AMGN,1996Q3,1996,Q3,0,0,1,0,556.4,508.3,48.1,273.9,118.5,259.4,234.4,249.3,179.5,130.4,309.9,2549.2,1767.8,2496.3,1820.8,0.2343637670740474,0.2129762760603882,0.913551401869159,0.4212796549245147,0.3226096333572969,123.6,130.6,124.0,105.5,108.4,113.9,,,,,,,0.2203601354965234,0.2618808903148185,0.2458853856831251,0.217795210569777,0.2239206775459615,0.2642691415313225,,,,,,,0.1486374896779521,0.2311385459533605,0.1494798733604705,0.2360189573459716,0.1278260869565215,0.126381547333013,0.1671348314606742,0.1398104265402844,0.1105904404873476,0.1700128150363091,0.0760740167835885,-0.0331236352047605,0.0007333764482599,-0.0193759498056946,0.071825146764572,0.2331874253879824,Healthcare,35.0,3.0,6,6.323283115047848,560.9,484.4,7.843927066449441,7.478056629543237,7.822965427236047,7.50758030231071
AMGN,1996Q4,1996,Q4,0,0,0,1,582.1,527.6,54.5,293.1,129.0,254.9,234.5,247.2,178.0,143.7,321.7,2765.6,1906.3,2549.2,1767.8,0.2468647998625665,0.2216114069747466,0.9063734753478784,0.4028517436866518,0.3057893832674798,130.4,123.6,130.6,124.0,105.5,108.4,113.9,,,,,,0.2343637670740474,0.2203601354965234,0.2618808903148185,0.2458853856831251,0.217795210569777,0.2239206775459615,0.2642691415313225,,,,,,0.1542732500495736,0.2225274725274726,0.1509598603839441,0.1588709677419353,0.1554850407978241,0.1684105630293972,0.1600187705302673,0.187363834422658,0.133567662565905,0.1373690337601865,0.0039832142797766,-0.0179382026593609,-0.0028705418456912,0.0122478043905256,0.0591317718529538,0.1932492581602372,Healthcare,35.0,4.0,7,6.368358698228111,556.4,504.3,7.925374408440715,7.553443908382381,7.843927066449441,7.478056629543237
AMGN,1997Q1,1997,Q1,1,0,0,0,563.4,527.8,35.6,296.6,112.5,267.6,231.2,250.4,180.3,147.7,328.0,2773.1,2017.8,2765.6,1906.3,0.2621583244586439,0.1996805111821086,0.9368122115725948,0.4103656372026979,0.3200212992545261,143.7,130.4,123.6,130.6,124.0,105.5,108.4,113.9,,,,,0.2468647998625665,0.2343637670740474,0.2203601354965234,0.2618808903148185,0.2458853856831251,0.217795210569777,0.2239206775459615,0.2642691415313225,,,,,0.129737317024263,0.2555710306406686,0.148140091363933,0.1309341500765697,0.203778677462888,0.1893004115226335,0.2096618357487922,-0.087179487179487,0.053370786516854,0.1179796456841311,0.001059390562984,-0.0675967141711837,0.0162894276946989,0.0527229592231761,0.1113831611297506,0.1962071480671043,Healthcare,35.0,1.0,8,6.335763219978659,582.1,498.7,7.928081649251703,7.610258554466108,7.925374408440715,7.553443908382381
AMGN,1997Q2,1997,Q2,0,1,0,0,606.7,558.6,48.1,299.6,125.5,287.7,259.0,278.3,200.5,145.4,345.9,3043.3,2269.6,2773.1,2017.8,0.2396571616944124,0.206856766111752,0.9207186418328664,0.4268996208999505,0.3304763474534366,147.7,143.7,130.4,123.6,130.6,124.0,105.5,108.4,113.9,,,,0.2621583244586439,0.2468647998625665,0.2343637670740474,0.2203601354965234,0.2618808903148185,0.2458853856831251,0.217795210569777,0.2239206775459615,0.2642691415313225,,,,0.0816544838652166,0.1219921656407387,0.0750577367205542,0.1763754045307444,0.0864803625377643,0.0891505466778805,0.0753477588871716,0.1646489104116224,-0.0434451219512194,0.0631653655074522,0.0875704044854037,-0.1156557918286452,-0.0060987563432357,0.0069301823497991,0.0372925757506021,0.1442275884882569,Healthcare,35.0,2.0,9,6.40968133914131,563.4,560.9,8.021026268658906,7.727799392730433,7.928081649251703,7.610258554466108
AMGN,1997Q3,1997,Q3,0,0,1,0,583.6,539.9,43.7,322.6,119.4,247.9,217.3,88.3,83.8,172.6,256.4,3002.4,2239.4,3043.3,2269.6,0.278163151656293,0.204592186429061,0.9251199451679232,0.3723440712816998,0.1435915010281014,145.4,147.7,143.7,130.4,123.6,130.6,124.0,105.5,108.4,113.9,,,0.2396571616944124,0.2621583244586439,0.2468647998625665,0.2343637670740474,0.2203601354965234,0.2618808903148185,0.2458853856831251,0.217795210569777,0.2239206775459615,0.2642691415313225,,,0.0488856937455068,-0.5331476323119777,0.0621680110171158,0.3236196319018403,-0.0443330763299921,-0.072952218430034,-0.645808263136783,-0.0914760914760914,0.0075949367088608,0.1778021175611539,0.2619293406274572,-0.0393663077710587,0.0126632647873941,-0.1161593802852485,-0.554906344445484,-0.1726363343013875,Healthcare,35.0,3.0,10,6.370927852677146,606.7,556.4,8.00750025924618,7.714409700335677,8.021026268658906,7.727799392730433
