ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
AVY,1995Q2,1995,Q2,0,1,0,0,780.5,261.4,519.1,194.7,172.3,89.1,66.7,55.0,35.7,0.0,35.7,1921.0,782.6,1884.1,762.3,0.0,0.2207559256886611,0.3349135169762972,0.0854580397181294,0.0457399103139013,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,2.0,1,6.6612151498615315,773.2,,7.561121589530238,6.663898686070386,7.541736148872866,6.637651138804425
AVY,1995Q3,1995,Q3,0,0,1,0,783.5,261.8,521.7,193.9,167.1,94.7,67.9,55.9,35.8,0.0,35.8,1900.7,783.1,1921.0,782.6,0.0,0.2132737715379706,0.3341416719846841,0.0866624122527121,0.0456924058710912,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,3.0,2,6.665046572173087,780.5,,7.5505035019582305,6.664536563236877,7.561121589530238,6.663898686070386
AVY,1995Q4,1995,Q4,0,0,0,1,776.7,267.6,509.1,199.5,170.4,97.2,68.1,59.0,37.7,0.0,37.7,1963.6,815.8,1900.7,783.1,0.0,0.2193897257628428,0.3445345693317883,0.0876786404016994,0.0485386893266383,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,4.0,3,6.656340845700898,783.5,,7.583043941240769,6.705394266850456,7.5505035019582305,6.664536563236877
AVY,1996Q1,1996,Q1,1,0,0,0,796.6,274.2,522.4,202.8,175.3,98.9,71.4,62.5,40.0,0.0,40.0,1963.2,818.4,1963.6,815.8,0.0,0.2200602560883756,0.3442129048455937,0.0896309314586994,0.0502134069796635,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0302638385928608,0.1594202898550725,-0.0007288629737608,,0.0476694915254236,0.101851851851852,0.1405109489051095,0.0473135525260624,-0.026111111111111,-0.0324427480916029,,-0.0547189444025998,-0.0300822958213807,0.0694851266028773,0.1253625007732137,0.1594202898550725,Industrials,20.0,1.0,4,6.6816072186476285,776.7,773.2,7.582840316723674,6.70857236511277,7.583043941240769,6.705394266850456
AVY,1996Q2,1996,Q2,0,1,0,0,797.7,276.3,521.4,202.8,174.9,101.4,73.5,64.1,41.6,0.0,41.6,1960.2,815.4,1963.2,818.4,0.0,0.219255359157578,0.3463708160962768,0.0921399022188792,0.0521499310517738,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0220371556694427,0.1652661064425769,0.0570007651109412,,0.1380471380471382,0.1019490254872563,0.1654545454545453,0.0044307455210941,0.0150899593731863,0.0416024653312789,,-0.0067974009141633,0.0342097244190666,0.078188810822118,0.1401406494652515,0.1652661064425769,Industrials,20.0,2.0,5,6.682985405923343,796.6,780.5,7.581311809777079,6.70490443093569,7.582840316723674,6.70857236511277
AVY,1996Q3,1996,Q3,0,0,1,0,819.3,289.4,529.9,210.0,181.1,108.3,79.4,71.4,46.6,0.0,46.6,2016.3,827.3,1960.2,815.4,0.0,0.2210423532283656,0.3532283656780178,0.0969119980471134,0.0568778225314292,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0456924058710912,0.3016759776536315,0.1054239877769287,,0.143611404435058,0.1693667157584684,0.2772808586762076,0.0157178455050794,0.0837821663674447,0.0830324909747293,,0.0364253964956584,0.0571215603847476,0.1182702572888563,0.2447981551222022,0.3016759776536315,Industrials,20.0,3.0,6,6.709670127008704,797.7,783.5,7.609515262640305,6.719375407604218,7.581311809777079,6.70490443093569
AVY,1996Q4,1996,Q4,0,0,0,1,808.9,291.8,517.1,210.2,181.1,110.7,81.6,72.6,47.7,0.0,47.7,2036.7,832.0,2016.3,827.3,0.0,0.2238842873037458,0.3607368030658919,0.1008777351959451,0.0589689702064532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0414574481781897,0.2652519893899203,0.0904334828101642,,0.1388888888888888,0.198237885462555,0.2305084745762711,0.0157140051070516,0.0627934272300467,0.0536340852130325,,0.0204866546292217,0.0470264384950609,0.1505394556048542,0.2148859193462124,0.2652519893899203,Industrials,20.0,4.0,7,6.696910783254944,819.3,776.7,7.619576999806891,6.725033642166843,7.609515262640305,6.719375407604218
AVY,1997Q1,1997,Q1,1,0,0,0,828.9,291.7,537.2,209.1,180.3,111.4,82.6,74.1,48.2,0.0,48.2,2019.4,815.4,2036.7,832.0,0.0,0.2175171914585595,0.3519121727590782,0.0996501387380866,0.0581493545662926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0405473261360782,0.205,0.0638220277169949,,0.1263902932254803,0.1568627450980391,0.1856,0.0283307810107198,0.0285225328009126,0.0310650887573964,,-0.0115562195328663,0.022367749160765,0.1117829204308094,0.1580443961877187,0.205,Industrials,20.0,1.0,8,6.7213052116044025,808.9,796.6,7.6110507905938976,6.70490443093569,7.619576999806891,6.725033642166843
AVY,1997Q2,1997,Q2,0,1,0,0,844.8,302.7,542.1,217.6,188.7,114.0,85.1,76.3,49.6,0.0,49.6,2092.1,825.6,2019.4,815.4,0.0,0.2233664772727272,0.3583096590909091,0.1007339015151515,0.0587121212121212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0590447536667919,0.1923076923076923,0.0955483170466882,,0.1242603550295857,0.1578231292517005,0.1903276131045241,0.0397008055235903,0.0789022298456258,0.0729783037475344,,0.0187503654685794,0.0344683860181622,0.0932712005256648,0.1258331512237764,0.1923076923076923,Industrials,20.0,2.0,9,6.740282925038388,828.9,797.7,7.646401499613301,6.717320902077632,7.6110507905938976,6.70490443093569
AVY,1997Q3,1997,Q3,0,0,1,0,835.6,299.3,536.3,213.1,183.9,115.4,86.2,78.2,52.6,0.0,52.6,2060.7,826.1,2092.1,825.6,0.0,0.2200813786500718,0.3581857348013403,0.1031594064145524,0.0629487793202489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0198950323446844,0.1287553648068669,0.0342087076710435,,0.0655586334256694,0.0856423173803526,0.0952380952380951,0.0120777505189657,0.0154610712313638,0.0147619047619047,,-0.0043474680949541,0.0140344593045549,0.0644647566176672,0.1067368003665221,0.1287553648068669,Industrials,20.0,3.0,10,6.7293460590080985,844.8,819.3,7.631286164176522,6.717925606697861,7.646401499613301,6.717320902077632
