ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
BBWI,1995Q2,1995,Q2,0,1,0,0,1588.1,472.1,1116.0,392.1,322.6,149.5,80.0,66.2,39.2,0.0,39.2,4469.5,2760.6,4570.1,2761.0,0.0,0.2031358226811913,0.2972734714438638,0.0503746615452427,0.0246835841571689,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Discretionary,25.0,2.0,1,7.370923097218591,2538.6,,8.405255538175373,7.923565500889109,8.427509155143419,7.923710333969238
BBWI,1995Q3,1995,Q3,0,0,1,0,1718.6,495.6,1223.0,398.8,326.9,168.7,96.8,80.8,48.8,0.0,48.8,4857.7,2792.1,4469.5,2760.6,0.0,0.1902129640404981,0.288374258117072,0.0563249156290003,0.0283952053997439,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Discretionary,25.0,3.0,2,7.449846984622126,1588.1,,8.488526191400851,7.934907369099438,8.405255538175373,7.923565500889109
BBWI,1995Q4,1995,Q4,0,0,0,1,1803.3,526.5,1276.8,435.1,361.6,164.9,91.4,685.3,657.3,0.0,657.3,5116.9,3417.0,4857.7,2792.1,0.0,0.2005212665668496,0.2919647313259025,0.0506848555426163,0.3644984195641324,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Discretionary,25.0,4.0,3,7.497927983914253,1718.6,,8.540499477646472,8.136810863675537,8.488526191400851,7.934907369099438
BBWI,1996Q1,1996,Q1,1,0,0,0,2771.3,879.2,1892.1,535.3,464.3,414.9,343.9,352.2,216.2,0.0,216.2,5266.6,3201.0,5116.9,3417.0,0.0,0.1675387002489806,0.3172518312705228,0.1240933857756287,0.0780139284812181,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0916646970771293,-0.1577717179587067,-0.0251690874819824,,-0.1871081504702194,-0.218409090909091,-0.1726568005637773,0.1560457017168692,0.1859514687100893,0.1589088547304611,,0.0863697176297884,-0.1070235071922061,-0.2840375701590655,-0.2284917847977385,-0.1577717179587067,Consumer Discretionary,25.0,1.0,4,7.927432579562105,1803.3,2538.6,8.569330129836064,8.07153089355666,8.540499477646472,8.136810863675537
BBWI,1996Q2,1996,Q2,0,1,0,0,1787.9,541.3,1246.6,487.5,415.7,125.6,53.8,50.2,28.2,0.0,28.2,3716.1,1593.1,5266.6,3201.0,0.0,0.2325074109290228,0.3027574249119077,0.0300911684098663,0.0157726942222719,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.1258107172092439,-0.2806122448979592,0.1465791145943653,,-0.159866220735786,-0.3275,-0.2416918429003021,0.1170250896057347,0.2885926844389335,0.2433052792654935,,0.1445908843657197,0.0184475037123503,-0.4026526931036412,-0.3610047016737229,-0.2806122448979592,Consumer Discretionary,25.0,2.0,5,7.48935618479717,2771.3,1588.1,8.220699073352096,7.374064592639601,8.569330129836064,8.07153089355666
BBWI,1996Q3,1996,Q3,0,0,1,0,1895.6,564.4,1331.2,482.9,410.4,154.0,81.5,61.2,33.2,0.0,33.2,3888.9,1605.4,3716.1,1593.1,0.0,0.2165013715973834,0.2977421396919181,0.0429943025954842,0.0175142435112893,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1029908064703828,-0.3196721311475409,0.1388216303470539,,-0.0871369294605808,-0.1580578512396694,-0.2425742574257425,0.0884709730171708,0.255429795044356,0.2108826479438315,,0.1382051307043839,0.0324851518856548,-0.2366734665227347,-0.3831971537192254,-0.3196721311475409,Consumer Discretionary,25.0,3.0,6,7.547818088449627,1787.9,1718.6,8.266138729341188,7.38175092949741,8.220699073352096,7.374064592639601
BBWI,1996Q4,1996,Q4,0,0,0,1,1995.0,627.2,1367.8,538.8,467.0,160.2,88.4,188.5,159.5,0.0,159.5,4277.4,1735.6,3888.9,1605.4,0.0,0.2340852130325814,0.3143859649122807,0.0443107769423558,0.0799498746867168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.1063051073032772,-0.7573406359348851,0.1912630579297247,,-0.028502122498484,-0.0328227571115973,-0.7249379833649496,0.0712719298245614,0.2914823008849556,0.2383360147092621,,0.1673834752811229,0.0767943219873044,-0.1257590365410243,-0.7806578289630969,-0.7573406359348851,Consumer Discretionary,25.0,4.0,7,7.59890045687141,1895.6,1803.3,8.361334386907624,7.459684457626545,8.266138729341188,7.38175092949741
BBWI,1997Q1,1997,Q1,1,0,0,0,2966.3,1053.3,1913.0,628.9,555.4,497.9,424.4,375.4,213.4,0.0,213.4,4120.0,1922.6,4277.4,1735.6,0.0,0.1872366247513737,0.3550888312038566,0.1430738630617267,0.0719414759127532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0703640890556778,-0.0129509713228491,0.1980209281164693,,0.2000482043865992,0.2340796743239312,0.0658716638273708,0.0110459278050842,0.1962093474046951,0.1748552213711938,,0.1175723846079734,0.1192648747898632,0.1529531744779391,-0.0778380564430475,-0.0129509713228491,Consumer Discretionary,25.0,1.0,8,7.995407727413904,1995.0,2771.3,8.323851131338817,7.561953709403507,8.361334386907624,7.459684457626545
BBWI,1997Q2,1997,Q2,0,1,0,0,1829.8,576.9,1252.9,527.2,451.8,125.1,49.7,44.9,24.9,0.0,24.9,3982.2,1918.4,4120.0,1922.6,0.0,0.2469122308449011,0.3152803585091266,0.0271614384085692,0.0136080445950377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0234353151742265,-0.1170212765957446,0.0657675965268798,,-0.0039808917197452,-0.0762081784386615,-0.105577689243028,0.005053746189636,0.0868414722155401,0.0814358974358975,,0.0619542399028114,0.04136292809619,-0.0973617893925472,-0.1372403215791517,-0.1170212765957446,Consumer Discretionary,25.0,2.0,9,7.512508308779487,2966.3,1787.9,8.289840795327972,7.559767916183527,8.323851131338817,7.561953709403507
BBWI,1997Q3,1997,Q3,0,0,1,0,2020.1,613.2,1406.9,540.5,466.2,147.0,72.7,52.6,27.6,0.0,27.6,4071.5,1920.0,3982.2,1918.4,0.0,0.2307806544230483,0.3035493292411267,0.0359883174100292,0.0136626899658432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0656784131673349,-0.1686746987951807,0.0864635010630758,,-0.0454545454545454,-0.1079754601226993,-0.1405228758169935,0.0568659855769231,0.1359649122807018,0.1192793539034997,,0.0659546991333588,0.0195040902010625,-0.1629514787429279,-0.2199097861670931,-0.1686746987951807,Consumer Discretionary,25.0,3.0,10,7.611397196634724,1829.8,1895.6,8.3120123404762,7.560601162768557,8.289840795327972,7.559767916183527
