ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
BDX,1995Q2,1995,Q2,0,1,0,0,704.1,377.9,326.2,268.0,215.8,162.1,109.9,89.5,66.7,0.0,66.7,3048.6,1415.3,3050.7,1388.9,0.0,0.3064905553188468,0.5367135350092316,0.1560857832694219,0.0947308620934526,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,2.0,1,6.558339636724995,692.8,,8.022765713459883,7.255803116220351,8.023454091373745,7.236987081090713
BDX,1995Q3,1995,Q3,0,0,1,0,722.1,415.1,307.0,294.2,240.5,174.6,120.9,120.3,86.6,0.0,86.6,2999.5,1398.4,3048.6,1415.3,0.0,0.3330563633845728,0.5748511286525412,0.1674283340257582,0.1199279878133222,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,3.0,2,6.583547525180906,704.1,,8.006534220429568,7.243798852311796,8.022765713459883,7.255803116220351
BDX,1995Q4,1995,Q4,0,0,0,1,639.9,342.2,297.7,270.2,219.2,123.0,72.0,61.8,44.5,0.0,44.5,2940.7,1344.3,2999.5,1398.4,0.0,0.3425535239881231,0.534771057977809,0.1125175808720112,0.069542115955618,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,4.0,3,6.462873438510181,722.1,,7.986742924513947,7.204372315491497,8.006534220429568,7.243798852311796
BDX,1996Q1,1996,Q1,1,0,0,0,705.7,387.8,317.9,275.0,224.2,163.6,112.8,103.9,74.8,0.0,74.8,2862.8,1322.0,2940.7,1344.3,0.0,0.3176987388408672,0.5495252940342922,0.1598412923338528,0.1059940484625194,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0186200923787529,0.1525423728813557,0.0363442009620524,,0.0367553865652723,0.0621468926553672,0.1268980477223427,-0.002197112366604,0.0360443622920516,0.0261194029850746,,0.0171057590986727,0.0174001168010624,0.0427311424566221,0.1314742184103772,0.1525423728813557,Healthcare,35.0,1.0,4,6.560606247696809,639.9,692.8,7.959904693239906,7.187657164114956,7.986742924513947,7.204372315491497
BDX,1996Q2,1996,Q2,0,1,0,0,692.9,440.0,252.9,320.1,183.0,218.9,119.9,107.2,77.2,38.1,115.3,2909.7,1306.8,2862.8,1322.0,0.0549862895078654,0.2641073748015586,0.6350122672824362,0.1730408428344638,0.1114157887141001,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.0159068314159921,0.1574212893553224,0.1643291876157715,,0.350400987045034,0.0909918107370335,0.1977653631284917,-0.2247087676272224,-0.1519925857275255,0.1944029850746269,,-0.1382854374523752,0.1831493447831791,0.1086265463125204,0.1761297876101639,0.7286356821589206,Healthcare,35.0,2.0,5,6.542327857905503,705.7,704.1,7.976148881066246,7.176101615127176,7.959904693239906,7.187657164114956
BDX,1996Q3,1996,Q3,0,0,1,0,731.2,422.0,309.2,295.5,244.8,177.2,126.5,120.9,87.1,0.0,87.1,2889.8,1325.2,2909.7,1306.8,0.0,0.3347921225382932,0.5771334792122538,0.1730032822757111,0.1191192560175054,38.1,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0549862895078654,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0126021326686054,0.0057736720554273,0.0166225006022644,,0.0148911798396333,0.0463192721257237,0.0049875311720699,0.0071661237785016,0.0178794178794179,0.0044187627464309,,0.0052116078374284,0.0039703332670886,0.0332975196963689,-0.006743478403687,0.0057736720554273,Healthcare,35.0,3.0,6,6.596053700686136,692.9,722.1,7.969288559408826,7.190072988934768,7.976148881066246,7.176101615127176
BDX,1996Q4,1996,Q4,0,0,0,1,655.8,362.4,293.4,275.9,186.5,136.2,86.5,81.8,58.1,39.7,97.8,2822.1,1336.0,2889.8,1325.2,0.0605367490088441,0.284385483379079,0.5526075022872827,0.1318999695028972,0.0885940835620616,0.0,38.1,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0549862895078654,0.0,0.0,0.0,0.0,0.0,,,,,,0.024847632442569,0.3056179775280898,0.059029807130333,,0.1073170731707315,0.2013888888888888,0.3236245954692556,-0.0144440712126302,-0.1491788321167882,0.0210954848260547,,-0.1698071586940117,0.0333534211386097,0.1722609789569991,0.2739630128396229,1.1977528089887644,Healthcare,35.0,4.0,7,6.487379558138218,731.2,639.9,7.945590850934636,7.198183577101943,7.969288559408826,7.190072988934768
BDX,1997Q2,1997,Q2,0,1,0,0,699.2,397.9,301.3,276.3,185.5,173.0,121.6,116.5,82.7,39.4,122.1,2793.2,1317.8,2822.1,1336.0,0.0563501144164759,0.2653032036613272,0.569078947368421,0.1739130434782608,0.1182780320366132,39.7,0.0,38.1,0.0,0.0,0.0,0.0,0.0,,,,,0.0605367490088441,0.0,0.0549862895078654,0.0,0.0,0.0,0.0,0.0,,,,,-0.0092107127674648,0.1056149732620321,0.026044352759154,,0.0574572127139365,0.0780141843971631,0.1212704523580365,-0.0522176785152562,-0.1726137377341658,0.0047272727272726,,-0.1649220748269463,0.0355828085556853,0.0880357693493678,0.1158931444951603,0.6323529411764706,Healthcare,35.0,2.0,8,6.551366008520565,655.8,705.7,7.935301119216386,7.184477511197576,7.945590850934636,7.198183577101943
BDX,1997Q2,1997,Q2,0,1,0,0,706.5,406.9,299.6,301.8,191.1,158.2,105.1,98.8,70.1,57.6,127.7,3038.0,1342.3,2793.2,1317.8,0.0815286624203821,0.2704883227176221,0.5759377211606511,0.148761500353857,0.0992215145081387,39.4,39.7,0.0,38.1,0.0,0.0,0.0,0.0,0.0,,,,0.0563501144164759,0.0605367490088441,0.0,0.0549862895078654,0.0,0.0,0.0,0.0,0.0,,,,0.0196276518978208,-0.0919689119170985,-0.0752272727272728,0.5118110236220472,-0.2772955687528552,-0.1234361968306922,-0.0783582089552239,0.184657967576117,0.0442622950819671,-0.0571696344892221,0.482708928899811,0.0241604306614227,-0.093028984108602,-0.1403098949525643,-0.109448349706097,0.1075455333911532,Healthcare,35.0,2.0,9,6.561737629517393,699.2,692.9,8.019283792916793,7.2028845520689675,7.935301119216386,7.184477511197576
BDX,1997Q3,1997,Q3,0,0,1,0,749.0,439.9,309.1,302.6,203.0,192.9,137.3,125.6,89.2,44.0,133.2,3080.3,1385.4,3038.0,1342.3,0.0587449933244325,0.2710280373831775,0.5873164218958611,0.1833110814419225,0.1190921228304405,57.6,39.4,39.7,0.0,38.1,0.0,0.0,0.0,0.0,0.0,,,0.0815286624203821,0.0563501144164759,0.0605367490088441,0.0,0.0549862895078654,0.0,0.0,0.0,0.0,0.0,,,0.024343544857768,0.0241102181400689,0.0424170616113743,,0.0886004514672686,0.0853754940711464,0.0388751033912322,-0.0003234152652004,-0.1707516339869281,0.0240270727580373,,-0.1904587380123389,0.017643999266004,0.0595815237180537,-0.0002277817035801,0.529276693455798,Healthcare,35.0,3.0,10,6.620073206530356,706.5,731.2,8.03310686483987,7.234465738401396,8.019283792916793,7.2028845520689675
