ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
CLX,1995Q2,1995,Q2,0,1,0,0,594.3,346.1,248.2,237.6,200.6,132.4,108.5,100.5,59.5,13.1,72.6,1906.7,943.9,1789.2,938.9,0.0220427393572269,0.3375399629816591,0.5823658085142185,0.182567726737338,0.1001177856301531,10.7,,,,,,,,,,,,0.0214385894610298,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Staples,30.0,2.0,1,6.389065480159345,499.1,,7.553653606941472,6.851079101788581,7.490082624436838,6.845773486626256
CLX,1995Q3,1995,Q3,0,0,1,0,518.5,313.7,204.8,207.8,171.1,132.4,105.9,98.6,58.8,10.2,69.0,1857.3,956.9,1906.7,943.9,0.0196721311475409,0.329990356798457,0.6050144648023144,0.2042430086788814,0.113404050144648,13.1,10.7,,,,,,,,,,,0.0220427393572269,0.0214385894610298,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Staples,30.0,3.0,2,6.252866810539282,594.3,,7.527417370279605,6.864743388388846,7.553653606941472,6.851079101788581
CLX,1995Q4,1995,Q4,0,0,0,1,466.8,282.8,184.0,209.4,169.0,102.6,73.4,63.6,37.9,11.2,49.1,1859.2,916.4,1857.3,956.9,0.0239931448157669,0.3620394173093402,0.6058269065981149,0.1572407883461868,0.081191088260497,10.2,13.1,10.7,,,,,,,,,,0.0196721311475409,0.0220427393572269,0.0214385894610298,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Staples,30.0,4.0,3,6.148040854150079,518.5,,7.528439287808367,6.821543582163072,7.527417370279605,6.864743388388846
CLX,1996Q1,1996,Q1,1,0,0,0,560.1,339.5,220.6,228.3,182.2,146.2,111.2,100.0,59.6,11.1,70.7,2180.6,919.6,1859.2,916.4,0.0198178896625602,0.3252990537404034,0.6061417603999285,0.1985359757186216,0.1064095697196929,11.2,10.2,13.1,10.7,,,,,,,,,0.0239931448157669,0.0196721311475409,0.0220427393572269,0.0214385894610298,,,,,,,,,0.1222199959927869,0.1037037037037036,0.1252900232018561,0.0373831775700934,0.1809369951534734,0.1680672268907563,0.1086474501108647,0.1175278622087132,0.0897129186602871,0.1055690072639226,-0.075597314898708,-0.0289667600368697,0.0027356732370047,0.0408540491718916,-0.0164996991278012,0.0927357032457496,Consumer Staples,30.0,1.0,4,6.3298991427569264,466.8,499.1,7.687813831531379,6.8250256313831414,7.528439287808367,6.821543582163072
CLX,1996Q2,1996,Q2,0,1,0,0,672.4,391.1,281.3,266.5,227.4,150.4,124.6,108.2,65.8,13.3,79.1,2178.9,932.8,2180.6,919.6,0.0197798929208804,0.3381915526472338,0.5816478286734087,0.1853063652587745,0.0978584176085663,11.1,11.2,10.2,13.1,10.7,,,,,,,,0.0198178896625602,0.0239931448157669,0.0196721311475409,0.0220427393572269,0.0214385894610298,,,,,,,,0.1314151102136969,0.1058823529411763,0.1300202253683906,0.0152671755725191,0.13595166163142,0.1483870967741936,0.0766169154228855,0.1333601933924255,0.1335992023928216,0.1216329966329967,-0.1026572242076916,0.0019304074688486,-0.0012328674354038,0.0150006716432229,-0.022567099415614,0.0895316804407713,Consumer Staples,30.0,2.0,5,6.512339506726974,560.1,594.3,7.68703428317137,6.839262282536836,7.687813831531379,6.8250256313831414
CLX,1996Q3,1996,Q3,0,0,1,0,590.8,360.1,230.7,242.8,205.6,144.0,117.3,108.8,65.5,10.5,76.0,2225.2,975.9,2178.9,932.8,0.0177725118483412,0.3480027081922817,0.6095125253893027,0.198544346648612,0.1108666215301286,13.3,11.1,11.2,10.2,13.1,10.7,,,,,,,0.0197798929208804,0.0198178896625602,0.0239931448157669,0.0196721311475409,0.0220427393572269,0.0214385894610298,,,,,,,0.1394406943105111,0.1139455782312925,0.1479120178514505,0.0294117647058824,0.0876132930513595,0.1076487252124644,0.1034482758620689,0.1264648437499997,0.201636469900643,0.1684311838306063,-0.0965639810426538,0.0545844780695385,0.0074346331346937,-0.0279013811397039,-0.0223751145685083,0.1014492753623188,Consumer Staples,30.0,3.0,6,6.383168739966109,672.4,518.5,7.708051375059125,6.884384292658897,7.68703428317137,6.839262282536836
CLX,1996Q4,1996,Q4,0,0,0,1,530.2,327.7,202.5,245.9,201.3,114.9,81.8,72.9,43.9,11.5,55.4,2711.1,998.8,2225.2,975.9,0.0216899283289324,0.3796680497925311,0.6180686533383628,0.1542814032440588,0.0827989437947944,10.5,13.3,11.1,11.2,10.2,13.1,10.7,,,,,,0.0177725118483412,0.0197798929208804,0.0198178896625602,0.0239931448157669,0.0196721311475409,0.0220427393572269,0.0214385894610298,,,,,,0.1358183376178234,0.158311345646438,0.1587694483734087,0.0267857142857144,0.1198830409356725,0.1144414168937328,0.1462264150943397,0.1005434782608696,0.1911242603550296,0.1743075453677172,-0.0959947728619927,0.0486925777701392,0.0202066738979764,-0.018820721603179,0.0198033499580483,0.1283095723014258,Consumer Staples,30.0,4.0,7,6.275138598162224,590.8,466.8,7.90547852153683,6.90755525897947,7.708051375059125,6.884384292658897
CLX,1997Q1,1997,Q1,1,0,0,0,649.2,393.8,255.4,264.4,219.9,161.9,129.4,109.8,65.6,12.0,77.6,2882.5,1024.9,2711.1,998.8,0.0184842883548983,0.338724584103512,0.606592729513247,0.1993222427603204,0.1010474430067775,11.5,10.5,13.3,11.1,11.2,10.2,13.1,10.7,,,,,0.0216899283289324,0.0177725118483412,0.0197798929208804,0.0198178896625602,0.0239931448157669,0.0196721311475409,0.0220427393572269,0.0214385894610298,,,,,0.1590787359400107,0.1006711409395972,0.1599410898379971,0.0810810810810811,0.1073871409028728,0.1636690647482015,0.0979999999999998,0.1577515865820489,0.2069154774972559,0.1581252737625929,-0.0672928011190487,0.0412713477298414,0.0007439994119873,0.0039603252702828,-0.0503913955017432,0.0975954738330975,Consumer Staples,30.0,1.0,8,6.477280007869805,530.2,560.1,7.966760113055467,6.933325555093667,7.90547852153683,6.90755525897947
CLX,1997Q2,1997,Q2,0,1,0,0,762.5,453.9,308.6,316.0,265.5,172.0,137.9,124.5,74.4,16.4,90.8,2778.0,1036.0,2882.5,1024.9,0.0215081967213114,0.3481967213114754,0.5952786885245901,0.1808524590163934,0.0975737704918032,12.0,11.5,10.5,13.3,11.1,11.2,10.2,13.1,10.7,,,,0.0184842883548983,0.0216899283289324,0.0177725118483412,0.0197798929208804,0.0198178896625602,0.0239931448157669,0.0196721311475409,0.0220427393572269,0.0214385894610298,,,,0.1339976204640096,0.1306990881458967,0.1605727435438506,0.2330827067669172,0.1436170212765957,0.106741573033708,0.1506469500924214,0.0970494134376112,0.1675461741424802,0.1857410881801124,0.0873768026623933,0.0295843245815128,0.0234349019788657,-0.024035365629029,-0.0029087647615725,0.1479140328697852,Consumer Staples,30.0,2.0,9,6.637913124658687,649.2,672.4,7.929846429742503,6.9440872082295275,7.966760113055467,6.933325555093667
CLX,1997Q3,1997,Q3,0,0,1,0,649.3,406.4,242.9,270.2,221.9,172.9,136.2,121.9,74.4,11.6,86.0,2807.2,1074.9,2778.0,1036.0,0.017865393500693,0.3417526567072232,0.6259048205760049,0.2097643616202063,0.1145849376251347,16.4,12.0,11.5,10.5,13.3,11.1,11.2,10.2,13.1,10.7,,,0.0215081967213114,0.0184842883548983,0.0216899283289324,0.0177725118483412,0.0197798929208804,0.0198178896625602,0.0239931448157669,0.0196721311475409,0.0220427393572269,0.0214385894610298,,,0.0990182802979011,0.13587786259542,0.1285753957234099,0.1047619047619048,0.2006944444444445,0.1611253196930946,0.120404411764706,0.0528825314260945,0.0792801556420235,0.1128500823723228,0.0052261409723288,-0.0179597782946135,0.0268941071821819,0.0565113797546283,0.0335386434951086,0.131578947368421,Consumer Staples,30.0,3.0,10,6.477433794875106,762.5,590.8,7.940298987680542,6.980912799599864,7.929846429742503,6.9440872082295275
