ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
CPB,1995Q2,1995,Q2,0,1,0,0,1744.0,766.0,978.0,524.0,437.0,309.0,242.0,190.0,127.0,20.0,147.0,6373.0,2401.0,5409.0,2316.0,0.0114678899082568,0.2505733944954128,0.4392201834862385,0.1387614678899082,0.0728211009174311,22.0,,,,,,,,,,,,0.0107843137254901,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Staples,30.0,2.0,1,7.4645098346365275,2040.0,,8.759982494977281,7.784057002639929,8.596004371840527,7.748028524432376
CPB,1995Q3,1995,Q3,0,0,1,0,1630.0,724.0,906.0,504.0,394.0,304.0,220.0,206.0,143.0,26.0,169.0,6315.0,2468.0,6373.0,2401.0,0.0159509202453987,0.2417177914110429,0.4441717791411043,0.1349693251533742,0.0877300613496932,20.0,22.0,,,,,,,,,,,0.0114678899082568,0.0107843137254901,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Staples,30.0,3.0,2,7.396948602621014,1744.0,,8.750841375375533,7.81156848934518,8.759982494977281,7.784057002639929
CPB,1995Q4,1995,Q4,0,0,0,1,1990.0,925.0,1065.0,539.0,441.0,464.0,386.0,327.0,219.0,20.0,239.0,6803.0,2584.0,6315.0,2468.0,0.0100502512562814,0.221608040201005,0.4648241206030151,0.1939698492462311,0.1100502512562814,26.0,20.0,22.0,,,,,,,,,,0.0159509202453987,0.0114678899082568,0.0107843137254901,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Staples,30.0,4.0,3,7.596392304064196,1630.0,,8.825265953515752,7.85748078694253,8.750841375375533,7.81156848934518
CPB,1996Q1,1996,Q1,1,0,0,0,2217.0,1051.0,1166.0,616.0,514.0,516.0,435.0,384.0,258.0,21.0,279.0,6576.0,2733.0,6803.0,2584.0,0.0094722598105548,0.2318448353631033,0.4740640505187189,0.196211096075778,0.1163734776725304,20.0,26.0,20.0,22.0,,,,,,,,,0.0100502512562814,0.0159509202453987,0.0114678899082568,0.0107843137254901,,,,,,,,,0.0867647058823528,0.1168831168831168,0.1133474576271187,-0.0454545454545454,0.1415929203539823,0.1693548387096775,0.1034482758620689,0.063868613138686,0.0936170212765956,0.0769230769230768,-0.1216631812030999,0.0063052428526186,0.0244604481548587,0.0759963333187829,0.0277138287963727,0.1027667984189724,Consumer Staples,30.0,1.0,4,7.704361167910313,1990.0,2040.0,8.79133399330135,7.913521017283895,8.825265953515752,7.85748078694253
CPB,1996Q2,1996,Q2,0,1,0,0,1831.0,852.0,979.0,585.0,483.0,349.0,267.0,217.0,145.0,20.0,165.0,6494.0,2741.0,6576.0,2733.0,0.0109229929000546,0.263790278536319,0.4653194975423266,0.1458219552157291,0.0791916985253959,21.0,20.0,26.0,20.0,22.0,,,,,,,,0.0094722598105548,0.0100502512562814,0.0159509202453987,0.0114678899082568,0.0107843137254901,,,,,,,,0.0498853211009173,0.1417322834645669,0.1122715404699739,0.0,0.1294498381877022,0.1033057851239669,0.1421052631578947,0.0010224948875254,0.1052631578947369,0.1164122137404579,-0.0475150191152375,0.0527465578200008,0.0594219369632083,0.0508821896538493,0.0874828521912642,0.1224489795918366,Consumer Staples,30.0,2.0,5,7.513163545234075,2217.0,1744.0,8.7787879291047,7.91644286012226,8.79133399330135,7.913521017283895
CPB,1996Q3,1996,Q3,0,0,1,0,1640.0,759.0,881.0,511.0,403.0,333.0,248.0,269.0,181.0,23.0,204.0,6632.0,2742.0,6494.0,2741.0,0.0140243902439024,0.2457317073170731,0.4628048780487805,0.1512195121951219,0.1103658536585365,20.0,21.0,20.0,26.0,20.0,22.0,,,,,,,0.0109229929000546,0.0094722598105548,0.0100502512562814,0.0159509202453987,0.0114678899082568,0.0107843137254901,,,,,,,0.0061349693251533,0.2657342657342658,0.0483425414364639,-0.1153846153846154,0.0953947368421053,0.1272727272727272,0.3058252427184467,-0.0275938189845474,0.0228426395939085,0.0138888888888888,-0.1207786116322702,0.0166057942305311,0.0419502088667296,0.1203991130820398,0.2580163738700325,0.2071005917159762,Consumer Staples,30.0,3.0,6,7.403061091090091,1831.0,1630.0,8.799812469525556,7.916807490937603,8.7787879291047,7.91644286012226
CPB,1996Q4,1996,Q4,0,0,0,1,2052.0,1019.0,1033.0,576.0,479.0,522.0,443.0,160.0,88.0,18.0,106.0,7215.0,1648.0,6632.0,2742.0,0.0087719298245614,0.2334307992202729,0.496588693957115,0.2158869395711501,0.0428849902534113,23.0,20.0,21.0,20.0,26.0,20.0,22.0,,,,,,0.0140243902439024,0.0109229929000546,0.0094722598105548,0.0100502512562814,0.0159509202453987,0.0114678899082568,0.0107843137254901,,,,,,0.0311557788944722,-0.5981735159817352,0.1016216216216217,-0.0999999999999999,0.125,0.1476683937823835,-0.5107033639143731,-0.0300469483568075,0.0861678004535146,0.0686456400742114,-0.1271929824561404,0.0533498649622292,0.0683367578104421,0.1129922532295044,-0.6103144721265366,-0.5564853556485356,Consumer Staples,30.0,4.0,7,7.627057417018934,1640.0,1990.0,8.88405606174246,7.407924322559599,8.799812469525556,7.916807490937603
CPB,1997Q1,1997,Q1,1,0,0,0,2317.0,1171.0,1146.0,679.0,579.0,573.0,492.0,418.0,276.0,19.0,295.0,7005.0,1688.0,7215.0,1648.0,0.0082002589555459,0.2498921018558481,0.5053949072075961,0.2123435476909797,0.1191195511437203,18.0,23.0,20.0,21.0,20.0,26.0,20.0,22.0,,,,,0.0087719298245614,0.0140243902439024,0.0109229929000546,0.0094722598105548,0.0100502512562814,0.0159509202453987,0.0114678899082568,0.0107843137254901,,,,,0.0451059990978799,0.069767441860465,0.1141769743101808,-0.0952380952380952,0.1104651162790697,0.1310344827586207,0.0885416666666667,-0.0171526586620925,0.1264591439688716,0.1022727272727272,-0.1342869474073617,0.0778420035299907,0.0660899231962326,0.0822198740940276,0.0235970732001082,0.0573476702508961,Consumer Staples,30.0,1.0,8,7.748460023899697,2052.0,2217.0,8.854522203757432,7.4318919168078,8.88405606174246,7.407924322559599
CPB,1997Q2,1997,Q2,0,1,0,0,1541.0,822.0,719.0,525.0,419.0,356.0,297.0,215.0,157.0,16.0,173.0,6699.0,1552.0,7005.0,1688.0,0.0103828682673588,0.2719013627514601,0.5334198572355613,0.1927319922128488,0.1018818948734587,19.0,18.0,23.0,20.0,21.0,20.0,26.0,20.0,22.0,,,,0.0082002589555459,0.0087719298245614,0.0140243902439024,0.0109229929000546,0.0094722598105548,0.0100502512562814,0.0159509202453987,0.0114678899082568,0.0107843137254901,,,,-0.1583833970507919,0.0827586206896551,-0.0352112676056337,-0.1999999999999999,0.0200573065902578,0.1123595505617978,-0.0092165898617511,-0.2655771195097037,-0.1325051759834368,-0.1025641025641025,-0.0494484101232967,0.0307482302234438,0.1463518293407426,0.3216939241263152,0.2865224104365729,0.0484848484848485,Consumer Staples,30.0,2.0,9,7.340835554123275,2317.0,1831.0,8.809862805379057,7.347943823148687,8.854522203757432,7.4318919168078
CPB,1997Q3,1997,Q3,0,0,1,0,1725.0,813.0,912.0,502.0,402.0,389.0,311.0,290.0,192.0,22.0,214.0,6196.0,1420.0,6699.0,1552.0,0.0127536231884057,0.2330434782608695,0.4713043478260869,0.1802898550724637,0.1113043478260869,16.0,19.0,18.0,23.0,20.0,21.0,20.0,26.0,20.0,22.0,,,0.0103828682673588,0.0082002589555459,0.0087719298245614,0.0140243902439024,0.0109229929000546,0.0094722598105548,0.0100502512562814,0.0159509202453987,0.0114678899082568,0.0107843137254901,,,0.0518292682926828,0.0607734806629833,0.0711462450592885,-0.0434782608695651,0.1681681681681681,0.2540322580645162,0.0780669144981411,0.0351872871736662,-0.0024813895781637,-0.0176125244618395,-0.0906112161310649,-0.0516344805264861,0.0183651257375263,0.1922393641888733,0.0085034830650974,0.0490196078431373,Consumer Staples,30.0,3.0,10,7.453561871643373,1541.0,1640.0,8.731820582962108,7.259116128097101,8.809862805379057,7.347943823148687
