ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
CVS,1995Q2,1995,Q2,0,1,0,0,2770.2,954.4,1815.8,872.9,815.3,139.1,81.5,54.5,31.1,0.0,31.1,4851.5,2291.2,4913.2,2294.9,0.0,0.2943108800808606,0.3445238610930619,0.0294202584650927,0.0112266262363728,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,2.0,1,7.927035718368116,2492.0,,8.487249315043165,7.737267334062599,8.499884252293601,7.738880202483985
CVS,1995Q3,1995,Q3,0,0,1,0,2814.0,942.8,1871.2,922.8,859.9,83.0,20.0,-3.9,-2.5,0.0,-2.5,5254.8,2251.3,4851.5,2291.2,0.0,0.3055792466240227,0.3350390902629708,0.0071073205401563,-0.0008884150675195,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,3.0,2,7.942717540573791,2770.2,,8.56708750769008,7.719707195307333,8.487249315043165,7.737267334062599
CVS,1995Q4,1995,Q4,0,0,0,1,1612.9,443.1,1169.8,315.3,266.4,176.7,127.8,-802.6,-659.4,0.0,-659.4,3961.6,1549.1,5254.8,2251.3,0.0,0.1651683303366606,0.2747225494450989,0.0792361584723169,-0.4088288176576353,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,4.0,3,7.3864088890417765,2814.0,,8.284655654460158,7.346074723961249,8.56708750769008,7.719707195307333
CVS,1996Q1,1996,Q1,1,0,0,0,1744.7,544.5,1200.2,516.5,481.9,62.6,28.0,25.0,14.2,0.0,14.2,4050.5,1573.0,3961.6,1549.1,0.0,0.2762079440591505,0.3120880380581188,0.0160486043445864,0.0081389350604688,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,-0.2998796147672552,-1.5378787878787878,-0.3233503168882814,,1.6413502109704643,-1.7954545454545454,-1.5434782608695652,-0.28868606649677,-0.3829705505761844,-0.3850458387903321,,-0.1186809262542851,-0.0335238090706696,-2.136168239395155,-1.768266142829105,-1.5378787878787878,Healthcare,35.0,1.0,4,7.464910900330734,1612.9,2492.0,8.30684246190078,7.3613754289773485,8.284655654460158,7.346074723961249
CVS,1996Q2,1996,Q2,0,1,0,0,2674.7,755.0,1919.7,600.8,553.6,213.3,154.2,196.0,-39.3,0.0,-39.3,3403.9,1511.3,4050.5,1573.0,0.0,0.2069764833439264,0.2822746476240326,0.0576513253822858,-0.0146932366246681,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.0344740451952927,-2.263665594855305,-0.2089270746018441,,0.5334291876347952,0.8920245398773006,2.596330275229358,0.0572199581451702,-0.3209861400711393,-0.3117195555046397,,-0.2967419917093769,-0.1806818641574861,0.9595791604172796,-2.30878469767382,-2.263665594855305,Healthcare,35.0,2.0,5,7.8919663073402715,1744.7,2770.2,8.132970849576724,7.321386949756695,8.30684246190078,7.3613754289773485
CVS,1996Q3,1996,Q3,0,0,1,0,1356.3,374.1,982.2,319.2,299.6,74.5,54.9,76.1,63.7,0.0,63.7,3495.0,1558.4,3403.9,1511.3,0.0,0.2208950822089508,0.2758239327582393,0.0404777704047777,0.0469660104696601,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-0.5180170575692964,-26.48,-0.6032032244378447,,-0.1024096385542169,1.745,-20.51282051282051,-0.475096194955109,-0.6515873938830097,-0.6540962288686606,,-0.2771266875962465,-0.1767410407491667,4.695222295952224,-53.86494138464941,-26.48,Healthcare,35.0,3.0,6,7.2132527113039195,2674.7,2814.0,8.159374736775426,7.3520564108755,8.132970849576724,7.321386949756695
CVS,1996Q4,1996,Q4,0,0,0,1,1549.9,482.8,1067.1,393.6,319.1,163.7,89.2,107.2,60.1,0.0,60.1,5693.7,2196.4,3495.0,1558.4,0.0,0.2058842505968127,0.3115039679979353,0.0575521001354926,0.0387766952706626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-0.0390600781201562,-1.0911434637549289,0.0895960279846534,,-0.0735710243350311,-0.3020344287949921,-1.1335659107899327,-0.0877927850914687,0.1978228228228229,0.2483349191246431,,0.2465116658693666,0.1338856916810424,-0.2736636752070732,-1.0948482435578584,-1.0911434637549289,Healthcare,35.0,4.0,7,7.346590686565407,1356.3,1612.9,8.647291196706226,7.695030122266781,8.159374736775426,7.3520564108755
CVS,1997Q1,1997,Q1,1,0,0,0,3160.8,900.1,2260.7,708.0,654.5,245.6,192.1,148.2,82.7,0.0,82.7,2758.6,1312.5,5693.7,2196.4,0.0,0.2070678309288787,0.2847696785623893,0.0607757529739306,0.0261642622120982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.8116581647274603,4.823943661971832,0.6530762167125803,,2.92332268370607,5.860714285714286,4.928,0.8836027328778535,0.358165594521685,0.3707647628267183,,-0.2503190607561427,-0.0875341447423313,2.786980579057743,2.214703400101953,4.823943661971832,Healthcare,35.0,1.0,8,8.058896764662087,1549.9,1744.7,7.922841020671954,7.180450609125595,8.647291196706226,7.695030122266781
CVS,1997Q2,1997,Q2,0,1,0,0,3160.6,806.4,2354.2,700.7,645.9,160.5,105.7,-322.5,-230.5,0.0,-230.5,5310.9,2146.7,2758.6,1312.5,0.0,0.2043599316585458,0.2551414288426248,0.0334430171486426,-0.0729291906600012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1816652334841291,4.865139949109415,0.0680794701986755,,-0.2475386779184247,-0.3145265888456549,-2.645408163265306,0.2263374485596707,0.1667268786127167,0.166278295605859,,-0.012641782501603,-0.0961234705624258,-0.4199089625974413,3.963453085453064,4.865139949109415,Healthcare,35.0,2.0,9,8.05883350755355,3160.8,2674.7,8.577704865677866,7.672152781070249,7.922841020671954,7.180450609125595
CVS,1997Q3,1997,Q3,0,0,1,0,3328.7,905.6,2423.1,752.1,688.6,225.1,153.5,144.3,82.2,0.0,82.2,5357.4,2236.1,5310.9,2146.7,0.0,0.2068675458887854,0.2720581608435726,0.0461140985970499,0.0246943251119055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.4542505345425054,0.2904238618524333,1.420743116813686,,2.021476510067114,1.795992714025501,0.8961892247043366,1.4670128283445325,1.2983978638184244,1.356203007518797,,-0.0635031625869171,-0.013652810606422,0.1392450259959703,-0.4742085847837127,0.2904238618524333,Healthcare,35.0,3.0,10,8.110637488826043,3160.6,1356.3,8.58642070203994,7.712935663217859,8.577704865677866,7.672152781070249
