ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
DHR,1995Q2,1995,Q2,0,1,0,0,391.5,126.9,264.6,78.3,61.6,65.3,48.6,45.3,27.2,0.0,27.2,1221.3,528.7,1185.1,503.1,0.0,0.1573435504469987,0.3241379310344828,0.1241379310344827,0.0694763729246487,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,2.0,1,5.972536537222463,376.5,,7.108489608783217,6.272310808550481,7.07842589303523,6.222774661088585
DHR,1995Q3,1995,Q3,0,0,1,0,404.5,127.6,276.9,77.7,62.8,64.8,49.9,46.4,28.8,0.0,28.8,1508.1,554.3,1221.3,528.7,0.0,0.1552533992583436,0.3154511742892459,0.1233621755253399,0.0711990111248454,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,3.0,2,6.005120873555468,391.5,,7.319268725624505,6.319508508247561,7.108489608783217,6.272310808550481
DHR,1995Q4,1995,Q4,0,0,0,1,314.3,135.1,179.2,92.7,83.1,52.0,42.4,44.9,30.5,0.0,30.5,1486.0,586.3,1508.1,554.3,0.0,0.2643970728603245,0.4298440979955456,0.134902958956411,0.0970410435889277,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,4.0,3,5.7535245665510155,404.5,,7.304515946460155,6.375535762528473,7.319268725624505,6.319508508247561
DHR,1996Q1,1996,Q1,1,0,0,0,409.6,136.9,272.7,89.7,72.9,64.0,47.2,44.1,106.7,0.0,106.7,1503.5,679.8,1486.0,586.3,0.0,0.177978515625,0.334228515625,0.115234375,0.260498046875,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0879150066401062,3.894495412844036,0.1791559000861327,,0.1267605633802817,0.1949367088607596,0.2148760330578514,0.0472350230414746,0.2293423271500845,0.1710182767624022,,0.1299985013965008,0.0838676669492894,0.0983732199367088,3.498968561854931,3.894495412844036,Healthcare,35.0,1.0,4,6.017619504584833,314.3,376.5,7.3162158960701,6.523268577259164,7.304515946460155,6.375535762528473
DHR,1996Q2,1996,Q2,0,1,0,0,434.9,149.4,285.5,93.1,76.9,72.5,56.3,53.3,32.5,0.0,32.5,1521.5,718.8,1503.5,679.8,0.0,0.1768222579903426,0.3435272476431363,0.1294550471372729,0.0747298229478041,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.1108556832694762,0.1948529411764705,0.177304964539007,,0.1102603369065851,0.1584362139917694,0.1766004415011037,0.0789871504157218,0.2483766233766233,0.1890166028097062,,0.123797305247064,0.0598181044309524,0.0428323241613652,0.0756149148553422,0.1948529411764705,Healthcare,35.0,2.0,5,6.077412859244347,409.6,391.5,7.328108999584052,6.5789733956449306,7.3162158960701,6.523268577259164
DHR,1996Q3,1996,Q3,0,0,1,0,470.8,161.8,309.0,101.6,83.3,78.5,60.2,55.1,33.6,0.0,33.6,1792.7,750.7,1521.5,718.8,0.0,0.1769328802039082,0.3436703483432455,0.1278674596431605,0.0713678844519966,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1639060568603214,0.1666666666666667,0.2680250783699061,,0.2114197530864199,0.2064128256513027,0.1875,0.1159263271939328,0.3264331210191082,0.3075933075933075,,0.1396393318866382,0.0894565509783922,0.0365207900933557,0.0023718493344662,0.1666666666666667,Healthcare,35.0,3.0,6,6.1565551669735745,434.9,404.5,7.492035804554969,6.622337308183424,7.328108999584052,6.5789733956449306
DHR,1996Q4,1996,Q4,0,0,0,1,496.7,192.6,304.1,130.1,112.8,79.8,62.5,57.3,35.0,0.0,35.0,1765.1,800.3,1792.7,750.7,0.0,0.2270988524260117,0.387759210791222,0.12583048117576,0.0704650694584256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.5803372573973908,0.1475409836065573,0.4256106587712804,,0.5346153846153845,0.4740566037735849,0.2761692650334075,0.6969866071428574,0.3574007220216606,0.4034519956850053,,-0.1410689612816428,-0.0979073282629082,-0.0672518812844015,-0.2738632350562895,0.1475409836065573,Healthcare,35.0,4.0,7,6.209997485864508,470.8,314.3,7.476529004702325,6.686235408784025,7.492035804554969,6.622337308183424
DHR,1997Q1,1997,Q1,1,0,0,0,466.4,160.6,305.8,105.2,86.3,74.3,55.4,51.6,31.5,0.0,31.5,1794.7,817.5,1765.1,800.3,0.0,0.1850343053173241,0.3443396226415094,0.1187821612349914,0.0675385934819897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.1386718749999997,-0.7047797563261481,0.1731190650109568,,0.1609374999999999,0.173728813559322,0.1700680272108843,0.1213788045471215,0.1838134430727023,0.1727982162764771,,0.0396440529214812,0.0302520776768608,0.0307875686833154,-0.7407328220222775,-0.7047797563261481,Healthcare,35.0,1.0,8,6.147185422104758,496.7,409.6,7.493150197047852,6.7074733968111895,7.476529004702325,6.686235408784025
DHR,1997Q2,1997,Q2,0,1,0,0,502.8,177.6,325.2,111.7,92.3,85.3,65.9,62.7,38.3,0.0,38.3,1819.2,835.3,1794.7,817.5,0.0,0.1835719968178202,0.3532219570405728,0.131066030230708,0.0761734287987271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1561278454817201,0.1784615384615384,0.1887550200803212,,0.176551724137931,0.1705150976909415,0.176360225140713,0.1390542907180385,0.2002600780234069,0.1997851772287864,,0.038172450143953,0.028221078426674,0.0124443436471568,0.0193176672174284,0.1784615384615384,Healthcare,35.0,2.0,9,6.22217936391851,466.4,434.9,7.506701664143256,6.72898740038748,7.493150197047852,6.7074733968111895
DHR,1997Q3,1997,Q3,0,0,1,0,516.6,185.7,330.9,114.4,95.9,89.8,71.3,68.5,49.3,0.0,49.3,1914.8,870.4,1819.2,835.3,0.0,0.1856368563685637,0.359465737514518,0.138017808749516,0.0954316686024003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0972812234494477,0.4672619047619046,0.1477132262051914,,0.1439490445859872,0.1843853820598004,0.2431941923774954,0.0708737864077668,0.1512605042016808,0.1259842519685041,,0.0491936612043191,0.0459608728172749,0.0793817999879096,0.3371794517264899,0.4672619047619046,Healthcare,35.0,3.0,10,6.249202743186691,502.8,470.8,7.557890568948792,6.770101113683341,7.506701664143256,6.72898740038748
