ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
ES,1995Q2,1995,Q2,0,1,0,0,840.3,640.0,200.3,465.9,0.0,282.2,174.1,104.3,50.7,0.0,50.7,10518.5,2827.3,10544.0,2823.0,0.0,0.0,0.761632750208259,0.2071879090800904,0.0603355944305605,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,55.0,2.0,1,6.7349483145567675,944.7,,9.260985956645074,7.947431103426937,9.263407092912875,7.945909598613133
ES,1995Q3,1995,Q3,0,0,1,0,985.1,742.2,242.9,504.0,0.0,328.4,238.2,173.7,98.1,0.0,98.1,10507.7,2872.5,10518.5,2827.3,0.0,0.0,0.7534260481169425,0.2418028626535377,0.0995837985991269,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,55.0,3.0,2,6.893757769338284,840.3,,9.259958764498375,7.963286077947796,9.260985956645074,7.947431103426937
ES,1995Q4,1995,Q4,0,0,0,1,980.5,752.2,228.3,547.7,0.0,399.6,204.5,139.3,72.6,0.0,72.6,10559.4,2895.8,10507.7,2872.5,0.0,0.0,0.7671596124426313,0.2085670576236614,0.0740438551759306,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,55.0,4.0,3,6.889082013716516,985.1,,9.264866435330749,7.971361958451432,9.259958764498375,7.963286077947796
ES,1996Q1,1996,Q1,1,0,0,0,1028.2,716.5,311.7,523.4,0.0,288.3,193.1,133.2,73.9,0.0,73.9,10497.3,2918.7,10559.4,2895.8,0.0,0.0,0.6968488620890877,0.1878039291966543,0.07187317642482,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0883878479940722,-0.2639442231075697,0.0132937349738366,,-0.1276853252647503,-0.1848881384550443,-0.1971066907775769,0.3118686868686868,,0.113143343258188,,,-0.0689957290120758,-0.2510832760148612,-0.3237192254130725,-0.2639442231075697,Utilities,55.0,1.0,4,6.936537080407589,980.5,944.7,9.25896861827572,7.979236150258213,9.264866435330749,7.971361958451432
ES,1996Q2,1996,Q2,0,1,0,0,871.9,672.2,199.7,566.2,0.0,195.0,106.0,46.4,19.9,0.0,19.9,10543.4,2853.8,10497.3,2918.7,0.0,0.0,0.7709599724739077,0.1215735749512558,0.0228237183163206,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0376056170415328,-0.6074950690335306,0.0503124999999999,,-0.3090007087172218,-0.3911545089029293,-0.5551294343240651,-0.0029955067398902,,0.2152822494097448,,,0.0122463513591009,-0.4132207063093606,-0.6217205029348272,-0.6074950690335306,Utilities,55.0,2.0,5,6.771821001741304,1028.2,840.3,9.263350192289797,7.9567570670969126,9.25896861827572,7.979236150258213
ES,1996Q3,1996,Q3,0,0,1,0,955.5,647.4,308.1,566.6,0.0,172.0,80.8,24.2,9.7,0.0,9.7,10394.5,2826.8,10543.4,2853.8,0.0,0.0,0.6775510204081633,0.0845630559916274,0.0101517530088958,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-0.0300477108922951,-0.9011213047910296,-0.127728375101051,,-0.4762484774665042,-0.6607892527287993,-0.8606793321819228,0.268423219431865,,0.1242063492063492,,,-0.1007066690863895,-0.6502809972403352,-0.8980581866558275,-0.9011213047910296,Utilities,55.0,3.0,6,6.863280788880307,871.9,985.1,9.249128299183443,7.94725430315774,9.263350192289797,7.9567570670969126
ES,1996Q4,1996,Q4,0,0,0,1,936.5,616.3,320.2,656.3,0.0,98.9,-40.0,-98.2,-67.9,0.0,-67.9,10741.7,2689.3,10394.5,2826.8,0.0,0.0,0.6580886278697277,-0.0427122263747997,-0.0725040042712226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-0.0448750637429882,-1.935261707988981,-0.1806700345652753,,-0.7525025025025025,-1.19559902200489,-1.7049533381191673,0.4025405168637757,,0.1982837319700563,,,-0.1421750869100398,-1.2047889386821085,-1.979203528759419,-1.935261707988981,Utilities,55.0,4.0,7,6.843216757844566,955.5,980.5,9.281981733116059,7.8974079905410965,9.249128299183443,7.94725430315774
ES,1997Q1,1997,Q1,1,0,0,0,975.4,634.9,340.5,523.0,0.0,975.4,111.9,51.7,25.4,0.0,25.4,10669.5,2676.8,10741.7,2689.3,0.0,0.0,0.6509124461759278,0.1147221652655321,0.0260405987287266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.0513518770667186,-0.6562922868741543,-0.1138869504535938,,2.3832813041970167,-0.4205075090626617,-0.6118618618618619,0.0923965351299327,,-0.0007642338555597,,,-0.0659201993606574,-0.3891386311443806,-0.6376868252655377,-0.6562922868741543,Utilities,55.0,1.0,8,6.883872338518805,936.5,1028.2,9.275238203554025,7.892750840863279,9.281981733116059,7.8974079905410965
ES,1997Q2,1997,Q2,0,1,0,0,903.3,626.4,276.9,639.4,0.0,81.7,-13.0,-77.4,-56.5,0.0,-56.5,10454.3,2595.4,10669.5,2676.8,0.0,0.0,0.6934573231484557,-0.014391674969556,-0.0625484335215321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0360133042780135,-3.8391959798994977,-0.0681344837845879,,-0.581025641025641,-1.1226415094339623,-2.668103448275862,0.3865798698047069,,0.1292829388908511,,,-0.1005274619858102,-1.1183783151505278,-3.7405014667047194,-3.8391959798994977,Utilities,55.0,2.0,9,6.807161163746434,975.4,871.9,9.254864305855648,7.861881149159314,9.275238203554025,7.892750840863279
ES,1997Q3,1997,Q3,0,0,1,0,977.1,644.8,332.3,629.5,0.0,977.1,15.3,-58.1,-44.5,0.0,-44.5,10612.0,2543.2,10454.3,2595.4,0.0,0.0,0.6599119844437621,0.0156585815167331,-0.0455429331695834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0226059654631083,-5.587628865979382,-0.0040160642570281,,4.680813953488372,-0.8106435643564356,-3.400826446280992,0.0785459266471924,,0.1110130603600423,,,-0.0260335169354114,-0.814829521791602,-5.4862136745914425,-5.587628865979382,Utilities,55.0,3.0,10,6.885611914296447,903.3,955.5,9.269834943761822,7.8415715377221105,9.254864305855648,7.861881149159314
