ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
GD,1995Q2,1995,Q2,0,1,0,0,703.0,85.0,618.0,9.0,0.0,85.0,76.0,93.0,82.0,0.0,82.0,2700.0,1411.0,2663.0,1353.0,0.0,0.0,0.1209103840682788,0.1081081081081081,0.1166429587482219,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,2.0,1,6.556778356158042,753.0,,7.901377353792616,7.252762418053187,7.88758403166028,7.21081845347222
GD,1995Q3,1995,Q3,0,0,1,0,718.0,86.0,632.0,9.0,0.0,86.0,77.0,93.0,91.0,0.0,91.0,3117.0,1480.0,2700.0,1411.0,0.0,0.0,0.1197771587743732,0.107242339832869,0.1267409470752089,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,3.0,2,6.577861357721047,703.0,,8.044947049617722,7.300472814267799,7.901377353792616,7.252762418053187
GD,1995Q4,1995,Q4,0,0,0,1,893.0,95.0,798.0,12.0,0.0,95.0,83.0,97.0,88.0,0.0,88.0,3164.0,1567.0,3117.0,1480.0,0.0,0.0,0.1063829787234042,0.0929451287793953,0.0985442329227323,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,4.0,3,6.795705775173514,718.0,,8.059908334578276,7.357556200910353,8.044947049617722,7.300472814267799
GD,1996Q1,1996,Q1,1,0,0,0,893.0,96.0,797.0,13.0,0.0,96.0,83.0,98.0,65.0,0.0,65.0,3222.0,1601.0,3164.0,1567.0,0.0,0.0,0.1075027995520716,0.0929451287793953,0.0727883538633818,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.1859229747675963,0.0833333333333332,0.1034482758620689,,0.1034482758620689,0.0506329113924051,0.0652173913043479,0.1966966966966967,,0.625,,,-0.0695447349113796,-0.1140799750520928,-0.0865061590145577,0.0833333333333332,Industrials,20.0,1.0,4,6.795705775173514,893.0,753.0,8.078067881815437,7.379008127628304,8.059908334578276,7.357556200910353
GD,1996Q2,1996,Q2,0,1,0,0,930.0,105.0,825.0,16.0,0.0,105.0,89.0,102.0,67.0,0.0,67.0,3258.0,1641.0,3222.0,1601.0,0.0,0.0,0.1129032258064516,0.0956989247311828,0.0720430107526881,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.3229018492176387,-0.1829268292682927,0.2352941176470588,,0.2352941176470588,0.1710526315789473,0.096774193548387,0.3349514563106797,,0.7777777777777777,,,-0.0662239089184061,-0.1147849462365591,-0.3823629687909783,-0.1829268292682927,Industrials,20.0,2.0,5,6.836259277277067,893.0,703.0,8.089175678837561,7.403670290012373,8.078067881815437,7.379008127628304
GD,1996Q3,1996,Q3,0,0,1,0,862.0,109.0,753.0,20.0,0.0,109.0,89.0,103.0,68.0,0.0,68.0,3265.0,1665.0,3258.0,1641.0,0.0,0.0,0.1264501160092807,0.1032482598607888,0.0788863109048723,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.2005571030640669,-0.2527472527472527,0.2674418604651163,,0.2674418604651163,0.1558441558441559,0.10752688172043,0.1914556962025315,,1.2222222222222223,,,0.0557114336588788,-0.0372434989604363,-0.3775783381351827,-0.2527472527472527,Industrials,20.0,3.0,6,6.760414691083428,930.0,718.0,8.09132127353041,7.418180822726788,8.089175678837561,7.403670290012373
GD,1996Q4,1996,Q4,0,0,0,1,896.0,110.0,786.0,18.0,0.0,110.0,92.0,106.0,70.0,0.0,70.0,3299.0,1714.0,3265.0,1665.0,0.0,0.0,0.1227678571428571,0.1026785714285714,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0033594624860022,-0.2045454545454545,0.1578947368421053,,0.1578947368421053,0.108433734939759,0.092783505154639,-0.0150375939849624,,0.5,,,0.1540178571428569,0.1047224612736659,-0.2072088068181817,-0.2045454545454545,Industrials,20.0,4.0,7,6.799055862058796,862.0,893.0,8.101677747454572,7.44716835960004,8.09132127353041,7.418180822726788
GD,1997Q1,1997,Q1,1,0,0,0,941.0,123.0,818.0,21.0,0.0,123.0,102.0,108.0,71.0,0.0,71.0,3444.0,1744.0,3299.0,1714.0,0.0,0.0,0.130712008501594,0.1083953241232731,0.0754516471838469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0537513997760359,0.0923076923076922,0.28125,,0.28125,0.2289156626506023,0.1020408163265305,0.0263488080301128,,0.6153846153846154,,,0.2158939957492032,0.1662292101455769,0.0365895528488515,0.0923076923076922,Industrials,20.0,1.0,8,6.848005274576363,896.0,893.0,8.144679183447758,7.4645098346365275,8.101677747454572,7.44716835960004
GD,1997Q2,1997,Q2,0,1,0,0,1032.0,136.0,896.0,22.0,0.0,136.0,114.0,122.0,80.0,0.0,80.0,3391.0,1792.0,3444.0,1744.0,0.0,0.0,0.1317829457364341,0.1104651162790697,0.0775193798449612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1096774193548386,0.1940298507462685,0.2952380952380953,,0.2952380952380953,0.2808988764044944,0.196078431372549,0.0860606060606061,,0.375,,,0.1672203765227022,0.1542984060621897,0.0760152724748353,0.1940298507462685,Industrials,20.0,2.0,9,6.940222469119639,941.0,930.0,8.129174996911793,7.491645473605133,8.144679183447758,7.4645098346365275
GD,1997Q3,1997,Q3,0,0,1,0,988.0,134.0,854.0,21.0,0.0,134.0,113.0,123.0,82.0,0.0,82.0,3492.0,1856.0,3391.0,1792.0,0.0,0.0,0.1356275303643724,0.1143724696356275,0.082995951417004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1461716937354988,0.2058823529411764,0.2293577981651375,,0.2293577981651375,0.2696629213483146,0.1941747572815533,0.1341301460823374,,0.05,,,0.0725773502210005,0.1077423463585496,0.0520957370802572,0.2058823529411764,Industrials,20.0,3.0,10,6.8966943316227125,1032.0,862.0,8.158516244806831,7.526717561352706,8.129174996911793,7.491645473605133
