ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
GL,1995Q2,1995,Q2,0,1,0,0,530.5,530.5,0.0,-404.1,0.0,0.0,474.3,272.1,70.0,0.0,70.0,9065.4,1534.7,8707.4,1386.2,0.0,0.0,1.0,0.894062205466541,0.1319509896324222,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,2.0,1,6.275703197782002,532.1,,9.112330551418738,7.336741582131647,9.072043356072092,7.235042606026277
GL,1995Q3,1995,Q3,0,0,1,0,514.4,514.4,0.0,-400.8,0.0,0.0,459.4,244.0,60.9,0.0,60.9,9279.2,1594.1,9065.4,1534.7,0.0,0.0,1.0,0.8930793157076206,0.1183903576982892,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,3.0,2,6.244943298218264,530.5,,9.13563837727215,7.3746917091784026,9.112330551418738,7.336741582131647
GL,1995Q4,1995,Q4,0,0,0,1,490.382,490.382,0.0,-474.614,0.0,0.0,-977.325,428.175,-56.365,0.0,-56.365,9364.104,1588.952,9279.2,1594.1,0.0,0.0,1.0,-1.992987099852768,-0.114941005175557,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,4.0,3,6.1972218293795525,514.4,,9.144745719995385,7.371459106079344,9.13563837727215,7.3746917091784026
GL,1996Q1,1996,Q1,1,0,0,0,553.863,553.863,0.0,-414.302,0.0,0.0,498.207,291.236,76.274,0.0,76.274,9359.801,1546.446,9364.104,1588.952,0.0,0.0,1.0,0.8995130564778654,0.1377127556814591,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0409002067280586,0.111525626266012,0.0409002067280586,,,1.4114802660238723,0.0907715355805243,,,0.0194438976377953,,,0.0,1.316725705727413,0.0678503271317003,0.111525626266012,Financial ,40.0,1.0,4,6.318721236427891,490.382,532.1,9.144286142733218,7.344361108957984,9.144745719995385,7.371459106079344
GL,1996Q2,1996,Q2,0,1,0,0,555.643,555.643,0.0,-412.986,0.0,0.0,501.934,294.766,79.039,0.0,79.039,9413.366,1562.907,9359.801,1546.446,0.0,0.0,1.0,0.9033390144391272,0.1422478101946753,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0473949104618285,0.1291285714285714,0.0473949104618285,,,0.0582627029306346,0.0833002572583609,,,0.0219896065330362,,,0.0,0.0103760218426249,0.0780351901182183,0.1291285714285714,Financial ,40.0,2.0,5,6.321924100868844,553.863,530.5,9.14999209947176,7.354942456421666,9.144286142733218,7.344361108957984
GL,1996Q3,1996,Q3,0,0,1,0,554.739,554.739,0.0,-417.409,0.0,0.0,502.184,289.484,73.693,0.0,73.693,9598.084,1576.857,9413.366,1562.907,0.0,0.0,1.0,0.905261753725626,0.1328426521301008,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0784195178849145,0.2100656814449917,0.0784195178849145,,,0.0931301697866784,0.1864098360655737,,,0.041439620758483,,,0.0,0.0136409362569915,0.1220732390102437,0.2100656814449917,Financial ,40.0,3.0,6,6.320298759575996,555.643,514.4,9.1694229562368,7.363822876260195,9.14999209947176,7.354942456421666
GL,1996Q4,1996,Q4,0,0,0,1,541.565,541.565,0.0,-395.508,0.0,0.0,-1007.193,495.132,82.366,0.0,82.366,9800.8,1629.343,9598.084,1576.857,0.0,0.0,1.0,-1.8597822976004723,0.1520888536002141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.1043737331304983,-2.461296904107159,0.1043737331304983,,,0.030560969994628,0.1563776493256261,,,-0.1666743922429595,,,0.0,-0.0668367608912952,-2.3231905651766205,-2.461296904107159,Financial ,40.0,4.0,7,6.296307893905493,554.739,490.382,9.190321321262145,7.39654570111149,9.1694229562368,7.363822876260195
GL,1997Q1,1997,Q1,1,0,0,0,560.552,560.552,0.0,-421.894,0.0,0.0,506.696,283.52,77.328,0.0,77.328,9993.175,1637.981,9800.8,1629.343,0.0,0.0,1.0,0.9039232756283092,0.137949735260957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0120769937692173,0.013818601358261,0.0120769937692173,,,0.0170391022205629,-0.0264939773929047,,,0.0183247968872948,,,0.0,0.0049028962044337,0.0017208251938991,0.013818601358261,Financial ,40.0,1.0,8,6.330704378973356,541.565,553.863,9.209757702257146,7.401829986242226,9.190321321262145,7.39654570111149
GL,1997Q2,1997,Q2,0,1,0,0,558.399,558.399,0.0,-424.101,0.0,0.0,505.581,272.81,74.59,0.0,74.59,10381.734,1709.693,9993.175,1637.981,0.0,0.0,1.0,0.9054117217258628,0.1335783194454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0049600192929633,-0.0562886676197825,0.0049600192929633,,,0.0072658955161435,-0.0744862026149556,,,0.0269137452601297,,,0.0,0.0022944954813253,-0.0609463916344027,-0.0562886676197825,Financial ,40.0,2.0,9,6.3268629931366585,560.552,555.643,9.247899513175325,7.444653830557667,9.209757702257146,7.401829986242226
GL,1997Q3,1997,Q3,0,0,1,0,588.56,588.56,0.0,-427.143,0.0,0.0,197.8,329.75,93.0,0.0,93.0,10684.671,1831.765,10381.734,1709.693,0.0,0.0,1.0,0.3360744868832405,0.1580127769471252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0609674098990695,0.2619923194876039,0.0609674098990695,,,-0.6061204658053622,0.1390957704052728,,,0.0233200529935866,,,0.0,-0.6287543514346894,0.1894732182279361,0.2619923194876039,Financial ,40.0,3.0,10,6.3793764959685575,558.399,554.739,9.276658964096912,7.51358103449252,9.247899513175325,7.444653830557667
