ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
GWW,1995Q2,1995,Q2,0,1,0,0,813.5,305.2,508.3,237.9,219.1,86.1,67.3,66.0,39.5,0.0,39.5,1680.6,1098.5,1572.5,1069.9,0.0,0.2693300553165335,0.3751690227412415,0.0827289489858635,0.0485556238475722,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,2.0,1,6.7025744280421,806.8,,7.427501000122686,7.002610809994816,7.361057716504462,6.97625469540683
GWW,1995Q3,1995,Q3,0,0,1,0,850.0,317.5,532.5,233.4,216.9,100.6,84.1,82.1,49.1,0.0,49.1,1694.6,1136.2,1680.6,1098.5,0.0,0.2551764705882353,0.3735294117647059,0.0989411764705882,0.0577647058823529,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,3.0,2,6.7464121285733745,813.5,,7.435791939478482,7.036324379776845,7.427501000122686,7.002610809994816
GWW,1995Q4,1995,Q4,0,0,0,1,806.6,318.7,487.9,232.1,215.6,103.1,86.6,85.6,51.2,0.0,51.2,1669.2,1179.1,1694.6,1136.2,0.0,0.2672948177535333,0.3951152987850235,0.1073642449789238,0.0634763203570543,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,4.0,3,6.694066886438683,850.0,,7.420698658719129,7.073354459631703,7.435791939478482,7.036324379776845
GWW,1996Q1,1996,Q1,1,0,0,0,842.6,320.2,522.4,236.3,216.5,103.7,83.9,83.8,50.1,0.0,50.1,1674.5,1219.0,1669.2,1179.1,0.0,0.256942796107287,0.3800142416330405,0.0995727510087823,0.0594588179444576,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0443728309370352,0.0682302771855012,0.0302445302445302,,0.0657759506680371,0.0728900255754476,0.068877551020408,0.0532258064516129,0.0140515222482435,0.0159071367153913,,-0.0290330309163505,-0.0135280239718884,0.0273055692312735,0.0228438020807764,0.0682302771855012,Industrials,20.0,1.0,4,6.73767844860462,806.6,806.8,7.4238669071773655,7.106606137727303,7.420698658719129,7.073354459631703
GWW,1996Q2,1996,Q2,0,1,0,0,888.6,328.0,560.6,245.6,227.2,100.8,82.4,82.8,49.5,0.0,49.5,1745.3,1256.8,1674.5,1219.0,0.0,0.2556830970065271,0.3691199639882961,0.0927301372946207,0.0557056043214044,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0923171481253841,0.2531645569620253,0.0747051114023591,,0.1707317073170733,0.224368499257058,0.2545454545454544,0.1028919929175684,0.0369694203560018,0.0323665405632618,,-0.0506700163632597,-0.0161235560141581,0.1208910355003565,0.1472533953281651,0.2531645569620253,Industrials,20.0,2.0,5,6.790771923496318,842.6,813.5,7.465254542945799,7.137119442109403,7.4238669071773655,7.106606137727303
GWW,1996Q3,1996,Q3,0,0,1,0,901.9,336.7,565.2,250.8,233.7,103.0,85.9,87.4,52.3,0.0,52.3,1774.1,1295.7,1745.3,1256.8,0.0,0.2591196363233174,0.3733229848098459,0.0952433750970174,0.0579886905421887,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0610588235294118,0.0651731160896129,0.0604724409448818,,0.0238568588469185,0.0214030915576695,0.0645554202192448,0.0614084507042254,0.0774550484094052,0.0745501285347043,,0.0154527011287219,-0.0005526390917511,-0.0373737356425112,0.0038775348444075,0.0651731160896129,Industrials,20.0,3.0,6,6.805611805313434,888.6,850.0,7.481612038350758,7.167577854554839,7.465254542945799,7.137119442109403
GWW,1996Q4,1996,Q4,0,0,0,1,904.1,356.6,547.5,263.3,244.3,112.3,93.3,94.9,56.6,0.0,56.6,2119.0,1462.7,1774.1,1295.7,0.0,0.2702134719610662,0.3944253954208605,0.1031965490543081,0.062603694281606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.1208777584924374,0.10546875,0.1189206149984312,,0.0892337536372454,0.0773672055427252,0.1086448598130842,0.1221561795449888,0.1331168831168832,0.1344248168892718,,0.0109192322996107,-0.0017460811218509,-0.0388182855980951,-0.0137472693839177,0.10546875,Industrials,20.0,4.0,7,6.808045434833125,901.9,806.6,7.659171367666058,7.288722755489901,7.481612038350758,7.167577854554839
GWW,1997Q1,1997,Q1,1,0,0,0,985.6,374.2,611.4,282.2,261.3,112.9,92.0,91.8,54.6,0.0,54.6,2065.3,1406.7,2119.0,1462.7,0.0,0.2651176948051948,0.3796672077922077,0.0933441558441558,0.0553977272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.1697127937336815,0.089820359281437,0.1686445971267958,,0.0887174541947926,0.0965435041716329,0.0954653937947493,0.1703675344563553,0.2069284064665126,0.1942446043165466,,0.0318160260640052,-0.0009132127241902,-0.0625532096032693,-0.0683008982035928,0.089820359281437,Industrials,20.0,1.0,8,6.8942646887996375,904.1,842.6,7.633514847269559,7.24971244583392,7.659171367666058,7.288722755489901
GWW,1997Q2,1997,Q2,0,1,0,0,1051.2,391.0,660.2,293.0,273.0,118.6,98.0,96.8,57.6,0.0,57.6,1993.7,1282.5,2065.3,1406.7,0.0,0.2597031963470319,0.3719558599695586,0.0932267884322678,0.0547945205479452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1829844699527347,0.1636363636363635,0.1920731707317073,,0.1765873015873016,0.1893203883495144,0.1690821256038648,0.1776667855868712,0.2015845070422535,0.1929967426710097,,0.015722976557978,0.0076828572224079,0.005355876224675,-0.0163553341635533,0.1636363636363635,Industrials,20.0,2.0,9,6.958638489296707,985.6,888.6,7.598248942076519,7.157346000311195,7.633514847269559,7.24971244583392
GWW,1997Q3,1997,Q3,0,0,1,0,1066.9,392.6,674.3,296.8,277.3,115.3,95.8,94.9,56.5,0.0,56.5,2008.6,1322.1,1993.7,1282.5,0.0,0.2599118942731277,0.3679820039366388,0.0897928578123535,0.0529571656200206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1829471116531766,0.0803059273422561,0.1660231660231661,,0.1194174757281554,0.1152502910360884,0.0858123569794049,0.1930290162774237,0.186563970902867,0.1834130781499201,,0.0030574986946252,-0.0143065953357452,-0.0572272588945093,-0.0867673485144054,0.0803059273422561,Industrials,20.0,3.0,10,6.9734493821775,1051.2,901.9,7.60569097627388,7.187732747048365,7.598248942076519,7.157346000311195
