ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
IBM,1995Q2,1995,Q2,0,1,0,0,17531.0,7631.0,9900.0,4857.0,3883.0,4076.0,2774.0,2824.0,1716.0,974.0,2690.0,81601.0,24846.0,80880.0,24086.0,0.0555587245450915,0.221493354628943,0.4352860646854144,0.1582339855113798,0.0978837487878615,913.0,,,,,,,,,,,,0.0580235144582141,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Technology,45.0,2.0,1,9.7717830615387,15735.0,,11.30960905045576,10.120492299890929,11.300734217613963,10.089427554852794
IBM,1995Q3,1995,Q3,0,0,1,0,16754.0,6921.0,9833.0,4893.0,3858.0,3348.0,2028.0,237.0,-538.0,1035.0,497.0,77502.0,21664.0,81601.0,24846.0,0.0617762922287215,0.2302733675540169,0.4130953802077116,0.1210457204249731,-0.0321117345111615,974.0,913.0,,,,,,,,,,,0.0555587245450915,0.0580235144582141,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Technology,45.0,3.0,2,9.726452000171411,17531.0,,11.258071924269657,9.98345333417401,11.30960905045576,10.120492299890929
IBM,1995Q4,1995,Q4,0,0,0,1,21920.0,9151.0,12769.0,8480.0,5392.0,3148.0,671.0,2568.0,1711.0,3088.0,4799.0,80292.0,22423.0,77502.0,21664.0,0.13938599690680817,0.245985401459854,0.4174726277372262,0.0306113138686131,0.0780565693430657,1035.0,974.0,913.0,,,,,,,,,,0.0617762922287215,0.0555587245450915,0.0580235144582141,,,,,,,,,,,,,,,,,,,,,,,,,,Information Technology,45.0,4.0,3,9.995200360459327,16754.0,,11.293437723034186,10.017887092844624,11.258071924269657,9.98345333417401
IBM,1996Q1,1996,Q1,1,0,0,0,16559.0,6769.0,9790.0,4788.0,3697.0,3195.0,1981.0,1547.0,774.0,1091.0,1865.0,77766.0,21820.0,80292.0,22423.0,0.065885621112386,0.2232622742919258,0.4087807234736397,0.1196328280693278,0.0467419530164865,3088.0,1035.0,974.0,913.0,,,,,,,,,0.13938599690680817,0.0617762922287215,0.0555587245450915,0.0580235144582141,,,,,,,,,0.0523673339688592,-0.3995345228859581,0.0157563025210083,0.1949616648411829,-0.1045403587443946,-0.0646836638338055,-0.2916666666666666,0.0792635872560907,0.0176162950729423,0.0532336119665639,0.1354986289193798,-0.0330217764978109,-0.0347892131065845,-0.1112263693716365,-0.4294145611214778,-0.1530426884650317,Information Technology,45.0,1.0,4,9.71474542793925,21920.0,15735.0,11.261472455658843,9.990628087851128,11.293437723034186,10.017887092844624
IBM,1996Q2,1996,Q2,0,1,0,0,18183.0,7191.0,10992.0,5005.0,3889.0,3484.0,2186.0,2174.0,1347.0,1116.0,2463.0,77474.0,21528.0,77766.0,21820.0,0.0613760105593136,0.2138810977286476,0.3954792938459,0.1202221855579387,0.0740801847879887,1091.0,3088.0,1035.0,974.0,913.0,,,,,,,,0.065885621112386,0.13938599690680817,0.0617762922287215,0.0555587245450915,0.0580235144582141,,,,,,,,0.0371912611944555,-0.215034965034965,-0.0576595465862928,0.1457905544147844,-0.1452404317958783,-0.2119682768565248,-0.230169971671388,0.1103030303030303,0.001545197012619,0.0304714844554252,0.1047051756830879,-0.0343678794022864,-0.0914496788871087,-0.2402252577446921,-0.2431819816327324,-0.0843866171003717,Information Technology,45.0,2.0,5,9.808297365532379,16559.0,17531.0,11.25771058265595,9.977156142461329,11.261472455658843,9.990628087851128
IBM,1996Q3,1996,Q3,0,0,1,0,18062.0,7258.0,10804.0,5290.0,4175.0,3164.0,1968.0,1979.0,1285.0,1115.0,2400.0,77996.0,21368.0,77474.0,21528.0,0.0617318126453327,0.2311482670800576,0.4018381131657624,0.108958033440372,0.0711438378917063,1116.0,1091.0,3088.0,1035.0,974.0,913.0,,,,,,,0.0613760105593136,0.065885621112386,0.13938599690680817,0.0617762922287215,0.0555587245450915,0.0580235144582141,,,,,,,0.0780709084397754,-3.388475836431226,0.0486923854934258,0.077294685990338,-0.054958183990442,-0.029585798816568,7.3502109704641345,0.0987491101393267,0.0821669258683255,0.0811363171878194,-0.0007200105701402,0.0037993951942159,-0.0272510117065187,-0.0998605067751511,-3.215509033527227,3.8289738430583498,Information Technology,45.0,3.0,6,9.801620926132557,18183.0,16754.0,11.264425643393603,9.969696552646463,11.25771058265595,9.977156142461329
IBM,1996Q4,1996,Q4,0,0,0,1,21519.0,9321.0,12198.0,6860.0,5093.0,4472.0,2461.0,2887.0,2023.0,1767.0,3790.0,81132.0,21628.0,77996.0,21368.0,0.0821134811097169,0.2366745666620196,0.4331520981458246,0.114364050374088,0.0940099447000325,1115.0,1116.0,1091.0,3088.0,1035.0,974.0,913.0,,,,,,0.0617318126453327,0.0613760105593136,0.065885621112386,0.13938599690680817,0.0617762922287215,0.0555587245450915,0.0580235144582141,,,,,,-0.0182937956204379,0.1823495032144944,0.0185772046770844,-0.4277849740932642,0.4205844980940278,2.6676602086438157,0.124221183800623,-0.0447176756206437,-0.0554525222551929,-0.1910377358490566,-0.4171219216564131,-0.0378511681692377,0.0375580801394903,2.7360059377049324,0.2043822254966179,-0.2102521358616378,Information Technology,45.0,4.0,7,9.976738014275721,18062.0,21920.0,11.30384506239558,9.981790285793302,11.264425643393603,9.969696552646463
IBM,1997Q1,1997,Q1,1,0,0,0,17308.0,6592.0,10716.0,4753.0,3684.0,3035.0,1839.0,1852.0,1195.0,1069.0,2264.0,76527.0,19951.0,81132.0,21628.0,0.0617633464293968,0.212849549341345,0.3808643401895077,0.1062514444187658,0.0690432170094753,1767.0,1115.0,1116.0,1091.0,3088.0,1035.0,974.0,913.0,,,,,0.0821134811097169,0.0617318126453327,0.0613760105593136,0.065885621112386,0.13945372033871498,0.0617762922287215,0.0555587245450915,0.0580235144582141,,,,,0.0452322000120779,0.5439276485788114,-0.0261486187029102,-0.0201649862511457,-0.0500782472613458,-0.071680969207471,0.1971557853910794,0.0945863125638406,-0.0035163646199621,-0.0073099415204678,-0.0625671370078992,-0.0466389809187631,-0.0682918290444586,-0.1118537768145662,0.4771145096381173,0.213941018766756,Information Technology,45.0,1.0,8,9.758981876426398,21519.0,16559.0,11.245411965920079,9.901084667919818,11.30384506239558,9.981790285793302
IBM,1997Q2,1997,Q2,0,1,0,0,18872.0,7401.0,11471.0,5179.0,3958.0,3435.0,2222.0,2180.0,1446.0,1221.0,2667.0,78819.0,20109.0,76527.0,19951.0,0.0646990250105977,0.2097286986011021,0.3921682916490038,0.1177405680373039,0.0766214497668503,1069.0,1767.0,1115.0,1116.0,1091.0,3088.0,1035.0,974.0,913.0,,,,0.0617633464293968,0.0821134811097169,0.0617318126453327,0.0613760105593136,0.065885621112386,0.13952144377062187,0.0617762922287215,0.0555587245450915,0.0580235144582141,,,,0.0378925369850959,0.0734966592427617,0.029203170629954,0.0940860215053762,-0.0140642939150401,0.0164684354986275,0.0027598896044158,0.0435771470160115,0.0177423502185651,0.0347652347652347,0.0541419101861093,-0.0194145213001181,-0.0083721252880216,-0.0206419265222792,0.0343042472981738,0.0828258221680877,Information Technology,45.0,2.0,9,9.84548760823814,17308.0,18183.0,11.274922050748994,9.908972482766698,11.245411965920079,9.901084667919818
IBM,1997Q3,1997,Q3,0,0,1,0,18605.0,7098.0,11507.0,5094.0,3932.0,3181.0,2004.0,1983.0,1359.0,1162.0,2521.0,78293.0,19756.0,78819.0,20109.0,0.0624563289438323,0.2113410373555495,0.3815103466809997,0.1077129803816178,0.0730448804084923,1221.0,1069.0,1767.0,1115.0,1116.0,1091.0,3088.0,1035.0,974.0,913.0,,,0.0646990250105977,0.0617633464293968,0.0821134811097169,0.0617318126453327,0.0613760105593136,0.065885621112386,0.13792454884931765,0.0617762922287215,0.0555587245450915,0.0580235144582141,,,0.030063115934005,0.0575875486381323,-0.0220446403968035,0.042152466367713,0.0053729456384323,0.0182926829268292,0.0020212228398179,0.0650684931506848,-0.0582035928143712,-0.0370510396975425,0.0117365142452905,-0.0856905828225302,-0.0505869548426264,-0.0114269046479769,0.0267211127923647,0.0504166666666667,Information Technology,45.0,3.0,10,9.831239388328504,18872.0,18062.0,11.268226250690303,9.891263137913406,11.274922050748994,9.908972482766698
