ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
IFF,1995Q2,1995,Q2,0,1,0,0,394.3,207.1,187.2,89.0,78.3,128.8,118.1,120.0,75.7,0.0,75.7,1535.2,1119.2,1519.6,1095.3,0.0,0.1985797616028404,0.5252345929495308,0.2995181334009637,0.1919857976160284,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,15.0,2.0,1,5.9796449703026395,373.6,,7.337067113564582,7.021262519775732,7.326860272794336,6.999696152680494
IFF,1995Q3,1995,Q3,0,0,1,0,360.1,184.1,176.0,86.1,75.4,108.7,98.0,99.6,63.3,0.0,63.3,1517.1,1120.4,1535.2,1119.2,0.0,0.2093862815884476,0.5112468758678145,0.2721466259372396,0.1757845043043598,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,15.0,3.0,2,5.889154928283412,394.3,,7.325214831938669,7.022333183689573,7.337067113564582,7.021262519775732
IFF,1995Q4,1995,Q4,0,0,0,1,311.5,149.5,162.0,88.7,79.1,70.4,60.8,62.9,39.8,0.0,39.8,1534.3,1116.6,1517.1,1120.4,0.0,0.2539325842696629,0.4799357945425361,0.1951845906902086,0.12776886035313,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,15.0,4.0,3,5.744604469176457,360.1,,7.3364810806648535,7.018938807942752,7.325214831938669,7.022333183689573
IFF,1996Q1,1996,Q1,1,0,0,0,382.8,190.4,192.4,89.9,78.2,112.2,100.5,104.3,66.2,0.0,66.2,1545.0,1131.3,1534.3,1116.6,0.0,0.2042842215256008,0.4973876698014629,0.262539184952978,0.1729362591431557,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0246252676659528,-0.0542857142857142,-0.0109090909090908,,-0.0393835616438356,-0.0616246498599439,-0.0612061206120612,0.0623964660408615,0.0330250990752971,0.0526932084309132,,0.0081979545834143,-0.0346803457775243,-0.0841770354954937,-0.0770144797731005,-0.0542857142857142,Materials,15.0,1.0,4,5.950121583573599,311.5,373.6,7.343426229147367,7.032006241319994,7.3364810806648535,7.018938807942752
IFF,1996Q2,1996,Q2,0,1,0,0,374.4,184.0,190.4,89.9,78.5,105.5,94.1,46.4,29.7,0.0,29.7,1547.7,1113.3,1545.0,1131.3,0.0,0.2096688034188034,0.4914529914529915,0.2513354700854701,0.079326923076923,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.0504691858990616,-0.607661822985469,-0.1115403186866248,,-0.1809006211180125,-0.2032176121930567,-0.6133333333333333,0.0170940170940172,0.0025542784163474,0.0101123595505618,,0.0558417520821736,-0.0643171678903208,-0.1608672662599419,-0.5868083782135962,-0.607661822985469,Materials,15.0,2.0,5,5.927992124152408,382.8,394.3,7.3451711483221285,7.015981684053008,7.343426229147367,7.032006241319994
IFF,1996Q3,1996,Q3,0,0,1,0,354.9,172.7,182.2,90.7,79.1,93.6,82.0,83.6,53.1,0.0,53.1,1534.1,1101.6,1547.7,1113.3,0.0,0.2228796844181459,0.4866159481544096,0.2310510002817695,0.1496196111580727,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-0.0144404332129964,-0.1611374407582937,-0.0619228680065182,,-0.1389144434222632,-0.1632653061224489,-0.1606425702811245,0.0352272727272726,0.0490716180371351,0.0534262485481997,,0.064442630755628,-0.0481781481238298,-0.151005457127906,-0.1488464142492577,-0.1611374407582937,Materials,15.0,3.0,6,5.874649792516147,374.4,360.1,7.336350804479156,7.0054263061555835,7.3451711483221285,7.015981684053008
IFF,1996Q4,1996,Q4,0,0,0,1,324.1,158.0,166.1,94.2,81.1,76.9,63.8,64.8,40.9,0.0,40.9,1506.9,1076.5,1534.1,1101.6,0.0,0.2502314100586238,0.4875038568343103,0.1968528232027152,0.1261956186362233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0404494382022473,0.0276381909547738,0.0568561872909698,,0.0923295454545454,0.0493421052631579,0.0302066772655007,0.0253086419753085,0.0252844500632112,0.0620067643742954,,-0.0145754205655962,0.0157689057116232,0.0085469478231214,-0.0123131857994075,0.0276381909547738,Materials,15.0,4.0,7,5.784132827309859,354.9,311.5,7.31847323337175,6.9823988219779025,7.336350804479156,7.0054263061555835
IFF,1997Q1,1997,Q1,1,0,0,0,382.8,187.8,195.0,92.2,56.3,107.9,95.6,99.1,63.2,23.6,86.80000000000001,1463.8,1029.6,1506.9,1076.5,0.0616509926854754,0.1470741901776384,0.4905956112852664,0.2497387669801462,0.1650992685475444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,-0.0453172205438066,-0.0136554621848739,,-0.0383244206773618,-0.0487562189054726,-0.0498561840843719,0.0135135135135133,-0.2800511508951407,0.025583982202447,,-0.2800511508951406,-0.013655462184874,-0.0487562189054727,-0.0453172205438066,0.3111782477341391,Materials,15.0,1.0,8,5.950121583573599,324.1,382.8,7.289473993360301,6.937896435894124,7.31847323337175,6.9823988219779025
IFF,1997Q2,1997,Q2,0,1,0,0,381.5,189.9,191.6,93.0,57.0,109.4,96.9,98.8,63.3,23.5,86.8,1478.8,1030.1,1463.8,1029.6,0.0615989515072083,0.1494102228047182,0.4977719528178244,0.253997378768021,0.1659239842726081,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0616509926854754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0189636752136752,1.131313131313131,0.0320652173913043,,0.0369668246445498,0.0297555791710946,1.1293103448275863,0.0063025210084033,-0.2738853503184714,0.0344827586206895,,-0.2873988863938025,0.0128577126901816,0.010591058562668,1.0916478017395446,1.9225589225589224,Materials,15.0,2.0,9,5.94672865326659,382.8,374.4,7.299662222491451,6.938381472523898,7.289473993360301,6.937896435894124
IFF,1997Q3,1997,Q3,0,0,1,0,356.2,176.9,179.3,90.7,54.9,98.9,86.2,87.9,56.7,23.1,79.80000000000001,1473.4,1033.2,1478.8,1030.1,0.0648512071869736,0.1541268950028074,0.4966311061201572,0.2419988770353734,0.1591802358225716,23.5,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0615989515072083,0.0616509926854754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0036630036630036,0.0677966101694915,0.0243196294151708,,0.0566239316239316,0.051219512195122,0.0514354066985647,-0.0159165751920964,-0.3059418457648546,0.0,,-0.3084749047219172,0.0205812366070863,0.0473829446323659,0.0638995422491648,0.5028248587570623,Materials,15.0,3.0,10,5.878295849002344,381.5,354.9,7.296006406355613,6.941383459962121,7.299662222491451,6.938381472523898
