ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
INTC,1995Q2,1995,Q2,0,1,0,0,3894.0,2089.0,1805.0,763.0,447.0,1647.0,1326.0,1399.0,879.0,316.0,1195.0,15473.0,10667.0,14910.0,10007.0,0.0811504879301489,0.1147919876733436,0.5364663585002568,0.3405238828967643,0.2257318952234206,294.0,,,,,,,,,,,,0.0826539218442507,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Technology,45.0,2.0,1,8.267448958304849,3557.0,,9.6469164751094,9.275003885301905,9.609854474590907,9.211140052146748
INTC,1995Q3,1995,Q3,0,0,1,0,4171.0,2163.0,2008.0,774.0,440.0,1752.0,1389.0,1483.0,931.0,334.0,1265.0,17002.0,11126.0,15473.0,10667.0,0.08022381691984429,0.1054902900982977,0.5185806760968593,0.3330136657875809,0.2232078638216255,316.0,294.0,,,,,,,,,,,0.0811504879301489,0.0826539218442507,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Technology,45.0,3.0,2,8.336150816120663,3894.0,,9.741145078057485,9.3171298661577,9.6469164751094,9.275003885301905
INTC,1995Q4,1995,Q4,0,0,0,1,4580.0,2191.0,2389.0,921.0,569.0,1655.0,1270.0,1340.0,867.0,352.0,1219.0,17504.0,12140.0,17002.0,11126.0,0.08022381691984429,0.124235807860262,0.4783842794759825,0.2772925764192139,0.1893013100436681,334.0,316.0,294.0,,,,,,,,,,0.08022381691984429,0.0811504879301489,0.0826539218442507,,,,,,,,,,,,,,,,,,,,,,,,,,Information Technology,45.0,4.0,3,8.429672593886743,4171.0,,9.770241833388766,9.404343433543975,9.741145078057485,9.3171298661577
INTC,1996Q1,1996,Q1,1,0,0,0,4644.0,2223.0,2421.0,918.0,517.0,1716.0,1305.0,1376.0,894.0,401.0,1295.0,18219.0,12901.0,17504.0,12140.0,0.0863479758828596,0.1113264427217915,0.4786821705426357,0.2810077519379845,0.1925064599483204,352.0,334.0,316.0,294.0,,,,,,,,,0.08022381691984429,0.08022381691984429,0.0811504879301489,0.0826539218442507,,,,,,,,,0.305594602192859,0.0056242969628796,0.1411704312114989,0.3639455782312926,0.088142041851617,0.0299921073401736,-0.0282485875706214,0.5046612802983219,0.3359173126614987,0.3480176211453745,0.0446930279433046,0.0232252112697999,-0.1259381516323638,-0.2110934698947033,-0.2297576175071138,0.0946745562130177,Information Technology,45.0,1.0,4,8.443546651247939,4580.0,3557.0,9.810275170813949,9.465137617092187,9.770241833388766,9.404343433543975
INTC,1996Q2,1996,Q2,0,1,0,0,4621.0,2471.0,2150.0,956.0,518.0,1977.0,1515.0,1601.0,1041.0,438.0,1479.0,19300.0,13884.0,18219.0,12901.0,0.0947846786409868,0.1120969487123999,0.5347327418307726,0.3278511144773858,0.2252759143042631,401.0,352.0,334.0,316.0,294.0,,,,,,,,0.0863479758828596,0.08022381691984429,0.08022381691984429,0.0811504879301489,0.0826539218442507,,,,,,,,0.1866974833076529,0.1843003412969284,0.1828626136907611,0.3860759493670886,0.2003642987249545,0.1425339366515836,0.1443888491779843,0.1911357340720221,0.1588366890380312,0.2529488859764088,0.1680111981898815,-0.0234775877268785,-0.0032315477793066,-0.0372155054487628,-0.0020200110343565,0.2376569037656903,Information Technology,45.0,2.0,5,8.438582790834326,4644.0,3894.0,9.867912187022208,9.538564399740899,9.810275170813949,9.465137617092187
INTC,1996Q3,1996,Q3,0,0,1,0,5142.0,2941.0,2201.0,1014.0,565.0,2423.0,1927.0,2018.0,1312.0,449.0,1761.0,21072.0,14964.0,19300.0,13884.0,0.08732010890704,0.1098794243485025,0.5719564371839752,0.3747569039284325,0.2551536367172306,438.0,401.0,352.0,334.0,316.0,294.0,,,,,,,0.0947846786409868,0.0863479758828596,0.08022381691984429,0.08022381691984429,0.0811504879301489,0.0826539218442507,,,,,,,0.232797890194198,0.4092373791621913,0.359685621821544,0.3443113772455091,0.3829908675799087,0.3873290136789056,0.3607552258934592,0.0961155378486056,0.2840909090909091,0.310077519379845,0.0904556115307306,0.0416069976309181,0.1029266294472308,0.1253499253315277,0.1431211801799881,0.392094861660079,Information Technology,45.0,3.0,6,8.545391845774915,4621.0,4171.0,9.955747879197213,9.6134694202868,9.867912187022208,9.538564399740899
INTC,1996Q4,1996,Q4,0,0,0,1,6440.0,4048.0,2392.0,1242.0,722.0,3325.0,2806.0,2939.0,1910.0,520.0,2430.0,23735.0,16872.0,21072.0,14964.0,0.0807453416149068,0.112111801242236,0.6285714285714286,0.4357142857142857,0.296583850931677,449.0,438.0,401.0,352.0,334.0,316.0,294.0,,,,,,0.08732010890704,0.0947846786409868,0.0863479758828596,0.08022381691984429,0.08021713070580502,0.0811504879301489,0.0826539218442507,,,,,,0.4061135371179039,1.2029988465974624,0.847558192606116,0.4772727272727273,1.0090634441087611,1.2094488188976378,1.1932835820895522,0.0012557555462535,0.2688927943760983,0.3485342019543973,0.0506070016939581,-0.0975886648691722,0.3139466649279518,0.571316085489314,0.5667289933876363,0.9934372436423298,Information Technology,45.0,4.0,7,8.77043908654689,5142.0,4580.0,10.074748161970657,9.733469990198337,9.955747879197213,9.6134694202868
INTC,1997Q1,1997,Q1,1,0,0,0,6448.0,4141.0,2307.0,1274.0,693.0,3388.0,2867.0,3075.0,1983.0,581.0,2564.0,25102.0,17108.0,23735.0,16872.0,0.0901054590570719,0.1074751861042183,0.6422146401985112,0.4446339950372208,0.3075372208436724,520.0,449.0,438.0,401.0,352.0,334.0,316.0,294.0,,,,,0.0807453416149068,0.08732010890704,0.0947846786409868,0.0863479758828596,0.08021713070580502,0.08021044449176576,0.0811504879301489,0.0826539218442507,,,,,0.3884582256675279,1.2181208053691277,0.8627980206927575,0.4488778054862843,0.9743589743589745,1.1969348659003831,1.2347383720930232,-0.047087980173482,0.3404255319148936,0.3877995642701526,0.0435155906759157,-0.0345942664062087,0.3416305843823148,0.5822837340634894,0.5975423418322314,0.97992277992278,Information Technology,45.0,1.0,8,8.771680359010377,6440.0,4644.0,10.130742639890052,9.747359919824648,10.074748161970657,9.733469990198337
INTC,1997Q2,1997,Q2,0,1,0,0,5960.0,3617.0,2343.0,1279.0,704.0,2867.0,2338.0,2550.0,1645.0,575.0,2220.0,25147.0,17406.0,25102.0,17108.0,0.0964765100671141,0.1181208053691275,0.6068791946308725,0.3922818791946308,0.276006711409396,581.0,520.0,449.0,438.0,401.0,352.0,334.0,316.0,294.0,,,,0.0901054590570719,0.0807453416149068,0.08732010890704,0.0947846786409868,0.0863479758828596,0.08021044449176576,0.0802037582777265,0.0811504879301489,0.0826539218442507,,,,0.289764120320277,0.5802113352545628,0.4637798462161069,0.3127853881278539,0.4501770359129995,0.5432343234323431,0.5927545284197377,0.089767441860465,0.359073359073359,0.3378661087866108,0.0178492078085255,0.0537379181674482,0.1349205821081593,0.1965244645269896,0.2251940570824389,0.5010141987829615,Information Technology,45.0,2.0,9,8.692993531219926,6448.0,4621.0,10.132533649502951,9.764627703152708,10.130742639890052,9.747359919824648
INTC,1997Q3,1997,Q3,0,0,1,0,6155.0,3551.0,2604.0,1262.0,676.0,2848.0,2289.0,2440.0,1574.0,586.0,2160.0,27201.0,19946.0,25147.0,17406.0,0.0952071486596263,0.10982940698619,0.5769293257514216,0.3718927701056052,0.2557270511779041,575.0,581.0,520.0,449.0,438.0,401.0,352.0,334.0,316.0,294.0,,,0.0964765100671141,0.0901054590570719,0.0807453416149068,0.08732010890704,0.0947846786409868,0.0863479758828596,0.0802037582777265,0.08019707206368723,0.0811504879301489,0.0826539218442507,,,0.1970050563982885,0.1996951219512195,0.2074124447466847,0.3051224944320712,0.175402393726785,0.187856772184743,0.2091179385530228,0.1830985915492957,0.1964601769911504,0.2445759368836291,0.0903232926677026,-0.0004552022601955,0.0086945232960931,-0.0076426445858734,0.002247330149987,0.2265758091993186,Information Technology,45.0,3.0,10,8.72518249495877,5960.0,5142.0,10.211045778992698,9.900834035070565,10.132533649502951,9.764627703152708
