ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
KEY,1995Q2,1995,Q2,0,1,0,0,1521.8,868.8,653.0,568.5,270.6,367.7,300.3,300.3,199.0,0.0,199.0,67481.2,4674.4,67709.0,4817.5,0.0,0.1778157445130766,0.5709028781705875,0.1973321067157314,0.1307661979235116,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,2.0,1,7.3283060245083425,1416.4,,11.119619138380981,8.450069999559938,11.12298915847969,8.480217955291343
KEY,1995Q3,1995,Q3,0,0,1,0,1533.8,873.6,660.2,560.4,278.7,359.7,313.2,313.2,209.6,0.0,209.6,67967.1,5083.4,67481.2,4674.4,0.0,0.181705567870648,0.5695657843265094,0.204198722128048,0.136654061807276,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,3.0,2,7.336155358372797,1521.8,,11.126793756441076,8.533932307420514,11.119619138380981,8.450069999559938
KEY,1995Q4,1995,Q4,0,0,0,1,1582.0,930.4,651.6,621.7,285.6,367.7,308.7,308.7,206.7,0.0,206.7,66339.0,5153.0,67967.1,5083.4,0.0,0.1805309734513274,0.5881163084702907,0.1951327433628318,0.1306573957016434,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,4.0,3,7.367077059881012,1533.8,,11.102548312501044,8.54752839121231,11.126793756441076,8.533932307420514
KEY,1996Q1,1996,Q1,1,0,0,0,1485.0,874.0,611.0,570.0,291.0,360.0,304.0,304.0,208.0,0.0,208.0,65052.0,5124.0,66339.0,5153.0,0.0,0.1959595959595959,0.5885521885521886,0.2047138047138047,0.14006734006734,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0484326461451567,-0.0081068192656175,0.0974384731290809,,0.2613875262789069,0.2908704883227175,0.2908704883227175,-0.014516129032258,0.0396570203644159,0.0162239258334819,,-0.0083702332362566,0.046741988781165,0.2312383566736009,-0.0539276086247949,-0.0081068192656175,Financial ,40.0,1.0,4,7.303843225277705,1582.0,1416.4,11.082957601247717,8.54188580400661,11.102548312501044,8.54752839121231
KEY,1996Q2,1996,Q2,0,1,0,0,1498.0,899.0,599.0,579.0,298.0,378.0,320.0,320.0,217.0,0.0,217.0,64764.0,4996.0,65052.0,5124.0,0.0,0.198931909212283,0.6001335113484646,0.2136181575433912,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.0156393744250229,0.0904522613065326,0.0347605893186004,,0.028011966276856,0.0656010656010654,0.0656010656010654,-0.0826952526799387,0.1012564671101254,0.0184696569920843,,0.1187530651857069,0.0512007108311387,0.0825311759891198,0.1077772037758886,0.0904522613065326,Financial ,40.0,2.0,5,7.312553498102598,1485.0,1521.8,11.078520612964356,8.516593011344206,11.082957601247717,8.54188580400661
KEY,1996Q3,1996,Q3,0,0,1,0,1527.0,923.0,604.0,615.0,300.0,364.0,308.0,308.0,207.0,0.0,207.0,65356.0,4976.0,64764.0,4996.0,0.0,0.1964636542239685,0.6044531761624099,0.2017026850032744,0.1355599214145383,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-0.0044334333029077,-0.0124045801526717,0.056547619047619,,0.0119544064498193,-0.0166028097062579,-0.0166028097062579,-0.0851257194789458,0.0764262648008611,0.0974304068522484,,0.0812197805838641,0.0612526117192127,-0.0122235687802609,-0.0080066437709023,-0.0124045801526717,Financial ,40.0,3.0,6,7.331714969726466,1498.0,1533.8,11.08761982884766,8.512582578858554,11.078520612964356,8.516593011344206
KEY,1996Q4,1996,Q4,0,0,0,1,1528.0,911.0,617.0,700.0,301.0,271.0,211.0,211.0,151.0,0.0,151.0,67621.0,4881.0,65356.0,4976.0,0.0,0.1969895287958115,0.5962041884816754,0.1380890052356021,0.0988219895287958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-0.034134007585335,-0.2694726656990808,-0.0208512467755803,,-0.2629861299972803,-0.3164885001619695,-0.3164885001619695,-0.0531000613873542,0.0539215686274507,0.1259449895447963,,0.0911674879375832,0.0137521777493665,-0.2923329890420391,-0.2436556002198597,-0.2694726656990808,Financial ,40.0,4.0,7,7.332369205929062,1527.0,1582.0,11.121688652872695,8.493310250952906,11.08761982884766,8.512582578858554
KEY,1997Q1,1997,Q1,1,0,0,0,1514.0,881.0,633.0,575.0,311.0,366.0,306.0,306.0,212.0,0.0,212.0,67893.0,4674.0,67621.0,4881.0,0.0,0.2054161162483487,0.5819022457067371,0.202113606340819,0.1400264200792602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0195286195286195,0.0192307692307691,0.0080091533180777,,0.0166666666666666,0.006578947368421,0.006578947368421,0.0360065466448444,0.0687285223367697,0.0087719298245614,,0.0482575004426042,-0.0112988159330611,-0.0127016269206702,-0.0002921451072044,0.0192307692307691,Financial ,40.0,1.0,8,7.323170717943469,1528.0,1485.0,11.125702944399345,8.449984441722787,11.121688652872695,8.493310250952906
KEY,1997Q2,1997,Q2,0,1,0,0,1583.0,909.0,674.0,582.0,305.0,387.0,327.0,327.0,223.0,0.0,223.0,69672.0,4814.0,67893.0,4674.0,0.0,0.1926721415034744,0.5742261528742894,0.2065698041692988,0.1408717624763108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0567423230974633,0.0276497695852535,0.0111234705228031,,0.0238095238095237,0.021875,0.021875,0.1252086811352253,0.0234899328859059,0.005181347150259,,-0.0314668859993131,-0.043169324799015,-0.03299510423247,-0.0275304138732092,0.0276497695852535,Financial ,40.0,2.0,9,7.367708572374371,1514.0,1498.0,11.151568147237766,8.479491324232226,11.125702944399345,8.449984441722787
KEY,1997Q3,1997,Q3,0,0,1,0,1740.0,995.0,745.0,648.0,321.0,407.0,347.0,347.0,236.0,0.0,236.0,72077.0,5076.0,69672.0,4814.0,0.0,0.1844827586206896,0.5718390804597702,0.1994252873563218,0.135632183908046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1394891944990177,0.1400966183574878,0.0780065005417118,,0.1181318681318681,0.1266233766233766,0.1266233766233766,0.2334437086092715,0.07,0.0536585365853659,,-0.0609827586206895,-0.0539563641797734,-0.0112908643081056,0.0005330667999334,0.1400966183574878,Financial ,40.0,3.0,10,7.462214939768189,1583.0,1527.0,11.18550414494943,8.532475814947395,11.151568147237766,8.479491324232226
