ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
KR,1995Q2,1995,Q2,0,1,0,0,5652.9,1388.5,4264.4,1176.8,1100.0,288.5,211.7,137.1,77.0,0.0,77.0,4645.1,-2007.2,4633.2,-2089.1,0.0,0.1945903872348706,0.2456261387960162,0.037449804525111,0.0136213271064409,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Staples,30.0,2.0,1,8.640100851503563,5465.0,,8.44378343699024,0.0,8.441218863318648,0.0
KR,1995Q4,1995,Q4,0,0,0,1,6959.2,1678.3,5280.9,1482.8,1390.3,288.0,195.5,102.0,61.2,0.0,61.2,4840.0,-1729.3,4645.1,-2007.2,0.0,0.1997787101965743,0.2411627773307276,0.0280923094608575,0.0087941142660075,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Staples,30.0,4.0,2,8.847963488547789,5652.9,,8.484876589939695,0.0,8.44378343699024,0.0
KR,1995Q4,1995,Q4,0,0,0,1,5860.7,1447.3,4413.4,1213.4,1130.4,316.9,233.9,164.8,105.5,0.0,105.5,5044.7,-1603.0,4840.0,-1729.3,0.0,0.1928779838585834,0.246950023034791,0.0399099083727199,0.0180012626478065,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Staples,30.0,4.0,3,8.676194942888575,6959.2,,8.526291674401497,0.0,8.484876589939695,0.0
KR,1996Q1,1996,Q1,1,0,0,0,5784.3,1419.8,4364.5,1224.7,1145.6,274.2,195.1,124.3,75.4,0.0,75.4,5093.1,-1519.7,5044.7,-1603.0,0.0,0.198053351313037,0.2454575315941427,0.03372923257784,0.0130352851684732,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0584263494967978,0.2736486486486487,0.0604227350810364,,0.0825108566916699,0.0773053561568195,0.1759697256385997,0.0577785317854631,0.0552689756816506,0.0577820003454829,,-0.0029830831560913,0.0018861828082681,0.017836863820517,0.2033417811774742,0.2736486486486487,Consumer Staples,30.0,1.0,4,8.66307549653729,5860.7,5465.0,8.535838286285077,0.0,8.526291674401497,0.0
KR,1996Q3,1996,Q3,0,0,1,0,7343.1,1764.8,5578.3,1555.3,1450.4,314.4,209.5,117.6,71.4,0.0,71.4,5590.0,-1339.9,5093.1,-1519.7,0.0,0.197518759107189,0.2403344636461439,0.0285301847993354,0.0097234138170527,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.2989969750039805,-0.0727272727272726,0.2710118833273316,,0.0897746967071055,-0.0103920642418515,-0.1422319474835885,0.3081089954038083,0.3185454545454547,0.3216349422161795,,0.0150489030518445,-0.0215436157398003,-0.2381753346614868,-0.2861625199166564,-0.0727272727272726,Consumer Staples,30.0,3.0,5,8.901652548765357,5784.3,5652.9,8.628913441026645,0.0,8.535838286285077,0.0
KR,1996Q4,1996,Q4,0,0,0,1,6199.1,1522.6,4676.5,1257.8,1168.4,354.2,264.8,197.9,125.4,0.0,125.4,5825.4,-1181.7,5590.0,-1339.9,0.0,0.1884789727541094,0.2456162991401977,0.0427158781113387,0.0202287428820312,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-0.1092223244051039,1.049019607843137,-0.0927724483107906,,0.229861111111111,0.3544757033248082,0.9401960784313724,-0.1144501884148534,-0.1596058404660864,-0.1517399514432155,,-0.0565612693732298,0.0184668706288888,0.5205541634395323,1.3002592722979074,1.049019607843137,Consumer Staples,30.0,4.0,6,8.73232069993537,7343.1,6959.2,8.670154592903705,0.0,8.628913441026645,0.0
KR,1997Q1,1997,Q1,1,0,0,0,6139.4,1516.2,4623.2,1296.4,1207.8,308.4,219.8,150.1,87.1,0.0,87.1,5835.3,-1115.2,5825.4,-1181.7,0.0,0.1967293220835912,0.2469622438674789,0.035801544124833,0.0141870541095221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0475540464449639,-0.1744075829383886,0.0476058868237407,,-0.0268223414326286,-0.0602821718683197,-0.0891990291262136,0.0475370462681832,0.0684713375796177,0.0684028350090655,,0.019967744104125,4.94870684264459e-05,-0.1029409591602863,-0.2118856111879035,-0.1744075829383886,Consumer Staples,30.0,1.0,7,8.722645165599046,6199.1,5860.7,8.671852313393448,0.0,8.670154592903705,0.0
KR,1997Q3,1997,Q3,0,0,1,0,7686.6,1899.6,5787.0,1656.1,1541.2,358.4,243.5,158.2,95.7,0.0,95.7,6034.7,-928.0,5835.3,-1115.2,0.0,0.2005047745427106,0.2471313714776364,0.0316785054510446,0.0124502380766528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.3288729837664021,0.2692307692307691,0.3379349204113255,,0.3070751276440553,0.248077908764736,0.2727272727272727,0.3259250773284454,0.3453212290502794,0.3522495304972646,,0.0123775902473826,0.0068192647119962,-0.0607996971784841,-0.0448818022973046,0.2692307692307691,Consumer Staples,30.0,3.0,8,8.94736392016025,6139.4,5784.3,8.7054471168633,0.0,8.671852313393448,0.0
KR,1997Q4,1997,Q4,0,0,0,1,6509.5,1614.6,4894.9,1323.6,1226.2,388.4,291.0,228.3,123.7,0.0,123.7,6301.3,-785.0,6034.7,-928.0,0.0,0.1883708426146401,0.2480374836777018,0.0447038943083186,0.0190029956217835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.1135215372254225,0.7324929971988794,-0.0851087941976428,,0.2353689567430026,0.3890214797136038,0.9413265306122452,-0.1225104422494309,-0.1545780474351903,-0.1489744743779335,,-0.0463141654691366,0.0320512502231031,0.566898168474532,0.9543543018251928,0.7324929971988794,Consumer Staples,30.0,4.0,9,8.781171537168783,7686.6,7343.1,8.748669925119447,0.0,8.7054471168633,0.0
KR,1998Q1,1998,Q1,1,0,0,0,6388.8,1525.1,4863.7,1287.8,1192.0,333.1,237.3,173.1,103.0,0.0,103.0,6242.0,-690.9,6301.3,-785.0,0.0,0.1865765088905584,0.2387146255947908,0.0371431254695717,0.016121963436013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0306012163055926,-0.178628389154705,0.0016419282805726,,-0.0595708639186899,-0.1038519637462235,-0.1253158160687216,0.0400299369186356,0.0201985621362545,0.0238511687072666,,-0.0100937724551001,-0.0280994118450885,-0.1304609173020309,-0.2030170371914805,-0.178628389154705,Consumer Staples,30.0,1.0,10,8.762458247977222,6509.5,6199.1,8.739216115061744,0.0,8.748669925119447,0.0
