ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
K,1995Q2,1995,Q2,0,1,0,0,1780.1,1030.2,749.9,745.8,676.0,354.2,284.4,220.8,135.9,0.0,135.9,4747.4,1857.7,4692.2,1851.9,0.0,0.3797539464075052,0.5787315319364081,0.1597663052637492,0.0763440256165384,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Staples,30.0,2.0,1,7.4849864299447395,1716.0,,8.46556299817938,7.527632597614307,8.453869931549468,7.524507258288369
K,1995Q3,1995,Q3,0,0,1,0,1844.7,1077.5,767.2,701.7,633.3,444.2,375.8,365.5,230.0,0.0,230.0,4840.0,1863.5,4747.4,1857.7,0.0,0.3433078549357619,0.5841058166639562,0.2037187618582967,0.1246815200303572,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Staples,30.0,3.0,2,7.520613888313245,1780.1,,8.484876589939695,7.530748199618875,8.46556299817938,7.527632597614307
K,1995Q4,1995,Q4,0,0,0,1,1662.9,963.2,699.7,686.9,633.5,329.7,276.3,-105.7,-71.6,0.0,-71.6,4414.6,1590.9,4840.0,1863.5,0.0,0.3809609717962595,0.579229057670335,0.1661555114558903,-0.043057309519514,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Staples,30.0,4.0,3,7.416919523421462,1844.7,,8.392899004144196,7.37268355036109,8.484876589939695,7.530748199618875
K,1996Q1,1996,Q1,1,0,0,0,1785.9,1059.3,726.6,711.0,647.2,412.1,348.3,325.5,206.1,0.0,206.1,4540.1,1502.0,4414.6,1590.9,0.0,0.3623943109916568,0.5931463127834704,0.1950277171174197,0.1154039979842096,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0407342657342657,0.0515306122448979,0.0447775914784496,,0.0566666666666666,0.0789962825278809,0.0320228281547241,0.0348953140578265,0.0373457284821285,0.028794675155549,,-0.0032559101431587,0.0038850702598236,0.0367644441558003,0.0103737782699169,0.0515306122448979,Consumer Staples,30.0,1.0,4,7.488237553884615,1662.9,1716.0,8.42092455243663,7.315218389752975,8.392899004144196,7.37268355036109
K,1996Q2,1996,Q2,0,1,0,0,1651.4,938.4,713.0,770.7,708.5,229.9,167.7,125.8,78.1,0.0,78.1,4582.4,1354.4,4540.1,1502.0,0.0,0.4290299140123531,0.5682451253481894,0.1015501998304468,0.0472932057648056,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.0722993090275826,-0.4253127299484915,-0.0891089108910891,,-0.3509316770186335,-0.4103375527426161,-0.4302536231884059,-0.0492065608747832,0.0480769230769231,0.0333869670152857,,0.1297576182446593,-0.0181196392619764,-0.3643828737054201,-0.3805251244891062,-0.4253127299484915,Consumer Staples,30.0,2.0,5,7.409984055522609,1785.9,1780.1,8.430196359775369,7.211851892702013,8.42092455243663,7.315218389752975
K,1996Q3,1996,Q3,0,0,1,0,1681.6,925.1,756.5,621.8,562.3,362.8,303.3,259.1,159.5,0.0,159.5,4632.6,1359.5,4582.4,1354.4,0.0,0.3343839200761179,0.5501308277830638,0.1803639391056137,0.0948501427212178,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-0.0884154605084838,-0.3065217391304348,-0.1414385150812065,,-0.1832507879333633,-0.1929217668972858,-0.2911080711354308,-0.0139468196037539,-0.1121111637454602,-0.1138663246401597,,-0.0259939722652536,-0.0581658115903316,-0.1146424734749185,-0.239260616183345,-0.3065217391304348,Consumer Staples,30.0,3.0,6,7.428095495116713,1651.4,1844.7,8.441089382751343,7.215607558223301,8.430196359775369,7.211851892702013
K,1996Q4,1996,Q4,0,0,0,1,1557.7,882.4,675.3,606.7,540.7,341.7,275.7,149.5,87.3,0.0,87.3,5050.0,1282.4,4632.6,1359.5,0.0,0.3471143352378507,0.566476214932272,0.1769917185594145,0.0560441676831225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-0.0632629743219677,-2.2192737430167595,-0.0838870431893687,,0.0363967242948135,-0.0021715526601521,-2.4143803216650896,-0.0348720880377305,-0.146487766377269,-0.1167564419857328,,-0.0888454174159085,-0.0220169250302376,0.0652172594732189,-2.3016179670428003,-2.2192737430167595,Consumer Staples,30.0,4.0,7,7.351607419495005,1681.6,1662.9,8.527341522468053,7.1572680853164155,8.441089382751343,7.215607558223301
K,1997Q1,1997,Q1,1,0,0,0,1688.9,929.3,759.6,652.1,583.7,345.6,277.2,252.0,160.6,0.0,160.6,5134.8,1210.2,5050.0,1282.4,0.0,0.3456095683581029,0.5502398010539403,0.164130499141453,0.095091479661318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.0543143513074639,-0.2207666181465308,-0.1227225526290947,,-0.1613685998544042,-0.2041343669250647,-0.2258064516129032,0.0454170107349298,-0.098114956736712,-0.0828410689170182,,-0.0463162420724103,-0.0723371465097402,-0.1584247533255213,-0.1760122584806024,-0.2207666181465308,Consumer Staples,30.0,1.0,8,7.432424634568778,1557.7,1785.9,8.543990903801616,7.099366882683184,8.527341522468053,7.1572680853164155
K,1997Q2,1997,Q2,0,1,0,0,1719.7,981.2,738.5,689.8,617.5,363.7,291.4,254.2,163.6,0.0,163.6,5090.8,1149.2,5134.8,1210.2,0.0,0.3590742571378729,0.5705646333662848,0.1694481595627144,0.0951328720125603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0413588470388761,1.094750320102433,0.045609548167093,,0.5819921705089168,0.7376267143709003,1.0206677265500796,0.0357643758765777,-0.128440366972477,-0.1049695082392631,,-0.1630554294460362,0.0040818793063541,0.6686147328674217,1.011554735487095,1.094750320102433,Consumer Staples,30.0,2.0,9,7.450486463759112,1688.9,1651.4,8.535386681608202,7.047691119279654,8.543990903801616,7.099366882683184
K,1997Q3,1997,Q3,0,0,1,0,1803.8,1013.4,790.4,656.8,587.8,425.6,356.6,316.5,207.2,0.0,207.2,5169.5,1187.7,5090.8,1149.2,0.0,0.3258676128173855,0.5618139483313006,0.1976937576227963,0.1148686107107218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0726688867745004,0.2990595611285265,0.095449140633445,,0.1730981256890849,0.1757335970985822,0.2215360864531068,0.0448116325181757,0.0453494575849191,0.0562881955612737,,-0.0254686506958642,0.0212369857463139,0.0960825018743629,0.2110536411984314,0.2990595611285265,Consumer Staples,30.0,3.0,10,7.498205061303739,1719.7,1681.6,8.55072467462503,7.080615551986579,8.535386681608202,7.047691119279654
