ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
LLY,1995Q2,1995,Q2,0,1,0,0,1614.8,1294.6,320.2,836.0,436.3,597.8,458.6,436.6,327.1,260.5,587.6,15097.2,5973.8,14960.7,5835.2,0.1613202873420857,0.2701882586078771,0.8017091899925687,0.2839980183304434,0.2025637849888531,236.7,,,,,,,,,,,,0.15433871566400784,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,2.0,1,7.387585469045608,1717.3,,9.622330810399486,8.695305903436138,9.613248881435982,8.67183517910345
LLY,1995Q3,1995,Q3,0,0,1,0,1631.9,1352.7,279.2,845.2,444.1,648.0,507.5,437.3,1228.0,260.6,1488.6,14251.1,5486.1,15097.2,5973.8,0.1596911575464183,0.2721367730865862,0.828911085238066,0.3109871928426986,0.7524970892824315,260.5,236.7,,,,,,,,,,,0.1613202873420857,0.15433871566400784,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,3.0,2,7.398112854108264,1614.8,,9.56465954326019,8.61015516178811,9.622330810399486,8.695305903436138
LLY,1995Q4,1995,Q4,0,0,0,1,1799.8,1439.6,360.2,984.8,566.4,588.7,454.8,363.8,342.6,284.5,627.1,14412.5,5432.6,14251.1,5486.1,0.1580731192354706,0.314701633514835,0.7998666518502056,0.2526947438604289,0.1903544838315368,260.6,260.5,236.7,,,,,,,,,,0.1596911575464183,0.1613202873420857,0.15433871566400784,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,4.0,3,7.495986289592523,1631.9,,9.575920546385433,8.600357176676974,9.56465954326019,8.61015516178811
LLY,1996Q1,1996,Q1,1,0,0,0,1783.3,1398.0,385.3,868.7,460.0,662.0,529.3,523.8,389.2,276.0,665.2,14160.4,5845.6,14412.5,5432.6,0.1547692480233275,0.2579487467055459,0.7839398867268548,0.2968092861548814,0.2182470700386923,284.5,260.6,260.5,236.7,,,,,,,,,0.1580731192354706,0.1596911575464183,0.1613202873420857,0.15433871566400784,,,,,,,,,0.0384324229895767,-0.010172939979654,0.0394824894044165,0.1660329531051965,-0.0556348074179743,-0.0563380281690141,-0.0077666224663762,0.0346401718582169,0.1296660117878192,0.1080357142857142,0.1228780297019871,0.087857030249101,0.001011203417375,-0.09126299320061,-0.0468064766595974,0.0560406413716463,Healthcare,35.0,1.0,4,7.486781460437383,1799.8,1717.3,9.558275232416886,8.673615574684504,9.575920546385433,8.600357176676974
LLY,1996Q2,1996,Q2,0,1,0,0,1698.3,1329.4,368.9,888.6,479.0,577.0,440.8,465.3,345.7,273.4,619.0999999999999,14258.8,5893.7,14160.4,5845.6,0.1609845139256903,0.2820467526349879,0.7827827827827829,0.2595536713183772,0.2035564976741447,276.0,284.5,260.6,260.5,236.7,,,,,,,,0.1547692480233275,0.1580731192354706,0.1596911575464183,0.1613202873420857,0.15433326588730759,,,,,,,,0.0517091899925687,0.0568633445429531,0.0268808898501469,0.0495201535508635,-0.0347942455670792,-0.0388137810728304,0.0657352267521758,0.1520924422236103,0.0978684391473756,0.0629186602870812,-0.0020814084944151,0.0438897459431091,-0.0236075717305438,-0.0860722449958232,0.0049007411929344,0.0536078965282502,Healthcare,35.0,2.0,5,7.43797168054006,1783.3,1614.8,9.56519966862449,8.68180892109126,9.558275232416886,8.673615574684504
LLY,1996Q3,1996,Q3,0,0,1,0,1803.9,1436.9,367.0,899.7,473.1,673.1,537.2,559.4,415.6,290.7,706.3,14052.8,6026.7,14258.8,5893.7,0.1611508398469981,0.2622650923000166,0.7965519152946394,0.297799212816675,0.2303897111813293,273.4,276.0,284.5,260.6,260.5,236.7,,,,,,,0.1609845139256903,0.1547692480233275,0.1580731192354706,0.1596911575464183,0.1613202873420857,0.15432781611060734,,,,,,,0.10539861511122,-0.6615635179153094,0.0622458786131441,0.1155026861089791,0.0387345679012345,0.0585221674876847,0.2792133546764235,0.3144699140401146,0.0653006079711777,0.0644817794604826,0.0091406582744293,-0.0362747036154083,-0.0390381676873495,-0.0424068268068336,-0.6938330865824012,-0.5255273411258901,Healthcare,35.0,3.0,6,7.498260467570203,1698.3,1631.9,9.550648100826919,8.704120790757433,9.56519966862449,8.68180892109126
LLY,1996Q4,1996,Q4,0,0,0,1,2061.1,1607.4,453.7,1067.9,579.8,678.2,539.5,482.8,373.0,349.4,722.4,14307.2,6100.1,14052.8,6026.7,0.1695211294939595,0.2813060986851681,0.7798748241230412,0.26175343263306,0.1809713259909757,290.7,273.4,276.0,284.5,260.6,260.5,236.7,,,,,,0.1611508398469981,0.1609845139256903,0.1547692480233275,0.1580731192354706,0.1596911575464183,0.1613202873420857,0.15432236633390709,,,,,,0.1451827980886764,0.0887332165791008,0.1165601555987776,0.2281195079086115,0.1520298963818582,0.1862357080035179,0.3271028037383177,0.2595780122154358,0.0236581920903955,0.0843826157595453,0.0724222455649503,-0.1061180854280269,-0.0249939507803211,0.0358483466424393,-0.049293074960426,0.1519693828735449,Healthcare,35.0,4.0,7,7.6314801600062205,1803.9,1799.8,9.568588078475232,8.71622436177314,9.550648100826919,8.704120790757433
LLY,1997Q1,1997,Q1,1,0,0,0,1953.0,1550.7,402.3,911.9,471.7,777.8,638.8,576.8,432.6,301.2,733.8,14513.6,6569.5,14307.2,6100.1,0.15433871566400784,0.2415258576548899,0.7940092165898618,0.3270865335381464,0.221505376344086,349.4,290.7,273.4,276.0,284.5,260.6,260.5,236.7,,,,,0.1695211294939595,0.1611508398469981,0.1609845139256903,0.1547692480233275,0.1580731192354706,0.1596911575464183,0.1613202873420857,0.15431691655720683,,,,,0.0951606572085459,0.1115107913669066,0.1092274678111588,0.0913043478260868,0.1749244712990936,0.2068770073682222,0.1011836578846887,0.0441214637944458,0.0254347826086955,0.0497294808334292,-0.0035212270976646,-0.063667256617467,0.0128445178431333,0.1020090974089864,0.0149294389373295,0.1031268791340949,Healthcare,35.0,1.0,8,7.577633832602728,2061.1,1783.3,9.582910318380078,8.790345212083693,9.568588078475232,8.71622436177314
LLY,1997Q2,1997,Q2,0,1,0,0,1988.7,1575.9,412.8,1035.4,572.7,676.5,540.5,-1288.9,-1732.1,326.7,-1405.4,12288.9,4669.9,14513.6,6569.5,0.1642781716699351,0.2879770704480314,0.7924272137577312,0.2717855885754513,-0.8709709860713027,301.2,349.4,290.7,273.4,276.0,284.5,260.6,260.5,236.7,,,,0.15433871566400784,0.1695211294939595,0.1611508398469981,0.1609845139256903,0.1547692480233275,0.1580731192354706,0.1596911575464183,0.1613202873420857,0.15431146678050658,,,,0.1709945239357004,-6.010413653456754,0.1854219948849105,0.1949524506217996,0.1724436741767765,0.226179673321234,-3.770040833870621,0.1190024396855518,0.1956158663883089,0.1652036911996399,0.0204594694478816,0.0210260098995649,0.0123206989053368,0.0471267356571891,-5.278767791856793,-3.270069455661444,Healthcare,35.0,2.0,9,7.595739152585202,1953.0,1698.3,9.416533065830476,8.44910705158101,9.582910318380078,8.790345212083693
LLY,1997Q3,1997,Q3,0,0,1,0,2160.1,1697.1,463.0,1057.4,587.2,764.5,639.7,612.3,456.9,345.4,802.3,11819.2,4390.9,12288.9,4669.9,0.1599000046294153,0.2718392667006157,0.785658071385584,0.2961436970510624,0.2115179852784593,326.7,301.2,349.4,290.7,273.4,276.0,284.5,260.6,260.5,236.7,,,0.1642781716699351,0.15433871566400784,0.1695211294939595,0.1611508398469981,0.1609845139256903,0.1547692480233275,0.1580731192354706,0.1596911575464183,0.1613202873420857,0.15430601700380633,,,0.1974610565995895,0.0993743984600576,0.1810842786554387,0.1881664946680425,0.135789630069826,0.1908041697691735,0.0945656060064354,0.2615803814713897,0.2411752272246883,0.1752806491052574,-0.0077618907774258,0.0365057138052011,-0.0136762509760909,-0.0055591677021378,-0.0819121904624331,0.1359195809146254,Healthcare,35.0,3.0,10,7.678372630308981,1988.7,1803.9,9.377565211290714,8.387517214259846,9.416533065830476,8.44910705158101
