ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
LMT,1995Q2,1995,Q2,0,1,0,0,5606.0,470.0,5136.0,-525.0,0.0,230.0,-55.0,-86.0,-53.0,0.0,-53.0,18275.0,6059.0,17958.0,6178.0,0.0,0.0,0.08383874420264,-0.009810916874777,-0.0094541562611487,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,2.0,1,8.631771096123673,5644.0,,9.813344002683163,8.70946507906336,9.795846661018736,8.72891172506098
LMT,1995Q3,1995,Q3,0,0,1,0,5551.0,510.0,5041.0,0.0,0.0,710.0,510.0,464.0,287.0,0.0,287.0,18366.0,6255.0,18275.0,6059.0,0.0,0.0,0.0918753377769771,0.0918753377769771,0.051702395964691,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,3.0,2,8.62191350218664,5606.0,,9.818310855128535,8.741296282225147,9.813344002683163,8.70946507906336
LMT,1995Q4,1995,Q4,0,0,0,1,6052.0,538.0,5514.0,0.0,0.0,794.0,538.0,478.0,311.0,0.0,311.0,17648.0,6433.0,18366.0,6255.0,0.0,0.0,0.0888962326503635,0.0888962326503635,0.0513879709187045,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,4.0,3,8.708309295891688,5551.0,,9.778434403532566,8.769351707798972,9.818310855128535,8.741296282225147
LMT,1996Q1,1996,Q1,1,0,0,0,5109.0,472.0,4637.0,0.0,0.0,686.0,472.0,431.0,272.0,0.0,272.0,17682.0,6656.0,17648.0,6433.0,0.0,0.0,0.0923859855157565,0.0923859855157565,0.0532393814836562,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,-0.0947909284195606,0.9854014598540146,0.0373626373626374,,0.2846441947565543,0.6275862068965516,0.849785407725322,-0.1063788783966082,,-1.0,,,0.145992312639406,0.7980224215549301,1.193307073677052,0.9854014598540146,Industrials,20.0,1.0,4,8.53895468319775,6052.0,5644.0,9.780359005054978,8.803424211600703,9.778434403532566,8.769351707798972
LMT,1996Q2,1996,Q2,0,1,0,0,7076.0,693.0,6383.0,0.0,0.0,1012.0,693.0,505.0,299.0,0.0,299.0,30328.0,6912.0,17682.0,6656.0,0.0,0.0,0.0979366873940079,0.0979366873940079,0.042255511588468,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.2622190510167677,-6.6415094339622645,0.4744680851063829,,3.4000000000000004,-13.6,-6.872093023255814,0.2427959501557632,,-1.0,,,0.1681554670868263,-10.982419446014696,-5.469516942734942,-6.6415094339622645,Industrials,20.0,2.0,5,8.864605368075784,5109.0,5606.0,10.319859629482966,8.841158975945264,9.780359005054978,8.803424211600703
LMT,1996Q3,1996,Q3,0,0,1,0,7028.0,675.0,6353.0,0.0,0.0,1021.0,675.0,510.0,311.0,0.0,311.0,30269.0,7189.0,30328.0,6912.0,0.0,0.0,0.0960443938531588,0.0960443938531588,0.0442515651678998,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.2660781841109709,0.0836236933797909,0.3235294117647058,,0.4380281690140846,0.3235294117647058,0.0991379310344826,0.2602658202737551,,,,,0.0453773142723226,0.0453773142723226,-0.1441099712647666,0.0836236933797909,Industrials,20.0,3.0,6,8.857799727175905,7076.0,5551.0,10.317912402015764,8.880446450715093,10.319859629482966,8.841158975945264
LMT,1996Q4,1996,Q4,0,0,0,1,7662.0,441.0,7221.0,0.0,0.0,1104.0,441.0,587.0,465.0,0.0,465.0,29257.0,6856.0,30269.0,7189.0,0.0,0.0,0.057556773688332,0.057556773688332,0.0606891151135473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.2660277594183742,0.495176848874598,-0.1802973977695167,,0.3904282115869018,-0.1802973977695167,0.2280334728033473,0.309575625680087,,,,,-0.3525397874316256,-0.3525397874316256,0.1809984715986774,0.495176848874598,Industrials,20.0,4.0,7,8.944158830970403,7028.0,6052.0,10.283908319538032,8.833025307284364,10.317912402015764,8.880446450715093
LMT,1997Q1,1997,Q1,1,0,0,0,6674.0,656.0,6018.0,0.0,0.0,967.0,656.0,476.0,290.0,0.0,290.0,29367.0,7092.0,29257.0,6856.0,0.0,0.0,0.0982918789331735,0.0982918789331735,0.0434522025771651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.3063221765511841,0.0661764705882352,0.3898305084745763,,0.4096209912536444,0.3898305084745763,0.1044083526682133,0.2978218675868018,,,,,0.0639262912491174,0.0639262912491174,-0.1838334449752331,0.0661764705882352,Industrials,20.0,1.0,8,8.80612448326845,7662.0,5109.0,10.28766092517667,8.866863661202087,10.283908319538032,8.833025307284364
LMT,1997Q2,1997,Q2,0,1,0,0,6898.0,637.0,6261.0,0.0,0.0,850.0,637.0,488.0,308.0,0.0,308.0,29398.0,7330.0,29367.0,7092.0,0.0,0.0,0.0923456074224412,0.0923456074224412,0.0446506233690924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.0251554550593555,0.0301003344481605,-0.0808080808080807,,-0.1600790513833991,-0.0808080808080807,-0.0336633663366336,-0.0191132696224345,,,,,-0.0570887184398347,-0.0570887184398347,0.0566816420056806,0.0301003344481605,Industrials,20.0,2.0,9,8.839131752546109,6674.0,7076.0,10.288715939142856,8.899867211223587,10.28766092517667,8.866863661202087
LMT,1997Q3,1997,Q3,0,0,1,0,6619.0,677.0,5942.0,0.0,0.0,1003.0,677.0,534.0,331.0,0.0,331.0,29577.0,7654.0,29398.0,7330.0,0.0,0.0,0.1022813113763408,0.1022813113763408,0.0500075540111799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.0581957882754695,0.0643086816720257,0.002962962962963,,-0.0176297747306561,0.002962962962963,0.0470588235294118,-0.0646938454273571,,,,,0.06493786126359,0.06493786126359,0.1300742430565034,0.0643086816720257,Industrials,20.0,3.0,10,8.797850648931053,6898.0,7028.0,10.294786120726714,8.943114308091785,10.288715939142856,8.899867211223587
