ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
MCD,1995Q2,1995,Q2,0,1,0,0,2467.6,1127.2,1340.4,482.5,305.4,821.8,644.7,584.9,379.7,0.0,379.7,14657.7,7371.9,14213.5,7246.6,0.0,0.1237639811963041,0.4568001296806614,0.2612660074566381,0.1538742097584697,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Discretionary,25.0,2.0,1,7.811406467309828,2161.3,,9.59278929483742,8.905566394897537,9.562017849354623,8.888425658561953
MCD,1995Q3,1995,Q3,0,0,1,0,2580.1,1176.3,1403.8,490.0,314.1,862.2,686.3,609.5,400.1,0.0,400.1,14901.7,7533.3,14657.7,7371.9,0.0,0.1217394674625014,0.4559125615286229,0.2659974419596139,0.1550715088562459,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Discretionary,25.0,3.0,2,7.855970943640666,2467.6,,9.609297683571045,8.927221206944212,9.59278929483742,8.905566394897537
MCD,1995Q4,1995,Q4,0,0,0,1,2585.5,2889.6,-304.1,2259.5,2072.3,817.3,630.1,539.6,366.8,0.0,366.8,15414.6,7861.3,14901.7,7533.3,0.0,0.8015084122993619,1.1176174821117772,0.2437052794430477,0.1418681106169019,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Discretionary,25.0,4.0,3,7.8580608894435695,2580.1,,9.64313526268959,8.969834463483258,9.609297683571045,8.927221206944212
MCD,1996Q1,1996,Q1,1,0,0,0,2426.0,1193.4,1232.6,635.0,448.4,745.0,558.4,452.1,301.6,0.0,301.6,15575.9,7994.0,15414.6,7861.3,0.0,0.184830997526793,0.4919208573784007,0.2301731244847485,0.1243198680956306,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.1224725859436448,0.074456715354471,0.2193726371717586,,0.0592919095691739,0.0447146866230121,0.0390714778211904,0.0422797226450195,0.6281771968046479,0.4295362449347142,,0.4505273600387001,0.0863273209890032,-0.069273762490389,-0.0427768759704787,0.074456715354471,Consumer Discretionary,25.0,1.0,4,7.794411205726601,2585.5,2161.3,9.653544326584615,8.986571625268054,9.64313526268959,8.969834463483258
MCD,1996Q2,1996,Q2,0,1,0,0,2665.1,1327.0,1338.1,652.0,467.0,860.0,675.0,625.5,420.4,0.0,420.4,16021.4,8319.1,15575.9,7994.0,0.0,0.1752279464185208,0.4979175265468463,0.2532737983565344,0.1577426738208697,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0800372831901443,0.1071898867526994,0.1772533711852377,,0.0464833292771964,0.0469986040018612,0.0694135749700803,-0.0017159056997912,0.5291421087098889,0.3512953367875648,,0.4158234465695551,0.0900117889522691,-0.0305903135961155,0.0251404317102401,0.1071898867526994,Consumer Discretionary,25.0,2.0,5,7.88837200941254,2426.0,2467.6,9.681743022135626,9.026429552973793,9.653544326584615,8.986571625268054
MCD,1996Q3,1996,Q3,0,0,1,0,2773.8,1366.8,1407.0,665.2,490.1,876.7,701.6,649.9,440.6,0.0,440.6,16543.1,8554.4,16021.4,8319.1,0.0,0.1766890186747422,0.4927536231884057,0.2529382075131588,0.1588434638402192,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0750746095112593,0.1012246938265433,0.1619484825299668,,0.0168174437485502,0.0222934576715723,0.0662838392124691,0.0022795269981479,0.5603311047437121,0.3575510204081633,,0.4513700639372886,0.0808072967681763,-0.0490953384748635,0.024323971642463,0.1012246938265433,Consumer Discretionary,25.0,3.0,6,7.928333951511147,2665.1,2580.1,9.713784821777315,9.054317941516128,9.681743022135626,9.026429552973793
MCD,1996Q4,1996,Q4,0,0,0,1,2821.6,2718.8,102.8,2066.9,1870.7,848.1,651.9,523.5,410.0,0.0,410.0,17386.0,8718.2,16543.1,8554.4,0.0,0.6629926282960023,0.9635667706265948,0.2310391267366033,0.1453076268783669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0913169599690582,0.1177753544165758,-0.0591085271317828,,0.037685060565276,0.034597682907475,-0.0298369162342476,-1.3380466951660637,-0.0972832118901704,-0.085240097366674,,-0.1728188773539961,-0.1378384947899151,-0.0519732388867038,0.0242444637241483,0.1177753544165758,Consumer Discretionary,25.0,4.0,7,7.945413724979907,2773.8,2585.5,9.76347807952779,9.073282769575101,9.713784821777315,9.054317941516128
MCD,1997Q1,1997,Q1,1,0,0,0,2617.6,1134.1,1483.5,525.9,334.0,800.1,608.2,515.7,344.5,0.0,344.5,17257.7,8617.4,17386.0,8718.2,0.0,0.1275977995110024,0.4332594743276283,0.2323502444987775,0.1316091075794621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.078977741137675,0.1422413793103447,-0.0496899614546675,,0.0739597315436242,0.0891833810888254,0.1406768414067685,0.2035534642219698,-0.255129348795718,-0.1718110236220472,,-0.3096515129043444,-0.119249635730831,0.0094586195451904,0.0586329409408987,0.1422413793103447,Consumer Discretionary,25.0,1.0,8,7.870395102793653,2821.6,2426.0,9.756071643144974,9.061654731579983,9.76347807952779,9.073282769575101
MCD,1997Q2,1997,Q2,0,1,0,0,2832.6,1236.1,1596.5,541.9,347.2,888.9,694.2,643.1,438.2,0.0,438.2,17562.0,8760.3,17257.7,8617.4,0.0,0.1225729012214926,0.4363835345618866,0.245075195933065,0.1546988632351902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0628494240366215,0.0423406279733586,-0.0685003767897514,,0.0336046511627907,0.0284444444444444,0.0281374900079935,0.193109633061804,-0.2565310492505354,-0.1688650306748467,,-0.3004945630719485,-0.1235826993512555,-0.0323705115833901,-0.0192960504088829,0.0423406279733586,Consumer Discretionary,25.0,2.0,9,7.9493032670285695,2617.6,2665.1,9.773549695421735,9.07809957474646,9.756071643144974,9.061654731579983
MCD,1997Q3,1997,Q3,0,0,1,0,3006.0,1266.4,1739.6,545.9,375.5,890.9,720.5,659.1,448.9,0.0,448.9,17972.2,9164.5,17562.0,8760.3,0.0,0.1249168330006653,0.421290751829674,0.2396872920825016,0.1493346640053227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0837118754055807,0.018837948252383,-0.07345624817091,,0.0161971027717575,0.0269384264538197,0.0141560240036928,0.2363894811656004,-0.2338298306468068,-0.1793445580276609,,-0.2930130353453468,-0.1450275918750733,-0.0523879549908163,-0.0598627076305853,0.018837948252383,Consumer Discretionary,25.0,3.0,10,8.008698182988528,2832.6,2773.8,9.796637038492937,9.12320171415942,9.773549695421735,9.07809957474646
