ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
MMC,1995Q2,1995,Q2,0,1,0,0,935.2,208.0,727.2,33.1,0.0,208.0,174.9,162.5,101.8,0.0,101.8,4147.6,1616.9,3964.2,1562.6,0.0,0.0,0.2224123182207014,0.1870188195038494,0.1088537211291702,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,2.0,1,6.84182912886597,955.2,,8.330526206912046,7.3888842910112915,8.285311574158742,7.3547461339188
MMC,1995Q3,1995,Q3,0,0,1,0,921.6,193.0,728.6,34.6,0.0,193.0,158.4,147.3,91.3,0.0,91.3,4221.1,1680.0,4147.6,1616.9,0.0,0.0,0.2094184027777777,0.171875,0.0990668402777777,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,3.0,2,6.82719577112372,935.2,,8.3480879135849,7.427144133408616,8.330526206912046,7.3888842910112915
MMC,1995Q4,1995,Q4,0,0,0,1,958.3,183.2,775.1,35.2,0.0,183.2,148.0,137.0,85.0,0.0,85.0,4329.5,1665.5,4221.1,1680.0,0.0,0.0,0.1911718668475425,0.1544401544401544,0.088698737347386,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,4.0,3,6.866203851823902,921.6,,8.3734382877711,7.418480897747794,8.3480879135849,7.427144133408616
MMC,1996Q1,1996,Q1,1,0,0,0,1070.7,277.4,793.3,34.9,0.0,277.4,242.5,230.8,143.1,0.0,143.1,4438.5,1775.6,4329.5,1665.5,0.0,0.0,0.2590828429999066,0.2264873447277482,0.1336508826001681,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.1209170854271357,0.1466346153846154,0.1285598047192837,,0.1285598047192837,0.1352996254681648,0.1369458128078817,0.1182689596842401,,0.0838509316770184,,,0.0068182735293358,0.0128310472094808,0.0229432937474407,0.1466346153846154,Financial ,40.0,1.0,4,6.977001451718952,958.3,955.2,8.398297036472382,7.4824567043356005,8.3734382877711,7.418480897747794
MMC,1996Q2,1996,Q2,0,1,0,0,1036.8,227.6,809.2,34.3,0.0,227.6,193.3,180.9,115.2,0.0,115.2,4194.2,1811.9,4438.5,1775.6,0.0,0.0,0.2195216049382716,0.1864390432098765,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.1086398631308809,0.1316306483300591,0.0942307692307691,,0.0942307692307691,0.1052029731275014,0.1132307692307692,0.1127612761276126,,0.0362537764350452,,,-0.0129970916429249,-0.0031000959984187,0.0207378301680858,0.1316306483300591,Financial ,40.0,2.0,5,6.944858366933639,1070.7,935.2,8.341696293569381,7.502683052035622,8.398297036472382,7.4824567043356005
MMC,1996Q3,1996,Q3,0,0,1,0,989.0,209.0,780.0,34.8,0.0,209.0,174.2,163.4,102.6,0.0,102.6,4300.8,1739.5,4194.2,1811.9,0.0,0.0,0.211324570273003,0.1761375126390293,0.1037411526794742,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0731336805555555,0.1237677984665936,0.0829015544041451,,0.0829015544041451,0.0997474747474747,0.1093007467752884,0.0705462530881142,,0.005780346820809,,,0.0091021967025886,0.0248000735361704,0.0471834206944516,0.1237677984665936,Financial ,40.0,3.0,6,6.897704943128636,1036.8,921.6,8.366788818742332,7.461927707251494,8.341696293569381,7.502683052035622
MMC,1996Q4,1996,Q4,0,0,0,1,1052.5,141.2,911.3,35.9,0.0,141.2,105.3,92.9,98.4,0.0,98.4,4545.2,1888.6,4300.8,1739.5,0.0,0.0,0.1341567695961995,0.1000475059382422,0.0934916864608076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0982990712720444,0.1576470588235294,-0.2292576419213974,,-0.2292576419213974,-0.2885135135135135,-0.321897810218978,0.1757192620307055,,0.0198863636363635,,,-0.2982399983404039,-0.3521923990498812,0.0540362721810814,0.1576470588235294,Financial ,40.0,4.0,7,6.9598732332442435,989.0,958.3,8.422046998165383,7.544120445443098,8.366788818742332,7.461927707251494
MMC,1997Q1,1997,Q1,1,0,0,0,1208.7,314.4,894.3,37.1,0.0,314.4,277.3,263.0,164.4,0.0,164.4,7257.6,3001.7,4545.2,1888.6,0.0,0.0,0.2601141722511789,0.229420038057417,0.1360138992305783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.1288876435976464,0.1488469601677149,0.1333813987022349,,0.1333813987022349,0.1435051546391752,0.1395147313691507,0.1273162737930164,,0.0630372492836677,,,0.0039806929680508,0.0129485968992844,0.0176805164652704,0.1488469601677149,Financial ,40.0,1.0,8,7.098127673965803,1052.5,1070.7,8.889942251757743,8.007267162893083,8.422046998165383,7.544120445443098
MMC,1997Q2,1997,Q2,0,1,0,0,1449.8,314.1,1135.7,52.5,0.0,314.1,261.6,238.0,145.0,0.0,145.0,7456.8,3182.8,7257.6,3001.7,0.0,0.0,0.2166505724927576,0.1804386811974065,0.1000137950062077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.398341049382716,0.2586805555555556,0.3800527240773288,,0.3800527240773288,0.3533367822038282,0.3156440022111664,0.4034849233811171,,0.5306122448979593,,,-0.0130785871683166,-0.0321840420824051,-0.0998758449441302,0.2586805555555556,Financial ,40.0,2.0,9,7.2798704074087475,1208.7,1036.8,8.917015743538212,8.065830730921036,8.889942251757743,8.007267162893083
MMC,1997Q3,1997,Q3,0,0,1,0,1455.8,306.6,1149.2,57.7,0.0,306.4,249.0,226.8,140.0,0.0,140.0,7385.1,3323.5,7456.8,3182.8,0.0,0.0,0.2106058524522599,0.1710399780189586,0.0961670559142739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.4719919110212336,0.3645224171539962,0.4669856459330144,,0.4660287081339711,0.4293915040183698,0.3880048959608324,0.4733333333333334,,0.6580459770114944,,,-0.0034010139938511,-0.0289406529233632,-0.0730095682337531,0.3645224171539962,Financial ,40.0,3.0,10,7.283997528413398,1449.8,989.0,8.907355134448936,8.10907456584251,8.917015743538212,8.065830730921036
