ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
NEE,1995Q2,1995,Q2,0,1,0,0,1466.7,1008.3,458.4,696.1,0.0,575.0,312.2,229.7,138.3,0.0,138.3,12623.8,4742.1,12599.6,4702.0,0.0,0.0,0.6874616485988955,0.2128587986636667,0.0942933115156473,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,55.0,2.0,1,7.291451828617153,1177.4,,9.443418412433923,8.464446209357622,9.441499710853437,8.455955881945048
NEE,1995Q3,1995,Q3,0,0,1,0,1587.0,1106.1,480.9,658.2,0.0,660.6,447.9,377.6,240.4,0.0,240.4,12630.4,4904.3,12623.8,4742.1,0.0,0.0,0.6969754253308128,0.2822306238185255,0.1514807813484562,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,55.0,3.0,2,7.370230641807081,1466.7,,9.443941056390672,8.49807153220865,9.443418412433923,8.464446209357622
NEE,1995Q4,1995,Q4,0,0,0,1,1361.4,923.9,437.5,735.5,0.0,430.5,188.4,109.5,74.7,0.0,74.7,12459.2,4732.1,12630.4,4904.3,0.0,0.0,0.6786396356691641,0.1383869546055531,0.0548699867783164,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,55.0,4.0,3,7.217003129348479,1587.0,,9.430294843576988,8.462335657931519,9.443941056390672,8.49807153220865
NEE,1996Q1,1996,Q1,1,0,0,0,1357.7,908.0,449.7,684.7,0.0,491.0,223.3,146.3,93.7,0.0,93.7,12266.4,4723.0,12459.2,4732.1,0.0,0.0,0.6687780805774471,0.1644693231199823,0.0690137732930691,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.1531340241209444,-0.0611222444889778,0.0906906906906908,,0.0932977065241593,-0.102491961414791,-0.1133333333333332,0.303856190200058,,0.173034092855919,,,-0.0541509764902266,-0.2216793366500514,-0.1858034401276589,-0.0611222444889778,Utilities,55.0,1.0,4,7.214283639230278,1361.4,1177.4,9.4147006163107,8.460411177317253,9.430294843576988,8.462335657931519
NEE,1996Q2,1996,Q2,0,1,0,0,1474.1,973.9,500.2,674.7,0.0,531.1,299.2,217.1,150.3,0.0,150.3,12245.1,4760.8,12266.4,4723.0,0.0,0.0,0.6606743097483211,0.2029713045247947,0.1019605182823417,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0050453398786389,0.0867678958785249,-0.0341168303084399,,-0.0763478260869564,-0.0416399743754003,-0.0548541575968654,0.0911867364746945,,-0.030742709380836,,,-0.0389655756145368,-0.0464509534064172,0.0813123077708652,0.0867678958785249,Utilities,55.0,2.0,5,7.296481063086003,1357.7,1466.7,9.412962797936292,8.468381027004803,9.4147006163107,8.460411177317253
NEE,1996Q3,1996,Q3,0,0,1,0,1769.6,1141.1,628.5,682.0,0.0,716.9,459.1,392.2,250.1,0.0,250.1,12381.8,4929.1,12245.1,4760.8,0.0,0.0,0.6448349909584087,0.2594371609403255,0.1413313743218806,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1150598613736608,0.0403494176372711,0.0316427086158574,,0.0852255525280047,0.0250055816030365,0.038665254237288,0.3069245165315035,,0.0361592221209359,,,-0.0748095735910002,-0.0807618343105678,-0.0670012851546398,0.0403494176372711,Utilities,55.0,3.0,6,7.479073751176949,1474.1,1587.0,9.42406369190967,8.503114550806679,9.412962797936292,8.468381027004803
NEE,1996Q4,1996,Q4,0,0,0,1,1435.4,883.1,552.3,694.2,0.0,392.0,188.9,117.7,85.4,0.0,85.4,12219.3,4923.7,12381.8,4929.1,0.0,0.0,0.6152292044029538,0.1316009474710882,0.0594956109795179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0543558101953871,0.143239625167336,-0.0441606234440956,,-0.0894308943089431,0.0026539278131634,0.0748858447488585,0.2623999999999999,,-0.0561522773623385,,,-0.0934375593958423,-0.0490364655672003,0.0843015366467963,0.143239625167336,Utilities,55.0,4.0,7,7.269895262351928,1769.6,1361.4,9.410853782342409,8.502018638045291,9.42406369190967,8.503114550806679
NEE,1997Q1,1997,Q1,1,0,0,0,1445.0,901.0,544.0,676.0,0.0,493.0,225.0,156.0,101.1,0.0,101.1,12669.6,4862.4,12219.3,4923.7,0.0,0.0,0.6235294117647059,0.1557093425605536,0.0699653979238754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.064299918980629,0.07897545357524,-0.0077092511013215,,0.0040733197556008,0.0076130765785937,0.0663021189336978,0.2096953524571936,,-0.0127062947276179,,,-0.0676587198756154,-0.0532620940686804,0.0137889088713518,0.07897545357524,Utilities,55.0,1.0,8,7.27655640271871,1435.4,1357.7,9.447039628152885,8.48949306077396,9.410853782342409,8.502018638045291
NEE,1997Q2,1997,Q2,0,1,0,0,1587.0,1027.0,560.0,706.0,0.0,583.0,321.0,247.0,164.4,0.0,164.4,12753.1,4933.3,12669.6,4862.4,0.0,0.0,0.6471329552614997,0.2022684310018903,0.1035916824196597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0765891052167424,0.093812375249501,0.054523051648013,,0.0977217096591978,0.072860962566845,0.1377245508982036,0.1195521791283487,,0.0463909885875202,,,-0.0204962631163603,-0.0034629206554592,0.0159979977033959,0.093812375249501,Utilities,55.0,2.0,9,7.370230641807081,1445.0,1474.1,9.453608067521914,8.503966097835143,9.447039628152885,8.48949306077396
NEE,1997Q3,1997,Q3,0,0,1,0,1859.0,1185.0,674.0,721.0,0.0,730.0,464.0,406.0,262.4,0.0,262.4,12880.4,5071.5,12753.1,4933.3,0.0,0.0,0.6374394835933297,0.2495965572888649,0.1411511565357719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0505198915009041,0.0491803278688522,0.0384716501621242,,0.0182731203794113,0.0106730559790895,0.0351861295257522,0.0723945902943516,,0.0571847507331377,,,-0.0114688369408849,-0.0379305864117286,-0.0012751435197841,0.0491803278688522,Utilities,55.0,3.0,10,7.528331766707247,1587.0,1769.6,9.463539689403573,8.531589071699969,9.453608067521914,8.503966097835143
