ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
NTRS,1995Q2,1995,Q2,0,1,0,0,439.6,255.0,184.6,177.9,105.2,44.6,77.1,77.1,53.1,0.0,53.1,19301.1,1390.3,18736.1,1348.1,0.0,0.2393084622383985,0.5800727934485896,0.1753867151956323,0.1207916287534121,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,2.0,1,6.088137434368242,422.8,,9.867969177263939,7.237993840847831,9.838260794617947,7.207192982444771
NTRS,1995Q3,1995,Q3,0,0,1,0,459.2,260.8,198.4,175.5,104.4,52.2,85.3,85.3,58.1,0.0,58.1,20179.7,1410.6,19301.1,1390.3,0.0,0.2273519163763066,0.5679442508710801,0.1857578397212543,0.1265243902439024,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,3.0,2,6.1316611776012655,439.6,,9.912481981115704,7.252479091801115,9.867969177263939,7.237993840847831
NTRS,1995Q4,1995,Q4,0,0,0,1,460.5,265.3,195.2,178.3,105.5,229.6,87.0,87.0,59.5,0.0,59.5,19933.5,1452.6,20179.7,1410.6,0.0,0.2290988056460369,0.576112920738328,0.1889250814332247,0.1292073832790445,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,4.0,3,6.134482053942907,459.2,,9.900207177985985,7.2817985170819615,9.912481981115704,7.252479091801115
NTRS,1996Q1,1996,Q1,1,0,0,0,472.6,276.1,196.5,184.0,108.1,85.2,92.1,92.1,61.5,0.0,61.5,20301.7,1468.6,19933.5,1452.6,0.0,0.2287346593313584,0.5842149809564113,0.1948793906051629,0.130131189166314,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.1177861873226111,0.2474645030425963,0.1106194690265487,,1.334246575342466,0.2917251051893408,0.2917251051893408,0.1280137772675087,0.0394230769230767,0.0377890580936266,,-0.0701056349490544,-0.0064115287676157,0.155610187207053,0.1160135249395042,0.2474645030425963,Financial ,40.0,1.0,4,6.160363083569796,460.5,422.8,9.918509161111617,7.2927455339009155,9.900207177985985,7.2817985170819615
NTRS,1996Q2,1996,Q2,0,1,0,0,481.3,286.7,194.6,191.6,108.4,68.2,95.1,95.1,63.4,0.0,63.4,21751.2,1493.7,20301.7,1468.6,0.0,0.2252233534178267,0.5956783710783294,0.1975898607936837,0.1317265738624558,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0948589626933575,0.1939736346516007,0.124313725490196,,0.5291479820627802,0.2334630350194553,0.2334630350194553,0.0541711809317442,0.0304182509505703,0.0770095559302979,,-0.0588575459840624,0.0269027918667985,0.1265953671193695,0.0905273421833443,0.1939736346516007,Financial ,40.0,2.0,5,6.178566327074926,472.6,439.6,9.98747018082686,7.309680796791769,9.918509161111617,7.2927455339009155
NTRS,1996Q3,1996,Q3,0,0,1,0,484.2,290.6,193.6,191.3,110.9,125.6,99.3,99.3,66.5,0.0,66.5,21360.1,1516.8,21751.2,1493.7,0.0,0.2290375877736472,0.6001652209830649,0.2050805452292441,0.1373399421726559,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0544425087108013,0.144578313253012,0.1142638036809815,,1.4061302681992336,0.164126611957796,0.164126611957796,-0.0241935483870968,0.0622605363984674,0.09002849002849,,0.0074143707438583,0.0567326283566849,0.104020942195415,0.0854819525935215,0.144578313253012,Financial ,40.0,3.0,6,6.184561177069895,481.3,459.2,9.969326789875488,7.325017196969813,9.98747018082686,7.309680796791769
NTRS,1996Q4,1996,Q4,0,0,0,1,491.3,300.8,190.5,199.9,113.9,77.3,100.9,100.9,67.4,0.0,67.4,21608.3,1544.1,21360.1,1516.8,0.0,0.231833910034602,0.6122532057805822,0.205373498880521,0.1371870547526969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0668838219326819,0.1327731092436976,0.1338107802487749,,-0.6633275261324042,0.1597701149425288,0.1597701149425288,-0.0240778688524589,0.0796208530805688,0.1211441390914189,,0.0119385362173862,0.0627312524008973,0.087063175108965,0.0617586338423015,0.1327731092436976,Financial ,40.0,4.0,7,6.199088286764155,484.2,460.5,9.980879056565366,7.342843912156372,9.969326789875488,7.325017196969813
NTRS,1997Q1,1997,Q1,1,0,0,0,508.7,314.3,194.4,205.9,122.5,93.8,108.4,108.4,71.7,0.0,71.7,23231.8,1593.2,21608.3,1544.1,0.0,0.2408099076076273,0.6178494200904266,0.2130921957931983,0.1409475132691173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0763859500634784,0.1658536585365855,0.1383556682361462,,0.1009389671361502,0.1769815418023888,0.1769815418023888,-0.0106870229007632,0.1332099907493062,0.1190217391304349,,0.0527915109654455,0.0575720243923782,0.0934568049062491,0.0831186141623556,0.1658536585365855,Financial ,40.0,1.0,8,6.233822317345996,491.3,472.6,10.053320352293351,7.374127321993823,9.980879056565366,7.342843912156372
NTRS,1997Q2,1997,Q2,0,1,0,0,555.0,331.9,223.1,217.0,128.1,84.8,114.9,114.9,75.4,0.0,75.4,26051.0,1648.9,23231.8,1593.2,0.0,0.2308108108108108,0.598018018018018,0.207027027027027,0.1358558558558558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.153126947849574,0.1892744479495269,0.1576560865015694,,0.2434017595307918,0.2082018927444795,0.2082018927444795,0.146454265159301,0.1817343173431733,0.1325678496868476,,0.0248085170040888,0.0039277016814514,0.0477613891494019,0.0313473726092023,0.1892744479495269,Financial ,40.0,2.0,9,6.320768294250582,508.7,481.3,10.167849819666293,7.408469958997399,10.053320352293351,7.374127321993823
NTRS,1997Q3,1997,Q3,0,0,1,0,593.9,359.3,234.6,234.7,136.5,116.4,124.6,124.6,81.0,0.0,81.0,26919.2,1697.5,26051.0,1648.9,0.0,0.2298366728405455,0.6049840040410844,0.2097996295672672,0.1363865970702138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2265592730276744,0.2180451127819549,0.2364074328974534,,-0.0732484076433119,0.254783484390735,0.254783484390735,0.2117768595041322,0.2308385933273218,0.2268687924725561,,0.003488881779911,0.0080290941386547,0.0230108825425052,-0.0069414992271047,0.2180451127819549,Financial ,40.0,3.0,10,6.38839332419386,555.0,484.2,10.200632213151572,7.437500787600639,10.167849819666293,7.408469958997399
NTRS,1997Q4,1997,Q4,0,0,0,1,609.1,357.6,251.5,233.6,140.2,87.2,124.0,124.0,81.3,0.0,81.3,25315.4,1739.0,26919.2,1697.5,0.0,0.2301756690198653,0.5870957149893286,0.2035790510589394,0.1334756197668691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2397720333808264,0.2062314540059346,0.1888297872340425,,0.128072445019405,0.2289395441030723,0.2289395441030723,0.3202099737532808,0.2309043020193151,0.1685842921460729,,-0.0071527112426703,-0.0410900107238793,-0.0087374847843713,-0.0270538280198396,0.2062314540059346,Financial ,40.0,4.0,11,6.413622878157807,593.9,491.3,10.139207686054778,7.461640392208575,10.200632213151572,7.437500787600639
NTRS,1998Q1,1998,Q1,1,0,0,0,613.9,366.2,247.7,236.2,145.2,80.8,130.0,130.0,84.9,0.0,84.9,24251.8,1800.5,25315.4,1739.0,0.0,0.236520605961883,0.5965140902427105,0.2117608731063691,0.1382961394363903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2068016512679378,0.1841004184100418,0.1651288577791918,,-0.1385927505330491,0.1992619926199261,0.1992619926199261,0.2741769547325101,0.1853061224489796,0.1471588149587177,,-0.017811981609715,-0.0345316013157276,-0.006247636999908,-0.0188110720879812,0.1841004184100418,Financial ,40.0,1.0,12,6.421459652959424,609.1,508.7,10.09628735361771,7.496374930188148,10.139207686054778,7.461640392208575
NTRS,1998Q2,1998,Q2,0,1,0,0,636.0,381.9,254.1,247.7,148.0,83.1,134.2,134.2,87.2,0.0,87.2,29777.0,1841.1,24251.8,1800.5,0.0,0.2327044025157232,0.6004716981132076,0.211006289308176,0.1371069182389937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145945945945946,0.1564986737400531,0.1506477854775534,,-0.0200471698113208,0.1679721496953872,0.1679721496953872,0.1389511429852084,0.1553473848555815,0.1414746543778802,,0.0082040858409555,0.0041030203459782,0.0192209796870121,0.0092087483108953,0.1564986737400531,Financial ,40.0,2.0,13,6.456769655572163,613.9,555.0,10.301525144815496,7.518661504158171,10.09628735361771,7.496374930188148
NTRS,1998Q3,1998,Q3,0,0,1,0,657.6,381.7,275.9,243.8,149.3,142.9,137.9,137.9,90.2,0.0,90.2,28078.8,1878.7,29777.0,1841.1,0.0,0.2270377128953771,0.5804440389294403,0.2097019464720194,0.1371654501216545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1072571139922546,0.1135802469135802,0.0623434455886444,,0.2276632302405499,0.106741573033708,0.106741573033708,0.1760443307757884,0.0937728937728938,0.0387729015764806,,-0.0121780389116155,-0.0405629982738809,-0.0004656018480548,0.0057106274969211,0.1135802469135802,Financial ,40.0,3.0,14,6.490116369942264,636.0,593.9,10.24280573560726,7.538867468622549,10.301525144815496,7.518661504158171
NTRS,1998Q4,1998,Q4,0,0,0,1,667.2,410.0,257.2,269.4,166.9,127.5,140.6,140.6,91.6,0.0,91.6,27870.0,1940.3,28078.8,1878.7,0.0,0.2501498800959232,0.6145083932853717,0.2107314148681054,0.1372901678657074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0953866360203579,0.1266912669126692,0.1465324384787472,,0.4621559633027523,0.1338709677419354,0.1338709677419354,0.0226640159045725,0.1904422253922968,0.1532534246575341,,0.0867781167362828,0.0466920088090598,0.0351331031948634,0.0285786131242606,0.1266912669126692,Financial ,40.0,4.0,15,6.504587529922656,657.6,609.1,10.235342000707783,7.57111313073133,10.24280573560726,7.538867468622549
NTRS,1999Q1,1999,Q1,1,0,0,0,656.3,411.2,245.1,266.4,161.7,133.8,144.8,144.8,95.1,0.0,95.1,27554.6,2031.0,27870.0,1940.3,0.0,0.2463812280969069,0.6265427396007923,0.2206308090812128,0.144903245467012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0690666232285388,0.1201413427561837,0.1228836701256144,,0.6559405940594061,0.1138461538461539,0.1138461538461539,-0.0104965684295518,0.1136363636363635,0.1278577476714648,,0.0416903300874045,0.0503402180254681,0.0418865668842813,0.0477750576230704,0.1201413427561837,Financial ,40.0,1.0,16,6.4881405352695305,667.2,613.9,10.223961060712824,7.616775808698373,10.235342000707783,7.57111313073133
