ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
NUE,1995Q2,1995,Q2,0,1,0,0,880.2,187.4,692.8,78.1,35.8,151.6,109.3,108.8,69.9,0.0,69.9,2152.6,1249.6,2093.6,1185.1,0.0,0.0406725744149056,0.2129061576914337,0.1241763235628266,0.0794137695978186,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,15.0,2.0,1,6.781284614928188,841.7,,7.674896139450409,7.131378715133198,7.647117883339045,7.07842589303523
NUE,1995Q3,1995,Q3,0,0,1,0,860.5,172.0,688.5,74.9,33.5,138.5,97.1,98.0,63.0,0.0,63.0,2234.8,1307.1,2152.6,1249.6,0.0,0.0389308541545613,0.199883788495061,0.1128413712957582,0.073213248111563,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,15.0,3.0,2,6.758675055967984,880.2,,7.7123543848362255,7.176330981694181,7.674896139450409,7.131378715133198
NUE,1995Q4,1995,Q4,0,0,0,1,879.6,196.2,683.4,77.4,27.6,168.6,118.8,120.7,74.3,0.0,74.3,2296.1,1382.1,2234.8,1307.1,0.0,0.0313778990450204,0.2230559345156889,0.1350613915416098,0.0844702137335152,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,15.0,4.0,3,6.780603493321654,860.5,,7.739402736787188,7.232082635630662,7.7123543848362255,7.176330981694181
NUE,1996Q1,1996,Q1,1,0,0,0,876.1,151.7,724.4,71.2,29.0,122.7,80.5,81.5,52.6,0.0,52.6,2403.7,1429.5,2296.1,1382.1,0.0,0.0331012441502111,0.1731537495719666,0.0918844880721378,0.0600388083552105,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.040869668527979,-0.2184249628528974,-0.1576901721265964,,-0.1618852459016393,-0.240566037735849,-0.2223282442748091,0.0949214026602176,-0.1394658753709199,-0.0391363022941969,,-0.1732546824560019,-0.1907634035828742,-0.2703851546196372,-0.2491134473613557,-0.2184249628528974,Materials,15.0,1.0,4,6.776621010957336,879.6,841.7,7.785180434634425,7.265779312490165,7.739402736787188,7.232082635630662
NUE,1996Q2,1996,Q2,0,1,0,0,911.1,160.5,750.6,74.6,31.9,128.6,85.9,85.7,55.2,0.0,55.2,2426.0,1477.9,2403.7,1429.5,0.0,0.0350126221051476,0.176160684886401,0.0942816375809461,0.060586104708594,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0351056578050443,-0.2103004291845494,-0.1435432230522946,,-0.1517150395778363,-0.2140896614821591,-0.2123161764705882,0.0834295612009239,-0.1089385474860334,-0.0448143405889884,,-0.1391589391913145,-0.1725899955335634,-0.2407438481358758,-0.2370831278325543,-0.2103004291845494,Materials,15.0,2.0,5,6.815749633186113,876.1,880.2,7.794411205726601,7.299053847172724,7.785180434634425,7.265779312490165
NUE,1996Q3,1996,Q3,0,0,1,0,937.4,168.0,769.4,78.1,32.5,135.5,89.9,89.7,57.9,0.0,57.9,2530.4,1529.6,2426.0,1477.9,0.0,0.0346703648389161,0.1792191167057819,0.095903563046725,0.0617665884360998,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0893666472980825,-0.080952380952381,-0.0232558139534884,,-0.0216606498194945,-0.0741503604531409,-0.0846938775510204,0.1175018155410312,-0.0298507462686566,0.042723631508678,,-0.1094373449585865,-0.1033834306667129,-0.1501028218155833,-0.1563468357259695,-0.080952380952381,Materials,15.0,3.0,6,6.844176297339265,911.1,860.5,7.836527788358348,7.3334150943758205,7.794411205726601,7.299053847172724
NUE,1996Q4,1996,Q4,0,0,0,1,922.3,209.7,712.6,78.7,27.0,182.7,131.0,130.9,82.5,0.0,82.5,2619.5,1609.3,2530.4,1529.6,0.0,0.0292746394882359,0.2273663666919657,0.1420362138132928,0.0894502873251653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0485447930877671,0.1103633916554509,0.0688073394495412,,0.083629893238434,0.1026936026936027,0.0845070422535212,0.0427275387767047,-0.0217391304347827,0.0167958656330748,,-0.0670299676140462,0.0193244451694858,0.0516418659105422,0.0589565643501408,0.1103633916554509,Materials,15.0,4.0,7,6.827954208778582,937.4,879.6,7.871120418242221,7.38417577602395,7.836527788358348,7.3334150943758205
NUE,1997Q1,1997,Q1,1,0,0,0,1010.5,189.4,821.1,87.1,34.1,155.3,102.3,101.6,65.0,0.0,65.0,2763.0,1666.9,2619.5,1609.3,0.0,0.0337456704601682,0.1874319643740722,0.1012370113805047,0.0643245917862444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.1534071453030476,0.2357414448669201,0.2485168094924192,,0.2656886715566422,0.2708074534161491,0.2466257668711655,0.133489784649365,0.1758620689655172,0.223314606741573,,0.019468341039772,0.0824597494273218,0.1017856605026108,0.0713835525461739,0.2357414448669201,Materials,15.0,1.0,8,6.9191896566078,922.3,876.1,7.92443418488756,7.419320629083128,7.871120418242221,7.38417577602395
NUE,1997Q2,1997,Q2,0,1,0,0,1035.1,205.1,830.0,90.3,38.1,167.0,114.8,114.0,73.0,0.0,73.0,2782.6,1732.0,2763.0,1666.9,0.0,0.0368080378707371,0.1981451067529707,0.1109071587286252,0.0705245869964254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1360992207222038,0.3224637681159419,0.2778816199376948,,0.2986003110419908,0.3364377182770661,0.3302217036172694,0.1057820410338394,0.19435736677116,0.210455764075067,,0.0512791004397681,0.1247975499229385,0.1763389094022174,0.1640389712399137,0.3224637681159419,Materials,15.0,2.0,9,6.943218943257706,1010.5,911.1,7.931500332970695,7.457609289715606,7.92443418488756,7.419320629083128
NUE,1997Q3,1997,Q3,0,0,1,0,1101.6,219.6,882.0,94.7,40.5,179.1,124.9,125.0,80.0,0.0,80.0,2926.8,1804.2,2782.6,1732.0,0.0,0.0367647058823529,0.1993464052287581,0.1133805374001452,0.0726216412490922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1751653509707702,0.3816925734024179,0.3071428571428571,,0.321771217712177,0.389321468298109,0.3935340022296543,0.1463478034832337,0.2461538461538461,0.2125480153649168,,0.0604072398190045,0.1123054777466543,0.1822348805216478,0.1757431175630235,0.3816925734024179,Materials,15.0,3.0,10,7.0054263061555835,1035.1,937.4,7.9820065667373115,7.498426667952846,7.931500332970695,7.457609289715606
