ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
OXY,1995Q2,1995,Q2,0,1,0,0,2679.0,927.0,1752.0,588.0,353.0,574.0,339.0,293.0,187.0,0.0,187.0,17635.0,4655.0,17905.0,4550.0,0.0,0.1317655841731989,0.3460246360582307,0.1265397536394177,0.0698021649869354,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,10.0,2.0,1,7.893572073504902,2714.0,,9.777697546477828,8.445911989411274,9.792891131194102,8.423102268016642
OXY,1995Q3,1995,Q3,0,0,1,0,2557.0,829.0,1728.0,489.0,254.0,575.0,340.0,251.0,139.0,0.0,139.0,17446.0,4699.0,17635.0,4655.0,0.0,0.0993351583887368,0.3242080563159953,0.1329683222526398,0.0543605788032851,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,10.0,3.0,2,7.846980982138788,2679.0,,9.766922993079902,8.45531778769815,9.777697546477828,8.445911989411274
OXY,1995Q4,1995,Q4,0,0,0,1,2473.0,655.0,1818.0,537.0,292.0,363.0,118.0,37.0,7.0,0.0,7.0,17815.0,4630.0,17446.0,4699.0,0.0,0.1180752122927618,0.2648604933279417,0.0477153255155681,0.0028305701577031,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,10.0,4.0,3,7.813591552952433,2557.0,,9.787852208937204,8.440528106480752,9.766922993079902,8.45531778769815
OXY,1996Q1,1996,Q1,1,0,0,0,2524.0,874.0,1650.0,474.0,250.0,624.0,400.0,308.0,134.0,0.0,134.0,17469.0,4669.0,17815.0,4630.0,0.0,0.0990491283676703,0.3462757527733756,0.1584786053882725,0.0530903328050713,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,-0.0700073691967575,-0.2471910112359551,-0.0363836824696802,,-0.0574018126888217,-0.0566037735849056,-0.072289156626506,-0.0868843386828998,0.0204081632653061,-0.0186335403726708,,0.0972217730198259,0.0361547883428239,0.0144125826032353,-0.1905215548709913,-0.2471910112359551,Energy,10.0,1.0,4,7.83399634170946,2473.0,2714.0,9.768240403128102,8.448914350662942,9.787852208937204,8.440528106480752
OXY,1996Q2,1996,Q2,0,1,0,0,2457.0,819.0,1638.0,538.0,311.0,508.0,281.0,328.0,181.0,0.0,181.0,17492.0,4839.0,17469.0,4669.0,0.0,0.1265771265771265,0.3333333333333333,0.1143671143671143,0.0736670736670736,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.0828667413213886,-0.0320855614973262,-0.1165048543689319,,-0.1149825783972126,-0.1710914454277285,0.1194539249146757,-0.0650684931506849,-0.1189801699716713,-0.0850340136054421,,-0.0393764246455463,-0.0366774541531823,-0.0961961669926271,0.0553694671341731,-0.0320855614973262,Energy,10.0,2.0,5,7.80710329012598,2524.0,2679.0,9.769556079890267,8.484669999710677,9.768240403128102,8.448914350662942
OXY,1996Q3,1996,Q3,0,0,1,0,2786.0,860.0,1926.0,595.0,359.0,501.0,265.0,235.0,194.0,0.0,194.0,17334.0,5069.0,17492.0,4839.0,0.0,0.1288585786073223,0.308686288585786,0.0951184493898061,0.0696338837042354,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0895580758701604,0.39568345323741,0.0373944511459589,,-0.128695652173913,-0.2205882352941176,-0.0637450199203187,0.1145833333333332,0.4133858267716535,0.2167689161554191,,0.2972101791296189,-0.0478759470279192,-0.2846533085596049,0.2809628822426626,0.39568345323741,Energy,10.0,3.0,6,7.932721027481948,2457.0,2557.0,9.760482858119124,8.531096096585228,9.769556079890267,8.484669999710677
OXY,1996Q4,1996,Q4,0,0,0,1,2792.0,945.0,1847.0,594.0,353.0,592.0,351.0,281.0,159.0,0.0,159.0,14981.0,5140.0,17334.0,5069.0,0.0,0.126432664756447,0.3384670487106017,0.1257163323782235,0.0569484240687679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.1289931257581884,21.714285714285715,0.4427480916030535,,0.6308539944903582,1.9745762711864407,6.594594594594595,0.0159515951595159,0.2089041095890411,0.1061452513966481,,0.0707807532284021,0.2779068877272033,1.634716016706328,19.119064674580432,21.714285714285715,Energy,10.0,4.0,7,7.934871565945177,2786.0,2473.0,9.614604759507829,8.545002892055505,9.760482858119124,8.531096096585228
OXY,1997Q1,1997,Q1,1,0,0,0,1917.0,763.0,1154.0,487.0,196.0,567.0,363.0,288.0,179.0,0.0,179.0,17534.0,5217.0,14981.0,5140.0,0.0,0.1022430881585811,0.398017736045905,0.189358372456964,0.0933750652060511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.2404912836767037,0.335820895522388,-0.1270022883295194,,-0.0913461538461538,-0.0925,-0.0649350649350649,-0.3006060606060606,-0.2159999999999999,0.0274261603375527,,0.0322462180490348,0.1494242171394331,0.1948513302034429,0.7587960043289035,0.335820895522388,Energy,10.0,1.0,8,7.559038255443384,2792.0,2524.0,9.771954162574279,8.559869465696673,9.614604759507829,8.545002892055505
OXY,1997Q2,1997,Q2,0,1,0,0,2717.0,853.0,1864.0,483.0,237.0,654.0,370.0,295.0,158.0,0.0,158.0,17676.0,5286.0,17534.0,5217.0,0.0,0.0872285609127714,0.3139492086860508,0.1361796098638203,0.0581523739418476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1058201058201058,-0.1270718232044199,0.0415140415140415,,0.2874015748031495,0.3167259786476868,-0.1006097560975609,0.1379731379731379,-0.2379421221864951,-0.1022304832713755,,-0.3108663210203234,-0.0581523739418475,0.1907234926526928,-0.2106056200269634,-0.1270718232044199,Energy,10.0,2.0,9,7.907651594711089,1917.0,2457.0,9.780019638535883,8.57300625623545,9.771954162574279,8.559869465696673
OXY,1997Q3,1997,Q3,0,0,1,0,2007.0,767.0,1240.0,520.0,254.0,513.0,287.0,205.0,157.0,0.0,157.0,17570.0,5357.0,17676.0,5286.0,0.0,0.1265570503238664,0.3821624314897857,0.1429995017438963,0.0782262082710513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.2796123474515434,-0.190721649484536,-0.1081395348837209,,0.0239520958083832,0.0830188679245282,-0.127659574468085,-0.3561786085150571,-0.2924791086350975,-0.1260504201680672,,-0.0178608852303845,0.238028528058771,0.5033834409754538,0.1233928672327266,-0.190721649484536,Energy,10.0,3.0,10,7.60489448081162,2717.0,2786.0,9.774005094757891,8.586346050104554,9.780019638535883,8.57300625623545
