ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
PHM,1995Q2,1995,Q2,0,1,0,0,485.5,18.6,466.9,2.5,0.0,18.6,16.1,16.0,10.7,0.0,10.7,1962.1,709.9,1907.0,708.2,0.0,0.0,0.0383110195674562,0.0331616889804325,0.0220391349124613,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Discretionary,25.0,2.0,1,6.1872369016260595,332.9,,7.5822801354139875,6.566531772935438,7.553810852008231,6.5641375742000525
PHM,1995Q3,1995,Q3,0,0,1,0,543.3,29.3,514.0,2.1,0.0,29.5,27.2,27.3,18.8,0.0,18.8,1906.3,734.7,1962.1,709.9,0.0,0.0,0.0539296889379716,0.0500644211301306,0.0346033498987668,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Discretionary,25.0,3.0,2,6.299500565440154,485.5,,7.553443908382381,6.600822426938219,7.5822801354139875,6.566531772935438
PHM,1995Q4,1995,Q4,0,0,0,1,667.4,39.9,627.5,0.5,0.0,39.9,39.4,39.5,25.4,0.0,25.4,2048.5,761.0,1906.3,734.7,0.0,0.0,0.0597842373389271,0.0590350614324243,0.0380581360503446,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Discretionary,25.0,4.0,3,6.504886796721238,543.3,,7.625351139944392,6.635946555686647,7.553443908382381,6.600822426938219
PHM,1996Q1,1996,Q1,1,0,0,0,432.5,10.2,422.3,1.6,0.0,10.2,8.6,8.6,7.1,0.0,7.1,1921.0,754.1,2048.5,761.0,0.0,0.0,0.0235838150289017,0.0198843930635838,0.0164161849710982,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.2991889456293182,1.0285714285714285,19.4,,19.4,-13.285714285714286,-13.285714285714286,0.2704572803850784,,0.3333333333333335,,,14.702104046242772,-10.45644921552436,0.5614137076796035,1.0285714285714285,Consumer Discretionary,25.0,1.0,4,6.071891796220597,667.4,332.9,7.561121589530238,6.62685019080938,7.625351139944392,6.635946555686647
PHM,1996Q2,1996,Q2,0,1,0,0,588.4,29.3,559.1,1.7,0.0,29.3,27.6,27.6,18.2,0.0,18.2,1851.1,716.0,1921.0,754.1,0.0,0.0,0.0497960571040108,0.0469068660774983,0.0309313392250169,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.2119464469618948,0.7009345794392523,0.575268817204301,,0.575268817204301,0.7142857142857142,0.7250000000000001,0.197472692225316,,-0.32,,,0.2997841787095312,0.4144896571817034,0.403473382593061,0.7009345794392523,Consumer Discretionary,25.0,2.0,5,6.379105070303594,432.5,485.5,7.524075409428756,6.57507584059962,7.561121589530238,6.62685019080938
PHM,1996Q3,1996,Q3,0,0,1,0,625.2,29.6,595.6,2.2,0.0,29.6,27.4,27.4,127.6,0.0,127.6,1948.6,809.3,1851.1,716.0,0.0,0.0,0.0473448496481126,0.0438259756877799,0.2040946896992962,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.150745444505798,5.787234042553191,0.0102389078498292,,0.0033898305084745,0.0073529411764705,0.0036630036630036,0.1587548638132296,,0.0476190476190476,,,-0.1221004500402876,-0.1246083606187198,4.898119410299341,5.787234042553191,Consumer Discretionary,25.0,3.0,6,6.4396698088923054,588.4,543.3,7.575379502310996,6.69740454946668,7.524075409428756,6.57507584059962
PHM,1996Q4,1996,Q4,0,0,0,1,738.3,40.2,698.1,1.2,0.0,40.2,39.0,38.9,26.7,0.0,26.7,1985.1,829.3,1948.6,809.3,0.0,0.0,0.0544494108086143,0.0528240552620885,0.0361641609101991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.1062331435421035,0.0511811023622048,0.0075187969924812,,0.0075187969924812,-0.0101522842639593,-0.0151898734177216,0.1125099601593626,,1.4,,,-0.0892346673265853,-0.105208769494469,-0.0497653152965793,0.0511811023622048,Consumer Discretionary,25.0,4.0,7,6.605703792563054,625.2,667.4,7.593928195804746,6.721787081267985,7.575379502310996,6.69740454946668
PHM,1997Q1,1997,Q1,1,0,0,0,431.7,2.3,429.4,0.3,0.0,2.3,2.0,2.0,2.2,0.0,2.2,1878.5,832.9,1985.1,829.3,0.0,0.0,0.005327773917072,0.0046328468844104,0.0050961315728515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.0018497109826589,-0.6901408450704225,-0.7745098039215687,,-0.7745098039215687,-0.7674418604651163,-0.7674418604651163,0.0168126923987685,,-0.8125,,,-0.7740919393006218,-0.7670108979642409,-0.6895666330622139,-0.6901408450704225,Consumer Discretionary,25.0,1.0,8,6.070044647230839,738.3,432.5,7.538761063004233,6.726113491092939,7.593928195804746,6.721787081267985
PHM,1997Q2,1997,Q2,0,1,0,0,576.3,23.9,552.4,3.3,0.0,23.9,20.6,20.6,13.9,0.0,13.9,1972.7,771.0,1878.5,832.9,0.0,0.0,0.0414714558389727,0.0357452715599514,0.0241193822661808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.0205642420122366,-0.2362637362637362,-0.1843003412969284,,-0.1843003412969284,-0.2536231884057971,-0.2536231884057971,-0.0119835449830084,,0.9411764705882352,,,-0.1671739039026768,-0.2379522541349488,-0.2202283227790775,-0.2362637362637362,Consumer Discretionary,25.0,2.0,9,6.358362062066888,431.7,588.4,7.587665232760062,6.648984550024776,7.538761063004233,6.726113491092939
PHM,1997Q3,1997,Q3,0,0,1,0,669.9,31.8,638.1,1.6,0.0,31.8,30.2,30.2,19.7,0.0,19.7,2015.8,794.9,1972.7,771.0,0.0,0.0,0.0474697716077026,0.045081355426183,0.0294073742349604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0714971209213051,-0.8456112852664577,0.0743243243243243,,0.0743243243243243,0.1021897810218979,0.1021897810218979,0.0713566151779718,,-0.2727272727272727,,,0.0026385543626925,0.0286446500894024,-0.8559130848613067,-0.8456112852664577,Consumer Discretionary,25.0,3.0,10,6.508620094568842,576.3,625.2,7.60926737587371,6.679473549811804,7.587665232760062,6.648984550024776
