ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
PPG,1995Q2,1995,Q2,0,1,0,0,1870.4,761.1,1109.3,400.4,258.2,443.6,360.7,352.4,216.8,59.3,276.1,6177.4,2815.7,6148.0,2746.6,0.0317044482463644,0.1380453378956372,0.4069183062446535,0.1928464499572283,0.1159110350727117,56.9,,,,,,,,,,,,0.0326861213235294,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,15.0,2.0,1,7.534442092841813,1740.8,,8.728814617255054,7.943321265932611,8.724044745953469,7.918483082339726
PPG,1995Q3,1995,Q3,0,0,1,0,1724.1,694.7,1029.4,389.8,246.8,388.1,304.9,276.8,170.4,59.8,230.2,6188.4,2641.0,6177.4,2815.7,0.0346847630647874,0.1431471492372832,0.4029348645670205,0.1768458906095934,0.0988341743518357,59.3,56.9,,,,,,,,,,,0.0317044482463644,0.0326861213235294,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,15.0,3.0,2,7.453040298799698,1870.4,,8.730593430447456,7.879291485082271,8.728814617255054,7.943321265932611
PPG,1995Q4,1995,Q4,0,0,0,1,1722.4,677.1,1045.3,386.4,240.6,376.1,290.7,262.5,161.2,60.4,221.6,6194.0,2569.2,6188.4,2641.0,0.0350673478866697,0.1396888063167672,0.3931142591732466,0.168776126335346,0.0935903390617742,59.8,59.3,56.9,,,,,,,,,,0.0346847630647874,0.0317044482463644,0.0326861213235294,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,15.0,4.0,3,7.452054362805667,1724.1,,8.731497794063243,7.851738995873041,8.730593430447456,7.879291485082271
PPG,1996Q1,1996,Q1,1,0,0,0,1748.8,681.6,1067.2,380.7,238.9,384.1,300.9,281.6,172.3,58.6,230.9,6346.9,2499.8,6194.0,2569.2,0.0335086916742909,0.1366079597438243,0.3897529734675206,0.1720608417200365,0.0985247026532479,60.4,59.8,59.3,56.9,,,,,,,,,0.0350673478866697,0.0346847630647874,0.0317044482463644,0.0326861213235294,,,,,,,,,0.0045955882352941,-0.2139598540145985,-0.0436368738599691,0.0298769771528999,-0.0947442847042187,-0.126052860877142,-0.2080989876265466,0.0380313199105146,0.0319654427645788,0.0333876221498372,0.0251657375501876,0.0272446493393061,-0.0480118195422198,-0.1300507892354351,-0.2175556460822352,-0.1637088011590002,Materials,15.0,1.0,4,7.4672567746721645,1722.4,1740.8,8.75587932852915,7.824365959667213,8.731497794063243,7.851738995873041
PPG,1996Q2,1996,Q2,0,1,0,0,1913.6,785.7,1127.9,394.3,252.7,474.8,391.4,372.8,228.5,58.2,286.7,6501.6,2481.0,6346.9,2499.8,0.0304138795986622,0.1320547658862876,0.4105873745819398,0.2045359531772575,0.1194084448160535,58.6,60.4,59.8,59.3,56.9,,,,,,,,0.0335086916742909,0.0350673478866697,0.0346847630647874,0.0317044482463644,0.0326861213235294,,,,,,,,0.0230966638152265,0.0539667896678965,0.032321639731967,-0.0185497470489037,0.0703336339044182,0.0851122816745217,0.0578887627695801,0.0167673307491211,-0.0213013168086754,-0.0152347652347651,-0.0407062326924484,-0.0433956850747002,0.0090167197714627,0.0606155997303645,0.0301732250182034,0.0383918869974646,Materials,15.0,2.0,5,7.557264002512253,1748.8,1870.4,8.779957375905056,7.8168199657645525,8.75587932852915,7.824365959667213
PPG,1996Q3,1996,Q3,0,0,1,0,1801.2,729.1,1072.1,393.6,249.3,420.8,335.5,311.6,191.1,59.0,250.1,6425.7,2562.5,6501.6,2481.0,0.0327559404841217,0.1384077281812125,0.4047856984232734,0.1862647124139462,0.1060959360426382,58.2,58.6,60.4,59.8,59.3,56.9,,,,,,,0.0304138795986622,0.0335086916742909,0.0350673478866697,0.0346847630647874,0.0317044482463644,0.0326861213235294,,,,,,,0.044718983817644,0.1214788732394365,0.0495177774578954,-0.0133779264214046,0.0842566348879154,0.1003607740242702,0.1257225433526012,0.0414804740625605,0.0101296596434359,0.0097485890200101,-0.0556100838014345,-0.033108735181408,0.004593382253585,0.0532600546831247,0.0734741979525386,0.0864465682015638,Materials,15.0,3.0,6,7.496763419800937,1913.6,1724.1,8.768216466204967,7.849128791223755,8.779957375905056,7.8168199657645525
PPG,1996Q4,1996,Q4,0,0,0,1,1754.5,681.4,1073.1,415.0,263.4,354.7,266.4,249.0,152.1,63.3,215.4,6441.0,2482.6,6425.7,2562.5,0.0360786548874323,0.1501282416642918,0.3883727557708749,0.1518381305215161,0.086691365061271,59.0,58.2,58.6,60.4,59.8,59.3,56.9,,,,,,0.0327559404841217,0.0304138795986622,0.0335086916742909,0.0350673478866697,0.0346847630647874,0.0317044482463644,0.0326861213235294,,,,,,0.0186367858801672,-0.0564516129032257,0.0063506129079899,0.0480132450331125,-0.056899760701941,-0.0835913312693499,-0.0514285714285713,0.0265952358174685,0.0947630922693265,0.074016563146998,0.0288389930151231,0.0747335138926694,-0.0120613874763625,-0.1003577708625408,-0.073714595648057,-0.0279783393501805,Materials,15.0,4.0,7,7.470508995608487,1801.2,1722.4,8.770594329891145,7.817464399490738,8.768216466204967,7.849128791223755
PPG,1997Q1,1997,Q1,1,0,0,0,1776.6,689.8,1086.8,390.4,247.7,384.1,299.4,271.9,166.0,58.0,224.0,6553.2,2452.8,6441.0,2482.6,0.0326466283913092,0.1394236181470224,0.3882697286952606,0.1685241472475515,0.0934369019475402,63.3,59.0,58.2,58.6,60.4,59.8,59.3,56.9,,,,,0.0360786548874323,0.0327559404841217,0.0304138795986622,0.0335086916742909,0.0350673478866697,0.0346847630647874,0.0317044482463644,0.0326861213235294,,,,,0.0158966148215919,-0.0365641323273361,0.0120305164319247,-0.0102389078498293,0.0,-0.0049850448654037,-0.0344460227272729,0.0183658170914542,0.0368354960234407,0.0254793800893091,-0.0257265574962183,0.02061123237971,-0.0038056021973713,-0.0205549062594946,-0.0516398483699456,-0.0298830662624512,Materials,15.0,1.0,8,7.483019418885365,1754.5,1748.8,8.787861344508759,7.805393122357082,8.770594329891145,7.817464399490738
PPG,1997Q2,1997,Q2,0,1,0,0,1944.0,798.0,1146.0,424.0,275.0,462.0,374.0,356.0,218.0,61.0,279.0,6566.0,2464.0,6553.2,2452.8,0.0313786008230452,0.1414609053497942,0.4104938271604938,0.1923868312757201,0.1121399176954732,58.0,63.3,59.0,58.2,58.6,60.4,59.8,59.3,56.9,,,,0.0326466283913092,0.0360786548874323,0.0327559404841217,0.0304138795986622,0.0335086916742909,0.0350673478866697,0.0346847630647874,0.0317044482463644,0.0326861213235294,,,,0.0158862876254182,-0.0459518599562362,0.0156548300878196,0.0481099656357388,-0.0269587194608256,-0.0444557996934081,-0.0450643776824034,0.0160475219434346,0.0882469331222794,0.0753233578493532,0.0317197686422581,0.0712290798471162,-0.0002278380370104,-0.0593984662002603,-0.0608711312820235,-0.0268573421695151,Materials,15.0,2.0,9,7.573017256052546,1776.6,1913.6,8.789812386190972,7.80994708647679,8.787861344508759,7.805393122357082
PPG,1997Q3,1997,Q3,0,0,1,0,1812.0,733.0,1079.0,417.0,266.0,404.0,316.0,279.0,171.0,63.0,234.0,6538.0,2483.0,6566.0,2464.0,0.0347682119205298,0.1467991169977925,0.4045253863134658,0.1743929359823399,0.0943708609271523,61.0,58.0,63.3,59.0,58.2,58.6,60.4,59.8,59.3,56.9,,,0.0313786008230452,0.0326466283913092,0.0360786548874323,0.0327559404841217,0.0304138795986622,0.0335086916742909,0.0350673478866697,0.0346847630647874,0.0317044482463644,0.0326861213235294,,,0.0059960026648899,-0.1051805337519623,0.0053490604855299,0.0677966101694915,-0.0399239543726236,-0.0581222056631892,-0.1046213093709884,0.0064359667941424,0.0669875651825109,0.059451219512195,0.061432259512852,0.0606280366483107,-0.0006430862325955,-0.0637360468214881,-0.1105138948090699,-0.0643742502998799,Materials,15.0,3.0,10,7.502738210754851,1944.0,1801.2,8.785539527561276,7.81762544305337,8.789812386190972,7.80994708647679
PPG,1997Q4,1997,Q4,0,0,0,1,1846.0,761.0,1085.0,435.0,280.0,413.0,326.0,242.0,159.0,68.0,227.0,6868.0,2509.0,6538.0,2483.0,0.0368364030335861,0.151679306608884,0.4122426868905742,0.1765980498374864,0.0861321776814734,63.0,61.0,58.0,63.3,59.0,58.2,58.6,60.4,59.8,59.3,56.9,,0.0347682119205298,0.0313786008230452,0.0326466283913092,0.0360786548874323,0.0327559404841217,0.0304138795986622,0.0335086916742909,0.0350673478866697,0.0346847630647874,0.0317044482463644,0.0326861213235294,,0.0521516101453405,0.0453648915187376,0.116818315233343,0.0742496050552923,0.164364251480124,0.2237237237237237,-0.0281124497991968,0.0110893672537508,0.0630220197418376,0.0481927710843372,0.021002671760298,0.0103316000200726,0.061461394407855,0.163067862011524,-0.0064503238517739,0.053853296193129,Materials,15.0,4.0,11,7.52131798019924,1812.0,1754.5,8.834773814213882,7.828038032125829,8.785539527561276,7.81762544305337
