ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
QCOM,1995Q2,1995,Q2,0,1,0,0,99.5,53.5,46.0,50.1,21.0,11.2,3.4,8.1,7.3,21.3,28.6,399.2,289.1,367.6,278.5,0.2140703517587939,0.2110552763819095,0.5376884422110553,0.0341708542713567,0.0733668341708542,17.7,,,,,,,,,,,,0.1971046770601336,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Technology,45.0,2.0,1,4.61015772749913,89.8,,5.991964422149633,5.670225691127358,5.909712045235723,5.633002292595154
QCOM,1995Q3,1995,Q3,0,0,1,0,121.5,61.6,59.9,52.6,19.5,18.4,9.0,17.6,10.9,23.7,34.6,940.7,799.6,399.2,289.1,0.1950617283950617,0.1604938271604938,0.5069958847736625,0.074074074074074,0.0897119341563786,21.3,17.7,,,,,,,,,,,0.2140703517587939,0.1971046770601336,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Technology,45.0,3.0,2,4.808111029984782,99.5,,6.847686752516018,6.685361446558473,5.991964422149633,5.670225691127358
QCOM,1995Q4,1995,Q4,0,0,0,1,146.6,61.4,85.2,58.9,26.7,-4.5,2.5,14.0,10.1,32.2,42.3,961.4,810.9,940.7,799.6,0.2196452933151432,0.1821282401091405,0.4188267394270122,0.0170532060027285,0.0688949522510232,23.7,21.3,17.7,,,,,,,,,,0.1950617283950617,0.2140703517587939,0.1971046770601336,,,,,,,,,,,,,,,,,,,,,,,,,,Information Technology,45.0,4.0,3,4.994505912166372,121.5,,6.869430164660469,6.6993771798684,6.847686752516018,6.685361446558473
QCOM,1996Q1,1996,Q1,1,0,0,0,149.3,64.0,85.3,72.5,25.0,3.7,-8.5,0.1,1.5,35.3,36.8,974.1,820.2,961.4,810.9,0.2364367046215672,0.1674480910917615,0.4286671131949095,-0.0569323509711989,0.0100468854655056,32.2,23.7,21.3,17.7,,,,,,,,,0.2196452933151432,0.1950617283950617,0.2140703517587939,0.1971046770601336,,,,,,,,,0.6625835189309579,-0.75,0.3704496788008564,0.9943502824858756,-0.6837606837606838,-2.976744186046512,-0.9859154929577464,0.9791183294663572,0.4044943820224718,0.7099056603773586,0.1995489307919062,-0.1552337876381918,-0.1757107759121441,-2.1889593295845726,-0.8496316141995981,0.5527426160337552,Information Technology,45.0,1.0,4,5.012633296758929,146.6,89.8,6.882540029841073,6.710766685144779,6.869430164660469,6.6993771798684
QCOM,1996Q2,1996,Q2,0,1,0,0,234.9,89.6,145.3,95.3,33.3,5.5,-5.7,1.8,1.5,46.7,48.2,1034.6,829.7,974.1,820.2,0.1988080034057045,0.1417624521072796,0.3814389101745423,-0.0242656449553001,0.0063856960408684,35.3,32.2,23.7,21.3,17.7,,,,,,,,0.2364367046215672,0.2196452933151432,0.1950617283950617,0.2140703517587939,0.1971046770601336,,,,,,,,1.3608040201005025,-0.7945205479452054,0.6747663551401868,1.192488262910798,-0.5089285714285714,-2.6764705882352944,-0.7777777777777778,2.1586956521739133,0.5857142857142856,0.902195608782435,-0.0712959465320373,-0.3283160007297939,-0.2905949240679072,-1.7101269626624596,-0.9129620882100806,0.6853146853146854,Information Technology,45.0,2.0,5,5.463407986413629,149.3,99.5,6.942736247877383,6.722268718845026,6.882540029841073,6.710766685144779
QCOM,1996Q3,1996,Q3,0,0,1,0,283.2,107.5,175.7,103.5,38.3,21.1,4.0,10.6,7.9,48.1,56.0,1185.3,844.9,1034.6,829.7,0.1698446327683616,0.1352401129943502,0.379590395480226,0.0141242937853107,0.0278954802259887,46.7,35.3,32.2,23.7,21.3,17.7,,,,,,,0.1988080034057045,0.2364367046215672,0.2196452933151432,0.1950617283950617,0.2140703517587939,0.1971046770601336,,,,,,,1.3308641975308642,-0.2752293577981651,0.7451298701298701,1.0295358649789033,0.1467391304347827,-0.5555555555555556,-0.3977272727272728,1.93322203672788,0.964102564102564,0.9676806083650188,-0.1292775155546019,-0.1573500651890482,-0.251294918005723,-0.809322033898305,-0.6890549681231535,0.6184971098265895,Information Technology,45.0,3.0,6,5.649678215663,234.9,121.5,7.078594498667058,6.740401149309969,6.942736247877383,6.722268718845026
QCOM,1996Q4,1996,Q4,0,0,0,1,388.94,101.73,287.21,88.711,42.533,32.023,13.019,12.168,9.126,46.178,55.304,1311.9,855.276,1185.3,844.9,0.1187278243430863,0.1093561988995732,0.2615570525016712,0.0334730292590116,0.0234637733326477,48.1,46.7,35.3,32.2,23.7,21.3,17.7,,,,,,0.1698446327683616,0.1988080034057045,0.2364367046215672,0.2196452933151432,0.1950617283950617,0.2140703517587939,0.1971046770601336,,,,,,1.6530695770804913,-0.0964356435643564,0.6568403908794789,0.4340993788819873,-8.116222222222223,4.2076,-0.1308571428571429,2.3710093896713613,0.5929962546816481,0.5061290322580645,-0.4594565512827188,-0.3995648404989725,-0.3755005880008957,0.9628584357484448,-0.6594268147954303,0.3074231678486996,Information Technology,45.0,4.0,7,5.965992881134312,283.2,146.6,7.179993709940065,6.752592754078933,7.078594498667058,6.740401149309969
QCOM,1997Q1,1997,Q1,1,0,0,0,585.746,130.552,455.194,115.01,53.112,38.213,15.542,22.327,16.745,53.106,69.851,2039.993,888.489,1311.9,855.276,0.0906638713708672,0.0906741147186664,0.2228815903138903,0.0265336852492377,0.0285874764829806,46.178,48.1,46.7,35.3,32.2,23.7,21.3,17.7,,,,,0.1187278243430863,0.1698446327683616,0.1988080034057045,0.2364367046215672,0.2196452933151432,0.1950617283950617,0.2140703517587939,0.1971046770601336,,,,,2.923281982585398,10.163333333333334,1.039875,0.5044192634560909,9.327837837837835,-2.828470588235294,222.27,4.336389214536929,1.12448,0.5863448275862069,-0.6165406233521109,-0.4584941869001239,-0.4800590400958776,-1.4660563773777873,1.845406825939344,0.8981250000000001,Information Technology,45.0,1.0,8,6.3745920174944315,388.94,149.3,7.621191733112636,6.790647140531392,7.179993709940065,6.752592754078933
QCOM,1997Q2,1997,Q2,0,1,0,0,520.26,164.837,355.423,131.775,66.932,57.275,33.062,35.831,35.945,64.843,100.788,2050.291,964.854,2039.993,888.489,0.1246357590435551,0.1286510590858417,0.3168358128627993,0.0635489947334025,0.0690904547726136,53.106,46.178,48.1,46.7,35.3,32.2,23.7,21.3,17.7,,,,0.0906638713708672,0.1187278243430863,0.1698446327683616,0.1988080034057045,0.2364367046215672,0.2196452933151432,0.1950617283950617,0.2140703517587939,0.1971046770601336,,,,1.2148148148148148,22.96333333333333,0.8396986607142858,0.3885010706638114,9.413636363636364,-6.800350877192982,18.906111111111112,1.446132140399174,1.00996996996997,0.3827387198321093,-0.3730848008708542,-0.0924884750971705,-0.1693668254300048,-3.618887519802852,9.819565217391304,1.0910373443983403,Information Technology,45.0,2.0,9,6.256248957581266,585.746,234.9,7.626224630016857,6.873012684073555,7.621191733112636,6.790647140531392
QCOM,1997Q3,1997,Q3,0,0,1,0,601.419,181.24,420.179,145.406,73.611,63.544,35.834,38.108,30.118,71.795,101.913,2274.68,1024.178,2050.291,964.854,0.1193760090718783,0.1223955345607638,0.3013539645405283,0.0595824209078861,0.0500782316488172,64.843,53.106,46.178,48.1,46.7,35.3,32.2,23.7,21.3,17.7,,,0.1246357590435551,0.0906638713708672,0.1187278243430863,0.1698446327683616,0.1988080034057045,0.2364367046215672,0.2196452933151432,0.1950617283950617,0.2140703517587939,0.1971046770601336,,,1.123654661016949,2.812405063291139,0.685953488372093,0.4926195426195425,2.011563981042653,7.958500000000001,2.595094339622641,1.3914570290267505,0.9219582245430812,0.4048888888888888,-0.2971458260050739,-0.0949760995402528,-0.2061075092290454,3.2184354002783424,0.795209519360131,0.8198749999999999,Information Technology,45.0,3.0,10,6.40095321649294,520.26,283.2,7.730034187821918,6.932621535032196,7.626224630016857,6.873012684073555
