ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
ROK,1995Q2,1995,Q2,0,1,0,0,3452.4,939.8,2512.6,594.1,445.8,494.0,345.7,326.4,197.0,0.0,197.0,12809.8,3660.7,12662.0,3496.4,0.0,0.1291275634341327,0.2722164291507357,0.1001332406441895,0.0570617541420461,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,2.0,1,8.14711453197833,3361.0,,9.458043844150776,8.205682799431878,9.44643963445061,8.15977511427956
ROK,1995Q3,1995,Q3,0,0,1,0,3662.7,1093.6,2569.1,660.9,496.4,597.2,432.7,309.5,188.9,0.0,188.9,12505.0,3782.0,12809.8,3660.7,0.0,0.1355284353072869,0.2985775520790673,0.1181368935484751,0.0515739754825675,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,3.0,2,8.2062288447126,3452.4,,9.433963808127244,8.23827262463303,9.458043844150776,8.205682799431878
ROK,1995Q4,1995,Q4,0,0,0,1,3094.0,919.0,2175.0,556.0,411.0,508.0,363.0,316.0,192.0,0.0,192.0,12027.0,3908.0,12505.0,3782.0,0.0,0.1328377504848093,0.2970265029088558,0.1173238526179702,0.0620555914673561,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,4.0,3,8.037543185118697,3662.7,,9.394992544108419,8.271036865792954,9.433963808127244,8.23827262463303
ROK,1996Q1,1996,Q1,1,0,0,0,3464.0,1020.0,2444.0,620.0,473.0,547.0,400.0,350.0,214.0,0.0,214.0,12350.0,4050.0,12027.0,3908.0,0.0,0.1365473441108545,0.2944572748267898,0.115473441108545,0.0617782909930716,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0306456411782207,0.1180773249738766,0.0991379310344826,,0.1318021932547071,0.1614401858304297,0.1034047919293821,0.0045211672831895,0.0636384079154486,0.0623714873200822,,0.0320117462482167,0.066455711953492,0.1269054458937859,0.0848319541677828,0.1180773249738766,Industrials,20.0,1.0,4,8.150467911624004,3094.0,3361.0,9.421492310438014,8.30671904320269,9.394992544108419,8.271036865792954
ROK,1996Q2,1996,Q2,0,1,0,0,1891.0,671.0,1220.0,439.0,324.0,347.0,396.0,376.0,223.0,0.0,223.0,12542.0,4190.0,12350.0,4050.0,0.0,0.1713379164463247,0.3548387096774194,0.2094130089899524,0.1179270227392913,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.4522650909512223,0.131979695431472,-0.2860183017663332,,-0.2975708502024291,0.1455018802429852,0.1519607843137256,-0.5144471861816444,-0.2732166890982503,-0.2610671604107053,,0.3268887903528295,0.3035168773040251,1.0913435702543004,1.0666561081478658,0.131979695431472,Industrials,20.0,2.0,5,7.545389749611823,3464.0,3452.4,9.436918020024674,8.340694647925071,9.421492310438014,8.30671904320269
ROK,1996Q3,1996,Q3,0,0,1,0,400.0,139.0,261.0,343.0,267.0,-128.0,-204.0,-146.0,97.0,0.0,97.0,10065.0,4256.0,12542.0,4190.0,0.0,0.6675,0.3475,-0.51,0.2425,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-0.8907909465694706,-0.486500794070937,-0.8728968544257498,,-1.214333556597455,-1.4714582851860412,-1.4717285945072698,-0.8984080028025379,-0.4621273166800966,-0.4810107429263126,,3.925165692989524,0.1638517282370153,-5.317025652877282,3.701983853890948,-0.486500794070937,Industrials,20.0,3.0,6,5.993961427306569,1891.0,3662.7,9.216918687336305,8.356319965828153,9.436918020024674,8.340694647925071
ROK,1996Q4,1996,Q4,0,0,0,1,2608.0,807.0,1801.0,532.0,390.0,417.0,275.0,290.0,179.0,0.0,179.0,9675.0,5477.0,10065.0,4256.0,0.0,0.1495398773006135,0.3094325153374233,0.1054447852760736,0.0686349693251533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-0.1570782159017453,-0.0677083333333333,-0.1218715995647442,,-0.1791338582677165,-0.2424242424242424,-0.0822784810126582,-0.1719540229885057,-0.0510948905109489,-0.0431654676258992,,0.1257332855671487,0.0417673584918256,-0.1012502323852017,0.1060239327709611,-0.0677083333333333,Industrials,20.0,4.0,7,7.866722285136729,400.0,3094.0,9.177403871729918,8.608495349823023,9.216918687336305,8.356319965828153
ROK,1997Q1,1997,Q1,1,0,0,0,1899.0,655.0,1244.0,420.0,339.0,316.0,235.0,249.0,189.0,0.0,189.0,8543.0,5302.0,9675.0,5477.0,0.0,0.1785150078988941,0.3449183780937335,0.1237493417588204,0.0995260663507109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.4517898383371824,-0.116822429906542,-0.3578431372549019,,-0.4223034734917733,-0.4125,-0.2885714285714286,-0.4909983633387889,-0.2832980972515856,-0.3225806451612903,,0.3073488104899986,0.1713698644281303,0.071669299631385,0.6110200646675821,-0.116822429906542,Industrials,20.0,1.0,8,7.549609165154532,2608.0,3464.0,9.052984561199976,8.57602797713713,9.177403871729918,8.608495349823023
ROK,1997Q2,1997,Q2,0,1,0,0,1613.0,608.0,1005.0,432.0,313.0,295.0,180.0,211.0,167.0,30.0,197.0,8496.0,5134.0,8543.0,5302.0,0.017014117932356878,0.1940483570985741,0.3769373837569746,0.1115933044017359,0.1035337879727216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.1470121628767847,-0.2511210762331838,-0.0938897168405364,,-0.1498559077809798,-0.5454545454545454,-0.4388297872340425,-0.1762295081967213,-0.0339506172839506,-0.0159453302961275,,0.1325476644240852,0.0622780814969283,-0.4671137913543369,-0.1220520490743649,-0.116591928251121,Industrials,20.0,2.0,9,7.3864708488298945,1899.0,1891.0,9.047468439003541,8.543835122362658,9.052984561199976,8.57602797713713
ROK,1997Q3,1997,Q3,0,0,1,0,2081.0,732.0,1349.0,549.0,384.0,325.0,183.0,217.0,109.0,23.0,132.0,7971.0,4811.0,8496.0,5134.0,0.0110523786641037,0.1845266698702546,0.351753964440173,0.0879384911100432,0.0523786641037962,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.017014117932356878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.2025,0.1237113402061855,4.266187050359712,,-3.5390625,-1.897058823529412,-2.4863013698630136,4.168582375478927,0.4382022471910112,0.6005830903790088,,-0.7235555507561728,0.0122416242882676,-1.1724284139412613,-0.7840055088503247,0.3608247422680413,Industrials,20.0,3.0,10,7.641084249174914,1613.0,400.0,8.983690681332686,8.47886807709457,9.047468439003541,8.543835122362658
