ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
RTX,1995Q2,1995,Q2,0,1,0,0,5774.0,1502.0,4272.0,1119.0,672.0,597.0,383.0,350.0,218.0,233.0,451.0,15826.0,4299.0,15695.0,4161.0,0.0403533079321094,0.116383789400762,0.260131624523727,0.0663318323519224,0.0377554554901281,218.0,,,,,,,,,,,,0.0409928544565626,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,2.0,1,8.661293535389994,5318.0,,9.669472621333282,8.366370301681654,9.661161181805145,8.33375100695358
RTX,1995Q3,1995,Q3,0,0,1,0,5604.0,1479.0,4125.0,1093.0,642.0,586.0,386.0,341.0,210.0,251.0,461.0,15741.0,4338.0,15826.0,4299.0,0.0447894361170592,0.1145610278372591,0.2639186295503212,0.0688793718772305,0.0374732334047109,233.0,218.0,,,,,,,,,,,0.0403533079321094,0.0409928544565626,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,3.0,2,8.63141433550626,5774.0,,9.664087578702395,8.37539918579835,9.669472621333282,8.366370301681654
RTX,1995Q4,1995,Q4,0,0,0,1,5928.0,1545.0,4383.0,1192.0,708.0,576.0,353.0,300.0,187.0,261.0,448.0,15958.0,4419.0,15741.0,4338.0,0.0440283400809716,0.1194331983805668,0.2606275303643725,0.0595479082321187,0.0315452091767881,251.0,233.0,218.0,,,,,,,,,,0.0447894361170592,0.0403533079321094,0.0409928544565626,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,4.0,3,8.687610843707368,5604.0,,9.677778212399186,8.393894975071744,9.664087578702395,8.37539918579835
RTX,1996Q1,1996,Q1,1,0,0,0,5449.0,1449.0,4000.0,1142.0,683.0,516.0,307.0,263.0,164.0,250.0,414.0,16026.0,4481.0,15958.0,4419.0,0.0458799779776105,0.125344099834832,0.2659203523582308,0.0563406129565057,0.0300972655533125,261.0,251.0,233.0,218.0,,,,,,,,,0.0440283400809716,0.0447894361170592,0.0403533079321094,0.0409928544565626,,,,,,,,,0.0246333207972921,0.2148148148148148,0.0797317436661699,0.146788990825688,0.0424242424242424,0.0659722222222223,0.1793721973094171,0.0060362173038228,0.0858505564387916,0.0834914611005692,0.1192189123162066,0.0597455054398043,0.0537737957086972,0.0403450684121449,0.1856093200927113,0.1728045325779037,Industrials,20.0,1.0,4,8.60337088765729,5928.0,5318.0,9.682030078993575,8.407824654360873,9.677778212399186,8.393894975071744
RTX,1996Q2,1996,Q2,0,1,0,0,6002.0,1659.0,4343.0,1198.0,709.0,676.0,461.0,410.0,259.0,274.0,533.0,16183.0,4560.0,16026.0,4481.0,0.0456514495168277,0.1181272909030323,0.2764078640453182,0.0768077307564145,0.0431522825724758,250.0,261.0,251.0,233.0,218.0,,,,,,,,0.0458799779776105,0.0440283400809716,0.0447894361170592,0.0403533079321094,0.0409928544565626,,,,,,,,0.0394873571181157,0.1880733944954129,0.1045272969374166,0.1759656652360515,0.1323283082077051,0.2036553524804176,0.1714285714285714,0.0166198501872658,0.0550595238095237,0.0705987488829311,0.1312938605586406,0.0149806215388521,0.0625692456708837,0.1579316903068863,0.1429416494196125,0.1818181818181818,Industrials,20.0,2.0,5,8.700014623251842,5449.0,5774.0,9.691778378847582,8.4252971767117,9.682030078993575,8.407824654360873
RTX,1996Q3,1996,Q3,0,0,1,0,5908.0,1643.0,4265.0,1189.0,708.0,665.0,454.0,398.0,254.0,270.0,524.0,16414.0,4686.0,16183.0,4560.0,0.0457007447528774,0.1198375084631008,0.2780974949221395,0.0768449559918754,0.0429925524712254,274.0,250.0,261.0,251.0,233.0,218.0,,,,,,,0.0456514495168277,0.0458799779776105,0.0440283400809716,0.0447894361170592,0.0403533079321094,0.0409928544565626,,,,,,,0.0542469664525337,0.2095238095238094,0.1108857336037862,0.0756972111553784,0.1348122866894197,0.1761658031088082,0.1671554252199414,0.0339393939393939,0.1028037383177569,0.0878316559926806,0.0203465083471126,0.0460582514442637,0.0537243823824675,0.1156454232602846,0.1472869716607023,0.1366594360086768,Industrials,20.0,3.0,6,8.684231891345675,6002.0,5604.0,9.705950829935693,8.452547997922705,9.691778378847582,8.4252971767117
RTX,1996Q4,1996,Q4,0,0,0,1,6015.0,1638.0,4377.0,1318.0,772.0,538.0,320.0,358.0,229.0,328.0,557.0,16745.0,4740.0,16414.0,4686.0,0.05453034081463,0.1283458021612635,0.2723192019950124,0.0532003325020781,0.0380714879467996,270.0,274.0,250.0,261.0,251.0,233.0,218.0,,,,,,0.0457007447528774,0.0456514495168277,0.0458799779776105,0.0440283400809716,0.0447894361170592,0.0403533079321094,0.0409928544565626,,,,,,0.0146761133603239,0.2245989304812834,0.0601941747572816,0.2567049808429118,-0.0659722222222222,-0.093484419263456,0.1933333333333333,-0.001368925393566,0.0903954802259887,0.1057046979865772,0.2385282005713684,0.0746241740282063,0.04485969542164,-0.1065961159424384,0.2068865269980129,0.2433035714285714,Industrials,20.0,4.0,7,8.702177865629675,5908.0,5928.0,9.725914702764378,8.464003362902119,9.705950829935693,8.452547997922705
RTX,1997Q1,1997,Q1,1,0,0,0,5886.0,1561.0,4325.0,1184.0,702.0,588.0,377.0,348.0,224.0,271.0,495.0,16689.0,4678.0,16745.0,4740.0,0.046041454298335,0.1192660550458715,0.2652055725450221,0.064050288820931,0.038056405028882,328.0,270.0,274.0,250.0,261.0,251.0,233.0,218.0,,,,,0.05453034081463,0.0457007447528774,0.0456514495168277,0.0458799779776105,0.0440283400809716,0.0447894361170592,0.0403533079321094,0.0409928544565626,,,,,0.0801982015048632,0.3658536585365854,0.077294685990338,0.084,0.1395348837209302,0.228013029315961,0.3231939163498099,0.08125,0.027818448023426,0.0367775831873904,0.0035195378865102,-0.0484908727013848,-0.0026879469994304,0.1368404683558735,0.2644472622096252,0.1956521739130434,Industrials,20.0,1.0,8,8.68050180902826,6015.0,5449.0,9.722565016655881,8.450839690866216,9.725914702764378,8.464003362902119
RTX,1997Q2,1997,Q2,0,1,0,0,6432.0,1763.0,4669.0,1262.0,727.0,720.0,501.0,466.0,304.0,316.0,620.0,17031.0,4774.0,16689.0,4678.0,0.0491293532338308,0.1130286069651741,0.2740982587064676,0.0778917910447761,0.0472636815920398,271.0,328.0,270.0,274.0,250.0,261.0,251.0,233.0,218.0,,,,0.046041454298335,0.05453034081463,0.0457007447528774,0.0456514495168277,0.0458799779776105,0.0440283400809716,0.0447894361170592,0.0403533079321094,0.0409928544565626,,,,0.0716427857380872,0.1737451737451738,0.0626883664858348,0.1532846715328466,0.0650887573964498,0.0867678958785249,0.1365853658536584,0.0750633202855168,0.0253878702397742,0.0534223706176961,0.0761838617133312,-0.0431626248166783,-0.0083557873681623,0.0141139476155016,0.0952765131869608,0.1632270168855534,Industrials,20.0,2.0,9,8.769196271411001,5886.0,6002.0,9.742849206573315,8.471149252914831,9.722565016655881,8.450839690866216
RTX,1997Q3,1997,Q3,0,0,1,0,5936.0,1655.0,4281.0,1160.0,690.0,697.0,495.0,459.0,300.0,268.0,568.0,16921.0,5164.0,17031.0,4774.0,0.0451482479784366,0.1162398921832884,0.2788072776280323,0.0833894878706199,0.0505390835579514,316.0,271.0,328.0,270.0,274.0,250.0,261.0,251.0,233.0,218.0,,,0.0491293532338308,0.046041454298335,0.05453034081463,0.0457007447528774,0.0456514495168277,0.0458799779776105,0.0440283400809716,0.0447894361170592,0.0403533079321094,0.0409928544565626,,,0.0047393364928909,0.1811023622047243,0.007303712720633,-0.0074074074074074,0.0481203007518797,0.0903083700440527,0.1532663316582914,0.0037514654161781,-0.0254237288135593,-0.024390243902439,-0.0120894479385045,-0.0300207866965143,0.0025522801134603,0.0851654060344111,0.1755311246471549,0.0839694656488549,Industrials,20.0,3.0,10,8.688959234270676,6432.0,5908.0,9.736369829484445,8.549660381553739,9.742849206573315,8.471149252914831
