ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
STT,1995Q2,1995,Q2,0,1,0,0,606.8,380.5,226.3,289.1,159.4,91.4,91.4,91.4,62.7,0.0,62.7,25570.3,1491.5,23542.1,1414.6,0.0,0.262689519,0.627059987,0.150626236,0.103328939,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,2.0,1,6.409845880482693,580.6,,10.149225907821977,7.308207845266757,10.066588062882971,7.255308748471308
STT,1995Q3,1995,Q3,0,0,1,0,625.1,390.8,234.3,300.8,165.0,90.0,90.0,90.0,64.6,0.0,64.6,25525.5,1538.9,25570.3,1491.5,0.0,0.263957767,0.625179971,0.143976964,0.103343465,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,3.0,2,6.439510102751265,606.8,,10.147472407221986,7.3394727582343675,10.149225907821977,7.308207845266757
STT,1995Q4,1995,Q4,0,0,0,1,643.3,409.0,234.3,309.2,175.7,116.3,99.8,99.8,65.5,0.0,65.5,25785.2,1587.5,25525.5,1538.9,0.0,0.27312296,0.635784238,0.155137572,0.101818747,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Financial ,40.0,4.0,3,6.468164456144597,625.1,,10.15759474408745,7.370545453709571,10.147472407221986,7.3394727582343675
STT,1996Q1,1996,Q1,1,0,0,0,652.7,435.9,216.8,327.9,181.0,221.2,108.0,108.0,69.8,0.0,69.8,27229.2,1560.1,25785.2,1587.5,0.0,0.277309637,0.667841275,0.165466524,0.106940401,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.124181881,0.285451197,0.209825146,,1.593200469,0.266119578,0.266119578,-0.015887426,0.202657807,0.192363636,,0.069807144,0.076182748,0.126258659,0.143454826,0.285451197,Financial ,40.0,1.0,4,6.482648530618684,643.3,580.6,10.212081930481082,7.353145979962621,10.15759474408745,7.370545453709571
STT,1996Q2,1996,Q2,0,1,0,0,665.0,455.0,210.0,344.0,189.0,128.8,111.0,111.0,72.0,0.0,72.0,28943.7,1576.1,27229.2,1560.1,0.0,0.284210526,0.684210526,0.166917293,0.108270677,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.095912986,0.148325359,0.195795007,,0.409190372,0.214442013,0.214442013,-0.072028281,0.185696361,0.189899689,,0.081925642,0.091140466,0.108155509,0.047825305,0.148325359,Financial ,40.0,2.0,5,6.501289670540389,652.7,606.8,10.273142391975027,7.363342996493512,10.212081930481082,7.353145979962621
STT,1996Q3,1996,Q3,0,0,1,0,693.0,461.0,232.0,350.0,194.0,151.0,111.0,111.0,74.0,0.0,74.0,28444.9,1622.4,28943.7,1576.1,0.0,0.27994228,0.665223665,0.16017316,0.106782107,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.10862262,0.145510836,0.179631525,,0.677777778,0.233333333,0.233333333,-0.009816475,0.175757576,0.16356383,,0.060557086,0.064051467,0.112491582,0.033273916,0.145510836,Financial ,40.0,3.0,6,6.542471960506805,665.0,625.1,10.255759316691245,7.392277994327076,10.273142391975027,7.363342996493512
STT,1996Q4,1996,Q4,0,0,0,1,734.1,492.9,241.2,375.3,244.7,159.9,117.6,117.6,78.1,0.0,78.1,31524.0,1775.0,28444.9,1622.4,0.0,0.333333333,0.671434409,0.160196159,0.106388775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.14114721,0.192366412,0.205134474,,0.374892519,0.178356713,0.178356713,0.029449424,0.392714855,0.21377749,,0.220451527,0.056072752,0.032607102,0.044883957,0.192366412,Financial ,40.0,4.0,7,6.600006544380042,693.0,643.3,10.35853616083312,7.4821189235521155,10.255759316691245,7.392277994327076
STT,1997Q1,1997,Q1,1,0,0,0,772.0,521.0,251.0,391.0,230.0,191.0,130.0,130.0,86.0,0.0,86.0,33631.0,1738.0,31524.0,1775.0,0.0,0.297927461,0.674870466,0.168393782,0.111398964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.182779225,0.232091691,0.195228263,,-0.136528029,0.203703704,0.203703704,0.157749077,0.270718232,0.192436719,,0.074349469,0.010525243,0.017690942,0.041692029,0.232091691,Financial ,40.0,1.0,8,6.650279048587422,734.1,652.7,10.423233273676678,7.461065514354283,10.35853616083312,7.4821189235521155
STT,1997Q2,1997,Q2,0,1,0,0,829.0,555.0,274.0,419.0,248.0,209.0,136.0,136.0,92.0,0.0,92.0,36686.0,1832.0,33631.0,1738.0,0.0,0.299155609,0.669481303,0.164053076,0.110977081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.246616541,0.277777778,0.21978022,,0.622670807,0.225225225,0.225225225,0.304761905,0.312169312,0.218023256,,0.052584551,-0.021527327,-0.0171595,0.024996649,0.277777778,Financial ,40.0,2.0,9,6.721425700790643,772.0,665.0,10.51017774785748,7.513709247839705,10.423233273676678,7.461065514354283
STT,1997Q3,1997,Q3,0,0,1,0,894.0,601.0,293.0,451.0,263.0,176.0,150.0,150.0,101.0,0.0,101.0,35404.0,1916.0,36686.0,1832.0,0.0,0.294183445,0.672259508,0.167785235,0.112975391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.29004329,0.364864865,0.303687636,,0.165562914,0.351351351,0.351351351,0.262931034,0.355670103,0.288571429,,0.050871791,0.010576657,0.047524034,0.057999274,0.364864865,Financial ,40.0,3.0,10,6.796823718274855,829.0,693.0,10.474608332085875,7.558516743045645,10.51017774785748,7.513709247839705
STT,1997Q4,1997,Q4,0,0,0,1,933.0,621.0,312.0,474.0,280.0,242.0,147.0,147.0,100.0,0.0,100.0,37975.0,1995.0,35404.0,1916.0,0.0,0.300107181,0.665594855,0.15755627,0.107181136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.270944013,0.280409731,0.259890444,,0.513445904,0.25,0.25,0.293532338,0.144258275,0.262989608,,-0.099678457,-0.008697133,-0.0164791,0.007447785,0.280409731,Financial ,40.0,4.0,11,6.839476438228843,894.0,734.1,10.544709660231154,7.59890045687141,10.474608332085875,7.558516743045645
STT,1998Q1,1998,Q1,1,0,0,0,960.0,634.0,326.0,474.0,279.0,245.0,160.0,160.0,106.0,0.0,106.0,39010.0,2077.0,37975.0,1995.0,0.0,0.290625,0.660416667,0.166666667,0.110416667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243523316,0.23255814,0.216890595,,0.282722513,0.230769231,0.230769231,0.298804781,0.213043478,0.212276215,,-0.02451087,-0.021417147,-0.01025641,-0.008817829,0.23255814,Financial ,40.0,1.0,12,6.8679744089702925,933.0,772.0,10.57159893662485,7.639161171659173,10.544709660231154,7.59890045687141
STT,1998Q2,1998,Q2,0,1,0,0,1043.0,671.0,372.0,507.0,310.0,243.0,164.0,164.0,109.0,0.0,109.0,46711.0,2158.0,39010.0,2077.0,0.0,0.297219559,0.643336529,0.157238734,0.104506232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25814234,0.184782609,0.209009009,,0.162679426,0.205882353,0.205882353,0.357664234,0.25,0.210023866,,-0.006471716,-0.039052283,-0.04153742,-0.058307974,0.184782609,Financial ,40.0,2.0,13,6.950814768442584,960.0,829.0,10.751756369963374,7.677400430514807,10.57159893662485,7.639161171659173
STT,1998Q3,1998,Q3,0,0,1,0,1113.0,694.0,419.0,528.0,314.0,263.0,166.0,166.0,111.0,0.0,111.0,50607.0,2218.0,46711.0,2158.0,0.0,0.282120395,0.623539982,0.149146451,0.099730458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244966443,0.099009901,0.154742097,,0.494318182,0.106666667,0.106666667,0.43003413,0.19391635,0.170731707,,-0.041005196,-0.072471308,-0.111087152,-0.11723733,0.099009901,Financial ,40.0,3.0,14,7.01571242048723,1043.0,894.0,10.83186494554543,7.704811922932594,10.751756369963374,7.677400430514807
STT,1998Q4,1998,Q4,0,0,0,1,1118.0,726.0,392.0,559.0,332.0,234.0,167.0,167.0,111.0,0.0,111.0,47082.0,2311.0,50607.0,2218.0,0.0,0.296958855,0.649373882,0.149373882,0.099284436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198285102,0.11,0.169082126,,-0.033057851,0.136054422,0.136054422,0.256410256,0.185714286,0.179324895,,-0.010490672,-0.024370641,-0.051933117,-0.073676208,0.11,Financial ,40.0,4.0,15,7.020190708311925,1113.0,933.0,10.759667280669499,7.7458682297922685,10.83186494554543,7.704811922932594
