ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
SWK,1995Q2,1995,Q2,0,1,0,0,655.5,232.7,422.8,169.4,148.6,84.1,63.3,50.8,31.5,0.0,31.5,1737.1,766.9,1728.4,749.9,0.0,0.226697177726926,0.3549961861174676,0.0965675057208237,0.0480549199084668,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,2.0,1,6.486922693742851,643.3,,7.460547841569434,6.6436595163364975,7.45552980652633,6.621272487105839
SWK,1995Q3,1995,Q3,0,0,1,0,655.7,228.7,427.0,169.0,148.0,80.7,59.7,6.9,-1.7,0.0,-1.7,1701.2,749.7,1737.1,766.9,0.0,0.2257129784962635,0.3487875552844288,0.0910477352447765,-0.0025926490773219,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,3.0,2,6.487227293196927,655.5,,7.439676811042861,6.6210061045789566,7.460547841569434,6.6436595163364975
SWK,1995Q4,1995,Q4,0,0,0,1,669.8,226.8,443.0,165.3,147.8,79.0,61.5,8.8,0.6,0.0,0.6,1670.0,734.6,1701.2,749.7,0.0,0.2206628844431173,0.3386085398626456,0.0918184532696327,0.0008957897879964,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,20.0,4.0,3,6.508471029949054,655.7,,7.421177528595393,6.6006864927301665,7.439676811042861,6.6210061045789566
SWK,1996Q1,1996,Q1,1,0,0,0,635.3,226.1,409.2,169.1,149.0,77.1,57.0,47.0,29.6,0.0,29.6,1628.4,743.3,1670.0,734.6,0.0,0.2345348654179128,0.3558948528254368,0.0897213914685975,0.0465921611836927,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,-0.0124358775066065,0.0313588850174215,-0.0065905096660808,,-0.0398505603985056,-0.023972602739726,0.0151187904967602,-0.0156362761606928,0.0115410726408688,-0.0005910165484632,,0.024278879316655,0.005918975494743,-0.0116820011686853,0.0443462470198448,0.0313588850174215,Industrials,20.0,1.0,4,6.455670150238746,669.8,643.3,7.395967127876541,6.612444179365865,7.421177528595393,6.6006864927301665
SWK,1996Q2,1996,Q2,0,1,0,0,677.2,242.9,434.3,171.8,153.1,89.8,71.1,57.5,32.6,0.0,32.6,1668.6,765.7,1628.4,743.3,0.0,0.2260779681039574,0.3586828115770821,0.1049911399881866,0.0481393975191966,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0331045003813883,0.034920634920635,0.0438332617103567,,0.0677764565992866,0.1232227488151658,0.1318897637795275,0.0271996215704823,0.0302826379542395,0.0141676505312868,,-0.00273143948759,0.0103849720188109,0.0872305254700844,0.0017579388518549,0.034920634920635,Industrials,20.0,2.0,5,6.519442229691538,635.3,655.5,7.420339355762991,6.642095590564849,7.395967127876541,6.612444179365865
SWK,1996Q3,1996,Q3,0,0,1,0,672.9,244.5,428.4,171.7,151.7,92.8,72.8,59.0,37.7,0.0,37.7,1689.6,787.7,1668.6,765.7,0.0,0.2254421162134046,0.3633526526972804,0.1081884381037301,0.0560261554465745,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0262315083117277,-23.176470588235297,0.0690861390467862,,0.1499380421313505,0.2194304857621438,7.550724637681158,0.0032786885245901,0.0249999999999999,0.0159763313609466,,-0.0012000297220983,0.0417592233214114,0.1882606174977528,-22.609617721364074,-23.176470588235297,Industrials,20.0,3.0,6,6.513081731952171,677.2,655.7,7.432838774494828,6.670386020403945,7.420339355762991,6.642095590564849
SWK,1996Q4,1996,Q4,0,0,0,1,685.4,236.5,448.9,170.6,154.7,81.8,65.9,10.7,-3.0,0.0,-3.0,1659.6,780.1,1689.6,787.7,0.0,0.2257076159906623,0.3450539830755763,0.0961482346075284,-0.0043770061278085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0232905344879068,-6.0,0.0427689594356259,,0.0354430379746835,0.0715447154471544,0.2159090909090908,0.0133182844243791,0.0466847090663056,0.0320629159104657,,0.0228617130618784,0.0190350875838667,0.0471558949613424,-5.886197840676977,-6.0,Industrials,20.0,4.0,7,6.531460548173753,672.9,669.8,7.414934261827931,6.660703182616252,7.432838774494828,6.670386020403945
SWK,1997Q1,1997,Q1,1,0,0,0,646.6,233.7,412.9,171.7,153.2,80.5,62.0,58.7,36.7,0.0,36.7,1633.5,791.9,1659.6,780.1,0.0,0.2369316424373646,0.3614290133003402,0.0958861738323538,0.0567584287039901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0177868723437746,0.2398648648648649,0.0336134453781511,,0.0440985732814527,0.087719298245614,0.2489361702127659,0.0090420332355816,0.0281879194630871,0.0153755174452985,,0.0102192781238774,0.0155499873936582,0.0687102848367438,0.2181969512042199,0.2398648648648649,Industrials,20.0,1.0,8,6.47327322180348,685.4,635.3,7.3990922261642655,6.675697110278353,7.414934261827931,6.660703182616252
SWK,1997Q2,1997,Q2,0,1,0,0,673.6,246.4,427.2,172.7,153.8,92.6,73.7,-81.5,-64.5,0.0,-64.5,1666.8,716.7,1633.5,791.9,0.0,0.2283254156769596,0.3657957244655582,0.1094121140142517,-0.0957541567695962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.0053160070880095,-2.978527607361963,0.0144092219020173,,0.0311804008908684,0.0365682137834038,-2.4173913043478263,-0.0163481464425513,0.0045721750489877,0.0052386495925493,,0.0099410287161141,0.019830648859926,0.0421080676575431,-2.9891016860236364,-2.978527607361963,Industrials,20.0,2.0,9,6.5141199226275495,646.6,677.2,7.419260671652885,6.576051654436026,7.3990922261642655,6.675697110278353
SWK,1997Q3,1997,Q3,0,0,1,0,650.5,232.4,418.1,166.7,148.2,84.2,65.7,-46.4,-40.6,0.0,-40.6,1736.6,640.1,1666.8,716.7,0.0,0.2278247501921598,0.3572636433512682,0.1009992313604919,-0.062413528055342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.033288750185763,-2.0769230769230766,-0.0494887525562371,,-0.0926724137931034,-0.0975274725274724,-1.7864406779661015,-0.0240429505135386,-0.0230718523401449,-0.0291205591147349,,0.0105687172333841,-0.0167578502614789,-0.0664507859550134,-2.1140069768816883,-2.0769230769230766,Industrials,20.0,3.0,10,6.4792773965649,673.6,672.9,7.460260129739616,6.463185450993212,7.419260671652885,6.576051654436026
