Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,2524.397,1088.911,1435.486,247.175,598.832,846.007,726.562,589.479,591.85,417.254,8751.092,4129.971,Healthcare,35
1995Q2,1995,Q2,2500.31,1086.023,1414.287,287.36,532.277,819.637,717.853,594.65,601.461,424.03,8990.323,4243.209,Healthcare,35
1995Q3,1995,Q3,2390.753,1070.253,1320.5,255.829,521.754,777.583,682.125,542.917,541.916,382.051,9069.882,4276.107,Healthcare,35
1995Q4,1995,Q4,2596.734,1080.618,1516.116,282.381,577.877,860.258,822.787,655.858,660.092,465.365,9412.58,4396.847,Healthcare,35
1996Q1,1996,Q1,2672.177,1156.217,1515.96,268.616,572.346,840.962,838.3,674.998,681.005,480.1,9312.02,4565.667,Healthcare,35
1996Q2,1996,Q2,2699.24,1143.947,1555.293,304.846,598.866,903.712,807.6,651.581,667.267,470.4,10553.874,4640.496,Healthcare,35
1996Q3,1996,Q3,2646.194,1177.247,1468.947,278.97,615.269,894.239,763.467,574.708,597.003,420.887,10669.342,4713.97,Healthcare,35
1996Q4,1996,Q4,2995.849,1254.587,1741.262,352.409,673.079,1025.488,893.8,715.774,724.275,510.614,11125.6,4820.182,Healthcare,35
1997Q1,1997,Q1,2999.814,1327.331,1672.483,280.074,656.596,936.67,911.889,735.813,758.618,534.826,11200.394,4856.168,Healthcare,35
1997Q2,1997,Q2,2900.408,1217.043,1683.365,320.148,651.005,971.153,884.572,712.212,739.758,521.529,11433.526,4937.17,Healthcare,35
1997Q3,1997,Q3,2865.184,1241.842,1623.342,326.797,675.062,1001.859,820.1,621.483,653.46,471.4,11575.997,4842.292,Healthcare,35
1997Q4,1997,Q4,3118.056,1259.462,1858.594,375.384,702.292,1077.676,961.628,780.918,798.11,566.658,12061.068,4998.677,Healthcare,35
1998Q1,1998,Q1,3044.913,1279.973,1764.94,279.876,682.175,962.051,993.4,802.889,818.879,589.6,12115.102,5141.712,Healthcare,35
1998Q2,1998,Q2,3066.753,1297.77,1768.983,307.132,682.162,989.294,982.39,779.689,813.285,585.565,12684.54,5309.969,Healthcare,35
1998Q3,1998,Q3,3035.767,1375.01,1660.757,292.078,665.202,957.28,901.2,703.477,738.502,531.7,12603.034,5373.892,Healthcare,35
1998Q4,1998,Q4,3330.412,1441.688,1888.724,342.507,714.349,1056.856,1025.079,831.868,869.933,626.351,13216.213,5713.661,Healthcare,35
1999Q1,1999,Q1,3299.031,1448.831,1850.2,267.177,680.273,947.45,1117.538,902.75,925.79,668.703,13316.957,6062.238,Healthcare,35
1999Q2,1999,Q2,3243.166,1410.942,1832.224,314.944,687.727,1002.671,1037.701,829.553,892.584,645.0,13145.098,6439.271,Healthcare,35
1999Q3,1999,Q3,3120.662,1584.643,1536.019,276.24,683.631,959.871,795.001,576.148,647.398,468.079,13574.225,6669.653,Healthcare,35
1999Q4,1999,Q4,3514.766,1532.767,1981.999,335.602,805.473,1141.075,1037.037,840.924,931.116,670.403,14471.044,7427.595,Healthcare,35
2000Q1,2000,Q1,3353.178,1496.447,1856.731,321.367,730.304,1005.367,1023.925,851.364,949.256,692.957,14960.923,7873.567,Healthcare,35
2000Q2,2000,Q2,3370.153,1530.254,1839.899,361.592,728.943,998.332,1104.779,841.567,938.633,685.202,14964.081,8184.394,Healthcare,35
2000Q3,2000,Q3,3317.895,1515.505,1802.39,318.383,699.285,1017.668,977.605,784.722,896.465,654.419,14980.161,8313.661,Healthcare,35
2000Q4,2000,Q4,3704.69,1696.44,2008.25,349.682,735.646,1085.328,1121.697,922.922,1032.053,753.399,15283.254,8570.906,Healthcare,35
