Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,3299.7,2759.9,539.8,0.0,98.7,212.9,441.1,326.9,296.5,195.7,9939.9,5807.9,Consumer Staples,30
1995Q2,1995,Q2,3135.2,2640.1,495.1,0.0,108.3,208.9,386.8,286.2,330.0,225.6,9756.9,5854.2,Consumer Staples,30
1995Q3,1995,Q3,3120.7,2693.8,426.9,0.0,98.7,201.3,328.2,225.6,247.1,163.1,10134.2,5989.2,Consumer Staples,30
1995Q4,1995,Q4,3415.1,2914.0,501.1,0.0,128.5,232.7,372.6,268.4,342.4,226.0,10640.4,5982.3,Consumer Staples,30
1996Q1,1996,Q1,3486.7,3046.9,439.8,0.0,121.0,221.9,318.8,217.9,247.4,163.3,10402.8,6068.8,Consumer Staples,30
1996Q2,1996,Q2,3291.5,2875.7,415.8,0.0,101.8,213.3,314.0,202.5,217.5,143.5,10449.9,6144.8,Consumer Staples,30
1996Q3,1996,Q3,3389.4,2911.2,478.2,0.0,306.4,419.5,171.8,58.7,78.2,3.6,10784.9,6075.2,Consumer Staples,30
1996Q4,1996,Q4,3548.1,3050.7,497.4,0.0,108.9,225.0,388.5,272.4,287.7,189.9,11016.6,6230.2,Consumer Staples,30
1997Q2,1997,Q2,3414.8,3080.6,334.2,0.0,119.8,237.6,214.4,96.6,92.7,61.2,11634.2,6024.6,Consumer Staples,30
1997Q2,1997,Q2,3449.9,2978.4,471.5,0.0,145.1,273.6,326.4,197.9,185.8,122.6,11354.4,6050.1,Consumer Staples,30
1997Q3,1997,Q3,3651.3,3200.8,450.5,0.0,135.0,260.3,315.5,190.2,199.1,131.4,12022.9,6132.6,Consumer Staples,30
1997Q4,1997,Q4,4130.2,3635.6,494.6,0.0,136.7,269.0,357.9,225.6,209.4,139.2,13586.2,6484.8,Consumer Staples,30
1998Q1,1998,Q1,4280.3,3755.1,525.2,0.0,228.1,368.8,297.1,156.4,106.5,70.3,13688.8,6514.8,Consumer Staples,30
1998Q2,1998,Q2,4046.7,3576.0,470.7,0.0,160.8,322.6,309.9,148.1,95.0,62.7,13833.5,6504.9,Consumer Staples,30
1998Q3,1998,Q3,3801.4,3359.4,442.0,0.0,166.8,315.2,275.2,126.8,178.4,116.9,13851.4,6422.2,Consumer Staples,30
1998Q4,1998,Q4,3911.5,3335.6,575.9,0.0,182.2,336.8,393.7,239.1,169.9,95.1,14253.5,6532.6,Consumer Staples,30
1999Q1,1999,Q1,3378.1,2980.2,397.9,0.0,173.8,332.8,224.1,65.1,17.9,11.7,13945.8,6250.9,Consumer Staples,30
1999Q2,1999,Q2,3192.2,2754.0,438.2,0.0,178.3,338.5,259.9,99.7,53.6,42.3,14029.9,6240.6,Consumer Staples,30
1999Q3,1999,Q3,4611.266,4338.946,272.32,0.0,170.735,170.735,260.427,101.585,54.686,36.367,14679.9,6239.8,Consumer Staples,30
1999Q4,1999,Q4,4615.421,4209.148,406.273,0.0,199.476,199.476,371.612,206.797,153.263,101.92,14911.3,6179.1,Consumer Staples,30
2000Q1,2000,Q1,4473.763,4138.787,334.976,0.0,184.85,184.85,313.552,150.126,154.931,103.029,14628.698,6066.406,Consumer Staples,30
2000Q2,2000,Q2,3123.682,2757.12,366.562,0.0,174.297,334.853,192.265,31.709,-9.643,59.587,14423.1,6110.243,Consumer Staples,30
2000Q3,2000,Q3,4634.784,4350.876,283.908,0.0,169.323,169.323,273.733,114.585,116.189,109.429,14436.706,6146.013,Consumer Staples,30
2000Q4,2000,Q4,4940.999,4524.691,416.308,0.0,187.443,187.443,386.647,228.865,184.603,124.607,15097.847,6389.914,Consumer Staples,30
2001Q1,2001,Q1,5130.346,4760.694,369.652,0.0,186.771,186.771,335.307,182.881,137.998,93.149,14154.984,6226.495,Consumer Staples,30
2001Q2,2001,Q2,5345.292,4983.362,361.93,0.0,187.492,187.492,327.056,174.438,83.109,56.099,14339.931,6331.683,Consumer Staples,30
2001Q3,2001,Q3,5203.683,4798.186,405.497,0.0,184.263,184.263,375.551,221.234,197.922,131.618,14591.696,6436.349,Consumer Staples,30
