Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,799.0,309.6,489.4,48.1,224.1,314.3,217.2,175.1,169.1,125.3,3080.2,2019.6,Industrials,20
1995Q2,1995,Q2,799.8,346.9,452.9,54.3,195.2,302.4,203.4,150.5,144.5,105.9,3201.1,2096.6,Industrials,20
1995Q3,1995,Q3,747.1,316.8,430.3,54.2,215.0,313.7,161.1,116.6,110.8,81.9,3275.4,2131.5,Industrials,20
1995Q4,1995,Q4,819.7,342.7,477.0,58.9,210.3,317.8,207.8,159.2,150.6,108.9,3727.5,2249.2,Industrials,20
1996Q1,1996,Q1,1031.9,428.4,603.5,63.8,276.7,395.8,263.0,207.7,199.9,143.9,3946.5,2419.9,Industrials,20
1996Q2,1996,Q2,967.9,428.6,539.3,72.8,231.7,357.7,234.8,181.6,174.1,120.0,3839.9,2315.3,Industrials,20
1996Q3,1996,Q3,910.7,391.5,519.2,66.1,260.8,380.0,192.3,139.2,132.1,93.3,3970.9,2370.5,Industrials,20
1996Q4,1996,Q4,995.6,418.0,577.6,73.1,261.5,389.9,243.0,187.7,180.7,127.6,4123.8,2526.6,Industrials,20
1997Q1,1997,Q1,1126.3,440.3,686.0,74.8,308.1,442.1,303.1,243.9,236.6,164.9,4283.3,2583.9,Industrials,20
1997Q2,1997,Q2,1079.6,473.1,606.5,82.5,257.7,396.1,266.3,210.4,174.5,127.7,4382.8,2660.6,Industrials,20
1997Q3,1997,Q3,1038.5,443.4,595.1,87.3,289.4,434.1,218.4,161.0,153.4,105.4,4536.1,2698.5,Industrials,20
1997Q4,1997,Q4,1148.0,490.2,657.8,91.4,286.4,435.9,280.1,221.9,214.6,147.4,4695.0,3033.2,Industrials,20
1998Q1,1998,Q1,1309.3,536.0,773.3,93.6,334.5,489.6,350.1,283.7,279.1,190.6,4948.6,3242.2,Industrials,20
1998Q2,1998,Q2,1302.2,593.5,708.7,102.9,296.4,466.8,309.4,241.9,237.2,161.9,5175.4,3406.5,Industrials,20
1998Q3,1998,Q3,1210.3,529.9,680.4,100.7,323.0,492.6,261.1,187.8,182.3,123.2,5400.6,3545.4,Industrials,20
1998Q4,1998,Q4,1274.9,535.6,739.3,105.4,284.4,457.8,328.9,281.5,275.9,168.4,5299.2,3722.4,Industrials,20
1999Q1,1999,Q1,1514.1,611.2,902.9,102.5,379.5,547.4,420.9,355.5,351.7,225.7,5764.9,3911.0,Industrials,20
