Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,129.6,11.6,118.0,16.7,60.2,82.6,41.1,35.4,12.1,7.7,482.1,323.5,Information Technology,45
1995Q2,1995,Q2,138.7,10.6,128.1,19.2,63.8,89.7,45.1,38.4,40.9,26.0,512.7,361.2,Information Technology,45
1995Q3,1995,Q3,140.7,10.5,130.2,19.5,64.9,91.3,45.8,38.9,41.4,26.3,529.3,369.4,Information Technology,45
1995Q4,1995,Q4,128.5,9.5,119.0,19.6,64.7,90.9,34.7,28.1,30.2,19.2,529.6,362.7,Information Technology,45
1996Q1,1996,Q1,126.3,11.0,115.3,20.5,66.2,91.7,28.6,23.6,25.7,16.3,517.9,342.3,Information Technology,45
1996Q2,1996,Q2,136.3,9.8,126.5,22.9,68.0,98.4,35.6,28.1,29.6,19.1,520.2,343.4,Information Technology,45
1996Q3,1996,Q3,128.7,8.1,120.6,22.9,68.9,100.3,25.6,20.3,18.5,10.6,510.8,328.4,Information Technology,45
1996Q4,1996,Q4,116.6,6.2,110.4,23.7,68.7,101.4,18.0,9.0,9.1,5.9,477.2,243.9,Information Technology,45
1997Q1,1997,Q1,115.0,5.4,109.6,24.2,68.6,102.6,16.8,7.0,9.3,6.0,492.2,243.6,Information Technology,45
1997Q2,1997,Q2,119.0,7.9,111.1,27.6,71.0,106.7,12.5,4.4,-51.4,-52.7,543.3,271.0,Information Technology,45
1997Q3,1997,Q3,154.1,6.7,147.4,30.4,79.5,121.9,37.5,25.5,27.8,17.8,577.9,289.2,Information Technology,45
1997Q4,1997,Q4,162.2,6.1,156.1,33.1,81.5,126.0,41.5,30.1,32.8,21.0,569.0,338.2,Information Technology,45
1998Q1,1998,Q1,181.8,6.2,175.6,31.3,88.3,132.0,56.0,43.6,45.9,29.4,533.7,303.1,Information Technology,45
1998Q2,1998,Q2,187.2,7.4,179.8,35.4,92.5,140.2,60.8,39.6,41.8,27.6,595.4,370.1,Information Technology,45
1998Q3,1998,Q3,186.6,6.4,180.2,35.1,93.7,140.7,61.3,39.5,26.4,9.1,565.7,349.2,Information Technology,45
1998Q4,1998,Q4,177.2,9.1,168.1,37.3,92.7,139.0,41.0,29.1,31.4,20.7,624.7,394.5,Information Technology,45
1999Q1,1999,Q1,189.2,-9.7,198.9,35.0,105.3,170.3,58.6,28.6,46.7,33.1,693.9,460.2,Information Technology,45
1999Q2,1999,Q2,194.9,22.8,172.1,38.6,115.2,170.6,18.339,1.5,-15.7,-17.1,930.3,644.6,Information Technology,45
1999Q3,1999,Q3,202.9,21.1,181.8,44.7,116.1,187.1,21.0,-5.3,0.6,0.4,928.3,644.3,Information Technology,45
1999Q4,1999,Q4,202.1,24.9,177.2,41.2,107.6,166.9,28.372,10.3,2.1,1.4,944.9,654.0,Information Technology,45
2000Q1,2000,Q1,220.182,25.848,194.334,39.585,107.39,165.523,47.359,28.811,37.02,25.208,907.326,602.299,Information Technology,45
2000Q2,2000,Q2,223.329,24.93,198.399,40.255,101.955,161.216,56.989,37.183,38.711,25.606,813.385,529.053,Information Technology,45
2000Q3,2000,Q3,226.25,28.555,197.695,42.272,104.127,163.695,51.296,34.0,32.987,20.753,844.208,518.752,Information Technology,45
2000Q4,2000,Q4,221.849,27.544,194.305,42.658,106.365,165.219,45.282,29.086,29.996,18.511,829.944,487.803,Information Technology,45
2001Q1,2001,Q1,264.896,26.854,238.042,45.302,137.883,199.531,54.857,38.511,43.079,28.363,807.759,459.674,Information Technology,45
2001Q2,2001,Q2,245.74,36.725,209.015,46.159,120.948,172.414,52.466,36.601,41.587,27.9,777.096,437.405,Information Technology,45
2001Q3,2001,Q3,231.36,35.193,196.167,43.583,118.248,167.005,44.982,19.388,27.39,19.173,830.416,459.386,Information Technology,45
2001Q4,2001,Q4,216.357,37.799,178.558,39.637,113.601,158.436,35.665,12.832,26.618,21.471,853.173,491.551,Information Technology,45
2002Q1,2002,Q1,254.034,41.486,212.548,39.195,122.21,166.629,61.598,29.353,31.098,21.769,902.444,529.314,Information Technology,45
2002Q2,2002,Q2,229.327,40.692,188.635,45.207,120.495,165.905,35.367,21.188,24.166,17.641,929.631,601.939,Information Technology,45
2002Q3,2002,Q3,211.401,34.21,177.191,46.642,116.377,163.063,26.21,10.393,16.109,11.76,918.002,589.291,Information Technology,45
2002Q4,2002,Q4,188.701,31.835,156.866,41.179,110.22,151.425,17.42,-7.845,-5.356,-3.91,900.485,585.527,Information Technology,45
2003Q1,2003,Q1,195.516,33.425,162.091,39.957,113.558,153.541,20.696,1.226,3.547,6.413,883.65,569.208,Information Technology,45
2003Q2,2003,Q2,210.766,36.951,173.815,47.392,119.816,167.208,6.607,6.607,9.879,7.508,872.463,559.338,Information Technology,45
2003Q3,2003,Q3,211.705,34.896,176.809,45.754,117.114,162.868,13.941,13.941,17.011,32.602,916.113,580.821,Information Technology,45
2003Q4,2003,Q4,233.862,35.364,198.498,48.562,121.996,170.558,27.94,27.94,29.745,22.606,934.828,596.486,Information Technology,45
2004Q1,2004,Q1,295.31,40.917,254.393,67.641,125.299,193.462,75.257,57.748,66.56,57.599,1017.16,621.643,Information Technology,45
2004Q2,2004,Q2,297.876,41.872,256.004,57.881,136.352,194.233,74.273,53.521,55.937,42.505,990.3,637.223,Information Technology,45
