Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1997Q4,1997,Q4,732.0,0.0,0.0,0.0,0.0,732.0,-1778.2,-1778.2,0.0,-5.4,8827.5,3254.2,Utilities,55
1998Q1,1998,Q1,700.8,209.9,490.9,0.0,0.0,370.6,214.4,120.3,69.8,39.9,8797.3,3206.7,Utilities,55
1998Q2,1998,Q2,821.8,226.3,595.5,0.0,0.0,408.4,277.1,187.1,142.4,83.6,8880.4,3203.1,Utilities,55
1998Q3,1998,Q3,1117.1,252.8,864.3,0.0,0.0,427.1,531.6,437.2,390.3,236.7,9122.1,3352.5,Utilities,55
1998Q4,1998,Q4,678.5,182.9,495.6,0.0,0.0,401.3,191.2,94.3,51.7,26.3,8847.4,3291.3,Utilities,55
1999Q1,1999,Q1,735.9,240.045,495.857,0.0,0.0,360.94,232.359,134.917,89.589,54.359,8813.1,3258.6,Utilities,55
1999Q2,1999,Q2,859.9,248.0,611.884,0.0,0.0,419.6,287.684,192.284,148.3,86.5,8936.9,3258.0,Utilities,55
1999Q3,1999,Q3,1193.5,304.7,888.8,0.0,0.0,429.0,1193.5,459.8,412.8,249.8,9258.7,3420.7,Utilities,55
1999Q4,1999,Q4,734.3,319.9,414.4,0.0,0.0,380.0,120.5,34.4,-6.7,-5.6,9177.6,3324.9,Utilities,55
2000Q1,2000,Q1,825.376,297.925,527.451,0.0,0.0,374.622,252.183,152.829,105.644,61.393,9315.289,3299.126,Utilities,55
2000Q2,2000,Q2,940.304,270.094,670.614,0.0,0.0,432.169,337.824,238.445,192.824,113.585,9312.463,3325.36,Utilities,55
2000Q3,2000,Q3,1195.411,308.789,886.622,0.0,0.0,417.231,572.213,469.391,419.843,256.137,9621.682,3493.513,Utilities,55
2000Q4,2000,Q4,894.758,357.88,536.878,0.0,0.0,456.041,179.874,80.837,39.975,25.979,9714.43,3431.868,Utilities,55
2001Q1,2001,Q1,1024.528,439.709,584.819,0.0,0.0,419.401,269.644,165.418,114.665,58.492,9666.815,3393.92,Utilities,55
2001Q2,2001,Q2,1057.016,381.204,675.812,0.0,0.0,469.865,1158.182,205.931,155.358,95.0,10063.415,3399.032,Utilities,55
2001Q3,2001,Q3,1431.613,505.0,917.0,0.0,0.0,430.0,609.592,487.0,447.0,267.0,10277.936,3591.911,Utilities,55
2001Q4,2001,Q4,992.71,449.312,543.398,0.0,0.0,436.195,214.666,107.203,62.774,48.847,10400.575,3583.957,Utilities,55
2002Q1,2002,Q1,1115.0,525.0,590.0,0.0,0.0,441.0,260.0,149.0,97.0,59.0,10405.0,3731.0,Utilities,55
2002Q2,2002,Q2,1111.0,231.0,747.0,0.0,0.0,470.0,399.0,277.0,188.0,115.0,10710.0,3780.0,Utilities,55
2002Q3,2002,Q3,1232.0,265.0,901.0,0.0,0.0,460.0,560.0,441.0,385.0,240.0,11214.0,4241.0,Utilities,55
2002Q4,2002,Q4,503.0,-279.0,782.0,0.0,0.0,776.0,123.0,6.0,-51.0,-32.0,11499.0,4035.0,Utilities,55
2003Q1,2003,Q1,1108.0,232.0,876.0,0.0,0.0,675.0,325.0,201.0,135.0,101.0,13589.0,4345.0,Utilities,55
2003Q2,2003,Q2,1088.0,322.0,766.0,0.0,0.0,516.0,403.0,250.0,177.0,110.0,13457.0,4372.0,Utilities,55
2003Q3,2003,Q3,1350.0,387.0,966.0,0.0,0.0,466.0,644.0,500.0,429.0,275.0,13537.0,4547.0,Utilities,55
2003Q4,2003,Q4,1047.0,-64.0,1111.0,0.0,0.0,972.0,280.0,139.0,66.0,38.0,14233.0,4536.0,Utilities,55
2004Q1,2004,Q1,1216.0,486.0,732.0,0.0,0.0,516.0,357.0,216.0,156.0,97.0,14639.0,5385.0,Utilities,55
2004Q2,2004,Q2,1149.0,354.0,795.0,0.0,0.0,549.0,385.0,246.0,178.0,118.0,14677.0,5420.0,Utilities,55
2004Q3,2004,Q3,1307.0,367.0,940.0,0.0,0.0,527.0,560.0,413.0,355.0,232.0,17764.0,6028.0,Utilities,55
2004Q4,2004,Q4,1475.0,53.0,1422.0,0.0,0.0,1219.0,377.0,203.0,123.0,83.0,17434.0,5800.0,Utilities,55
2005Q1,2005,Q1,1625.0,770.0,855.0,0.0,0.0,593.0,419.0,262.0,192.0,121.0,17333.0,5838.0,Utilities,55
2005Q2,2005,Q2,1584.0,591.0,993.0,0.0,0.0,627.0,554.0,366.0,285.0,185.0,17491.0,6264.0,Utilities,55
2005Q3,2005,Q3,1868.0,711.0,1157.0,0.0,0.0,647.0,670.0,510.0,439.0,280.0,18090.0,6456.0,Utilities,55
2005Q4,2005,Q4,1701.0,938.0,763.0,0.0,0.0,619.0,304.0,144.0,68.0,20.0,18171.0,6364.0,Utilities,55
2006Q1,2006,Q1,1800.0,978.0,822.0,0.0,0.0,626.0,365.0,196.0,114.0,70.0,18314.0,6314.0,Utilities,55
2006Q2,2006,Q2,1550.0,628.0,922.0,0.0,0.0,646.0,470.0,276.0,191.0,123.0,18450.0,6349.0,Utilities,55
2006Q3,2006,Q3,1910.0,707.0,1203.0,0.0,0.0,656.0,729.0,547.0,454.0,293.0,18830.0,6548.0,Utilities,55
2006Q4,2006,Q4,1620.0,786.0,834.0,0.0,0.0,680.0,326.0,154.0,72.0,61.0,19578.0,6583.0,Utilities,55
2007Q1,2007,Q1,2024.0,636.0,1388.0,0.0,0.0,1095.0,489.0,293.0,194.0,123.0,19626.0,6557.0,Utilities,55
2007Q2,2007,Q2,1723.0,710.0,1018.0,0.0,0.0,692.0,512.0,326.0,221.0,143.0,20531.0,6618.0,Utilities,55
2007Q3,2007,Q3,1997.0,825.0,1172.0,0.0,0.0,690.0,658.0,482.0,374.0,244.0,20405.0,6756.0,Utilities,55
2007Q4,2007,Q4,1807.0,862.0,945.0,0.0,0.0,692.0,467.0,253.0,159.0,108.0,20728.0,6752.0,Utilities,55
2008Q1,2008,Q1,2081.0,1048.0,1033.0,0.0,0.0,712.0,527.0,321.0,236.0,138.0,20758.0,6754.0,Utilities,55
