Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,620.096,290.772,329.324,92.5,96.946,189.446,197.361,139.878,146.59,96.801,2702.011,1842.417,Information Technology,45
1995Q2,1995,Q2,626.214,300.959,325.255,101.032,97.364,198.396,182.589,126.859,133.516,91.985,2901.119,1948.773,Information Technology,45
1995Q3,1995,Q3,590.385,344.344,246.041,100.014,95.525,195.539,116.401,50.502,60.369,56.163,2967.407,2020.455,Information Technology,45
1995Q4,1995,Q4,593.029,362.801,230.228,104.009,95.181,199.19,114.427,31.038,37.858,55.582,3031.268,2100.128,Information Technology,45
1996Q1,1996,Q1,544.212,368.735,175.477,94.78,103.011,197.791,53.493,-22.314,3.764,25.327,2954.809,2121.948,Information Technology,45
1996Q2,1996,Q2,455.077,379.779,75.298,92.768,83.063,175.831,-5.584,-100.533,-79.306,-34.672,2845.025,2071.355,Information Technology,45
1996Q3,1996,Q3,456.862,337.692,119.17,105.656,90.432,196.088,0.783,-76.918,-76.147,-38.362,3053.992,2036.658,Information Technology,45
1996Q4,1996,Q4,496.868,354.622,142.246,107.499,88.292,195.791,30.638,-53.545,-57.067,-21.243,3145.283,2021.878,Information Technology,45
1997Q1,1997,Q1,551.999,349.076,202.923,104.908,94.519,199.427,92.296,3.496,7.408,12.951,3426.126,2043.757,Information Technology,45
1997Q2,1997,Q2,594.561,372.266,222.295,110.021,102.983,213.004,103.316,9.291,9.051,9.968,3471.731,2090.547,Information Technology,45
1997Q3,1997,Q3,596.644,428.24,168.404,125.917,100.915,226.832,45.537,-58.428,-67.047,-31.675,3425.946,2043.617,Information Technology,45
1997Q4,1997,Q4,613.171,428.856,184.315,127.031,102.296,229.327,62.663,-45.012,-50.244,-12.334,3515.271,2029.543,Information Technology,45
1998Q1,1998,Q1,540.9,311.4,229.5,128.1,88.2,328.5,13.2,-99.0,-109.7,-62.7,3332.306,1965.711,Information Technology,45
1998Q2,1998,Q2,526.5,277.0,249.5,139.2,101.2,353.5,9.1,-104.0,-108.7,-64.6,3858.584,1918.451,Information Technology,45
1998Q3,1998,Q3,685.9,305.9,380.0,143.7,109.8,370.6,126.5,9.4,0.4,1.0,4116.118,1929.696,Information Technology,45
