Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,431.0,46.9,384.1,113.9,93.4,227.0,176.8,157.1,161.9,108.6,2052.4,1337.3,Healthcare,35
1995Q2,1995,Q2,484.1,53.7,430.4,108.4,104.4,235.5,217.6,194.9,205.8,137.7,2160.1,1396.8,Healthcare,35
1995Q3,1995,Q3,484.4,42.2,442.2,105.5,106.7,234.1,230.0,208.1,213.6,145.8,2348.2,1574.8,Healthcare,35
1995Q4,1995,Q4,504.3,45.9,458.4,124.0,113.8,257.7,220.6,200.7,213.1,145.6,2432.8,1671.8,Healthcare,35
1996Q1,1996,Q1,498.7,39.0,459.7,130.6,106.8,265.3,222.3,194.4,207.0,143.6,2366.8,1752.9,Healthcare,35
1996Q2,1996,Q2,560.9,41.3,519.6,123.6,131.2,281.8,264.8,237.8,258.8,178.7,2496.3,1820.8,Healthcare,35
1996Q3,1996,Q3,556.4,48.1,508.3,130.4,118.5,273.9,259.4,234.4,249.3,179.5,2549.2,1767.8,Healthcare,35
1996Q4,1996,Q4,582.1,54.5,527.6,143.7,129.0,293.1,254.9,234.5,247.2,178.0,2765.6,1906.3,Healthcare,35
1997Q1,1997,Q1,563.4,35.6,527.8,147.7,112.5,296.6,267.6,231.2,250.4,180.3,2773.1,2017.8,Healthcare,35
1997Q2,1997,Q2,606.7,48.1,558.6,145.4,125.5,299.6,287.7,259.0,278.3,200.5,3043.3,2269.6,Healthcare,35
1997Q3,1997,Q3,583.6,43.7,539.9,172.6,119.4,322.6,247.9,217.3,88.3,83.8,3002.4,2239.4,Healthcare,35
1997Q4,1997,Q4,592.0,56.3,535.7,165.1,126.4,312.9,244.2,222.8,244.4,179.7,3110.2,2139.3,Healthcare,35
1998Q1,1998,Q1,589.4,42.9,546.5,152.5,113.1,301.7,280.9,244.8,267.6,187.3,3081.5,2029.9,Healthcare,35
1998Q2,1998,Q2,641.1,47.3,593.8,152.4,122.0,311.0,319.4,282.8,309.0,216.3,3286.8,2196.5,Healthcare,35
1998Q3,1998,Q3,680.2,51.7,628.5,166.0,134.2,335.7,328.3,292.8,322.1,221.0,3444.0,2346.0,Healthcare,35
1998Q4,1998,Q4,731.6,59.5,672.1,192.4,146.1,374.1,333.6,298.0,325.7,238.6,3672.2,2562.2,Healthcare,35
1999Q1,1999,Q1,715.3,48.0,667.3,188.0,132.9,365.3,346.4,302.0,345.7,247.2,3818.3,2743.4,Healthcare,35
1999Q2,1999,Q2,786.9,54.0,732.9,194.1,157.2,396.1,381.6,336.8,382.4,267.6,3889.6,2785.4,Healthcare,35
1999Q3,1999,Q3,812.8,59.5,753.3,198.4,159.9,397.7,395.0,355.6,452.8,300.0,4036.8,2995.5,Healthcare,35
1999Q4,1999,Q4,889.2,63.8,825.4,242.3,204.3,494.8,378.8,330.6,385.3,281.6,4077.6,3023.5,Healthcare,35
2000Q1,2000,Q1,771.8,34.9,736.9,189.8,169.7,410.3,419.7,368.9,384.7,266.2,4264.7,3311.0,Healthcare,35
2000Q2,2000,Q2,867.9,48.7,819.2,202.8,205.1,460.9,411.3,358.3,439.7,302.6,4543.2,3484.3,Healthcare,35
2000Q3,2000,Q3,902.9,57.0,845.9,202.9,202.9,458.3,440.1,387.6,529.9,358.9,4897.8,3951.7,Healthcare,35
2000Q4,2000,Q4,905.8,56.0,849.8,249.5,249.2,554.2,351.1,295.6,320.0,210.8,5399.6,4314.5,Healthcare,35
2001Q1,2001,Q1,901.6,89.4,812.2,206.7,196.2,395.7,476.4,416.5,461.3,304.9,5692.1,4650.0,Healthcare,35
2001Q2,2001,Q2,986.7,98.4,888.3,208.8,226.5,381.4,517.7,449.4,485.5,321.9,5976.5,5017.6,Healthcare,35
2001Q3,2001,Q3,1003.1,102.7,900.4,216.9,221.8,444.2,522.9,456.2,498.3,329.9,6053.7,5108.2,Healthcare,35
2001Q4,2001,Q4,1124.3,152.5,971.8,232.6,326.2,762.7,280.1,209.1,241.2,163.0,6443.1,5217.2,Healthcare,35
2002Q1,2002,Q1,1008.5,103.6,904.9,203.4,245.8,447.5,518.1,457.4,494.1,340.9,9064.9,4949.8,Healthcare,35
2002Q2,2002,Q2,1169.1,131.9,1037.2,233.6,320.5,472.4,631.5,564.8,597.6,412.4,9137.6,4880.6,Healthcare,35
2002Q3,2002,Q3,1499.3,226.4,1272.9,312.6,394.9,3731.0,689.4,-2458.1,-2466.0,-2601.6,23741.1,17664.8,Healthcare,35
2002Q4,2002,Q4,1766.1,273.8,1492.3,367.0,500.9,-6251.1,7907.6,7743.4,669.8,456.4,24456.3,18286.0,Healthcare,35
2003Q1,2003,Q1,1761.2,283.3,1477.9,351.3,390.1,815.7,832.0,662.2,688.1,493.3,24729.5,18503.4,Healthcare,35
2003Q2,2003,Q2,2041.1,329.1,1712.0,393.7,441.2,894.9,988.5,817.1,848.7,607.2,25381.5,18944.7,Healthcare,35
2003Q3,2003,Q3,2207.4,340.0,1867.4,408.0,483.0,1010.0,1025.8,857.0,866.2,612.1,25868.8,19457.3,Healthcare,35
2003Q4,2003,Q4,2346.3,388.3,1958.0,502.9,626.0,1202.9,932.0,755.1,770.1,546.9,26176.5,19389.1,Healthcare,35
2004Q1,2004,Q1,2343.0,373.2,1969.8,441.0,517.0,1042.0,1104.0,928.0,949.2,690.2,25979.4,19571.3,Healthcare,35
2004Q2,2004,Q2,2584.9,435.4,2149.5,468.0,591.0,1143.0,1186.0,1007.0,1016.8,748.1,26060.0,19410.8,Healthcare,35
2004Q3,2004,Q3,2713.0,447.0,2266.0,502.0,632.0,1772.0,680.0,494.0,509.0,236.0,26811.0,19808.0,Healthcare,35
2004Q4,2004,Q4,2909.0,476.0,2433.0,617.0,816.0,1514.0,1666.0,919.0,920.0,689.0,29221.0,19705.0,Healthcare,35
2005Q1,2005,Q1,2833.0,489.0,2344.0,524.0,577.0,1188.0,1358.0,1156.0,1146.0,854.0,27420.0,19040.0,Healthcare,35
2005Q2,2005,Q2,3172.0,530.0,2642.0,567.0,646.0,1349.0,1510.0,1293.0,1299.0,1029.0,28038.0,19581.0,Healthcare,35
2005Q3,2005,Q3,3154.0,552.0,2602.0,562.0,656.0,1304.0,1502.0,1298.0,1312.0,967.0,29132.0,20530.0,Healthcare,35
2005Q4,2005,Q4,3271.0,511.0,2760.0,661.0,911.0,1659.0,1319.0,1101.0,1111.0,824.0,29297.0,20451.0,Healthcare,35
