Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,773.2,498.8,274.4,0.0,180.0,209.6,94.4,64.8,54.8,34.5,1884.1,762.3,Industrials,20
1995Q2,1995,Q2,780.5,519.1,261.4,0.0,172.3,194.7,89.1,66.7,55.0,35.7,1921.0,782.6,Industrials,20
1995Q3,1995,Q3,783.5,521.7,261.8,0.0,167.1,193.9,94.7,67.9,55.9,35.8,1900.7,783.1,Industrials,20
1995Q4,1995,Q4,776.7,509.1,267.6,0.0,170.4,199.5,97.2,68.1,59.0,37.7,1963.6,815.8,Industrials,20
1996Q1,1996,Q1,796.6,522.4,274.2,0.0,175.3,202.8,98.9,71.4,62.5,40.0,1963.2,818.4,Industrials,20
1996Q2,1996,Q2,797.7,521.4,276.3,0.0,174.9,202.8,101.4,73.5,64.1,41.6,1960.2,815.4,Industrials,20
1996Q3,1996,Q3,819.3,529.9,289.4,0.0,181.1,210.0,108.3,79.4,71.4,46.6,2016.3,827.3,Industrials,20
1996Q4,1996,Q4,808.9,517.1,291.8,0.0,181.1,210.2,110.7,81.6,72.6,47.7,2036.7,832.0,Industrials,20
1997Q1,1997,Q1,828.9,537.2,291.7,0.0,180.3,209.1,111.4,82.6,74.1,48.2,2019.4,815.4,Industrials,20
1997Q2,1997,Q2,844.8,542.1,302.7,0.0,188.7,217.6,114.0,85.1,76.3,49.6,2092.1,825.6,Industrials,20
1997Q3,1997,Q3,835.6,536.3,299.3,0.0,183.9,213.1,115.4,86.2,78.2,52.6,2060.7,826.1,Industrials,20
1997Q4,1997,Q4,836.4,530.6,305.8,0.0,186.9,216.8,118.9,89.0,82.6,54.4,2046.5,837.2,Industrials,20
1998Q1,1998,Q1,843.6,533.1,310.5,0.0,190.1,220.1,120.4,90.4,82.3,54.2,2063.3,806.9,Industrials,20
1998Q2,1998,Q2,871.5,548.9,322.6,0.0,196.0,227.3,126.6,95.3,86.8,57.4,2100.3,837.6,Industrials,20
1998Q3,1998,Q3,860.2,547.3,312.9,0.0,188.9,220.9,124.0,92.0,83.3,55.8,2134.7,861.0,Industrials,20
1998Q4,1998,Q4,884.6,558.9,325.7,0.0,198.2,232.1,127.5,93.6,84.3,55.9,2142.6,833.3,Industrials,20
1999Q1,1999,Q1,933.9,585.5,348.4,0.0,208.3,244.8,140.1,103.6,28.2,18.4,2314.3,758.5,Industrials,20
1999Q2,1999,Q2,928.5,578.4,350.1,0.0,207.3,243.2,142.8,106.9,97.7,63.7,2326.1,785.5,Industrials,20
1999Q3,1999,Q3,961.0,595.6,365.4,0.0,214.7,252.6,150.7,112.8,101.2,66.0,2518.8,791.5,Industrials,20
1999Q4,1999,Q4,944.8,576.9,367.9,0.0,212.3,252.4,155.6,115.5,103.3,67.3,2592.5,809.9,Industrials,20
2000Q1,2000,Q1,965.3,591.8,373.5,0.0,214.2,253.6,159.3,119.9,107.6,70.2,2698.1,826.9,Industrials,20
2000Q2,2000,Q2,993.4,610.5,382.9,0.0,218.7,257.9,164.2,125.0,110.4,72.8,2732.1,838.3,Industrials,20
2000Q3,2000,Q3,1001.7,622.4,379.3,0.0,215.8,254.8,163.5,124.5,110.3,73.0,2714.5,793.6,Industrials,20
2000Q4,2000,Q4,933.1,579.7,353.4,0.0,202.6,241.9,150.8,111.5,98.0,67.5,2699.1,828.1,Industrials,20
2001Q1,2001,Q1,963.2,644.2,319.0,0.0,209.2,209.2,149.0,109.8,96.0,63.6,2813.8,856.6,Industrials,20
2001Q2,2001,Q2,960.8,649.0,311.8,0.0,208.4,208.4,142.5,103.4,89.9,59.8,2842.4,886.6,Industrials,20
2001Q3,2001,Q3,966.7,653.9,312.8,0.0,209.6,209.6,141.9,103.2,90.8,61.7,2855.1,930.3,Industrials,20
2001Q4,2001,Q4,912.6,616.0,296.6,0.0,203.3,203.3,132.3,93.3,83.1,58.1,2819.2,929.4,Industrials,20
2002Q1,2002,Q1,930.8,621.9,308.9,0.0,205.7,205.7,139.5,103.2,93.9,64.8,2825.6,950.9,Industrials,20
2002Q2,2002,Q2,1056.3,709.8,346.5,0.0,231.4,231.4,151.1,115.1,105.5,73.8,3363.3,1039.9,Industrials,20
2002Q3,2002,Q3,1114.5,761.3,353.2,0.0,239.5,239.5,148.5,113.7,86.7,63.1,3302.1,1020.2,Industrials,20
2002Q4,2002,Q4,1105.3,760.2,345.1,0.0,236.5,236.5,150.2,108.6,78.7,55.5,3652.4,1056.4,Industrials,20
2003Q1,2003,Q1,1150.6,786.5,364.1,0.0,249.5,249.5,158.8,114.6,99.7,70.8,3754.2,1122.4,Industrials,20
2003Q2,2003,Q2,1192.2,820.8,371.4,0.0,265.5,265.5,148.3,105.9,95.4,71.3,4016.1,1244.3,Industrials,20
2003Q3,2003,Q3,1204.1,848.6,355.5,0.0,253.3,253.3,147.0,102.2,88.1,66.5,3959.4,1261.8,Industrials,20
2003Q4,2003,Q4,1231.1,858.4,372.7,0.0,269.0,269.0,152.2,103.7,55.0,59.3,4105.3,1318.7,Industrials,20
2004Q1,2004,Q1,1246.7,880.2,366.5,0.0,257.9,257.9,154.8,108.6,72.5,52.6,4077.2,1351.2,Industrials,20
2004Q2,2004,Q2,1324.0,933.4,390.6,0.0,274.3,274.3,163.0,116.3,88.7,68.5,4126.5,1377.6,Industrials,20
2004Q3,2004,Q3,1336.2,946.8,389.4,0.0,273.1,273.1,162.8,116.3,102.5,75.0,4144.4,1418.6,Industrials,20
2004Q4,2004,Q4,1434.0,1001.0,433.0,0.0,307.1,307.1,175.0,125.9,109.7,83.6,4399.3,1548.7,Industrials,20
2005Q1,2005,Q1,1346.3,958.5,387.8,0.0,292.0,292.0,147.3,95.8,78.0,57.7,4296.2,1537.5,Industrials,20
2005Q2,2005,Q2,1418.6,992.6,426.0,0.0,292.5,292.5,184.0,133.5,115.6,89.4,4271.0,1551.2,Industrials,20
2005Q3,2005,Q3,1362.5,966.5,396.0,0.0,266.9,266.9,178.1,129.1,113.1,86.2,4235.0,1604.3,Industrials,20
2005Q4,2005,Q4,1346.1,934.8,411.3,0.0,281.4,281.4,181.9,129.9,60.1,-6.9,4203.9,1511.9,Industrials,20
