Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,3771.0,303.0,3468.0,0.0,2030.0,2970.0,559.0,498.0,498.0,353.0,99737.0,6983.0,Financial ,40
1995Q2,1995,Q2,3967.0,319.0,3648.0,0.0,2155.0,3076.0,681.0,572.0,572.0,410.0,104178.0,7154.0,Financial ,40
1995Q3,1995,Q3,4054.0,310.0,3744.0,0.0,2194.0,3173.0,638.0,571.0,571.0,416.0,106312.0,7442.0,Financial ,40
1995Q4,1995,Q4,4049.0,310.0,3739.0,0.0,2179.0,3197.0,672.0,542.0,542.0,385.0,107405.0,8220.0,Financial ,40
1996Q1,1996,Q1,3882.0,291.0,3591.0,0.0,2115.0,3026.0,602.0,565.0,565.0,396.0,107910.0,7992.0,Financial ,40
1996Q2,1996,Q2,4044.0,309.0,3735.0,0.0,1308.0,3099.0,620.0,636.0,636.0,452.0,107647.0,7955.0,Financial ,40
1996Q3,1996,Q3,4056.0,269.0,3787.0,0.0,1266.0,3166.0,802.0,621.0,621.0,458.0,106667.0,8243.0,Financial ,40
1996Q4,1996,Q4,4255.0,247.0,4008.0,0.0,4853.0,3165.0,907.0,843.0,843.0,594.0,108512.0,8528.0,Financial ,40
1997Q1,1997,Q1,4164.0,195.0,3969.0,0.0,2221.0,3329.0,734.0,640.0,640.0,454.0,108105.0,8382.0,Financial ,40
1997Q2,1997,Q2,4422.0,238.0,4184.0,0.0,2339.0,3482.0,749.0,702.0,702.0,520.0,113927.0,8824.0,Financial ,40
1997Q3,1997,Q3,4500.0,241.0,4259.0,0.0,2403.0,3541.0,777.0,718.0,718.0,524.0,117642.0,9118.0,Financial ,40
1997Q4,1997,Q4,4674.0,250.0,4424.0,0.0,2510.0,3734.0,677.0,690.0,690.0,493.0,120003.0,9574.0,Financial ,40
1998Q1,1998,Q1,4521.0,226.0,4295.0,0.0,2218.0,3681.0,551.0,614.0,614.0,460.0,120303.0,9425.0,Financial ,40
1998Q2,1998,Q2,4761.0,250.0,4511.0,0.0,2105.0,3711.0,872.0,800.0,800.0,578.0,120986.0,9297.0,Financial ,40
1998Q3,1998,Q3,4787.0,256.0,4531.0,0.0,2565.0,3732.0,626.0,799.0,799.0,574.0,120914.0,9403.0,Financial ,40
1998Q4,1998,Q4,5063.0,267.0,4796.0,0.0,2732.0,4083.0,665.0,713.0,713.0,530.0,126933.0,10198.0,Financial ,40
1999Q1,1999,Q1,4971.0,234.0,4737.0,0.0,2636.0,3946.0,857.0,791.0,791.0,575.0,128297.0,9785.0,Financial ,40
1999Q2,1999,Q2,5298.0,255.0,5043.0,0.0,2749.0,4148.0,973.0,895.0,895.0,646.0,132452.0,9762.0,Financial ,40
1999Q3,1999,Q3,5311.0,262.0,5049.0,0.0,2789.0,4142.0,920.0,907.0,907.0,648.0,132616.0,9744.0,Financial ,40
1999Q4,1999,Q4,5698.0,301.0,5397.0,0.0,2968.0,4552.0,701.0,845.0,845.0,606.0,148517.0,10095.0,Financial ,40
2000Q1,2000,Q1,5657.0,299.0,5358.0,0.0,2947.0,4438.0,987.0,920.0,920.0,656.0,150662.0,10253.0,Financial ,40
2000Q2,2000,Q2,5970.0,345.0,5625.0,0.0,3060.0,4579.0,1286.0,1046.0,1046.0,740.0,148553.0,10509.0,Financial ,40
2000Q3,2000,Q3,5981.0,352.0,5629.0,0.0,3081.0,4600.0,1045.0,1029.0,1029.0,737.0,153626.0,11213.0,Financial ,40
2000Q4,2000,Q4,6066.0,357.0,5709.0,0.0,3008.0,4796.0,983.0,913.0,913.0,677.0,154423.0,11684.0,Financial ,40
2001Q1,2001,Q1,5719.0,361.0,5358.0,0.0,3059.0,4617.0,942.0,741.0,741.0,538.0,146218.0,11964.0,Financial ,40
