Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,3797.0,1833.0,1964.0,0.0,0.0,1290.0,772.0,674.0,674.0,443.0,183854.0,11346.0,Financial ,40
1995Q2,1995,Q2,4125.0,2125.0,2000.0,0.0,0.0,1289.0,813.0,711.0,711.0,467.0,184188.0,11504.0,Financial ,40
1995Q3,1995,Q3,4177.0,2107.0,2070.0,0.0,0.0,1252.0,917.0,818.0,818.0,530.0,182138.0,11941.0,Financial ,40
1995Q4,1995,Q4,4210.0,2090.0,2120.0,0.0,0.0,1332.0,888.0,788.0,788.0,510.0,187298.0,12801.0,Financial ,40
1996Q1,1996,Q1,4472.0,2171.0,2301.0,0.0,0.0,1512.0,890.0,789.0,789.0,513.0,194375.0,13557.0,Financial ,40
1996Q2,1996,Q2,4353.0,2010.0,2343.0,0.0,0.0,1412.0,1039.0,931.0,931.0,605.0,192308.0,14025.0,Financial ,40
1996Q3,1996,Q3,4335.0,1973.0,2362.0,0.0,0.0,1406.0,1069.0,956.0,956.0,625.0,187671.0,13304.0,Financial ,40
1996Q4,1996,Q4,4349.0,1918.0,2431.0,0.0,0.0,1473.0,1078.0,958.0,958.0,632.0,185794.0,13709.0,Financial ,40
1997Q1,1997,Q1,6147.0,2590.0,3557.0,0.0,1180.0,2225.0,1585.0,1332.0,1332.0,855.0,238958.0,20659.0,Financial ,40
1997Q2,1997,Q2,5303.0,2311.0,2992.0,0.0,0.0,1802.0,1361.0,1190.0,1190.0,762.0,240362.0,19970.0,Financial ,40
1997Q3,1997,Q3,12575.0,5297.0,7278.0,0.0,2291.0,4491.0,3821.0,2787.0,2787.0,1730.0,242437.0,20317.0,Financial ,40
1997Q4,1997,Q4,5850.0,2530.0,3320.0,0.0,0.0,2054.0,1492.0,1266.0,1266.0,818.0,570983.0,44584.0,Financial ,40
1998Q1,1998,Q1,13411.0,5596.0,7815.0,0.0,2598.0,5604.0,2717.0,2211.0,2211.0,1331.0,314503.0,25220.0,Financial ,40
1998Q2,1998,Q2,13393.0,5506.0,7887.0,0.0,2570.0,4337.0,4043.0,3550.0,3550.0,2298.0,307985.0,26670.0,Financial ,40
1998Q3,1998,Q3,12293.0,6569.0,5724.0,0.0,2389.0,5308.0,918.0,416.0,416.0,374.0,594673.0,47307.0,Financial ,40
1998Q4,1998,Q4,12697.0,5539.0,7158.0,0.0,2436.0,5287.0,2368.0,1871.0,1871.0,1162.0,617679.0,45938.0,Financial ,40
1999Q1,1999,Q1,12554.0,5111.0,7443.0,0.0,2480.0,4453.0,3483.0,2990.0,2990.0,1914.0,614245.0,46831.0,Financial ,40
1999Q2,1999,Q2,12780.0,5104.0,7676.0,0.0,2408.0,4657.0,3506.0,3019.0,3019.0,1915.0,614102.0,45631.0,Financial ,40
1999Q3,1999,Q3,13066.0,5194.0,7872.0,0.0,2481.0,4526.0,3816.0,3346.0,3346.0,2151.0,620652.0,45889.0,Financial ,40
