Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,2318.0,1435.0,883.0,78.0,424.0,631.0,381.0,252.0,200.0,145.0,9926.0,3687.0,Healthcare,35
1995Q2,1995,Q2,2465.0,1532.0,933.0,84.0,446.0,656.0,403.0,277.0,229.0,165.0,10222.0,3695.0,Healthcare,35
1995Q3,1995,Q3,2456.0,1531.0,925.0,100.0,451.0,673.0,374.0,252.0,231.0,163.0,10276.0,3552.0,Healthcare,35
1995Q4,1995,Q4,-2191.0,-2029.0,-162.0,83.0,-237.0,-195.0,-8.0,33.0,-136.0,176.0,9437.0,3704.0,Healthcare,35
1996Q1,1996,Q1,1299.0,645.0,654.0,82.0,276.0,442.0,296.0,212.0,188.0,158.0,9600.0,3732.0,Healthcare,35
1996Q2,1996,Q2,1335.0,663.0,672.0,84.0,282.0,453.0,306.0,219.0,197.0,176.0,9703.0,3790.0,Healthcare,35
1996Q3,1996,Q3,1310.0,644.0,666.0,84.0,272.0,440.0,310.0,226.0,190.0,177.0,7546.0,2577.0,Healthcare,35
1996Q4,1996,Q4,1494.0,745.0,749.0,90.0,312.0,495.0,347.0,254.0,218.0,158.0,7596.0,2504.0,Healthcare,35
1997Q1,1997,Q1,1443.0,683.0,760.0,90.0,323.0,522.0,347.0,238.0,-150.0,-203.0,8338.0,2326.0,Healthcare,35
1997Q2,1997,Q2,1569.0,773.0,796.0,95.0,347.0,535.0,354.0,261.0,218.0,162.0,8655.0,2450.0,Healthcare,35
1997Q3,1997,Q3,1494.0,739.0,755.0,97.0,325.0,519.0,333.0,236.0,212.0,159.0,8155.0,2469.0,Healthcare,35
1997Q4,1997,Q4,1632.0,792.0,840.0,110.0,361.0,570.0,369.0,270.0,243.0,182.0,8707.0,2619.0,Healthcare,35
1998Q1,1998,Q1,1468.0,711.0,757.0,86.0,307.0,500.0,364.0,257.0,219.0,164.0,8906.0,2694.0,Healthcare,35
1998Q2,1998,Q2,1419.0,664.0,755.0,84.0,306.0,496.0,365.0,259.0,104.0,63.0,9275.0,2875.0,Healthcare,35
1998Q3,1998,Q3,1427.0,756.0,671.0,89.0,306.0,437.0,276.0,234.0,-83.0,-124.0,9571.0,2699.0,Healthcare,35
