Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,2538.6,1636.7,901.9,0.0,391.5,461.9,510.4,440.0,425.7,256.7,4570.1,2761.0,Consumer Discretionary,25
1995Q2,1995,Q2,1588.1,1116.0,472.1,0.0,322.6,392.1,149.5,80.0,66.2,39.2,4469.5,2760.6,Consumer Discretionary,25
1995Q3,1995,Q3,1718.6,1223.0,495.6,0.0,326.9,398.8,168.7,96.8,80.8,48.8,4857.7,2792.1,Consumer Discretionary,25
1995Q4,1995,Q4,1803.3,1276.8,526.5,0.0,361.6,435.1,164.9,91.4,685.3,657.3,5116.9,3417.0,Consumer Discretionary,25
1996Q1,1996,Q1,2771.3,1892.1,879.2,0.0,464.3,535.3,414.9,343.9,352.2,216.2,5266.6,3201.0,Consumer Discretionary,25
1996Q2,1996,Q2,1787.9,1246.6,541.3,0.0,415.7,487.5,125.6,53.8,50.2,28.2,3716.1,1593.1,Consumer Discretionary,25
1996Q3,1996,Q3,1895.6,1331.2,564.4,0.0,410.4,482.9,154.0,81.5,61.2,33.2,3888.9,1605.4,Consumer Discretionary,25
1996Q4,1996,Q4,1995.0,1367.8,627.2,0.0,467.0,538.8,160.2,88.4,188.5,159.5,4277.4,1735.6,Consumer Discretionary,25
1997Q1,1997,Q1,2966.3,1913.0,1053.3,0.0,555.4,628.9,497.9,424.4,375.4,213.4,4120.0,1922.6,Consumer Discretionary,25
1997Q2,1997,Q2,1829.8,1252.9,576.9,0.0,451.8,527.2,125.1,49.7,44.9,24.9,3982.2,1918.4,Consumer Discretionary,25
1997Q3,1997,Q3,2020.1,1406.9,613.2,0.0,466.2,540.5,147.0,72.7,52.6,27.6,4071.5,1920.0,Consumer Discretionary,25
1997Q4,1997,Q4,2070.6,1372.7,697.9,0.0,525.8,602.7,172.1,95.2,138.7,79.7,4237.4,1984.9,Consumer Discretionary,25
1998Q1,1998,Q1,3268.4,2024.9,1243.5,0.0,680.9,767.6,562.6,475.9,164.3,85.3,4300.8,2045.0,Consumer Discretionary,25
1998Q2,1998,Q2,2008.1,1346.7,661.4,0.0,530.3,605.0,131.1,56.4,137.5,79.5,4249.0,2110.7,Consumer Discretionary,25
1998Q3,1998,Q3,2083.1,1398.7,684.4,0.0,538.3,608.0,146.1,76.4,1714.3,1684.3,4136.9,2000.9,Consumer Discretionary,25
1998Q4,1998,Q4,1999.9,1313.4,686.5,0.0,535.8,605.5,150.7,81.0,70.4,39.4,4288.2,1979.7,Consumer Discretionary,25
1999Q1,1999,Q1,3255.9,2004.1,1251.8,0.0,696.1,768.0,555.7,483.8,441.4,250.4,4549.7,2233.3,Consumer Discretionary,25
1999Q2,1999,Q2,2104.8,1369.2,735.6,0.0,590.8,666.2,144.8,69.4,60.5,33.5,4282.1,2259.2,Consumer Discretionary,25
1999Q3,1999,Q3,2267.8,1465.7,802.1,0.0,602.1,670.5,200.0,131.6,97.4,52.4,4027.7,1887.7,Consumer Discretionary,25
1999Q4,1999,Q4,2064.1,1322.0,742.1,0.0,585.1,649.6,157.0,92.5,86.7,40.7,3887.6,1880.3,Consumer Discretionary,25
2000Q1,2000,Q1,3286.634,1936.514,1350.12,0.0,682.438,746.581,667.682,603.539,587.059,334.059,4087.689,2147.077,Consumer Discretionary,25
2000Q2,2000,Q2,2124.986,1426.939,698.047,0.0,570.998,570.998,191.708,127.049,111.95,62.95,3860.592,2191.497,Consumer Discretionary,25
2000Q3,2000,Q3,2289.317,1546.899,742.418,0.0,585.344,585.344,225.169,157.074,139.573,77.573,3816.719,2099.172,Consumer Discretionary,25
2000Q4,2000,Q4,2169.192,1365.01,804.182,0.0,637.957,702.064,118.595,102.118,87.231,49.231,4009.031,2087.802,Consumer Discretionary,25
2001Q1,2001,Q1,3564.001,2235.043,1328.958,0.0,761.43,837.65,567.528,491.308,420.151,238.151,4088.122,2316.455,Consumer Discretionary,25
2001Q2,2001,Q2,2126.845,1456.297,670.548,0.0,607.792,607.792,128.081,62.756,54.691,30.691,3863.625,2325.466,Consumer Discretionary,25
2001Q3,2001,Q3,2192.111,1500.145,691.966,0.0,614.949,614.949,162.394,77.017,126.55,71.55,4001.939,2388.763,Consumer Discretionary,25
2001Q4,2001,Q4,1906.484,1339.899,566.585,0.0,583127.0,413.127,214.37,153.458,149.151,90.151,4156.741,2428.073,Consumer Discretionary,25
2002Q1,2002,Q1,3137.56,1813.659,1323.901,0.0,699.132,699.132,690.155,624.769,573.608,326.608,4719.0,2744.0,Consumer Discretionary,25
2002Q2,2002,Q2,1799.0,1177.0,622.0,0.0,494.0,528.0,170.0,94.0,86.0,50.0,6079.0,4471.0,Consumer Discretionary,25
2002Q3,2002,Q3,1912.416,1239.448,672.968,0.0,534.295,534.295,220.16,138.673,136.761,83.247,6138.456,4535.2,Consumer Discretionary,25
2002Q4,2002,Q4,2411.167,1203.409,564.156,0.0,546.808,546.808,95.981,17.348,21.634,15.775,6146.816,4525.593,Consumer Discretionary,25
2003Q1,2003,Q1,2322.417,1255.776,1066.641,0.0,494.162,494.354,646.167,572.287,577.12,353.12,7246.0,4860.0,Consumer Discretionary,25
2003Q2,2003,Q2,1842.0,1230.0,612.0,0.0,503.0,503.0,186.0,109.0,163.0,97.0,7110.0,4889.0,Consumer Discretionary,25
2003Q3,2003,Q3,2014.106,1311.882,702.224,0.0,531.857,531.857,237.544,170.367,167.959,101.959,7180.222,4875.361,Consumer Discretionary,25
2003Q4,2003,Q4,1846.77,1251.317,595.453,0.0,553.281,553.281,126.733,42.172,200.674,129.674,7275.747,4910.375,Consumer Discretionary,25
2004Q1,2004,Q1,3230.827,1889.567,1341.26,0.0,699.85,699.85,695.672,641.41,634.837,387.837,7873.0,5266.0,Consumer Discretionary,25
2004Q2,2004,Q2,1978.203,1302.549,675.654,0.0,556.282,556.282,194.947,119.372,156.637,96.637,6696.609,4368.429,Consumer Discretionary,25
2004Q3,2004,Q3,2210.832,1412.863,797.969,0.0,571.026,571.026,304.053,226.943,241.952,147.952,6945.665,4417.917,Consumer Discretionary,25
2004Q4,2004,Q4,1890.855,1279.451,611.404,0.0,558.259,558.259,127.677,53.145,100.345,78.345,7501.035,4459.758,Consumer Discretionary,25
2005Q1,2005,Q1,3328.11,2037.318,1290.792,0.0,663.252,663.252,733.323,627.54,617.066,382.066,6089.0,2335.369,Consumer Discretionary,25
2005Q2,2005,Q2,1974.932,1290.279,684.653,0.0,566.119,566.119,196.287,118.534,103.421,83.265,5701.69,2236.122,Consumer Discretionary,25
2005Q3,2005,Q3,2290.0,1545.0,745.0,0.0,592.0,592.0,226.247,153.0,135.0,82.0,5760.355,2207.298,Consumer Discretionary,25
2005Q4,2005,Q4,1892.0,1286.0,606.0,0.0,586.0,586.0,90.0,20.0,-2.0,-1.0,5801.677,2107.013,Consumer Discretionary,25
2006Q1,2006,Q1,3541.616,2040.979,1500.637,0.0,769.48,769.48,809.282,731.157,758.086,559.086,6346.0,2471.0,Consumer Discretionary,25
2006Q2,2006,Q2,2077.0,1288.0,789.0,0.0,603.0,603.0,260.0,186.0,170.0,100.0,6051.594,2503.661,Consumer Discretionary,25
2006Q3,2006,Q3,2454.0,1601.0,853.0,0.0,656.0,656.0,275.0,197.0,180.0,113.0,6189.0,2562.0,Consumer Discretionary,25
2006Q4,2006,Q4,2115.0,1356.0,759.0,0.0,692.0,692.0,145.0,67.0,42.0,24.0,6627.0,2537.0,Consumer Discretionary,25
2007Q1,2007,Q1,4025.0,2413.0,1612.0,0.0,885.0,885.0,813.0,727.0,706.0,440.0,7093.0,2955.0,Consumer Discretionary,25
2007Q2,2007,Q2,2311.0,1508.0,803.0,0.0,695.0,695.0,203.0,108.0,92.0,53.0,7034.0,3011.0,Consumer Discretionary,25
2007Q3,2007,Q3,2624.0,1803.0,821.0,0.0,732.0,732.0,177.0,319.0,423.0,264.0,7572.0,2411.0,Consumer Discretionary,25
2007Q4,2007,Q4,1923.0,1309.0,614.0,0.0,552.0,552.0,143.0,62.0,23.0,12.0,7336.0,2077.0,Consumer Discretionary,25
2008Q1,2008,Q1,3276.0,1972.0,1304.0,0.0,683.0,683.0,709.0,621.0,591.0,389.0,7437.0,2219.0,Consumer Discretionary,25
2008Q2,2008,Q2,1925.0,1284.0,641.0,0.0,541.0,432.0,312.0,209.0,175.0,98.0,7034.0,2149.0,Consumer Discretionary,25
2008Q3,2008,Q3,2284.0,1523.0,761.0,0.0,575.0,575.0,300.0,186.0,161.0,102.0,7236.0,2199.0,Consumer Discretionary,25
2008Q4,2008,Q4,1843.0,1263.0,580.0,0.0,539.0,539.0,107.0,41.0,3.0,4.0,7081.0,1953.0,Consumer Discretionary,25
2009Q1,2009,Q1,2991.0,1967.0,1024.0,0.0,656.0,656.0,137.0,153.0,110.0,16.0,6972.0,1874.0,Consumer Discretionary,25
2009Q2,2009,Q2,1725.0,1177.0,548.0,0.0,483.0,483.0,159.0,65.0,3.0,3.0,6680.0,1839.0,Consumer Discretionary,25
2009Q3,2009,Q3,2067.0,1399.0,668.0,0.0,519.0,510.0,254.0,158.0,99.0,74.0,7185.0,1876.0,Consumer Discretionary,25
2009Q4,2009,Q4,1777.0,1214.0,563.0,0.0,504.0,504.0,165.0,59.0,12.0,15.0,6935.0,1864.0,Consumer Discretionary,25
2010Q1,2010,Q1,3063.0,1814.0,1249.0,0.0,660.0,660.0,702.0,586.0,536.0,356.0,7173.0,2183.0,Consumer Discretionary,25
2010Q2,2010,Q2,1932.0,1238.0,694.0,0.0,509.0,509.0,345.0,185.0,187.0,113.0,6592.0,1977.0,Consumer Discretionary,25
2010Q3,2010,Q3,2242.0,1464.0,778.0,0.0,542.0,542.0,392.0,236.0,244.0,178.0,6722.0,2073.0,Consumer Discretionary,25
2010Q4,2010,Q4,1983.0,1269.0,714.0,0.0,565.0,565.0,246.0,149.0,101.0,61.0,6891.0,2043.0,Consumer Discretionary,25
2011Q1,2011,Q1,3456.0,2011.0,1445.0,0.0,725.0,725.0,870.0,714.0,719.0,453.0,6451.0,1476.0,Consumer Discretionary,25
2011Q2,2011,Q2,2217.0,1375.0,842.0,0.0,625.0,625.0,402.0,217.0,249.0,165.0,7015.0,1127.0,Consumer Discretionary,25
2011Q3,2011,Q3,2458.0,1556.0,902.0,0.0,708.0,708.0,438.0,194.0,276.0,231.0,6500.0,625.0,Consumer Discretionary,25
2011Q4,2011,Q4,2174.0,1389.0,785.0,0.0,599.0,599.0,280.0,186.0,122.0,94.0,6517.0,520.0,Consumer Discretionary,25
2012Q1,2012,Q1,3515.0,1988.0,1527.0,0.0,765.0,886.0,744.0,641.0,580.0,359.0,6108.0,137.0,Consumer Discretionary,25
2012Q2,2012,Q2,2154.0,1252.0,902.0,0.0,609.0,609.0,386.0,293.0,213.0,125.0,6616.0,-131.0,Consumer Discretionary,25
2012Q3,2012,Q3,2399.0,1457.0,942.0,0.0,637.0,637.0,404.0,305.0,229.0,143.0,6589.0,-245.0,Consumer Discretionary,25
2012Q4,2012,Q4,2050.0,1225.0,825.0,0.0,638.0,638.0,301.0,187.0,128.0,74.0,6427.0,-515.0,Consumer Discretionary,25
2013Q1,2013,Q1,3856.0,2139.0,1717.0,0.0,836.0,929.0,895.0,788.0,711.0,411.0,6019.0,-1015.0,Consumer Discretionary,25
2013Q2,2013,Q2,2268.0,1327.0,941.0,0.0,630.0,630.0,414.0,311.0,235.0,143.0,5776.0,-994.0,Consumer Discretionary,25
2013Q3,2013,Q3,2516.0,1527.0,989.0,0.0,631.0,631.0,461.0,358.0,282.0,178.0,6072.0,-861.0,Consumer Discretionary,25
2013Q4,2013,Q4,2171.0,1314.0,857.0,0.0,646.0,646.0,315.0,211.0,142.0,92.0,6636.0,-820.0,Consumer Discretionary,25
2014Q1,2014,Q1,3818.0,2176.0,1642.0,0.0,779.0,779.0,977.0,863.0,787.0,490.0,7198.0,-370.0,Consumer Discretionary,25
2014Q2,2014,Q2,2391.0,1409.0,982.0,0.0,646.0,646.0,449.0,336.0,255.0,157.0,6663.0,-609.0,Consumer Discretionary,25
2014Q3,2014,Q3,2675.0,1631.0,1044.0,0.0,668.0,668.0,485.0,376.0,296.0,188.0,6870.0,-504.0,Consumer Discretionary,25
2014Q4,2014,Q4,2319.0,1372.0,947.0,0.0,663.0,663.0,392.0,284.0,205.0,132.0,7149.0,-434.0,Consumer Discretionary,25
2015Q1,2015,Q1,4069.0,2234.0,1835.0,0.0,878.0,878.0,1068.0,957.0,880.0,565.0,7544.0,18.0,Consumer Discretionary,25
2015Q2,2015,Q2,2512.0,1456.0,1056.0,0.0,684.0,684.0,560.0,372.0,369.0,250.0,6638.0,-607.0,Consumer Discretionary,25
2015Q3,2015,Q3,2765.0,1651.0,1114.0,0.0,711.0,711.0,514.0,403.0,323.0,202.0,6804.0,-648.0,Consumer Discretionary,25
2015Q4,2015,Q4,2482.0,1451.0,1031.0,0.0,692.0,692.0,450.0,339.0,260.0,164.0,7969.0,-658.0,Consumer Discretionary,25
2016Q1,2016,Q1,4395.0,2392.0,2003.0,0.0,925.0,925.0,1200.0,1078.0,982.0,636.0,8493.0,-259.0,Consumer Discretionary,25
2016Q2,2016,Q2,2614.0,1571.0,1043.0,0.0,720.0,720.0,451.0,323.0,233.0,152.0,7426.0,-1087.0,Consumer Discretionary,25
2016Q3,2016,Q3,2890.0,1777.0,1113.0,0.0,705.0,705.0,605.0,408.0,380.0,252.0,7541.0,-1130.0,Consumer Discretionary,25
2016Q4,2016,Q4,2581.0,1556.0,1025.0,0.0,741.0,741.0,420.0,284.0,190.0,122.0,7663.0,-1190.0,Consumer Discretionary,25
2017Q1,2017,Q1,4489.0,2545.0,1944.0,0.0,956.0,956.0,1128.0,988.0,893.0,632.0,8170.0,-729.0,Consumer Discretionary,25
2017Q2,2017,Q2,2437.0,1534.0,903.0,0.0,694.0,694.0,361.0,209.0,118.0,94.0,7882.0,-836.0,Consumer Discretionary,25
2017Q3,2017,Q3,2755.0,1727.0,1028.0,0.0,727.0,727.0,458.0,301.0,217.0,139.0,7763.0,-914.0,Consumer Discretionary,25
2017Q4,2017,Q4,2618.0,1629.0,989.0,0.0,757.0,757.0,378.0,232.0,135.0,86.0,7816.0,-1121.0,Consumer Discretionary,25
2018Q1,2018,Q1,4823.0,2783.0,2040.0,0.0,1054.0,1054.0,1093.0,986.0,842.0,664.0,8149.0,-753.0,Consumer Discretionary,25
2018Q2,2018,Q2,2626.0,1682.0,944.0,0.0,789.0,789.0,305.0,155.0,59.0,48.0,7749.0,-971.0,Consumer Discretionary,25
2018Q3,2018,Q3,2984.0,1925.0,1059.0,0.0,831.0,831.0,375.0,228.0,129.0,99.0,7620.0,-1124.0,Consumer Discretionary,25
2018Q4,2018,Q4,2775.0,1847.0,928.0,0.0,874.0,874.0,203.0,54.0,-41.0,-43.0,7829.0,-1314.0,Consumer Discretionary,25
2019Q1,2019,Q1,4852.0,2884.0,1968.0,0.0,1069.0,1168.0,950.0,800.0,711.0,540.0,8090.0,-869.0,Consumer Discretionary,25
2019Q2,2019,Q2,2629.0,1695.0,934.0,0.0,781.0,781.0,304.0,153.0,60.0,40.0,10998.0,-902.0,Consumer Discretionary,25
2019Q3,2019,Q3,2902.0,1919.0,983.0,0.0,808.0,808.0,287.0,175.0,42.0,38.0,10618.0,-933.0,Consumer Discretionary,25
2019Q4,2019,Q4,2677.0,1936.0,741.0,0.0,892.0,892.0,-37.0,-151.0,-277.0,-252.0,10630.0,-1242.0,Consumer Discretionary,25
2020Q1,2020,Q1,4707.0,2914.0,1793.0,0.0,992.0,1712.0,231.0,81.0,-6.0,-192.0,10125.0,-1499.0,Consumer Discretionary,25
2020Q2,2020,Q2,1654.0,1366.0,288.0,0.0,606.0,606.0,-176.0,-318.0,-412.0,-297.0,9439.0,-1861.0,Consumer Discretionary,25
2020Q3,2020,Q3,2319.0,1608.0,711.0,0.0,667.0,667.0,171.0,44.0,-60.0,-49.0,10880.0,-1908.0,Consumer Discretionary,25
2020Q4,2020,Q4,1702.0,839.0,863.0,0.0,427.0,427.0,511.0,436.0,265.0,331.0,11161.0,-1568.0,Consumer Discretionary,25
2021Q1,2021,Q1,4818.0,2511.0,2307.0,0.0,1034.0,1034.0,1399.0,1273.0,1155.0,860.0,11571.0,-662.0,Consumer Discretionary,25
2021Q2,2021,Q2,1470.0,728.0,742.0,0.0,405.0,405.0,362.0,337.0,119.0,277.0,10546.0,-534.0,Consumer Discretionary,25
2021Q3,2021,Q3,1704.0,876.0,828.0,0.0,444.0,444.0,513.0,384.0,287.0,374.0,10392.0,-1189.0,Consumer Discretionary,25
2021Q4,2021,Q4,1681.0,842.0,839.0,0.0,430.0,430.0,370.0,409.0,227.0,88.0,6031.0,-1676.0,Consumer Discretionary,25
2022Q1,2022,Q1,3028.0,1582.0,1446.0,0.0,567.0,567.0,930.0,879.0,790.0,594.0,6026.0,-1518.0,Consumer Discretionary,25
2022Q2,2022,Q2,1450.0,781.0,669.0,0.0,389.0,389.0,334.0,280.0,192.0,155.0,4860.0,-2659.0,Consumer Discretionary,25
2022Q3,2022,Q3,1618.0,958.0,660.0,0.0,418.0,418.0,297.0,242.0,158.0,120.0,4901.0,-2663.0,Consumer Discretionary,25
2022Q4,2022,Q4,1604.0,926.0,678.0,0.0,476.0,476.0,261.0,202.0,119.0,91.0,5133.0,-2609.0,Consumer Discretionary,25
2023Q1,2023,Q1,2888.0,1639.0,1249.0,0.0,597.0,597.0,722.0,652.0,576.0,434.0,5494.0,-2206.0,Consumer Discretionary,25
2023Q2,2023,Q2,1396.0,800.0,596.0,0.0,415.0,415.0,264.0,181.0,112.0,81.0,5363.0,-2171.0,Consumer Discretionary,25
