Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,209.3,6.2,203.1,0.0,107.4,118.2,95.7,84.9,92.6,63.0,1834.7,1036.8,Financial ,40
1995Q2,1995,Q2,224.5,6.0,218.5,0.0,117.2,127.8,101.3,90.7,101.0,69.0,1871.8,1088.3,Financial ,40
1995Q3,1995,Q3,196.403,5.9,190.503,0.0,119.057,106.862,155.081,83.641,100.455,73.545,2244.681,1161.043,Financial ,40
1995Q4,1995,Q4,226.6,5.3,221.3,0.0,122.6,132.7,98.7,88.6,107.2,74.0,2221.0,1187.7,Financial ,40
1996Q1,1996,Q1,244.6,5.2,239.4,0.0,138.4,148.1,101.0,91.3,108.3,75.2,2261.5,1258.8,Financial ,40
1996Q2,1996,Q2,395.4,143.0,252.4,0.0,139.5,145.2,112.9,107.2,121.1,81.1,2257.4,1325.8,Financial ,40
1996Q3,1996,Q3,390.768,127.0,263.768,0.0,-180.882,132.601,201.658,131.167,119.73,84.53,2374.167,1400.591,Financial ,40
1996Q4,1996,Q4,440.0,136.7,303.3,0.0,164.2,177.8,139.1,125.5,137.0,96.2,2726.8,1548.2,Financial ,40
1997Q1,1997,Q1,521.9,177.0,344.9,0.0,184.6,200.8,160.3,144.1,144.3,101.4,2790.7,1645.2,Financial ,40
1997Q2,1997,Q2,577.9,202.3,375.6,0.0,204.1,220.4,171.5,155.2,158.3,111.2,2881.8,1742.8,Financial ,40
1997Q3,1997,Q3,623.475,0.0,623.475,0.0,-456.348,-255.513,1048.996,878.988,176.113,125.263,3095.2,1854.221,Financial ,40
1997Q4,1997,Q4,647.374,0.0,647.374,0.0,160.653,-304.304,994.126,951.678,176.265,130.515,3167.548,1983.852,Financial ,40
1998Q1,1998,Q1,685.287,0.0,685.287,0.0,163.987,-346.28,1078.009,1031.567,171.194,126.669,3346.69,2120.966,Financial ,40
1998Q2,1998,Q2,688.031,0.0,688.031,0.0,186.47,-317.907,1056.526,1005.938,177.131,131.013,3575.419,2233.801,Financial ,40
1998Q3,1998,Q3,556.58,0.0,556.58,0.0,-385.185,2061.961,-1453.485,-1505.381,151.694,112.253,3480.049,2280.767,Financial ,40
1998Q4,1998,Q4,567.679,0.0,567.679,0.0,28.238,476.914,305.364,90.765,95.128,68.492,3398.153,2366.817,Financial ,40
1999Q1,1999,Q1,554.071,0.0,554.071,0.0,25.393,422.951,346.941,131.12,140.834,102.471,3458.807,2445.943,Financial ,40
1999Q2,1999,Q2,566.775,0.0,566.775,0.0,26.379,410.269,343.763,156.506,163.857,123.307,3575.104,2566.163,Financial ,40
1999Q3,1999,Q3,536.719,0.0,536.719,0.0,-363.526,1827.105,-1240.35,-1290.386,174.265,132.441,3666.79,2656.994,Financial ,40
1999Q4,1999,Q4,565.667,0.0,565.667,51.631,22.545,398.032,359.565,167.635,180.95,137.522,3749.292,2724.39,Financial ,40
2000Q1,2000,Q1,612.526,0.0,612.526,51.441,25.895,440.449,399.741,172.077,188.649,143.374,3661.489,2708.171,Financial ,40
2000Q2,2000,Q2,568.897,0.0,568.897,50.708,25.279,400.065,360.859,168.832,184.67,140.37,3850.572,2830.375,Financial ,40
2000Q3,2000,Q3,593.05,0.0,593.05,59.89,27.477,438.151,366.061,154.899,185.322,140.823,4042.443,2965.493,Financial ,40
2000Q4,2000,Q4,564.074,0.0,564.074,57.528,22.126,415.096,344.995,148.978,196.664,149.465,4092.377,3078.292,Financial ,40
2001Q1,2001,Q1,577.413,0.0,577.413,59.002,24.433,432.94,359.487,144.473,173.268,131.684,3955.782,3181.702,Financial ,40
2001Q2,2001,Q2,609.473,0.0,609.473,70.576,27.314,484.777,346.29,124.696,157.505,119.703,5934.863,3935.136,Financial ,40
2001Q3,2001,Q3,603.883,0.0,603.883,76.191,32.388,510.035,321.937,93.848,110.353,83.869,6265.65,3977.896,Financial ,40
2001Q4,2001,Q4,618.207,0.0,618.207,74.594,26.425,475.342,360.531,142.865,158.026,118.519,6089.603,4092.117,Financial ,40
2002Q1,2002,Q1,625.968,0.0,625.968,73.197,25.481,477.949,371.081,148.019,159.993,119.996,6494.58,4214.453,Financial ,40
2002Q2,2002,Q2,666.05,0.0,666.05,75.573,29.268,512.198,392.809,153.852,168.711,125.69,6448.764,4316.281,Financial ,40
2002Q3,2002,Q3,608.307,0.0,608.307,70.797,25.703,467.541,360.436,140.766,91.545,68.518,6422.7,4266.946,Financial ,40
2002Q4,2002,Q4,605.451,0.0,605.451,72.595,22.644,465.996,351.797,139.455,148.726,109.76,6519.327,4357.801,Financial ,40
2003Q1,2003,Q1,613.135,0.0,613.135,71.404,24.226,473.429,357.205,139.706,152.227,109.603,6606.305,4368.487,Financial ,40
2003Q2,2003,Q2,683.907,0.0,683.907,70.459,22.281,514.532,421.132,169.375,185.054,131.388,6977.11,4361.291,Financial ,40
2003Q3,2003,Q3,721.955,0.0,721.955,70.871,23.248,522.415,456.205,199.54,214.196,152.079,6970.749,4310.108,Financial ,40
2003Q4,2003,Q4,809.666,0.0,809.666,69.648,21.232,586.806,516.602,222.86,235.94,172.296,7417.402,4598.629,Financial ,40
2004Q1,2004,Q1,878.995,0.0,878.995,68.413,31.935,653.785,540.384,225.21,252.176,172.791,7850.48,4800.853,Financial ,40
2004Q2,2004,Q2,867.815,0.0,867.815,67.464,31.139,626.829,538.56,240.986,243.991,173.896,8074.586,4905.269,Financial ,40
2004Q3,2004,Q3,894.645,0.0,894.645,68.015,27.711,652.876,564.685,241.769,261.759,187.681,8227.768,5106.784,Financial ,40
2004Q4,2004,Q4,986.022,0.0,986.022,66.805,26.108,685.938,660.21,300.084,335.649,239.989,8451.248,5339.332,Financial ,40
2005Q1,2005,Q1,1051.181,0.0,1051.181,69.808,31.108,777.9,670.335,273.281,302.064,221.274,8699.455,5061.287,Financial ,40
2005Q2,2005,Q2,1109.734,0.0,1109.734,73.253,36.845,763.255,754.478,346.479,363.713,261.873,8528.563,5301.538,Financial ,40
2005Q3,2005,Q3,1163.161,0.0,1163.161,77.0,43.237,794.629,821.663,368.532,419.429,334.495,8893.927,5684.384,Financial ,40
2005Q4,2005,Q4,1181.452,0.0,1181.452,73.895,30.337,776.866,838.43,404.586,438.578,317.969,8891.826,6293.114,Financial ,40
2006Q1,2006,Q1,1254.77,0.0,1254.77,73.9,36.13,905.013,817.167,349.757,415.012,196.516,9164.961,6543.017,Financial ,40
2006Q2,2006,Q2,1317.275,0.0,1317.275,74.082,41.309,865.289,935.616,451.986,489.223,371.414,8974.743,6306.33,Financial ,40
2006Q3,2006,Q3,1297.229,0.0,1297.229,80.464,48.684,870.177,898.84,427.052,492.753,381.669,9499.859,6684.728,Financial ,40
2006Q4,2006,Q4,1427.815,0.0,1427.815,75.063,34.861,919.745,1038.66,508.07,603.343,426.8,9663.476,7117.337,Financial ,40
2007Q1,2007,Q1,1509.006,0.0,1509.006,73.953,46.035,1009.923,669.955,499.083,607.705,440.866,9616.91,7030.981,Financial ,40
2007Q2,2007,Q2,1639.811,595.905,1043.906,79.735,407.609,524.9,699.217,519.006,634.521,468.364,9454.741,7012.072,Financial ,40
2007Q3,2007,Q3,1629.137,0.0,1629.137,89.187,56.128,1087.749,1131.033,541.388,619.732,436.908,9932.272,7332.275,Financial ,40
2007Q4,2007,Q4,1685.591,552.59,1133.001,79.617,406.551,497.272,767.809,635.729,709.48,518.316,9672.751,7012.891,Financial ,40
2008Q1,2008,Q1,1503.692,485.612,1018.08,0.0,407.851,498.993,578.24,519.087,519.468,366.096,9944.722,6984.109,Financial ,40
2008Q2,2008,Q2,1521.649,492.385,1029.264,0.0,408.932,497.049,608.888,532.215,553.892,403.312,9344.564,7155.729,Financial ,40
2008Q3,2008,Q3,1321.454,406.526,914.928,0.0,402.618,502.957,512.632,411.971,453.749,300.489,9176.52,7074.364,Financial ,40
2008Q4,2008,Q4,969.33,289.529,679.801,0.0,336.888,411.437,222.58,268.364,174.7,120.9,8987.352,7038.246,Financial ,40
2009Q1,2009,Q1,912.272,293.534,618.738,0.0,328.83,395.416,220.786,223.322,176.231,110.806,8830.436,7048.825,Financial ,40
2009Q2,2009,Q2,1073.558,350.675,722.883,0.0,327.034,396.697,464.117,326.186,423.052,297.716,9242.906,7343.517,Financial ,40
2009Q3,2009,Q3,1238.927,418.284,820.643,0.0,356.086,435.921,555.079,384.722,503.536,367.356,9468.463,7632.173,Financial ,40
2009Q4,2009,Q4,1377.411,535.593,841.818,0.0,374.841,374.841,581.028,466.977,514.285,355.603,9224.129,7135.051,Financial ,40
2010Q1,2010,Q1,1413.113,557.398,855.715,0.0,324.972,394.58,574.485,461.135,508.356,356.685,9520.582,7384.276,Financial ,40
2010Q2,2010,Q2,1534.071,590.876,943.195,0.0,345.613,421.631,574.078,521.564,494.796,360.495,10409.814,7426.502,Financial ,40
2010Q3,2010,Q3,1528.404,529.808,998.596,0.0,404.141,489.592,629.004,509.004,552.371,372.906,10708.088,7726.994,Financial ,40
2010Q4,2010,Q4,1700.313,647.153,1053.16,40.367,353.559,393.926,768.04,659.234,697.667,501.157,12391.955,8129.728,Financial ,40
2011Q1,2011,Q1,1749.563,676.935,1072.628,41.477,401.669,443.146,748.082,629.482,678.569,503.1,12827.382,8413.508,Financial ,40
2011Q2,2011,Q2,1853.033,719.311,1133.722,41.266,377.647,451.025,755.338,682.697,687.144,503.347,13150.999,8686.499,Financial ,40
2011Q3,2011,Q3,1837.13,669.415,1167.715,50.028,524.956,479.301,607.435,688.414,560.82,415.976,13775.8,8524.731,Financial ,40
2011Q4,2011,Q4,1701.9,300.4,1401.5,41.434,727.7,769.1,756.2,632.4,695.0,480.785,13405.487,8273.643,Financial ,40
2012Q1,2012,Q1,1799.3,323.0,1476.3,43.292,815.9,859.2,755.3,617.1,689.9,503.219,13662.808,8689.779,Financial ,40
2012Q2,2012,Q2,1783.6,314.6,1469.0,44.079,781.9,826.0,625.0,643.0,614.9,455.267,13634.313,8749.329,Financial ,40
2012Q3,2012,Q3,1816.191,701.601,1114.59,54.1,403.034,491.849,736.349,622.741,678.416,492.1,14751.5,9201.3,Financial ,40
2012Q4,2012,Q4,1901.8,335.1,1566.7,0.0,838.0,881.6,751.6,685.1,716.1,516.1,14354.2,8947.8,Financial ,40
2013Q1,2013,Q1,2013.6,355.1,1658.5,0.0,884.3,929.1,851.7,729.4,815.0,572.8,14810.2,9420.0,Financial ,40
2013Q2,2013,Q2,2084.8,345.5,1739.3,0.0,923.2,967.6,805.7,771.7,772.0,552.3,15317.2,9779.8,Financial ,40
2013Q3,2013,Q3,1984.8,348.8,1636.0,0.0,842.6,900.9,758.0,735.1,723.5,509.0,15390.3,10073.1,Financial ,40
2013Q4,2013,Q4,2109.5,349.0,1760.5,0.0,897.2,947.4,886.4,813.1,848.7,603.8,15909.3,10507.1,Financial ,40
2014Q1,2014,Q1,2095.9,372.3,1723.6,0.0,886.6,937.6,828.7,786.0,791.6,561.0,16137.4,10865.2,Financial ,40
2014Q2,2014,Q2,2130.5,380.7,1749.8,0.0,908.7,963.0,916.5,786.8,883.5,578.9,16691.9,11295.3,Financial ,40
2014Q3,2014,Q3,2155.5,365.9,1789.6,0.0,893.5,954.3,920.0,835.3,885.8,640.6,16357.1,11584.1,Financial ,40
2014Q4,2014,Q4,2064.3,375.5,1688.8,0.0,855.6,906.8,858.6,782.0,822.4,566.4,16296.8,11555.8,Financial ,40
2015Q1,2015,Q1,2009.8,377.5,1632.3,0.0,824.7,874.6,885.1,757.7,858.9,606.5,16491.1,11821.5,Financial ,40
2015Q2,2015,Q2,2000.8,363.5,1637.3,0.0,809.2,867.5,788.3,769.8,751.4,504.2,16670.3,12085.5,Financial ,40
2015Q3,2015,Q3,1873.8,336.8,1537.0,0.0,754.0,818.9,633.4,718.1,595.7,358.2,16335.7,11841.0,Financial ,40
2015Q4,2015,Q4,1758.0,342.5,1415.5,0.0,710.7,761.9,706.7,653.6,672.1,447.8,16155.5,11781.2,Financial ,40
2016Q1,2016,Q1,1613.9,374.3,1239.6,0.0,652.7,702.3,578.5,537.3,542.5,360.4,15890.9,11770.4,Financial ,40
2016Q2,2016,Q2,1634.3,326.9,1307.4,0.0,661.5,712.0,680.6,595.4,648.9,446.4,15997.5,11782.1,Financial ,40
2016Q3,2016,Q3,1611.8,317.2,1294.6,0.0,659.2,715.2,671.0,579.4,636.3,472.1,16098.8,11935.8,Financial ,40
2016Q4,2016,Q4,1560.8,311.5,1249.3,0.0,610.7,662.4,652.9,586.9,619.7,440.2,16210.3,11964.8,Financial ,40
2017Q1,2017,Q1,1600.6,343.4,1257.2,0.0,647.7,701.7,660.7,555.5,627.5,420.7,17210.1,12193.6,Financial ,40
2017Q2,2017,Q2,1613.9,342.7,1271.2,0.0,652.9,707.0,678.2,564.2,643.5,410.6,17476.2,12400.0,Financial ,40
2017Q3,2017,Q3,1616.9,336.1,1280.8,0.0,663.1,723.1,689.1,557.7,658.4,425.2,17534.0,12620.0,Financial ,40
2017Q4,2017,Q4,1615.5,332.5,1283.0,0.0,646.9,701.9,683.3,581.1,651.6,-583.3,18074.4,11758.1,Financial ,40
2018Q1,2018,Q1,1617.8,355.5,1262.3,0.0,648.5,706.6,660.5,555.7,633.1,443.2,17690.0,10058.4,Financial ,40
2018Q2,2018,Q2,1558.6,357.5,1201.1,0.0,635.5,698.0,489.7,503.1,447.2,402.0,15528.0,9863.5,Financial ,40
2018Q3,2018,Q3,1527.2,345.1,1182.1,0.0,635.1,703.4,506.8,478.7,483.3,502.5,14383.5,9899.2,Financial ,40
2018Q4,2018,Q4,1411.5,355.0,1056.5,0.0,584.1,645.0,372.7,411.5,346.0,275.9,13950.6,9745.4,Financial ,40
2019Q1,2019,Q1,1433.8,409.6,1024.2,0.0,582.6,644.7,519.7,379.5,492.5,367.5,14239.0,9883.8,Financial ,40
2019Q2,2019,Q2,1476.7,437.7,1039.0,0.0,598.4,664.1,444.7,374.9,413.5,245.9,14463.3,9911.0,Financial ,40
2019Q3,2019,Q3,1452.5,382.4,1070.1,0.0,608.8,678.6,428.8,391.5,395.8,306.4,14532.2,9906.5,Financial ,40
2019Q4,2019,Q4,1389.2,240.7,1148.5,0.0,687.0,775.6,478.5,372.9,445.6,350.5,15001.8,10081.6,Financial ,40
2020Q1,2020,Q1,1311.2,251.0,1060.2,0.0,626.9,720.3,130.0,339.9,102.9,79.1,14666.2,9903.4,Financial ,40
2020Q2,2020,Q2,1161.1,235.8,925.3,0.0,610.5,692.8,297.2,232.5,269.8,290.4,15617.0,10114.2,Financial ,40
2020Q3,2020,Q3,1627.4,-69.5,1696.9,0.0,1298.7,1650.5,271.4,46.4,199.6,78.9,21684.5,10114.5,Financial ,40
2020Q4,2020,Q4,1995.1,357.7,1637.4,0.0,1010.1,1228.3,647.0,409.1,537.3,345.3,21229.6,10400.9,Financial ,40
2021Q1,2021,Q1,2076.5,361.3,1715.2,0.0,1036.9,1258.9,710.3,456.3,613.5,381.8,21869.8,10563.4,Financial ,40
2021Q2,2021,Q2,2172.9,366.7,1806.2,0.0,1109.2,1328.1,665.2,478.1,555.4,438.4,23129.1,10875.2,Financial ,40
2021Q3,2021,Q3,2181.0,333.4,1847.6,0.0,1093.4,1316.1,817.7,531.5,738.0,665.7,24168.4,11223.4,Financial ,40
2021Q4,2021,Q4,2224.0,349.8,1874.2,0.0,1094.0,1316.5,795.9,557.7,695.9,453.2,24995.1,11552.9,Financial ,40
2022Q1,2022,Q1,2081.0,362.6,1718.4,0.0,1033.9,1255.4,569.8,463.0,466.2,349.6,25832.9,11540.7,Financial ,40
2022Q2,2022,Q2,2031.3,366.5,1664.8,0.0,1008.2,1260.1,449.9,404.7,313.1,256.4,27596.0,11543.7,Financial ,40
2022Q3,2022,Q3,1939.0,347.5,1591.5,0.0,989.1,1243.0,389.8,348.5,254.2,232.7,28060.6,11474.6,Financial ,40
2022Q4,2022,Q4,1967.1,360.6,1606.5,0.0,999.8,1412.5,368.3,194.0,229.1,165.6,29335.1,11666.3,Financial ,40
2023Q1,2023,Q1,1927.2,397.1,1530.1,0.0,1029.8,1275.0,513.3,255.1,366.0,194.2,29085.7,11831.8,Financial ,40
2023Q2,2023,Q2,1969.0,373.9,1595.1,0.0,1034.6,1280.2,476.4,314.9,330.7,227.5,30234.6,11948.1,Financial ,40
