Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,810.0,0.0,810.0,0.0,222.0,810.0,0.0,0.0,344.0,213.0,52280.0,4547.0,Financial ,40
1995Q2,1995,Q2,854.0,0.0,854.0,0.0,223.0,854.0,0.0,0.0,367.0,226.0,53464.0,4765.0,Financial ,40
1995Q3,1995,Q3,917.0,0.0,917.0,0.0,232.0,917.0,0.0,0.0,380.0,234.0,51087.0,5100.0,Financial ,40
1995Q4,1995,Q4,944.0,0.0,944.0,0.0,237.0,944.0,0.0,0.0,391.0,241.0,53720.0,5232.0,Financial ,40
1996Q1,1996,Q1,928.0,0.0,928.0,0.0,247.0,928.0,0.0,0.0,395.0,243.0,53317.0,5244.0,Financial ,40
1996Q2,1996,Q2,1334.0,0.0,1334.0,0.0,249.0,1334.0,0.0,0.0,452.0,278.0,51467.0,5067.0,Financial ,40
1996Q3,1996,Q3,899.0,0.0,899.0,0.0,253.0,899.0,0.0,0.0,404.0,249.0,52388.0,5117.0,Financial ,40
1996Q4,1996,Q4,931.0,0.0,931.0,0.0,264.0,931.0,0.0,0.0,404.0,250.0,55765.0,5127.0,Financial ,40
1997Q1,1997,Q1,943.0,0.0,943.0,0.0,257.0,943.0,0.0,0.0,425.0,265.0,58384.0,5020.0,Financial ,40
1997Q2,1997,Q2,970.0,0.0,970.0,0.0,263.0,970.0,0.0,0.0,431.0,269.0,61242.0,4937.0,Financial ,40
1997Q3,1997,Q3,990.0,0.0,990.0,0.0,269.0,990.0,0.0,0.0,438.0,273.0,61222.0,4992.0,Financial ,40
1997Q4,1997,Q4,1089.0,0.0,1089.0,0.0,277.0,1089.0,0.0,0.0,479.0,298.0,59961.0,5002.0,Financial ,40
1998Q1,1998,Q1,948.0,0.0,948.0,0.0,283.0,948.0,0.0,0.0,456.0,284.0,59611.0,4812.0,Financial ,40
1998Q2,1998,Q2,969.0,0.0,969.0,0.0,287.0,969.0,0.0,0.0,467.0,295.0,63003.0,4968.0,Financial ,40
1998Q3,1998,Q3,987.0,0.0,987.0,0.0,294.0,987.0,0.0,0.0,476.0,301.0,63812.0,5014.0,Financial ,40
1998Q4,1998,Q4,1031.0,0.0,1031.0,0.0,315.0,1031.0,0.0,0.0,493.0,313.0,63503.0,5448.0,Financial ,40
1999Q1,1999,Q1,1052.0,0.0,1052.0,0.0,312.0,1052.0,0.0,0.0,500.0,316.0,64917.0,5306.0,Financial ,40
1999Q2,1999,Q2,1067.0,0.0,1067.0,0.0,311.0,1067.0,0.0,0.0,511.0,323.0,67771.0,5280.0,Financial ,40
1999Q3,1999,Q3,1948.0,0.0,1948.0,0.0,300.0,1948.0,0.0,0.0,1315.0,773.0,63158.0,4896.0,Financial ,40
1999Q4,1999,Q4,1127.0,0.0,1127.0,0.0,329.0,1127.0,0.0,0.0,514.0,328.0,74756.0,5143.0,Financial ,40
2000Q1,2000,Q1,1184.0,0.0,1184.0,0.0,359.0,1184.0,0.0,0.0,534.0,338.0,76041.0,5224.0,Financial ,40
2000Q2,2000,Q2,1243.0,0.0,1243.0,0.0,366.0,1243.0,0.0,0.0,562.0,356.0,76661.0,5507.0,Financial ,40
2000Q3,2000,Q3,1264.0,0.0,1264.0,0.0,371.0,1264.0,0.0,0.0,576.0,363.0,75409.0,5919.0,Financial ,40
2000Q4,2000,Q4,1288.0,0.0,1288.0,0.0,391.0,1288.0,0.0,0.0,580.0,372.0,77114.0,6152.0,Financial ,40
2001Q1,2001,Q1,1313.0,0.0,1313.0,0.0,394.0,1313.0,0.0,0.0,602.0,384.0,73073.0,6055.0,Financial ,40
2001Q2,2001,Q2,1295.0,0.0,1295.0,0.0,391.0,1295.0,0.0,0.0,601.0,385.0,76831.0,6287.0,Financial ,40
2001Q3,2001,Q3,1217.0,0.0,1217.0,0.0,418.0,1217.0,0.0,0.0,356.0,243.0,89677.0,6467.0,Financial ,40
2001Q4,2001,Q4,1363.0,0.0,1363.0,0.0,386.0,1363.0,0.0,0.0,500.0,331.0,81025.0,6317.0,Financial ,40
2002Q1,2002,Q1,1222.0,0.0,1222.0,0.0,384.0,1222.0,0.0,0.0,546.0,362.0,76779.0,6354.0,Financial ,40
2002Q2,2002,Q2,1278.0,0.0,1278.0,0.0,418.0,1278.0,0.0,0.0,547.0,361.0,80805.0,6610.0,Financial ,40
2002Q3,2002,Q3,1054.0,0.0,1054.0,0.0,397.0,1054.0,0.0,0.0,123.0,79.0,80987.0,6633.0,Financial ,40
2002Q4,2002,Q4,1246.0,0.0,1246.0,0.0,379.0,1246.0,0.0,0.0,156.0,100.0,77740.0,6684.0,Financial ,40
2003Q1,2003,Q1,1230.0,0.0,1230.0,0.0,423.0,1230.0,0.0,0.0,451.0,295.0,79548.0,6874.0,Financial ,40
2003Q2,2003,Q2,1394.0,0.0,1394.0,0.0,498.0,1394.0,0.0,0.0,451.0,295.0,99604.0,8113.0,Financial ,40
2003Q3,2003,Q3,1470.0,0.0,1470.0,0.0,533.0,1470.0,0.0,0.0,391.0,260.0,95193.0,8223.0,Financial ,40
2003Q4,2003,Q4,1521.0,0.0,1521.0,0.0,548.0,1521.0,0.0,0.0,469.0,307.0,92397.0,8428.0,Financial ,40
2004Q1,2004,Q1,1498.0,0.0,1498.0,0.0,574.0,1498.0,0.0,0.0,473.0,364.0,92652.0,8760.0,Financial ,40
2004Q2,2004,Q2,1587.0,0.0,1587.0,0.0,570.0,1587.0,0.0,0.0,565.0,371.0,97536.0,8785.0,Financial ,40
2004Q3,2004,Q3,1527.0,0.0,1527.0,0.0,564.0,1527.0,0.0,0.0,538.0,354.0,93175.0,9054.0,Financial ,40
2004Q4,2004,Q4,1713.0,0.0,1713.0,0.0,616.0,1713.0,0.0,0.0,633.0,351.0,94529.0,9290.0,Financial ,40
2005Q1,2005,Q1,1633.0,0.0,1633.0,0.0,618.0,1633.0,0.0,0.0,566.0,379.0,96537.0,9335.0,Financial ,40
2005Q2,2005,Q2,1523.0,0.0,1523.0,0.0,581.0,1523.0,0.0,0.0,505.0,398.0,103063.0,9471.0,Financial ,40
2005Q3,2005,Q3,1531.0,0.0,1531.0,0.0,585.0,1531.0,0.0,0.0,490.0,389.0,101766.0,9608.0,Financial ,40
2005Q4,2005,Q4,1766.0,0.0,1766.0,0.0,647.0,1766.0,0.0,0.0,608.0,405.0,102118.0,9876.0,Financial ,40
2006Q1,2006,Q1,1604.0,0.0,1604.0,0.0,604.0,1604.0,0.0,0.0,535.0,422.0,103611.0,10101.0,Financial ,40
2006Q2,2006,Q2,1724.0,0.0,1724.0,0.0,656.0,1724.0,0.0,0.0,591.0,448.0,108881.0,10056.0,Financial ,40
2006Q3,2006,Q3,1614.0,0.0,1614.0,0.0,644.0,1614.0,0.0,0.0,422.0,352.0,106636.0,10467.0,Financial ,40
2006Q4,2006,Q4,-272.0,0.0,-272.0,0.0,736.0,-272.0,0.0,0.0,622.0,1789.0,103206.0,11429.0,Financial ,40
2007Q1,2007,Q1,1902.0,0.0,1902.0,0.0,791.0,1902.0,0.0,0.0,645.0,434.0,99848.0,11527.0,Financial ,40
2007Q2,2007,Q2,2032.0,0.0,2032.0,0.0,752.0,2032.0,0.0,0.0,233.0,445.0,126333.0,11829.0,Financial ,40
2007Q3,2007,Q3,3600.0,0.0,3600.0,0.0,1280.0,3600.0,0.0,0.0,894.0,640.0,183972.0,28957.0,Financial ,40
2007Q4,2007,Q4,3471.0,0.0,3471.0,0.0,1368.0,3471.0,0.0,0.0,1028.0,520.0,197656.0,29403.0,Financial ,40
2008Q1,2008,Q1,3747.0,0.0,3747.0,0.0,1734.0,3747.0,0.0,0.0,746.0,746.0,204935.0,28475.0,Financial ,40
2008Q2,2008,Q2,3275.0,0.0,3275.0,0.0,1662.0,3275.0,0.0,0.0,309.0,309.0,201225.0,28569.0,Financial ,40
2008Q3,2008,Q3,3607.0,0.0,3607.0,0.0,1632.0,3607.0,0.0,0.0,303.0,303.0,267510.0,27513.0,Financial ,40
2008Q4,2008,Q4,2335.0,0.0,2335.0,0.0,1154.0,2335.0,0.0,0.0,-49.0,61.0,237512.0,28050.0,Financial ,40
2009Q1,2009,Q1,2911.0,0.0,2911.0,0.0,1520.0,2911.0,0.0,0.0,572.0,369.0,203478.0,28210.0,Financial ,40
2009Q2,2009,Q2,2957.0,0.0,2957.0,0.0,1496.0,2957.0,0.0,0.0,176.0,412.0,203012.0,27276.0,Financial ,40
2009Q3,2009,Q3,-1507.0,0.0,-1507.0,0.0,1349.0,-1507.0,0.0,0.0,-2458.0,-2458.0,212007.0,28295.0,Financial ,40
2009Q4,2009,Q4,2862.0,0.0,2862.0,0.0,870.0,2862.0,0.0,0.0,672.0,593.0,212224.0,28977.0,Financial ,40
2010Q1,2010,Q1,3359.0,0.0,3359.0,0.0,1455.0,3359.0,0.0,0.0,559.0,559.0,220551.0,29683.0,Financial ,40
2010Q2,2010,Q2,3240.0,0.0,3240.0,0.0,1415.0,3240.0,0.0,0.0,658.0,658.0,235693.0,30396.0,Financial ,40
2010Q3,2010,Q3,3423.0,0.0,3423.0,0.0,1546.0,3423.0,0.0,0.0,622.0,622.0,254157.0,32153.0,Financial ,40
2010Q4,2010,Q4,3374.0,0.0,3374.0,0.0,1417.0,3374.0,0.0,0.0,970.0,679.0,247259.0,32354.0,Financial ,40
2011Q1,2011,Q1,3646.0,0.0,3646.0,0.0,1657.0,3646.0,0.0,0.0,949.0,625.0,266444.0,33258.0,Financial ,40
2011Q2,2011,Q2,3850.0,0.0,3850.0,0.0,1666.0,3088.0,0.0,0.0,1034.0,735.0,304706.0,33851.0,Financial ,40
2011Q3,2011,Q3,3694.0,0.0,3694.0,0.0,1670.0,3694.0,0.0,0.0,945.0,651.0,322187.0,33695.0,Financial ,40
2011Q4,2011,Q4,2988.0,0.0,2988.0,0.0,1382.0,2988.0,0.0,0.0,689.0,505.0,325266.0,33417.0,Financial ,40
2012Q1,2012,Q1,3545.0,0.0,3545.0,0.0,1453.0,3545.0,0.0,0.0,940.0,619.0,300169.0,34000.0,Financial ,40
2012Q2,2012,Q2,3514.0,0.0,3514.0,0.0,1415.0,3514.0,0.0,0.0,589.0,466.0,330283.0,34533.0,Financial ,40
2012Q3,2012,Q3,3566.0,0.0,3566.0,0.0,1436.0,3566.0,0.0,0.0,975.0,725.0,339944.0,36218.0,Financial ,40
2012Q4,2012,Q4,3509.0,0.0,3509.0,0.0,1457.0,3509.0,0.0,0.0,853.0,635.0,358990.0,36431.0,Financial ,40
2013Q1,2013,Q1,3523.0,0.0,3523.0,0.0,1472.0,3523.0,0.0,0.0,825.0,-253.0,355942.0,35690.0,Financial ,40
2013Q2,2013,Q2,3914.0,0.0,3914.0,0.0,1509.0,3914.0,0.0,0.0,1222.0,843.0,360505.0,35882.0,Financial ,40
2013Q3,2013,Q3,3675.0,0.0,3675.0,0.0,1516.0,3675.0,0.0,0.0,1002.0,975.0,371952.0,36959.0,Financial ,40
2013Q4,2013,Q4,3501.0,0.0,3501.0,0.0,1522.0,3501.0,0.0,0.0,728.0,539.0,374516.0,37497.0,Financial ,40
2014Q1,2014,Q1,3540.0,0.0,3540.0,0.0,1511.0,3540.0,0.0,0.0,926.0,674.0,368241.0,37986.0,Financial ,40
2014Q2,2014,Q2,3633.0,0.0,3633.0,0.0,1439.0,3633.0,0.0,0.0,811.0,577.0,400740.0,38326.0,Financial ,40
2014Q3,2014,Q3,3668.0,0.0,3668.0,0.0,1477.0,3668.0,0.0,0.0,1662.0,1083.0,386296.0,38451.0,Financial ,40
2014Q4,2014,Q4,3587.0,0.0,3587.0,0.0,1418.0,3587.0,0.0,0.0,164.0,233.0,385303.0,37441.0,Financial ,40
2015Q1,2015,Q1,3694.0,0.0,3694.0,0.0,1485.0,3694.0,0.0,0.0,1090.0,779.0,399088.0,37328.0,Financial ,40
2015Q2,2015,Q2,3790.0,0.0,3790.0,0.0,1434.0,3790.0,0.0,0.0,1165.0,853.0,395254.0,38270.0,Financial ,40
2015Q3,2015,Q3,3695.0,0.0,3695.0,0.0,1437.0,3695.0,0.0,0.0,1109.0,833.0,377371.0,38170.0,Financial ,40
2015Q4,2015,Q4,3634.0,0.0,3634.0,0.0,1481.0,3634.0,0.0,0.0,871.0,693.0,393780.0,38037.0,Financial ,40
2016Q1,2016,Q1,3630.0,0.0,3630.0,0.0,1459.0,3630.0,0.0,0.0,1091.0,817.0,372870.0,38459.0,Financial ,40
2016Q2,2016,Q2,3674.0,0.0,3674.0,0.0,1412.0,3674.0,0.0,0.0,1165.0,873.0,372351.0,38559.0,Financial ,40
2016Q3,2016,Q3,3836.0,0.0,3836.0,0.0,1467.0,3836.0,0.0,0.0,1317.0,987.0,374114.0,39695.0,Financial ,40
2016Q4,2016,Q4,3692.0,0.0,3692.0,0.0,1395.0,3692.0,0.0,0.0,1152.0,870.0,333469.0,38811.0,Financial ,40
2017Q1,2017,Q1,3743.0,0.0,3743.0,0.0,1488.0,3743.0,0.0,0.0,1206.0,922.0,337536.0,39138.0,Financial ,40
2017Q2,2017,Q2,3852.0,0.0,3852.0,0.0,1432.0,3852.0,0.0,0.0,1308.0,975.0,354815.0,39974.0,Financial ,40
2017Q3,2017,Q3,3907.0,0.0,3907.0,0.0,1485.0,3907.0,0.0,0.0,1368.0,1018.0,354397.0,40523.0,Financial ,40
2017Q4,2017,Q4,3622.0,0.0,3622.0,0.0,1628.0,3622.0,0.0,0.0,728.0,1175.0,371758.0,41251.0,Financial ,40
2018Q1,2018,Q1,4072.0,0.0,4072.0,0.0,1576.0,4072.0,0.0,0.0,1444.0,1171.0,373597.0,41728.0,Financial ,40
2018Q2,2018,Q2,4032.0,0.0,4032.0,0.0,1489.0,4032.0,0.0,0.0,1394.0,1103.0,352928.0,41505.0,Financial ,40
2018Q3,2018,Q3,3970.0,0.0,3970.0,0.0,1478.0,3970.0,0.0,0.0,1334.0,1111.0,349770.0,41560.0,Financial ,40
2018Q4,2018,Q4,3912.0,0.0,3912.0,0.0,1602.0,3912.0,0.0,0.0,1020.0,881.0,362873.0,40638.0,Financial ,40
2019Q1,2019,Q1,3808.0,0.0,3808.0,0.0,1524.0,3808.0,0.0,0.0,1193.0,946.0,346132.0,41225.0,Financial ,40
2019Q2,2019,Q2,3830.0,0.0,3830.0,0.0,1421.0,3830.0,0.0,0.0,1285.0,1017.0,381168.0,41533.0,Financial ,40
2019Q3,2019,Q3,3764.0,0.0,3764.0,0.0,1479.0,3764.0,0.0,0.0,1287.0,1038.0,373168.0,41120.0,Financial ,40
2019Q4,2019,Q4,4686.0,0.0,4686.0,0.0,1639.0,4686.0,0.0,0.0,1822.0,1440.0,381508.0,41483.0,Financial ,40
2020Q1,2020,Q1,4017.0,0.0,4017.0,0.0,1482.0,4017.0,0.0,0.0,1227.0,980.0,468155.0,41145.0,Financial ,40
2020Q2,2020,Q2,3925.0,0.0,3925.0,0.0,1464.0,3925.0,0.0,0.0,1181.0,950.0,442316.0,43697.0,Financial ,40
2020Q3,2020,Q3,3762.0,0.0,3762.0,0.0,1466.0,3762.0,0.0,0.0,1157.0,937.0,428398.0,44917.0,Financial ,40
2020Q4,2020,Q4,3768.0,0.0,3768.0,0.0,1554.0,3768.0,0.0,0.0,903.0,750.0,469633.0,45801.0,Financial ,40
2021Q1,2021,Q1,3847.0,0.0,3847.0,0.0,1602.0,3847.0,0.0,0.0,1153.0,927.0,464984.0,44954.0,Financial ,40
2021Q2,2021,Q2,3887.0,0.0,3887.0,0.0,1518.0,3887.0,0.0,0.0,1268.0,1022.0,466963.0,45281.0,Financial ,40
2021Q3,2021,Q3,3959.0,0.0,3959.0,0.0,1584.0,3959.0,0.0,0.0,1162.0,947.0,470533.0,43601.0,Financial ,40
2021Q4,2021,Q4,3940.0,0.0,3940.0,0.0,1633.0,3940.0,0.0,0.0,1065.0,863.0,444438.0,43034.0,Financial ,40
2022Q1,2022,Q1,3847.0,0.0,3847.0,0.0,1702.0,3847.0,0.0,0.0,918.0,773.0,473811.0,41799.0,Financial ,40
2022Q2,2022,Q2,4164.0,0.0,4164.0,0.0,1623.0,4164.0,0.0,0.0,1095.0,869.0,452621.0,40984.0,Financial ,40
2022Q3,2022,Q3,4154.0,0.0,4154.0,0.0,1641.0,4154.0,0.0,0.0,630.0,388.0,427953.0,39737.0,Financial ,40
2022Q4,2022,Q4,3832.0,0.0,3832.0,0.0,1802.0,3832.0,0.0,0.0,685.0,543.0,405783.0,40734.0,Financial ,40
2023Q1,2023,Q1,4331.0,0.0,4331.0,0.0,1791.0,4331.0,0.0,0.0,1288.0,982.0,425112.0,40634.0,Financial ,40
2023Q2,2023,Q2,4412.0,0.0,4412.0,0.0,1692.0,4412.0,0.0,0.0,1388.0,1072.0,430382.0,40933.0,Financial ,40
2023Q3,2023,Q3,4333.0,0.0,4333.0,0.0,1714.0,4333.0,0.0,0.0,1328.0,1040.0,405248.0,40966.0,Financial ,40
2023Q4,2023,Q4,4367.0,0.0,4367.0,0.0,1631.0,4367.0,0.0,0.0,232.0,205.0,409877.0,40770.0,Financial ,40
2024Q1,2024,Q1,9487.0,5083.0,4404.0,0.0,1821.0,3080.0,1792.0,1324.0,1324.0,1025.0,434728.0,40569.0,Financial ,40
2024Q2,2024,Q2,9871.0,5362.0,4509.0,0.0,1691.0,2982.0,1983.0,1527.0,1527.0,1168.0,428539.0,40843.0,Financial ,40
2024Q3,2024,Q3,10162.0,5627.0,4535.0,0.0,1696.0,3010.0,1976.0,1525.0,1525.0,1182.0,427461.0,41992.0,Financial ,40
2024Q4,2024,Q4,10033.0,5293.0,4740.0,0.0,1682.0,3268.0,1900.0,1472.0,1472.0,1155.0,416064.0,41318.0,Financial ,40
2025Q1,2025,Q1,9651.0,4982.0,4669.0,0.0,1802.0,3147.0,1968.0,1522.0,1522.0,1220.0,440691.0,43119.0,Financial ,40
2025Q2,2025,Q2,10324.0,5382.0,4942.0,0.0,1734.0,3103.0,2265.0,1839.0,1839.0,1423.0,485781.0,43950.0,Financial ,40
