Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,3301.0,791.0,2510.0,290.0,1202.0,1578.0,1018.0,932.0,932.0,657.0,13454.0,5959.0,Healthcare,35
1995Q2,1995,Q2,3445.0,823.0,2622.0,294.0,1380.0,1760.0,948.0,862.0,862.0,608.0,13579.0,6211.0,Healthcare,35
1995Q3,1995,Q3,3413.0,843.0,2570.0,293.0,1232.0,1612.0,1045.0,958.0,958.0,689.0,13382.0,6317.0,Healthcare,35
1995Q4,1995,Q4,3608.0,732.0,2876.0,323.0,1501.0,2013.0,1052.0,863.0,-350.0,-142.0,13929.0,5822.0,Healthcare,35
1996Q1,1996,Q1,3669.0,804.0,2865.0,302.0,1410.0,1843.0,1153.0,1022.0,1022.0,726.0,13824.0,5936.0,Healthcare,35
1996Q2,1996,Q2,3696.0,839.0,2857.0,309.0,1502.0,1934.0,1046.0,923.0,923.0,655.0,13750.0,6065.0,Healthcare,35
1996Q3,1996,Q3,3745.0,877.0,2868.0,336.0,1346.0,1808.0,1186.0,1060.0,1060.0,753.0,14005.0,6349.0,Healthcare,35
1996Q4,1996,Q4,3955.0,927.0,3028.0,328.0,1613.0,2080.0,1087.0,948.0,1008.0,716.0,14685.0,6570.0,Healthcare,35
1997Q1,1997,Q1,4045.0,944.0,3101.0,326.0,1508.0,1968.0,1267.0,1133.0,1133.0,810.0,14860.0,6761.0,Healthcare,35
1997Q2,1997,Q2,4064.0,962.0,3102.0,321.0,1614.0,2070.0,1167.0,1032.0,1032.0,738.0,14524.0,6817.0,Healthcare,35
1997Q3,1997,Q3,4151.0,970.0,3181.0,346.0,1499.0,1985.0,1336.0,1196.0,1196.0,855.0,14718.0,6927.0,Healthcare,35
1997Q4,1997,Q4,4441.0,997.0,3444.0,392.0,1793.0,2367.0,1259.0,1077.0,1121.0,802.0,14977.0,7219.0,Healthcare,35
1998Q1,1998,Q1,4446.0,997.0,3449.0,383.0,1619.0,2157.0,1447.0,1292.0,1292.0,927.0,15243.0,7185.0,Healthcare,35
1998Q2,1998,Q2,4430.0,1060.0,3370.0,384.0,1676.0,2206.0,1310.0,1164.0,1164.0,835.0,14593.0,7244.0,Healthcare,35
1998Q3,1998,Q3,4523.0,1035.0,3488.0,398.0,1588.0,2142.0,1502.0,1346.0,1346.0,966.0,14925.0,7547.0,Healthcare,35
1998Q4,1998,Q4,4885.0,1139.0,3746.0,412.0,1847.0,2427.0,1487.0,1319.0,466.0,413.0,16272.0,7576.0,Healthcare,35
1999Q1,1999,Q1,4854.0,1138.0,3716.0,423.0,1650.0,2240.0,1643.0,1476.0,1476.0,1066.0,15986.0,7750.0,Healthcare,35
1999Q2,1999,Q2,4920.0,1197.0,3723.0,453.0,1788.0,2405.0,1482.0,1318.0,1318.0,952.0,16214.0,8060.0,Healthcare,35
1999Q3,1999,Q3,5040.0,1244.0,3796.0,452.0,1262.0,1851.0,1500.0,1342.0,1342.0,1097.0,16612.0,8441.0,Healthcare,35
1999Q4,1999,Q4,5408.0,1282.0,4126.0,515.0,1881.0,2585.0,1730.0,1541.0,1455.0,1052.0,17114.0,8645.0,Healthcare,35
2000Q1,2000,Q1,5260.0,1192.0,4068.0,468.0,931.0,2390.0,1717.0,1530.0,1530.0,1221.0,17036.0,8809.0,Healthcare,35
2000Q2,2000,Q2,5275.0,1200.0,4075.0,472.0,1114.0,2576.0,1685.0,1499.0,1499.0,1091.0,16831.0,8917.0,Healthcare,35
2000Q3,2000,Q3,4563.0,1013.0,3550.0,479.0,1001.0,2023.0,1714.0,1527.0,1141.0,1236.0,17467.0,9156.0,Healthcare,35
2000Q4,2000,Q4,4784.0,1102.0,3682.0,520.0,-1150.0,2076.0,1792.0,1606.0,1446.0,1163.0,17578.0,9180.0,Healthcare,35
2001Q1,2001,Q1,4689.0,1283.0,3406.0,508.0,1211.0,1719.0,1795.0,1610.0,1687.0,1336.0,17664.0,9442.0,Healthcare,35
2001Q2,2001,Q2,4709.0,1347.0,3362.0,495.0,1366.0,1861.0,1655.0,1477.0,1501.0,1201.0,17476.0,9539.0,Healthcare,35
2001Q3,2001,Q3,4743.0,1331.0,3412.0,496.0,1241.0,1737.0,1649.0,1512.0,1603.0,1187.0,24635.0,9935.0,Healthcare,35
2001Q4,2001,Q4,5282.0,1614.0,3668.0,760.0,1441.0,2278.0,1715.0,1467.0,-1967.0,1463.0,27812.0,9075.0,Healthcare,35
2002Q1,2002,Q1,4082.0,1391.0,2691.0,512.0,1184.0,1673.0,1665.0,1486.0,1228.0,856.0,24917.0,10734.0,Healthcare,35
2002Q2,2002,Q2,4053.0,1396.0,2657.0,536.0,1331.0,1809.0,1034.0,852.0,724.0,479.0,24783.0,10714.0,Healthcare,35
2002Q3,2002,Q3,4537.0,1654.0,2883.0,535.0,1273.0,1808.0,1263.0,1075.0,115.0,357.0,24968.0,9196.0,Healthcare,35
2002Q4,2002,Q4,4794.0,1766.0,3028.0,654.0,1492.0,2146.0,1068.0,882.0,580.0,374.0,25022.0,8756.0,Healthcare,35
