Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,215.7,64.4,151.3,15.8,61.3,77.1,74.2,74.2,-52.4,-68.6,871.1,527.3,Healthcare,35
1995Q2,1995,Q2,227.3,66.2,161.1,16.4,69.5,85.9,75.2,75.2,72.0,45.9,890.8,585.3,Healthcare,35
1995Q3,1995,Q3,232.8,65.6,167.2,17.5,71.0,88.5,78.7,78.7,73.2,47.0,831.1,642.6,Healthcare,35
1995Q4,1995,Q4,431.2,80.8,350.4,0.0,303.2,293.4,57.0,57.0,-7.8,-16.3,1075.0,753.0,Healthcare,35
1996Q1,1996,Q1,322.4,85.6,236.8,25.8,107.9,133.7,172.1,103.1,32.8,-1.0,1241.6,795.5,Healthcare,35
1996Q2,1996,Q2,357.2,94.9,262.3,28.7,122.3,151.0,171.5,111.3,47.8,23.5,1257.7,750.6,Healthcare,35
1996Q3,1996,Q3,373.7,104.5,269.2,30.3,133.8,164.1,109.1,105.1,102.5,71.2,1357.2,831.1,Healthcare,35
1996Q4,1996,Q4,408.7,54.6,354.1,0.0,355.1,331.7,-72.3,22.4,113.8,76.7,1512.1,916.3,Healthcare,35
1997Q1,1997,Q1,399.2,113.2,286.0,33.7,144.4,178.1,112.8,107.9,108.4,75.4,1559.6,970.6,Healthcare,35
1997Q2,1997,Q2,473.7,131.5,342.2,41.0,162.4,203.4,138.8,138.8,-23.1,-26.9,1742.1,949.6,Healthcare,35
1997Q3,1997,Q3,474.8,135.9,338.9,43.3,171.1,214.4,119.7,124.5,126.2,88.4,1857.8,1021.7,Healthcare,35
1997Q4,1997,Q4,493.2,75.3,417.9,73.6,219.0,379.3,29.7,38.6,43.0,2.4,1967.8,986.2,Healthcare,35
1998Q1,1998,Q1,470.0,140.0,330.0,44.6,178.6,223.2,109.2,106.8,98.4,60.0,2125.1,1061.8,Healthcare,35
1998Q2,1998,Q2,505.7,151.2,354.5,48.6,188.3,236.9,103.3,117.6,123.8,67.0,2229.2,1182.3,Healthcare,35
1998Q3,1998,Q3,575.4,200.5,374.9,49.7,186.3,247.0,130.0,127.9,-646.2,-509.4,3994.0,725.1,Healthcare,35
1998Q4,1998,Q4,682.5,167.3,515.2,739.2,262.4,1103.4,-486.4,-588.2,148.8,99.4,3892.7,821.1,Healthcare,35
1999Q1,1999,Q1,708.0,230.0,478.0,49.0,207.0,279.0,222.0,199.0,151.0,100.0,3876.0,921.0,Healthcare,35
1999Q2,1999,Q2,726.0,235.0,491.0,49.0,204.0,276.0,238.0,215.0,165.0,109.0,3746.0,1658.0,Healthcare,35
1999Q3,1999,Q3,691.0,283.0,408.0,48.0,220.0,291.0,148.0,117.0,84.0,55.0,3639.0,1753.0,Healthcare,35
1999Q4,1999,Q4,717.0,152.0,565.0,51.0,211.0,371.0,303.0,194.0,162.0,107.0,3572.0,1724.0,Healthcare,35
2000Q1,2000,Q1,679.0,213.0,466.0,49.0,214.0,286.0,203.0,180.0,156.0,106.0,3514.0,1780.0,Healthcare,35
2000Q2,2000,Q2,695.0,217.0,478.0,49.0,214.0,286.0,215.0,192.0,170.0,122.0,3483.0,1868.0,Healthcare,35
2000Q3,2000,Q3,652.0,200.0,452.0,48.0,216.0,287.0,188.0,165.0,119.0,85.0,3413.0,1934.0,Healthcare,35
2000Q4,2000,Q4,638.0,112.0,526.0,53.0,223.0,388.0,250.0,138.0,82.0,60.0,3427.0,1935.0,Healthcare,35
2001Q1,2001,Q1,654.0,222.0,432.0,56.0,225.0,313.0,142.0,40.0,27.0,-5.0,3525.0,1961.0,Healthcare,35
2001Q2,2001,Q2,672.0,268.0,404.0,71.0,230.0,362.0,94.0,-150.0,-166.0,-172.0,3590.0,1797.0,Healthcare,35
2001Q3,2001,Q3,670.0,214.0,456.0,82.0,232.0,354.0,132.0,102.0,87.0,58.0,3764.0,1864.0,Healthcare,35
2001Q4,2001,Q4,677.0,215.0,462.0,-201.0,274.0,76.0,417.0,108.0,96.0,65.0,3974.0,2015.0,Healthcare,35
2002Q1,2002,Q1,675.0,207.0,468.0,76.0,241.0,343.0,142.0,125.0,117.0,82.0,4015.0,2102.0,Healthcare,35
2002Q2,2002,Q2,708.0,225.0,483.0,85.0,246.0,356.0,144.0,82.0,54.0,25.0,4117.0,2097.0,Healthcare,35
2002Q3,2002,Q3,722.0,211.0,511.0,87.0,249.0,265.0,265.0,246.0,235.0,161.0,4267.0,2286.0,Healthcare,35
2002Q4,2002,Q4,814.0,227.0,587.0,95.0,266.0,390.0,216.0,157.0,143.0,105.0,4450.0,2467.0,Healthcare,35
2003Q1,2003,Q1,807.0,226.0,581.0,103.0,271.0,413.0,188.0,155.0,140.0,97.0,4612.0,2475.0,Healthcare,35
2003Q2,2003,Q2,854.0,235.0,619.0,108.0,292.0,434.0,206.0,173.0,161.0,114.0,4921.0,2652.0,Healthcare,35
2003Q3,2003,Q3,876.0,243.0,633.0,113.0,295.0,452.0,202.0,173.0,158.0,124.0,5203.0,2575.0,Healthcare,35
2003Q4,2003,Q4,939.0,257.0,682.0,128.0,313.0,482.0,227.0,196.0,184.0,137.0,5699.0,2862.0,Healthcare,35
2004Q1,2004,Q1,1082.0,292.0,790.0,134.0,348.0,526.0,286.0,264.0,255.0,194.0,5844.0,3219.0,Healthcare,35
2004Q2,2004,Q2,1460.0,363.0,1097.0,132.0,375.0,585.0,538.0,448.0,432.0,313.0,7432.0,3704.0,Healthcare,35
2004Q3,2004,Q3,1482.0,309.0,1173.0,145.0,504.0,815.0,392.0,358.0,348.0,258.0,7983.0,4005.0,Healthcare,35
2004Q4,2004,Q4,1600.0,328.0,1272.0,158.0,515.0,767.0,535.0,504.0,459.0,297.0,8170.0,4025.0,Healthcare,35
2005Q1,2005,Q1,1615.0,344.0,1271.0,159.0,431.0,685.0,617.0,513.0,494.0,358.0,7819.0,4390.0,Healthcare,35
2005Q2,2005,Q2,1617.0,357.0,1260.0,166.0,471.0,731.0,565.0,326.0,311.0,205.0,8083.0,4217.0,Healthcare,35
2005Q3,2005,Q3,1511.0,343.0,1168.0,181.0,444.0,1504.0,-289.0,-336.0,-352.0,-269.0,8076.0,3901.0,Healthcare,35
2005Q4,2005,Q4,1540.0,342.0,1198.0,174.0,468.0,733.0,503.0,465.0,438.0,334.0,8196.0,4282.0,Healthcare,35
2006Q1,2006,Q1,1620.0,374.0,1246.0,186.0,525.0,749.0,497.0,497.0,431.0,332.0,9109.0,4671.0,Healthcare,35
2006Q2,2006,Q2,2110.0,677.0,1433.0,283.0,728.0,1241.0,357.0,-3925.0,-4186.0,-4262.0,30611.0,14886.0,Healthcare,35
2006Q3,2006,Q3,2026.0,630.0,1396.0,272.0,719.0,1201.0,195.0,195.0,51.0,76.0,30752.0,15016.0,Healthcare,35
2006Q4,2006,Q4,2065.0,526.0,1539.0,267.0,758.0,1253.0,460.0,284.0,169.0,277.0,31096.0,15298.0,Healthcare,35
2007Q1,2007,Q1,2086.0,568.0,1518.0,294.0,787.0,1236.0,282.0,282.0,159.0,120.0,31069.0,15549.0,Healthcare,35
2007Q2,2007,Q2,2071.0,563.0,1508.0,275.0,803.0,1236.0,430.0,280.0,126.0,115.0,31265.0,15802.0,Healthcare,35
2007Q3,2007,Q3,2048.0,575.0,1473.0,271.0,719.0,1545.0,83.0,-147.0,-259.0,-272.0,31334.0,15517.0,Healthcare,35
2007Q4,2007,Q4,2153.0,636.0,1517.0,256.0,704.0,1758.0,-67.0,-430.0,-596.0,-458.0,31197.0,15097.0,Healthcare,35
2008Q1,2008,Q1,2046.0,580.0,1466.0,244.0,661.0,1094.0,515.0,580.0,462.0,322.0,30346.0,15391.0,Healthcare,35
2008Q2,2008,Q2,2024.0,604.0,1420.0,253.0,655.0,1091.0,464.0,303.0,100.0,98.0,29901.0,15635.0,Healthcare,35
2008Q3,2008,Q3,1978.0,655.0,1323.0,252.0,995.0,1533.0,175.0,28.0,-68.0,-62.0,29826.0,15690.0,Healthcare,35
2008Q4,2008,Q4,2002.0,630.0,1372.0,257.0,723.0,624.0,-2172.0,-2417.0,-2525.0,-2394.0,27139.0,13174.0,Healthcare,35
2009Q1,2009,Q1,2010.0,607.0,1403.0,257.0,984.0,1369.0,133.0,11.0,-97.0,-13.0,26105.0,13276.0,Healthcare,35
2009Q2,2009,Q2,2074.0,630.0,1444.0,263.0,724.0,1129.0,398.0,275.0,180.0,158.0,26193.0,13414.0,Healthcare,35
2009Q3,2009,Q3,2025.0,629.0,1396.0,258.0,716.0,1042.0,173.0,345.0,250.0,200.0,26229.0,13591.0,Healthcare,35
2009Q4,2009,Q4,2079.0,709.0,1370.0,241.0,2189.0,2576.0,-1095.0,-1231.0,-1347.0,-1076.0,25177.0,12301.0,Healthcare,35
2010Q1,2010,Q1,1960.0,663.0,1297.0,253.0,679.0,1060.0,-1354.0,-1486.0,-1575.0,-1589.0,22853.0,10781.0,Healthcare,35
2010Q2,2010,Q2,1928.0,654.0,1274.0,232.0,691.0,1047.0,346.0,231.0,119.0,98.0,23019.0,10893.0,Healthcare,35
2010Q3,2010,Q3,1916.0,623.0,1293.0,230.0,673.0,1032.0,383.0,251.0,163.0,190.0,22486.0,11038.0,Healthcare,35
2010Q4,2010,Q4,2002.0,660.0,1342.0,225.0,721.0,830.0,468.0,348.0,229.0,236.0,22128.0,11296.0,Healthcare,35
2011Q1,2011,Q1,1925.0,631.0,1294.0,212.0,647.0,231.0,480.0,296.0,247.0,20.0,22044.0,11343.0,Healthcare,35
2011Q2,2011,Q2,1975.0,688.0,1287.0,223.0,694.0,1013.0,327.0,237.0,158.0,146.0,21559.0,11540.0,Healthcare,35
2011Q3,2011,Q3,1874.0,680.0,1194.0,229.0,665.0,983.0,270.0,174.0,111.0,142.0,21502.0,11521.0,Healthcare,35
2011Q4,2011,Q4,1848.0,660.0,1188.0,230.0,653.0,1017.0,171.0,170.0,100.0,107.0,21290.0,11353.0,Healthcare,35
2012Q1,2012,Q1,1866.0,631.0,1235.0,215.0,707.0,1019.0,289.0,196.0,123.0,113.0,21185.0,11396.0,Healthcare,35
2012Q2,2012,Q2,1828.0,578.0,1250.0,213.0,697.0,1009.0,-3455.0,-3412.0,-3443.0,-3404.0,17994.0,7902.0,Healthcare,35
2012Q3,2012,Q3,1735.0,558.0,1177.0,220.0,618.0,906.0,-594.0,-655.0,-724.0,-725.0,16837.0,6767.0,Healthcare,35
2012Q4,2012,Q4,1821.0,611.0,1210.0,239.0,639.0,979.0,217.0,115.0,50.0,61.0,17154.0,6870.0,Healthcare,35
2013Q1,2013,Q1,1761.0,619.0,1142.0,204.0,631.0,938.0,-330.0,-330.0,-394.0,-354.0,16763.0,6503.0,Healthcare,35
2013Q2,2013,Q2,1809.0,577.0,1232.0,223.0,661.0,985.0,318.0,220.0,152.0,130.0,16996.0,6603.0,Healthcare,35
2013Q3,2013,Q3,1735.0,538.0,1197.0,217.0,658.0,976.0,198.0,103.0,-40.0,-5.0,16917.0,6563.0,Healthcare,35
2013Q4,2013,Q4,1838.0,579.0,1259.0,216.0,724.0,1046.0,222.0,127.0,59.0,108.0,16734.0,6539.0,Healthcare,35
2014Q1,2014,Q1,1774.0,577.0,1197.0,191.0,666.0,966.0,309.0,197.0,146.0,133.0,16335.0,6534.0,Healthcare,35
2014Q2,2014,Q2,1873.0,588.0,1285.0,206.0,743.0,1058.0,58.0,-69.0,-104.0,4.0,16477.0,6544.0,Healthcare,35
2014Q3,2014,Q3,1846.0,571.0,1275.0,212.0,741.0,1062.0,166.0,64.0,3.0,43.0,16718.0,6701.0,Healthcare,35
2014Q4,2014,Q4,1887.0,584.0,1303.0,208.0,753.0,1072.0,-493.0,107.0,46.0,87.0,16830.0,6843.0,Healthcare,35
2015Q1,2015,Q1,1768.0,537.0,1231.0,192.0,668.0,973.0,122.0,24.0,-51.0,-1.0,16472.0,6501.0,Healthcare,35
2015Q2,2015,Q2,1843.0,558.0,1285.0,220.0,700.0,1036.0,327.0,219.0,105.0,102.0,17123.0,6580.0,Healthcare,35
