Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,3418.0,0.0,3418.0,0.0,0.0,3418.0,0.0,0.0,0.0,290.0,88847.0,6187.0,Healthcare,35
1995Q2,1995,Q2,3514.0,0.0,3514.0,0.0,0.0,3514.0,0.0,0.0,0.0,205.0,91734.0,6829.0,Healthcare,35
1995Q3,1995,Q3,3408.0,0.0,3408.0,0.0,0.0,3408.0,0.0,0.0,0.0,-566.0,93749.0,6394.0,Healthcare,35
1995Q4,1995,Q4,8615.0,0.0,8615.0,0.0,0.0,8615.0,0.0,0.0,251.0,282.0,95903.0,7157.0,Healthcare,35
1996Q1,1996,Q1,3390.0,0.0,3390.0,0.0,0.0,3390.0,0.0,0.0,0.0,238.0,95417.0,6863.0,Healthcare,35
1996Q2,1996,Q2,3499.0,0.0,3499.0,0.0,0.0,3499.0,0.0,0.0,0.0,231.0,95899.0,6885.0,Healthcare,35
1996Q3,1996,Q3,3444.0,0.0,3444.0,0.0,0.0,3444.0,0.0,0.0,0.0,281.0,97347.0,7008.0,Healthcare,35
1996Q4,1996,Q4,8617.0,0.0,8617.0,0.0,0.0,8617.0,0.0,0.0,1601.0,306.0,98932.0,7208.0,Healthcare,35
1997Q1,1997,Q1,3388.0,0.0,3388.0,0.0,0.0,3388.0,0.0,0.0,0.0,288.0,98752.0,7117.0,Healthcare,35
1997Q2,1997,Q2,3482.0,0.0,3482.0,0.0,0.0,3482.0,0.0,0.0,0.0,279.0,103662.0,7548.0,Healthcare,35
1997Q3,1997,Q3,3925.0,0.0,3925.0,0.0,0.0,3925.0,0.0,0.0,0.0,279.0,106428.0,7991.0,Healthcare,35
1997Q4,1997,Q4,9243.0,0.0,9243.0,0.0,0.0,9243.0,0.0,0.0,1650.0,240.0,108199.0,7932.0,Healthcare,35
1998Q1,1998,Q1,3901.0,0.0,3901.0,0.0,0.0,3901.0,0.0,0.0,0.0,495.0,111219.0,8325.0,Healthcare,35
1998Q2,1998,Q2,3354.0,0.0,3354.0,0.0,0.0,3354.0,0.0,0.0,0.0,308.0,110927.0,8340.0,Healthcare,35
1998Q3,1998,Q3,3344.0,0.0,3344.0,0.0,0.0,3344.0,0.0,0.0,0.0,251.0,109296.0,8156.0,Healthcare,35
1998Q4,1998,Q4,9328.0,0.0,9328.0,0.0,0.0,9328.0,0.0,0.0,2010.0,238.0,114612.0,8277.0,Healthcare,35
