Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,741.1,321.1,420.0,0.0,137.1,268.4,174.8,151.6,151.6,100.0,34108.9,2512.7,Financial ,40
1995Q2,1995,Q2,781.9,352.4,429.5,0.0,140.8,276.1,175.5,153.4,153.4,101.5,35451.5,2484.7,Financial ,40
1995Q3,1995,Q3,789.8,364.4,425.4,0.0,142.5,264.9,184.1,160.5,160.5,105.3,35348.5,2553.0,Financial ,40
1995Q4,1995,Q4,799.7,362.6,437.1,0.0,141.8,277.0,184.2,160.1,160.1,106.5,35469.9,2607.7,Financial ,40
1996Q1,1996,Q1,791.9,333.7,458.2,0.0,145.9,279.0,204.2,179.2,179.2,116.6,35023.5,2711.4,Financial ,40
1996Q2,1996,Q2,763.0,310.7,452.3,0.0,143.0,270.2,206.7,182.1,182.1,118.2,35386.1,2866.2,Financial ,40
1996Q3,1996,Q3,749.8,308.7,441.1,0.0,135.1,253.7,210.9,187.4,187.4,121.5,34341.7,2598.9,Financial ,40
1996Q4,1996,Q4,765.3,311.5,453.8,0.0,136.8,356.3,122.0,97.5,97.5,60.9,34206.1,2615.6,Financial ,40
1997Q1,1997,Q1,756.7,316.5,440.2,0.0,132.9,248.7,214.0,191.5,191.5,123.8,34867.7,2569.4,Financial ,40
1997Q2,1997,Q2,784.7,333.8,450.9,0.0,135.4,249.2,223.1,201.7,201.7,129.7,35854.3,2668.2,Financial ,40
1997Q3,1997,Q3,811.0,347.1,463.9,0.0,135.3,252.6,232.9,211.3,211.3,137.1,35904.9,2744.4,Financial ,40
1997Q4,1997,Q4,823.0,353.3,469.7,0.0,135.2,257.3,233.8,212.4,212.4,140.0,36292.4,2761.8,Financial ,40
1998Q1,1998,Q1,808.8,336.3,472.5,0.0,134.8,249.9,243.4,222.6,222.6,144.4,36492.4,2826.9,Financial ,40
1998Q2,1998,Q2,800.1,314.8,485.3,0.0,138.0,253.3,239.5,232.0,232.0,150.4,35050.0,2826.8,Financial ,40
1998Q3,1998,Q3,791.7,300.2,491.5,0.0,142.3,253.8,274.3,237.7,237.7,154.5,34376.2,2940.0,Financial ,40
1998Q4,1998,Q4,819.4,317.3,502.1,0.0,150.3,263.0,262.2,239.1,239.1,157.8,36600.8,3046.6,Financial ,40
1999Q1,1999,Q1,786.329,280.603,505.726,0.0,152.483,263.414,264.982,242.312,242.312,159.112,36447.5,3158.8,Financial ,40
1999Q2,1999,Q2,836.2,289.9,546.3,0.0,162.6,288.9,280.03,257.4,257.4,167.4,36950.5,3247.2,Financial ,40
1999Q3,1999,Q3,842.4,302.5,539.9,0.0,159.9,276.9,285.7,263.0,263.0,170.4,37285.0,3363.4,Financial ,40
1999Q4,1999,Q4,924.7,366.6,558.1,0.0,165.4,287.7,293.2,270.4,270.4,175.7,38653.3,3474.6,Financial ,40
2000Q1,2000,Q1,1126.239,454.718,671.521,0.0,211.827,366.795,315.451,304.726,304.726,197.031,39660.314,3565.338,Financial ,40
2000Q2,2000,Q2,1152.579,469.636,682.943,0.0,209.15,366.242,358.196,316.701,316.701,206.05,41065.478,3694.284,Financial ,40
2000Q3,2000,Q3,1192.975,488.592,704.383,0.0,215.151,375.404,355.771,328.979,328.979,215.058,40885.39,3845.69,Financial ,40
2000Q4,2000,Q4,1064.557,470.91,593.647,0.0,165.219,294.945,321.341,298.702,298.702,194.218,49534.056,4500.159,Financial ,40
2001Q1,2001,Q1,1110.442,500.168,610.274,0.0,206.776,449.977,177.54,160.297,160.297,93.592,50270.226,4668.514,Financial ,40
2001Q2,2001,Q2,1077.0,385.0,692.0,0.0,203.0,372.0,352.757,320.0,320.0,208.0,49288.26,4750.865,Financial ,40
2001Q3,2001,Q3,1039.0,355.0,684.0,0.0,198.0,365.0,343.0,319.0,319.0,209.0,49733.368,4797.78,Financial ,40
2001Q4,2001,Q4,970.304,287.886,682.418,0.0,200.869,371.43,334.897,310.988,310.988,198.979,50731.973,4807.464,Financial ,40
2002Q1,2002,Q1,909.0,247.0,662.0,0.0,197.0,336.0,341.0,326.0,326.0,214.0,50207.0,4789.0,Financial ,40
2002Q2,2002,Q2,927.0,307.0,620.0,0.0,208.0,348.0,288.0,272.0,272.0,184.0,50602.0,4915.0,Financial ,40
2002Q3,2002,Q3,910.0,451.0,459.0,0.0,214.0,433.0,51.0,26.0,26.0,24.0,52566.0,4870.0,Financial ,40
2002Q4,2002,Q4,940.0,255.0,685.0,0.0,214.0,386.0,314.0,299.0,299.0,206.0,53301.0,4947.0,Financial ,40
2003Q1,2003,Q1,866.0,241.0,625.0,0.0,222.0,367.0,273.0,258.0,258.0,176.0,55805.0,5003.0,Financial ,40
2003Q2,2003,Q2,853.0,245.0,608.0,0.0,219.0,360.0,268.0,248.0,248.0,170.0,58727.0,5086.0,Financial ,40
2003Q3,2003,Q3,800.0,197.0,603.0,0.0,229.0,377.0,244.0,226.0,226.0,157.0,54795.0,5093.0,Financial ,40
2003Q4,2003,Q4,780.0,180.0,600.0,0.0,227.0,379.0,267.0,221.0,221.0,158.0,52592.0,5110.0,Financial ,40
