Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,755.3,249.2,506.1,0.0,0.0,390.9,226.0,115.2,34.2,114.4,11526.1,3871.4,Utilities,55
1995Q2,1995,Q2,989.8,289.3,700.5,0.0,0.0,416.8,403.3,283.7,199.0,133.3,11526.0,3846.1,Utilities,55
1995Q3,1995,Q3,1184.9,319.3,865.6,0.0,0.0,443.8,557.0,421.8,353.7,854.0,11971.2,4613.7,Utilities,55
1995Q4,1995,Q4,834.0,254.8,579.2,0.0,0.0,526.1,194.1,53.1,10.0,3.8,11819.6,4526.0,Utilities,55
1996Q1,1996,Q1,823.5,275.8,547.7,0.0,0.0,505.5,179.1,42.2,-26.6,-16.7,11713.8,4424.6,Utilities,55
1996Q2,1996,Q2,1113.8,374.8,739.0,0.0,0.0,452.7,423.2,286.3,215.8,145.3,12174.8,4403.0,Utilities,55
1996Q3,1996,Q3,1251.0,391.3,859.7,0.0,0.0,418.6,581.3,441.1,367.0,240.0,12135.8,4378.9,Utilities,55
1996Q4,1996,Q4,911.3,305.3,606.0,0.0,0.0,474.1,301.8,131.9,45.7,36.3,12287.9,3963.2,Utilities,55
1997Q1,1997,Q1,878.1,325.0,553.1,0.0,0.0,396.9,293.8,156.2,80.1,59.6,12220.1,3823.9,Utilities,55
1997Q2,1997,Q2,1064.4,331.9,732.5,0.0,0.0,485.4,387.2,247.1,172.1,121.4,12296.2,3863.5,Utilities,55
1997Q3,1997,Q3,2158.6,999.3,1159.3,0.0,0.0,696.8,653.4,462.5,370.1,244.0,18013.8,5017.2,Utilities,55
1997Q4,1997,Q4,2772.3,1878.0,894.3,0.0,0.0,761.0,344.8,133.3,5.3,-3.9,18414.6,4896.5,Utilities,55
1998Q1,1998,Q1,2631.4,1691.4,940.0,0.0,0.0,846.3,276.0,93.7,-25.7,-31.3,18351.9,4773.6,Utilities,55
1998Q2,1998,Q2,2736.7,1540.1,1196.6,0.0,0.0,995.1,429.8,201.5,84.9,44.2,18405.7,4716.0,Utilities,55
1998Q3,1998,Q3,3465.5,2113.2,1352.3,0.0,0.0,885.5,734.0,466.8,358.4,247.4,19549.8,4856.6,Utilities,55
1998Q4,1998,Q4,2644.2,1658.7,985.5,0.0,0.0,1447.5,-277.5,-462.0,-584.4,-401.5,19138.5,4321.8,Utilities,55
1999Q1,1999,Q1,2642.9,1745.9,897.0,0.0,0.0,1038.2,55.2,-141.2,-266.2,-209.7,18886.5,3970.7,Utilities,55
