Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,4307.3,3791.0,516.3,0.0,358.4,389.2,157.9,127.1,110.5,-18.6,4120.8,1410.8,Consumer Staples,30
1995Q2,1995,Q2,3896.2,3444.6,451.6,0.0,345.2,376.9,108.1,74.7,55.6,32.6,4311.2,1459.9,Consumer Staples,30
1995Q3,1995,Q3,5672.4,5303.2,369.2,0.0,501.7,548.7,-132.5,-179.5,119.8,71.3,4437.4,1530.7,Consumer Staples,30
1995Q4,1995,Q4,4383.6,3852.5,531.1,0.0,395.5,430.1,135.6,101.0,84.4,49.6,4925.5,1578.7,Consumer Staples,30
1996Q1,1996,Q1,4688.7,4116.6,572.1,0.0,397.9,435.3,174.2,136.8,121.6,71.4,4600.7,1628.7,Consumer Staples,30
1996Q2,1996,Q2,4311.5,3792.2,519.3,0.0,394.1,431.8,125.2,87.5,70.3,41.3,4760.6,1678.4,Consumer Staples,30
1996Q3,1996,Q3,6182.8,5422.4,760.4,0.0,542.9,594.8,217.5,165.6,147.3,86.5,4911.9,1777.8,Consumer Staples,30
1996Q4,1996,Q4,4883.4,4271.0,612.4,0.0,436.3,473.7,176.1,138.7,53.5,31.8,5520.6,1829.6,Consumer Staples,30
1997Q1,1997,Q1,5238.9,4576.7,662.2,0.0,442.1,484.6,220.1,177.6,163.7,97.4,5225.4,2239.0,Consumer Staples,30
1997Q2,1997,Q2,4836.2,4240.7,595.5,0.0,429.4,471.9,166.1,123.6,109.6,66.3,5259.0,2313.3,Consumer Staples,30
1997Q3,1997,Q3,6915.9,6043.9,872.0,0.0,671.3,731.2,200.7,140.8,193.6,116.7,5476.3,2468.1,Consumer Staples,30
1997Q4,1997,Q4,5429.8,4733.1,696.7,0.0,478.1,524.3,218.6,172.4,163.2,97.9,6085.2,2569.6,Consumer Staples,30
1998Q1,1998,Q1,5795.0,5051.2,743.8,0.0,482.8,530.6,261.0,213.2,210.0,126.0,5873.7,2699.5,Consumer Staples,30
1998Q2,1998,Q2,5338.1,4667.9,670.2,0.0,477.4,525.3,192.8,144.9,142.0,85.2,6052.5,2824.7,Consumer Staples,30
1998Q3,1998,Q3,7707.0,6731.3,975.7,0.0,662.7,717.1,313.0,258.6,251.2,150.7,6259.8,2965.9,Consumer Staples,30
1998Q4,1998,Q4,5998.1,5236.2,761.9,0.0,531.7,583.3,230.2,178.6,173.7,-13.8,7044.5,2980.3,Consumer Staples,30
1999Q1,1999,Q1,6592.4,5741.8,850.6,0.0,550.6,597.5,300.0,253.1,253.4,152.0,6977.3,3187.1,Consumer Staples,30
1999Q2,1999,Q2,6053.8,5289.5,764.3,0.0,535.8,588.0,228.5,176.3,176.5,105.9,7117.8,3367.1,Consumer Staples,30
