Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,2492.0,1687.3,804.7,0.0,781.0,839.9,23.7,-35.2,-46.0,-26.4,4913.2,2294.9,Healthcare,35
1995Q2,1995,Q2,2770.2,1815.8,954.4,0.0,815.3,872.9,139.1,81.5,54.5,31.1,4851.5,2291.2,Healthcare,35
1995Q3,1995,Q3,2814.0,1871.2,942.8,0.0,859.9,922.8,83.0,20.0,-3.9,-2.5,5254.8,2251.3,Healthcare,35
1995Q4,1995,Q4,1612.9,1169.8,443.1,0.0,266.4,315.3,176.7,127.8,-802.6,-659.4,3961.6,1549.1,Healthcare,35
1996Q1,1996,Q1,1744.7,1200.2,544.5,0.0,481.9,516.5,62.6,28.0,25.0,14.2,4050.5,1573.0,Healthcare,35
1996Q2,1996,Q2,2674.7,1919.7,755.0,0.0,553.6,600.8,213.3,154.2,196.0,-39.3,3403.9,1511.3,Healthcare,35
1996Q3,1996,Q3,1356.3,982.2,374.1,0.0,299.6,319.2,74.5,54.9,76.1,63.7,3495.0,1558.4,Healthcare,35
1996Q4,1996,Q4,1549.9,1067.1,482.8,0.0,319.1,393.6,163.7,89.2,107.2,60.1,5693.7,2196.4,Healthcare,35
1997Q1,1997,Q1,3160.8,2260.7,900.1,0.0,654.5,708.0,245.6,192.1,148.2,82.7,2758.6,1312.5,Healthcare,35
1997Q2,1997,Q2,3160.6,2354.2,806.4,0.0,645.9,700.7,160.5,105.7,-322.5,-230.5,5310.9,2146.7,Healthcare,35
1997Q3,1997,Q3,3328.7,2423.1,905.6,0.0,688.6,752.1,225.1,153.5,144.3,82.2,5357.4,2236.1,Healthcare,35
1997Q4,1997,Q4,3336.4,2438.3,898.1,0.0,636.5,695.0,261.6,203.1,197.1,110.8,5978.9,2614.6,Healthcare,35
1998Q1,1998,Q1,3601.5,2594.6,1006.9,0.0,704.3,768.1,302.6,238.8,227.7,132.0,5794.6,2480.1,Healthcare,35
1998Q2,1998,Q2,3755.9,2735.4,1020.5,0.0,726.4,787.6,294.1,232.9,55.7,16.2,6062.6,2856.8,Healthcare,35
1998Q3,1998,Q3,3725.1,2729.8,995.3,0.0,742.9,803.6,252.5,191.7,176.6,102.4,6510.0,2972.3,Healthcare,35
1998Q4,1998,Q4,4191.1,3084.6,1106.5,0.0,775.5,839.4,331.0,267.1,251.4,145.8,6686.0,3111.0,Healthcare,35
1999Q1,1999,Q1,4240.5,3071.1,1169.4,0.0,808.2,876.2,361.2,293.2,278.9,164.6,6842.0,3264.2,Healthcare,35
1999Q2,1999,Q2,4362.4,3172.0,1190.4,0.0,831.5,900.2,358.9,290.2,275.7,162.6,6895.8,3411.7,Healthcare,35
1999Q3,1999,Q3,4311.8,3170.7,1141.1,0.0,851.3,921.4,289.8,219.7,206.0,121.6,7174.3,3514.0,Healthcare,35
1999Q4,1999,Q4,5183.6,3823.2,1360.4,0.0,956.9,1028.0,403.5,332.4,315.8,186.3,7275.4,3679.7,Healthcare,35
2000Q1,2000,Q1,4739.5,3439.5,1300.0,0.0,893.3,965.1,406.7,334.9,318.8,191.3,7691.0,3750.9,Healthcare,35
2000Q2,2000,Q2,4942.8,3607.0,1335.8,0.0,928.5,1001.9,407.3,333.9,310.9,186.5,7676.5,3932.6,Healthcare,35
2000Q3,2000,Q3,4916.4,3619.0,1297.4,0.0,937.7,1012.7,359.7,284.7,264.6,158.7,8121.6,4079.9,Healthcare,35
2000Q4,2000,Q4,5488.8,4060.3,1428.5,0.0,982.9,1059.3,445.6,369.2,349.1,209.5,7949.5,4304.6,Healthcare,35
2001Q1,2001,Q1,5385.9,3932.5,1453.4,0.0,993.4,1072.0,460.0,381.4,365.7,221.7,8374.8,4538.2,Healthcare,35
2001Q2,2001,Q2,5494.2,4035.8,1458.4,0.0,1036.2,1116.4,422.2,342.0,326.9,198.0,8571.7,4727.0,Healthcare,35
