Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,376.5,260.4,116.1,0.0,59.3,76.6,56.8,39.5,36.3,21.8,1185.1,503.1,Healthcare,35
1995Q2,1995,Q2,391.5,264.6,126.9,0.0,61.6,78.3,65.3,48.6,45.3,27.2,1221.3,528.7,Healthcare,35
1995Q3,1995,Q3,404.5,276.9,127.6,0.0,62.8,77.7,64.8,49.9,46.4,28.8,1508.1,554.3,Healthcare,35
1995Q4,1995,Q4,314.3,179.2,135.1,0.0,83.1,92.7,52.0,42.4,44.9,30.5,1486.0,586.3,Healthcare,35
1996Q1,1996,Q1,409.6,272.7,136.9,0.0,72.9,89.7,64.0,47.2,44.1,106.7,1503.5,679.8,Healthcare,35
1996Q2,1996,Q2,434.9,285.5,149.4,0.0,76.9,93.1,72.5,56.3,53.3,32.5,1521.5,718.8,Healthcare,35
1996Q3,1996,Q3,470.8,309.0,161.8,0.0,83.3,101.6,78.5,60.2,55.1,33.6,1792.7,750.7,Healthcare,35
1996Q4,1996,Q4,496.7,304.1,192.6,0.0,112.8,130.1,79.8,62.5,57.3,35.0,1765.1,800.3,Healthcare,35
1997Q1,1997,Q1,466.4,305.8,160.6,0.0,86.3,105.2,74.3,55.4,51.6,31.5,1794.7,817.5,Healthcare,35
1997Q2,1997,Q2,502.8,325.2,177.6,0.0,92.3,111.7,85.3,65.9,62.7,38.3,1819.2,835.3,Healthcare,35
1997Q3,1997,Q3,516.6,330.9,185.7,0.0,95.9,114.4,89.8,71.3,68.5,49.3,1914.8,870.4,Healthcare,35
1997Q4,1997,Q4,565.2,344.5,220.7,0.0,127.2,146.5,93.5,74.2,71.0,43.2,1879.7,916.9,Healthcare,35
1998Q1,1998,Q1,534.4,350.7,183.7,0.0,99.7,118.7,84.0,65.0,61.8,44.2,2370.7,958.0,Healthcare,35
1998Q2,1998,Q2,622.3,393.5,228.8,0.0,123.2,146.7,105.6,82.1,75.1,52.2,2371.3,1000.9,Healthcare,35
1998Q3,1998,Q3,724.8,411.8,313.0,0.0,177.2,214.0,140.4,99.0,51.0,31.0,2771.2,1286.9,Healthcare,35
1998Q4,1998,Q4,802.5,447.9,354.6,0.0,223.5,252.9,131.1,101.7,94.4,58.0,2738.7,1351.8,Healthcare,35
1999Q1,1999,Q1,754.6,458.0,296.6,0.0,170.0,200.6,126.6,96.0,89.7,59.122,2746.2,1391.4,Healthcare,35
1999Q2,1999,Q2,741.8,436.8,305.0,0.0,165.7,196.8,139.3,108.2,102.4,66.353,2752.2,1449.3,Healthcare,35
1999Q3,1999,Q3,781.9,445.3,336.6,0.0,182.5,217.3,154.1,119.3,104.7,61.8,3080.7,1647.8,Healthcare,35
1999Q4,1999,Q4,848.2,462.9,385.3,0.0,233.1,263.0,152.2,122.3,120.8,74.3,3047.1,1708.8,Healthcare,35
2000Q1,2000,Q1,867.847,512.69,355.157,0.0,202.486,237.528,152.671,117.629,115.416,71.557,3205.557,1699.596,Healthcare,35
2000Q2,2000,Q2,890.775,517.169,373.606,0.0,202.136,236.941,171.47,136.665,131.074,81.267,3710.05,1769.476,Healthcare,35
2000Q3,2000,Q3,986.786,573.298,413.488,0.0,227.265,266.644,186.223,146.844,134.879,83.625,3889.835,1852.639,Healthcare,35
2000Q4,2000,Q4,1032.369,562.853,469.516,0.0,278.01,318.505,191.506,151.011,141.555,87.764,4031.679,1942.333,Healthcare,35
2001Q1,2001,Q1,1005.283,628.398,376.885,0.0,223.862,238.467,182.05,138.418,132.122,82.577,4509.378,2036.097,Healthcare,35
2001Q2,2001,Q2,956.641,581.3,375.341,0.0,203.347,218.728,199.098,156.613,150.768,94.23,4619.895,2119.601,Healthcare,35
2001Q3,2001,Q3,901.588,547.63,353.958,0.0,190.481,206.318,191.477,147.64,140.396,87.746,4715.012,2203.408,Healthcare,35
2001Q4,2001,Q4,918.932,580.699,338.233,0.0,254.99,209.167,177.502,59.34,52.978,33.112,4820.483,2228.586,Healthcare,35
2002Q1,2002,Q1,1004.207,628.184,376.023,0.0,236.053,238.802,169.998,137.221,126.313,-91.015,5433.512,2617.599,Healthcare,35
2002Q2,2002,Q2,1146.326,701.908,444.418,0.0,273.576,274.843,202.482,169.575,158.267,103.665,5644.801,2737.79,Healthcare,35
2002Q3,2002,Q3,1151.721,691.648,460.073,0.0,272.889,272.643,219.955,187.43,177.143,116.029,5894.801,2884.05,Healthcare,35
2002Q4,2002,Q4,1274.978,769.435,505.543,0.0,306.159,304.92,231.979,206.896,195.745,161.712,6029.145,3009.599,Healthcare,35
2003Q1,2003,Q1,1196.215,728.816,467.399,0.0,301.181,300.406,202.456,166.993,155.077,103.126,6292.712,3119.522,Healthcare,35
2003Q2,2003,Q2,1299.432,774.546,524.886,0.0,323.675,323.675,235.366,201.211,188.187,125.144,6464.8,3274.716,Healthcare,35
2003Q3,2003,Q3,1309.451,766.948,542.503,0.0,326.831,326.738,248.428,215.765,203.85,138.618,6590.222,3460.164,Healthcare,35
2003Q4,2003,Q4,1488.778,884.499,604.279,0.0,363.885,342.253,293.181,262.026,249.921,169.946,6890.05,3646.709,Healthcare,35
2004Q1,2004,Q1,1543.191,911.93,631.261,0.0,406.981,406.295,224.966,224.966,212.035,145.244,7285.127,3782.234,Healthcare,35
2004Q2,2004,Q2,1621.245,935.536,685.709,0.0,414.827,413.467,310.492,272.242,260.334,182.233,7683.206,3983.401,Healthcare,35
2004Q3,2004,Q3,1745.285,1005.292,739.993,0.0,452.126,448.072,333.0,291.921,280.832,200.793,7922.474,4184.682,Healthcare,35
2004Q4,2004,Q4,1979.58,1143.878,835.702,0.0,521.739,519.698,354.894,316.004,304.516,217.73,8493.893,4619.682,Healthcare,35
2005Q1,2005,Q1,1825.948,1050.764,775.184,0.0,508.682,503.347,271.837,271.837,259.664,188.256,8622.702,4738.928,Healthcare,35
2005Q2,2005,Q2,1928.627,1079.024,849.603,0.0,537.158,528.582,321.021,321.021,315.89,229.02,8666.138,4801.34,Healthcare,35
2005Q3,2005,Q3,1966.375,1118.504,847.871,0.0,523.612,528.189,319.682,319.682,313.529,228.821,9023.075,4994.148,Healthcare,35
2005Q4,2005,Q4,2263.754,1291.397,972.357,0.0,606.299,620.229,395.473,352.128,345.359,251.703,9163.109,5080.35,Healthcare,35
2006Q1,2006,Q1,2143.661,1226.972,916.689,0.0,619.618,619.618,297.071,297.071,289.113,215.719,9354.178,5374.331,Healthcare,35
2006Q2,2006,Q2,2349.764,1317.653,1032.111,0.0,666.446,650.829,433.184,381.282,367.796,314.522,11912.261,5859.522,Healthcare,35
2006Q3,2006,Q3,2442.723,1340.946,1101.777,118.68,710.215,709.453,440.923,392.324,366.62,268.071,12022.568,6151.397,Healthcare,35
2006Q4,2006,Q4,2660.256,1467.45,1192.806,0.0,745.49,745.49,510.804,447.316,422.643,323.717,12864.151,6644.66,Healthcare,35
2007Q1,2007,Q1,2556.04,1403.638,1152.402,123.961,777.768,777.768,438.101,374.634,348.769,254.804,13088.218,7046.743,Healthcare,35
2007Q2,2007,Q2,2671.212,1456.178,1215.034,0.0,781.563,767.228,512.143,447.806,424.671,311.154,13146.694,7334.058,Healthcare,35
2007Q3,2007,Q3,2731.151,1481.94,1249.211,131.161,655.116,786.277,525.96,462.934,438.081,483.721,13775.038,8053.351,Healthcare,35
2007Q4,2007,Q4,3141.177,1690.647,1450.53,216.582,769.178,985.76,542.851,464.77,434.712,320.225,17471.935,9085.688,Healthcare,35
2008Q1,2008,Q1,3028.874,1611.158,1417.716,186.104,818.39,1004.494,413.222,413.222,376.075,276.505,17853.022,9574.595,Healthcare,35
2008Q2,2008,Q2,3283.895,1723.596,1560.299,189.866,859.969,1049.835,510.464,510.464,478.022,363.448,17994.614,10074.281,Healthcare,35
2008Q3,2008,Q3,3208.181,1697.611,1510.57,182.006,806.424,988.43,607.736,522.14,492.992,371.992,17620.648,10172.237,Healthcare,35
2008Q4,2008,Q4,3176.506,1724.897,1451.609,167.467,860.491,1027.958,517.886,423.651,402.218,305.686,17490.128,9808.562,Healthcare,35
