Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,2922.8,1814.3,1108.5,0.0,45.8,547.7,1062.7,560.8,483.9,315.5,14048.2,6052.2,Communication Services,50
1995Q2,1995,Q2,2764.0,1785.8,978.2,0.0,38.7,454.6,939.5,523.6,488.1,318.2,14381.3,6374.1,Communication Services,50
1995Q3,1995,Q3,3123.6,2124.9,998.7,0.0,56.8,569.5,941.9,429.2,404.7,264.0,14605.8,6650.8,Communication Services,50
1995Q4,1995,Q4,3818.0,2399.0,1419.0,0.0,54.0,620.0,1365.0,799.0,764.0,496.0,15276.0,7124.0,Communication Services,50
1996Q1,1996,Q1,4543.0,2874.0,1669.0,0.0,97.0,1110.0,1572.0,559.0,-49.0,-25.0,36767.0,15869.0,Communication Services,50
1996Q2,1996,Q2,5087.0,2928.0,2159.0,0.0,66.0,1269.0,2093.0,890.0,719.0,406.0,36578.0,16234.0,Communication Services,50
1996Q3,1996,Q3,5272.0,3252.0,2020.0,0.0,61.0,1223.0,1959.0,797.0,626.0,336.0,37306.0,16086.0,Communication Services,50
1996Q4,1996,Q4,6278.0,3404.0,2874.0,0.0,90.0,1537.0,2784.0,1337.0,1301.0,749.0,38677.0,16792.0,Communication Services,50
1997Q1,1997,Q1,5481.0,3444.0,2037.0,0.0,108.0,1281.0,1929.0,756.0,572.0,333.0,39137.0,16857.0,Communication Services,50
1997Q2,1997,Q2,5194.0,2983.0,2211.0,0.0,69.0,1220.0,2142.0,991.0,806.0,473.0,38300.0,17267.0,Communication Services,50
1997Q3,1997,Q3,5520.0,3372.0,2148.0,0.0,100.0,1287.0,2048.0,861.0,708.0,411.0,37776.0,17285.0,Communication Services,50
1997Q4,1997,Q4,6339.0,3321.0,3018.0,0.0,78.0,1604.0,2940.0,1414.0,1280.0,755.0,39944.0,18260.0,Communication Services,50
1998Q1,1998,Q1,5242.0,3041.0,2201.0,0.0,48.0,1400.0,2153.0,801.0,651.0,384.0,39317.0,18626.0,Communication Services,50
1998Q2,1998,Q2,5248.0,3052.0,2196.0,0.0,49.0,1322.0,2147.0,874.0,713.0,415.0,40036.0,19214.0,Communication Services,50
1998Q3,1998,Q3,6147.0,5793.0,354.0,0.0,61.0,-336.0,293.0,690.0,513.0,296.0,41378.0,19388.0,Communication Services,50
