Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,880.2,204.8,675.4,0.0,0.0,399.2,423.0,276.2,195.6,113.5,11142.0,3737.8,Utilities,55
1995Q2,1995,Q2,855.9,208.2,647.7,0.0,0.0,416.7,377.4,231.0,156.8,91.6,11124.4,3747.3,Utilities,55
1995Q3,1995,Q3,1032.3,245.0,787.3,0.0,0.0,473.2,461.3,314.1,237.0,148.0,11119.6,3764.3,Utilities,55
1995Q4,1995,Q4,867.1,191.5,675.6,0.0,0.0,467.6,355.2,208.0,106.4,52.9,11130.6,3762.9,Utilities,55
1996Q1,1996,Q1,909.5,199.2,710.3,0.0,0.0,447.8,418.9,262.5,184.5,108.4,11146.2,3611.6,Utilities,55
1996Q2,1996,Q2,871.4,204.3,667.0,0.0,0.0,454.9,367.1,212.1,136.0,78.3,11093.3,3615.1,Utilities,55
1996Q3,1996,Q3,977.3,226.6,750.7,0.0,0.0,594.3,312.8,156.4,82.8,44.9,11099.0,3585.3,Utilities,55
1996Q4,1996,Q4,887.1,215.7,671.4,0.0,0.0,466.2,361.7,205.2,128.7,77.7,11014.9,3588.3,Utilities,55
1997Q1,1997,Q1,868.6,198.5,670.1,0.0,0.0,467.3,368.4,202.8,125.4,71.0,11053.1,3584.0,Utilities,55
1997Q2,1997,Q2,892.4,196.9,695.5,0.0,0.0,468.5,391.8,227.0,148.4,84.9,11256.4,3594.0,Utilities,55
1997Q3,1997,Q3,1029.7,228.0,801.7,0.0,0.0,512.3,447.1,289.4,207.6,131.9,11187.6,3651.2,Utilities,55
1997Q4,1997,Q4,973.5,213.6,759.9,0.0,0.0,478.0,453.7,281.9,192.5,129.2,11223.0,3706.0,Utilities,55
1998Q1,1998,Q1,945.0,208.0,737.0,0.0,0.0,504.0,945.0,233.0,156.0,104.0,11442.0,3735.0,Utilities,55
1998Q2,1998,Q2,1064.0,285.0,779.0,0.0,0.0,531.0,1064.0,248.0,162.0,101.0,11595.0,3661.0,Utilities,55
1998Q3,1998,Q3,1199.0,359.0,840.0,0.0,0.0,574.0,1199.0,266.0,178.0,132.0,11812.0,3719.0,Utilities,55
1998Q4,1998,Q4,1013.0,211.0,802.0,0.0,0.0,612.0,355.0,190.0,101.0,106.0,12088.0,3698.0,Utilities,55
1999Q1,1999,Q1,1024.0,231.0,793.0,0.0,0.0,578.0,397.0,215.0,129.0,115.0,12053.0,3736.0,Utilities,55
1999Q2,1999,Q2,1150.0,322.0,828.0,0.0,0.0,617.0,393.0,211.0,123.0,110.0,12181.0,3771.0,Utilities,55
1999Q3,1999,Q3,1440.0,510.0,930.0,0.0,0.0,649.0,464.0,281.0,182.0,161.0,12316.0,3858.0,Utilities,55
1999Q4,1999,Q4,1114.0,272.0,842.0,0.0,0.0,648.0,411.0,194.0,109.0,97.0,12316.0,3909.0,Utilities,55
2000Q1,2000,Q1,1182.0,344.0,838.0,0.0,0.0,623.0,407.0,215.0,130.0,117.0,12369.0,3881.0,Utilities,55
2000Q2,2000,Q2,1428.0,579.0,849.0,0.0,0.0,646.0,389.0,203.0,120.0,108.0,12517.0,3917.0,Utilities,55
2000Q3,2000,Q3,1547.0,747.0,800.0,0.0,0.0,628.0,374.0,172.0,80.0,104.0,12346.0,3949.0,Utilities,55
2000Q4,2000,Q4,1440.0,563.0,877.0,0.0,0.0,637.0,418.0,240.0,147.0,139.0,12662.0,4009.0,Utilities,55
2001Q1,2001,Q1,1842.0,948.0,894.0,0.0,0.0,650.0,428.0,244.0,154.0,138.0,13882.0,3845.0,Utilities,55
2001Q2,2001,Q2,1790.0,908.0,882.0,0.0,0.0,970.0,100.0,-88.0,-189.0,-87.0,19520.0,4617.0,Utilities,55
2001Q3,2001,Q3,2081.0,601.0,996.0,0.0,0.0,784.0,439.0,212.0,59.0,63.0,18775.0,4517.0,Utilities,55
2001Q4,2001,Q4,2136.0,1010.0,1126.0,0.0,0.0,798.0,524.0,328.0,195.0,218.0,18881.0,4589.0,Utilities,55
2002Q1,2002,Q1,2400.0,727.0,1167.0,0.0,0.0,833.0,528.0,334.0,189.0,200.0,19490.0,4677.0,Utilities,55
2002Q2,2002,Q2,1981.0,403.0,1071.0,0.0,0.0,884.0,373.0,187.0,58.0,73.0,19504.0,4880.0,Utilities,55
2002Q3,2002,Q3,1649.0,484.0,1165.0,0.0,0.0,879.0,496.0,286.0,148.0,161.0,19233.0,4985.0,Utilities,55
2002Q4,2002,Q4,1684.0,435.0,1249.0,0.0,0.0,975.0,443.0,274.0,160.0,203.0,19238.0,4565.0,Utilities,55
2003Q1,2003,Q1,2095.0,813.0,1282.0,0.0,0.0,1065.0,418.0,217.0,82.0,155.0,20029.0,5072.0,Utilities,55
2003Q2,2003,Q2,1600.0,493.0,1107.0,0.0,0.0,1059.0,228.0,48.0,-24.0,-39.0,20022.0,4935.0,Utilities,55
2003Q3,2003,Q3,1654.0,452.0,1202.0,0.0,0.0,983.0,389.0,219.0,137.0,176.0,19936.0,5074.0,Utilities,55
2003Q4,2003,Q4,1692.0,483.0,1209.0,0.0,0.0,1054.0,295.0,155.0,162.0,229.0,20753.0,5287.0,Utilities,55
2004Q1,2004,Q1,2093.0,741.0,1352.0,0.0,0.0,1035.0,484.0,317.0,272.0,190.0,20874.0,5563.0,Utilities,55
2004Q2,2004,Q2,1501.0,377.0,1124.0,0.0,0.0,1090.0,213.0,34.0,53.0,35.0,21011.0,5489.0,Utilities,55
2004Q3,2004,Q3,1586.0,316.0,1270.0,0.0,0.0,1148.0,312.0,122.0,134.0,93.0,21194.0,5480.0,Utilities,55
2004Q4,2004,Q4,1926.0,573.0,1353.0,0.0,0.0,977.0,584.0,376.0,154.0,113.0,21297.0,5548.0,Utilities,55
2005Q1,2005,Q1,2309.0,969.0,1340.0,0.0,0.0,1192.0,356.0,148.0,164.0,122.0,21543.0,5529.0,Utilities,55
2005Q2,2005,Q2,1941.0,638.0,1303.0,0.0,0.0,1232.0,287.0,71.0,36.0,29.0,21822.0,5444.0,Utilities,55
2005Q3,2005,Q3,2060.0,839.0,1221.0,0.0,0.0,1278.0,182.0,-57.0,39.0,4.0,23714.0,5431.0,Utilities,55
2005Q4,2005,Q4,2712.0,1084.0,1628.0,0.0,0.0,1234.0,603.0,394.0,536.0,382.0,23335.0,5769.0,Utilities,55
2006Q1,2006,Q1,2635.0,1060.0,1575.0,0.0,0.0,1338.0,462.0,237.0,194.0,136.0,22377.0,5858.0,Utilities,55
2006Q2,2006,Q2,1895.0,588.0,1307.0,0.0,0.0,1210.0,318.0,97.0,-40.0,-33.0,22220.0,5715.0,Utilities,55
2006Q3,2006,Q3,2196.0,629.0,1567.0,0.0,0.0,1200.0,722.0,367.0,248.0,188.0,22316.0,5864.0,Utilities,55
2006Q4,2006,Q4,2296.0,779.0,1517.0,0.0,0.0,1390.0,340.0,127.0,172.0,142.0,23785.0,5849.0,Utilities,55
2007Q1,2007,Q1,2730.0,1135.0,1328.0,0.0,0.0,1048.0,505.0,280.0,147.0,134.0,23436.0,5816.0,Utilities,55
2007Q2,2007,Q2,1677.0,698.0,979.0,0.0,0.0,1146.0,75.0,-167.0,591.0,385.0,23958.0,5889.0,Utilities,55
2007Q3,2007,Q3,2417.0,763.0,1365.0,0.0,0.0,1079.0,535.0,286.0,186.0,152.0,23826.0,5697.0,Utilities,55
2007Q4,2007,Q4,1405.0,957.0,448.0,0.0,0.0,-926.0,1590.0,1374.0,83.0,255.0,23742.0,5853.0,Utilities,55
2008Q1,2008,Q1,2570.0,1266.0,1304.0,0.0,0.0,1005.0,525.0,299.0,316.0,212.0,23148.0,5965.0,Utilities,55
2008Q2,2008,Q2,2251.0,1032.0,1219.0,0.0,0.0,1062.0,386.0,157.0,48.0,28.0,23906.0,5901.0,Utilities,55
2008Q3,2008,Q3,2338.0,1034.0,1304.0,0.0,0.0,929.0,627.0,375.0,267.0,177.0,23688.0,5996.0,Utilities,55
2008Q4,2008,Q4,2170.0,974.0,1196.0,0.0,0.0,894.0,526.0,302.0,186.0,129.0,24590.0,5995.0,Utilities,55
2009Q1,2009,Q1,2255.0,960.0,1295.0,0.0,0.0,900.0,640.0,395.0,276.0,178.0,24188.0,6152.0,Utilities,55
2009Q2,2009,Q2,1688.0,577.0,1111.0,0.0,0.0,896.0,485.0,215.0,111.0,83.0,23895.0,6141.0,Utilities,55
2009Q3,2009,Q3,1961.0,735.0,1215.0,0.0,0.0,883.0,629.0,332.0,220.0,151.0,23959.0,6236.0,Utilities,55
2009Q4,2009,Q4,2110.0,846.0,1264.0,0.0,0.0,968.0,582.0,296.0,164.0,113.0,24195.0,6278.0,Utilities,55
2010Q1,2010,Q1,2453.0,995.0,1458.0,0.0,0.0,986.0,737.0,472.0,346.0,229.0,24203.0,6551.0,Utilities,55
2010Q2,2010,Q2,1792.0,608.0,1184.0,0.0,0.0,928.0,520.0,256.0,131.0,86.0,24033.0,6557.0,Utilities,55
2010Q3,2010,Q3,2139.0,763.0,1376.0,0.0,0.0,990.0,671.0,386.0,258.0,163.0,24266.0,6646.0,Utilities,55
2010Q4,2010,Q4,2173.0,824.0,1349.0,0.0,0.0,999.0,598.0,350.0,215.0,152.0,24896.0,6722.0,Utilities,55
2011Q1,2011,Q1,2431.0,1071.0,1360.0,0.0,0.0,970.0,652.0,390.0,281.0,176.0,24489.0,6793.0,Utilities,55
2011Q2,2011,Q2,2028.0,771.0,1257.0,0.0,0.0,969.0,548.0,288.0,176.0,202.0,24579.0,6785.0,Utilities,55
2011Q3,2011,Q3,2265.0,866.0,1399.0,0.0,0.0,1000.0,665.0,399.0,286.0,183.0,24780.0,6970.0,Utilities,55
2011Q4,2011,Q4,2173.0,829.0,1344.0,0.0,0.0,998.0,611.0,346.0,244.0,150.0,26009.0,7009.0,Utilities,55
2012Q1,2012,Q1,2249.0,1610.0,629.0,0.0,0.0,317.0,576.0,312.0,231.0,156.0,25846.0,7104.0,Utilities,55
2012Q2,2012,Q2,2025.0,1400.0,613.0,0.0,0.0,319.0,577.0,294.0,218.0,146.0,26075.0,7142.0,Utilities,55
2012Q3,2012,Q3,2190.0,1448.0,742.0,0.0,0.0,336.0,711.0,406.0,337.0,227.0,25909.0,7389.0,Utilities,55
2012Q4,2012,Q4,2311.0,3841.0,-1530.0,0.0,0.0,-1793.0,551.0,263.0,174.0,81.0,26339.0,7373.0,Utilities,55
2013Q1,2013,Q1,2516.0,1759.0,757.0,0.0,0.0,347.0,708.0,410.0,340.0,234.0,25949.0,7596.0,Utilities,55
2013Q2,2013,Q2,2225.0,1645.0,580.0,0.0,0.0,357.0,531.0,223.0,151.0,105.0,25944.0,7552.0,Utilities,55
2013Q3,2013,Q3,2387.0,1695.0,692.0,0.0,0.0,363.0,666.0,329.0,276.0,198.0,26231.0,7876.0,Utilities,55
2013Q4,2013,Q4,2533.0,1934.0,599.0,0.0,0.0,358.0,547.0,241.0,155.0,124.0,25935.0,7921.0,Utilities,55
2014Q1,2014,Q1,3930.0,2996.0,934.0,0.0,0.0,374.0,875.0,560.0,485.0,326.0,26161.0,8117.0,Utilities,55
2014Q2,2014,Q2,2698.0,2087.0,611.0,0.0,0.0,362.0,564.0,249.0,176.0,124.0,26189.0,8008.0,Utilities,55
2014Q3,2014,Q3,2595.0,1979.0,616.0,0.0,0.0,377.0,578.0,239.0,178.0,156.0,26376.0,8169.0,Utilities,55
2014Q4,2014,Q4,3078.0,2164.0,914.0,0.0,0.0,372.0,832.0,542.0,436.0,299.0,27899.0,8327.0,Utilities,55
2015Q1,2015,Q1,2984.0,2224.0,760.0,0.0,0.0,299.0,715.0,461.0,396.0,273.0,28068.0,8665.0,Utilities,55
2015Q2,2015,Q2,2268.0,1735.0,533.0,0.0,0.0,329.0,466.0,204.0,131.0,109.0,28350.0,8539.0,Utilities,55
2015Q3,2015,Q3,2598.0,1870.0,728.0,0.0,0.0,288.0,678.0,440.0,366.0,265.0,28654.0,8812.0,Utilities,55
2015Q4,2015,Q4,2487.0,1947.0,540.0,0.0,0.0,406.0,393.0,134.0,57.0,80.0,28662.0,8772.0,Utilities,55
2016Q1,2016,Q1,2566.0,1857.0,709.0,0.0,0.0,328.0,665.0,381.0,323.0,247.0,28564.0,8887.0,Utilities,55
2016Q2,2016,Q2,2262.0,1673.0,589.0,0.0,0.0,333.0,552.0,256.0,195.0,152.0,28769.0,8778.0,Utilities,55
2016Q3,2016,Q3,2928.0,2099.0,829.0,0.0,0.0,322.0,779.0,507.0,435.0,338.0,29462.0,9130.0,Utilities,55
2016Q4,2016,Q4,2874.0,2203.0,671.0,0.0,0.0,370.0,557.0,301.0,152.0,131.0,32041.0,9011.0,Utilities,55
2017Q1,2017,Q1,3236.0,2293.0,943.0,0.0,16.0,358.0,878.0,585.0,504.0,400.0,32149.0,9194.0,Utilities,55
2017Q2,2017,Q2,2855.0,2186.0,669.0,0.0,17.0,349.0,614.0,320.0,232.0,177.0,32582.0,9088.0,Utilities,55
2017Q3,2017,Q3,3245.0,2456.0,789.0,0.0,16.0,355.0,741.0,434.0,337.0,270.0,33071.0,9373.0,Utilities,55
2017Q4,2017,Q4,3271.0,2515.0,756.0,0.0,0.0,400.0,620.0,356.0,214.0,287.0,33767.0,9512.0,Utilities,55
2018Q1,2018,Q1,3753.0,2860.0,893.0,0.0,9.0,389.0,835.0,504.0,419.0,361.0,33841.0,9888.0,Utilities,55
2018Q2,2018,Q2,3159.0,2460.0,699.0,0.0,9.0,370.0,662.0,329.0,255.0,234.0,34330.0,9844.0,Utilities,55
2018Q3,2018,Q3,3550.0,2739.0,811.0,0.0,9.0,382.0,784.0,429.0,369.0,334.0,35292.0,10207.0,Utilities,55
2018Q4,2018,Q4,3750.0,3003.0,747.0,0.0,10.0,415.0,618.0,332.0,173.0,191.0,36288.0,10237.0,Utilities,55
2019Q1,2019,Q1,3514.0,2558.0,956.0,0.0,9.0,414.0,910.0,542.0,462.0,401.0,36434.0,10545.0,Utilities,55
2019Q2,2019,Q2,2888.0,2178.0,710.0,0.0,10.0,410.0,659.0,300.0,200.0,182.0,36851.0,10396.0,Utilities,55
2019Q3,2019,Q3,3119.0,2245.0,874.0,0.0,9.0,424.0,848.0,450.0,364.0,319.0,38345.0,10740.0,Utilities,55
2019Q4,2019,Q4,3148.0,2289.0,859.0,0.0,11.0,444.0,811.0,415.0,298.0,267.0,41882.0,11672.0,Utilities,55
2020Q1,2020,Q1,3022.0,2014.0,1008.0,0.0,9.0,462.0,919.0,546.0,391.0,340.0,43232.0,11822.0,Utilities,55
2020Q2,2020,Q2,2583.0,1727.0,856.0,0.0,6.0,489.0,812.0,367.0,283.0,277.0,43739.0,11724.0,Utilities,55
2020Q3,2020,Q3,3080.0,2185.0,895.0,0.0,5.0,416.0,896.0,479.0,391.0,476.0,44439.0,12323.0,Utilities,55
2020Q4,2020,Q4,3288.0,2339.0,949.0,0.0,30.0,484.0,896.0,465.0,324.0,275.0,45496.0,12425.0,Utilities,55
2021Q1,2021,Q1,3581.0,2706.0,875.0,0.0,4.0,442.0,834.0,433.0,311.0,397.0,46699.0,12552.0,Utilities,55
2021Q2,2021,Q2,3021.0,2305.0,716.0,0.0,3.0,474.0,690.0,242.0,115.0,179.0,49636.0,12378.0,Utilities,55
2021Q3,2021,Q3,3715.0,2858.0,857.0,0.0,3.0,452.0,451.0,405.0,-64.0,25.0,39435.0,8567.0,Utilities,55
2021Q4,2021,Q4,4647.0,3759.0,888.0,0.0,7.0,473.0,814.0,415.0,294.0,306.0,39719.0,8705.0,Utilities,55
2022Q1,2022,Q1,4577.0,3538.0,1039.0,0.0,-3.0,481.0,922.0,558.0,410.0,394.0,40360.0,8863.0,Utilities,55
2022Q2,2022,Q2,4924.0,4265.0,659.0,0.0,-5.0,476.0,553.0,183.0,15.0,37.0,41314.0,8574.0,Utilities,55
2022Q3,2022,Q3,5251.0,4225.0,1026.0,0.0,-5.0,481.0,948.0,545.0,393.0,387.0,41954.0,8980.0,Utilities,55
2022Q4,2022,Q4,4476.0,3532.0,944.0,0.0,12.0,482.0,874.0,462.0,294.0,265.0,42683.0,10397.0,Utilities,55
2023Q1,2023,Q1,3779.0,2621.0,1158.0,0.0,3.0,506.0,1071.0,652.0,495.0,445.0,42518.0,10642.0,Utilities,55
2023Q2,2023,Q2,2684.0,1775.0,909.0,0.0,5.0,512.0,854.0,397.0,235.0,201.0,42921.0,10481.0,Utilities,55
2023Q3,2023,Q3,2888.0,1844.0,1044.0,0.0,1.0,506.0,970.0,538.0,354.0,332.0,43730.0,10850.0,Utilities,55
2023Q4,2023,Q4,3394.0,2178.0,1216.0,0.0,0.0,560.0,1111.0,656.0,482.0,419.0,44755.0,11050.0,Utilities,55
2024Q1,2024,Q1,3240.0,2179.0,1061.0,0.0,0.0,544.0,975.0,517.0,334.0,313.0,45902.0,11173.0,Utilities,55
2024Q2,2024,Q2,2875.0,1823.0,1052.0,0.0,0.0,550.0,1039.0,502.0,358.0,322.0,47811.0,11106.0,Utilities,55
2024Q3,2024,Q3,2906.0,1832.0,1074.0,0.0,0.0,557.0,1046.0,517.0,356.0,477.0,49806.0,11592.0,Utilities,55
2024Q4,2024,Q4,3436.0,2285.0,1151.0,0.0,0.0,596.0,1014.0,555.0,322.0,292.0,48846.0,11699.0,Utilities,55
2025Q1,2025,Q1,4440.0,3227.0,1213.0,0.0,0.0,589.0,1129.0,624.0,427.0,445.0,49555.0,11921.0,Utilities,55
2025Q2,2025,Q2,3419.0,2415.0,1004.0,0.0,0.0,577.0,970.0,427.0,230.0,229.0,50248.0,11722.0,Utilities,55
