Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1129.3,432.7,696.6,0.0,0.0,440.1,407.8,256.5,151.9,108.5,13616.9,5433.6,Utilities,55
1995Q2,1995,Q2,1042.8,0.0,0.0,0.0,0.0,1042.8,1042.8,1042.8,0.0,78.1,13564.0,5455.0,Utilities,55
1995Q3,1995,Q3,1345.0,476.8,868.2,0.0,0.0,469.5,554.6,398.7,295.1,197.9,14145.1,5460.3,Utilities,55
1995Q4,1995,Q4,1134.6,407.3,727.3,0.0,0.0,569.5,323.6,157.8,52.9,40.5,13903.3,5431.0,Utilities,55
1996Q1,1996,Q1,1239.3,457.3,782.0,0.0,0.0,458.5,492.9,323.5,220.3,150.2,13865.9,5493.0,Utilities,55
1996Q2,1996,Q2,1121.0,391.5,729.5,0.0,0.0,488.3,416.7,241.2,138.5,94.2,14062.2,5521.2,Utilities,55
1996Q3,1996,Q3,1286.7,435.5,851.2,0.0,0.0,499.5,527.9,351.7,240.4,162.2,14495.7,5598.5,Utilities,55
1996Q4,1996,Q4,1195.3,403.1,792.2,0.0,0.0,604.1,361.4,188.1,85.4,65.5,14905.6,5613.4,Utilities,55
1997Q1,1997,Q1,1897.8,960.6,937.2,0.0,0.0,551.2,597.9,386.0,248.4,169.9,19411.9,5714.4,Utilities,55
1997Q2,1997,Q2,1653.0,779.0,874.0,0.0,0.0,587.6,512.5,286.4,117.9,79.1,19423.6,5720.5,Utilities,55
1997Q3,1997,Q3,2094.8,1007.2,1087.6,0.0,0.0,775.9,538.6,311.7,148.0,50.4,19730.0,5715.2,Utilities,55
1997Q4,1997,Q4,2128.3,1159.5,968.8,0.0,0.0,633.3,583.4,335.5,115.2,99.8,20192.7,5729.5,Utilities,55
1998Q1,1998,Q1,1773.5,768.3,1005.2,0.0,0.0,624.6,615.4,380.6,206.0,139.5,20529.5,6058.8,Utilities,55
1998Q2,1998,Q2,1585.2,741.4,843.8,0.0,0.0,776.7,263.3,67.1,-114.9,-82.7,22541.5,5893.3,Utilities,55
1998Q3,1998,Q3,1544.3,501.8,1042.5,0.0,0.0,274.6,963.1,767.9,659.4,424.5,18164.6,6130.8,Utilities,55
1998Q4,1998,Q4,-942.0,-1666.3,724.3,0.0,0.0,570.0,344.4,154.3,91.0,54.2,17517.0,6004.9,Utilities,55
1999Q1,1999,Q1,1293.0,430.0,863.0,0.0,0.0,541.0,523.0,322.0,204.0,-117.0,17488.4,5656.5,Utilities,55
1999Q2,1999,Q2,1315.0,441.0,874.0,0.0,0.0,574.0,495.0,300.0,175.0,120.0,17992.5,5654.3,Utilities,55
1999Q3,1999,Q3,1663.0,517.0,1146.0,0.0,0.0,562.0,782.0,584.0,358.0,235.0,18414.8,5514.2,Utilities,55
1999Q4,1999,Q4,1249.2,413.2,836.0,0.0,0.0,620.6,409.2,215.4,81.3,62.8,17747.0,5261.0,Utilities,55
2000Q1,2000,Q1,2069.0,771.0,1298.0,0.0,0.0,880.0,669.0,418.0,224.0,168.0,29030.0,7242.0,Utilities,55
2000Q2,2000,Q2,2051.0,738.0,1313.0,0.0,0.0,1242.0,369.0,71.0,-173.0,-98.0,29098.0,6996.0,Utilities,55
2000Q3,2000,Q3,2344.0,805.0,1539.0,0.0,0.0,879.0,957.0,660.0,413.0,260.0,29822.0,7195.0,Utilities,55
2000Q4,2000,Q4,2781.0,1285.0,1496.0,0.0,0.0,1452.0,388.0,44.0,134.0,106.0,29348.0,7501.0,Utilities,55
2001Q1,2001,Q1,3198.0,1626.0,1572.0,0.0,0.0,1076.0,777.0,496.0,258.0,162.0,30505.0,7480.0,Utilities,55
2001Q2,2001,Q2,2309.0,797.0,1512.0,0.0,0.0,994.0,833.0,518.0,286.0,155.0,32253.0,7699.0,Utilities,55
2001Q3,2001,Q3,2544.0,794.0,1750.0,0.0,0.0,970.0,1116.0,780.0,561.0,344.0,31270.0,8070.0,Utilities,55
2001Q4,2001,Q4,2507.0,873.0,1634.0,0.0,0.0,1643.0,330.0,-9.0,-191.0,-117.0,34369.0,8752.0,Utilities,55
2002Q1,2002,Q1,2634.0,963.0,1671.0,0.0,0.0,960.0,1065.0,711.0,491.0,322.0,34948.0,9222.0,Utilities,55
2002Q2,2002,Q2,2332.0,745.0,1587.0,0.0,0.0,962.0,966.0,625.0,417.0,272.0,35407.0,9082.0,Utilities,55
2002Q3,2002,Q3,2545.0,743.0,1802.0,0.0,0.0,966.0,1184.0,836.0,641.0,430.0,35919.0,9199.0,Utilities,55
2002Q4,2002,Q4,2706.0,1005.0,1701.0,0.0,0.0,987.0,1050.0,714.0,494.0,338.0,37909.0,10470.0,Utilities,55
2003Q1,2003,Q1,3579.0,1451.0,2128.0,0.0,0.0,1114.0,1342.0,1014.0,638.0,508.0,42329.0,10635.0,Utilities,55
2003Q2,2003,Q2,2630.0,1029.0,1601.0,0.0,0.0,1024.0,920.0,577.0,385.0,240.0,42304.0,11392.0,Utilities,55
2003Q3,2003,Q3,2853.0,1034.0,1819.0,0.0,0.0,1121.0,1052.0,698.0,535.0,-256.0,41536.0,11200.0,Utilities,55
2003Q4,2003,Q4,3001.0,1403.0,1598.0,0.0,0.0,730.0,1177.0,868.0,574.0,-174.0,44186.0,10795.0,Utilities,55
2004Q1,2004,Q1,3879.0,1937.0,1942.0,0.0,0.0,1052.0,1242.0,890.0,705.0,437.0,44707.0,10767.0,Utilities,55
2004Q2,2004,Q2,3040.0,1466.0,1574.0,0.0,0.0,994.0,927.0,580.0,394.0,251.0,44765.0,10833.0,Utilities,55
2004Q3,2004,Q3,3292.0,1466.0,1826.0,0.0,0.0,1071.0,1116.0,755.0,558.0,337.0,46148.0,10785.0,Utilities,55
2004Q4,2004,Q4,3761.0,1814.0,1947.0,0.0,0.0,1444.0,876.0,503.0,307.0,224.0,45446.0,11683.0,Utilities,55
2005Q1,2005,Q1,4736.0,2197.0,2539.0,0.0,0.0,1666.0,1253.0,873.0,677.0,429.0,47119.0,10930.0,Utilities,55
2005Q2,2005,Q2,3646.0,1618.0,2028.0,0.0,0.0,1323.0,1076.0,705.0,508.0,332.0,47495.0,11035.0,Utilities,55
2005Q3,2005,Q3,4564.0,2502.0,2062.0,0.0,0.0,1877.0,577.0,185.0,8.0,15.0,55589.0,10033.0,Utilities,55
2005Q4,2005,Q4,5108.0,3179.0,1929.0,0.0,0.0,1253.0,1071.0,676.0,423.0,257.0,52660.0,10397.0,Utilities,55
2006Q1,2006,Q1,4951.0,2666.0,2285.0,0.0,0.0,1324.0,1375.0,961.0,746.0,534.0,50544.0,11441.0,Utilities,55
2006Q2,2006,Q2,3496.0,1306.0,2190.0,0.0,0.0,1716.0,922.0,474.0,272.0,161.0,50668.0,12366.0,Utilities,55
2006Q3,2006,Q3,3973.0,1522.0,2451.0,0.0,0.0,1157.0,1728.0,1294.0,1075.0,653.0,50160.0,13548.0,Utilities,55
2006Q4,2006,Q4,3936.0,1550.0,2386.0,0.0,0.0,1785.0,1044.0,601.0,400.0,31.0,49269.0,12913.0,Utilities,55
2007Q1,2007,Q1,4661.0,2241.0,2420.0,0.0,0.0,1421.0,1457.0,999.0,785.0,453.0,48575.0,12963.0,Utilities,55
2007Q2,2007,Q2,3730.0,1549.0,2181.0,0.0,0.0,2561.0,84.0,-380.0,-624.0,-530.0,48379.0,12577.0,Utilities,55
2007Q3,2007,Q3,3589.0,1371.0,2218.0,0.0,0.0,1620.0,920.0,598.0,3818.0,2317.0,38526.0,9248.0,Utilities,55
2007Q4,2007,Q4,3694.0,1611.0,2083.0,0.0,0.0,1384.0,988.0,699.0,509.0,299.0,39123.0,9406.0,Utilities,55
2008Q1,2008,Q1,4353.0,2043.0,2310.0,0.0,0.0,1251.0,1350.0,1059.0,837.0,680.0,39052.0,9525.0,Utilities,55
2008Q2,2008,Q2,3399.0,1518.0,1881.0,0.0,0.0,1170.0,992.0,711.0,504.0,298.0,42041.0,8875.0,Utilities,55
2008Q3,2008,Q3,4365.0,2177.0,2188.0,0.0,0.0,1133.0,1381.0,1055.0,856.0,508.0,41379.0,10465.0,Utilities,55
2008Q4,2008,Q4,4218.0,1991.0,2227.0,0.0,0.0,1426.0,1104.0,801.0,526.0,349.0,42053.0,10077.0,Utilities,55
2009Q1,2009,Q1,4586.0,2256.0,2330.0,0.0,0.0,1666.0,928.0,664.0,384.0,248.0,41687.0,10709.0,Utilities,55
2009Q2,2009,Q2,3406.0,1454.0,1952.0,0.0,0.0,1063.0,1273.0,889.0,738.0,454.0,41497.0,11010.0,Utilities,55
2009Q3,2009,Q3,3630.0,1449.0,2181.0,0.0,0.0,1093.0,1536.0,1088.0,999.0,594.0,42087.0,11327.0,Utilities,55
2009Q4,2009,Q4,3255.0,1772.0,1483.0,0.0,0.0,1533.0,363.0,-50.0,-232.0,-9.0,42554.0,11185.0,Utilities,55
2010Q1,2010,Q1,4168.0,1928.0,2240.0,0.0,0.0,1506.0,1125.0,734.0,622.0,174.0,42163.0,11051.0,Utilities,55
2010Q2,2010,Q2,3333.0,1456.0,1877.0,0.0,0.0,-1233.0,3394.0,3110.0,2897.0,1761.0,41788.0,12146.0,Utilities,55
2010Q3,2010,Q3,3950.0,1663.0,2287.0,0.0,0.0,1168.0,1499.0,1119.0,953.0,575.0,42229.0,12352.0,Utilities,55
2010Q4,2010,Q4,3746.0,1606.0,2140.0,0.0,0.0,1403.0,1109.0,737.0,565.0,298.0,42817.0,11997.0,Utilities,55
2011Q1,2011,Q1,4057.0,1810.0,2247.0,0.0,0.0,1284.0,1338.0,963.0,793.0,479.0,42777.0,11943.0,Utilities,55
