Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1822.0,651.6,1170.4,0.0,0.0,712.3,714.9,458.1,265.2,153.5,22140.1,6898.2,Utilities,55
1995Q2,1995,Q2,1860.8,688.7,1172.1,0.0,0.0,740.1,696.5,432.0,264.7,159.9,22635.6,6854.5,Utilities,55
1995Q3,1995,Q3,2670.0,1131.1,1538.9,0.0,0.0,741.5,1073.8,797.4,490.2,287.6,23275.9,7078.1,Utilities,55
1995Q4,1995,Q4,2052.1,804.6,1247.5,0.0,0.0,800.0,736.9,447.5,246.8,138.0,23946.0,7069.0,Utilities,55
1996Q1,1996,Q1,1967.7,670.6,1297.1,0.0,0.0,738.2,852.4,558.9,278.6,167.1,24294.6,7125.3,Utilities,55
1996Q2,1996,Q2,1813.7,723.2,1090.5,0.0,0.0,832.3,584.1,258.2,283.4,155.7,23980.1,7155.2,Utilities,55
1996Q3,1996,Q3,2568.2,1188.0,1380.2,0.0,0.0,750.0,958.5,630.2,505.2,276.8,24873.8,7203.1,Utilities,55
1996Q4,1996,Q4,2195.4,892.1,1303.3,0.0,0.0,935.6,689.0,367.7,212.8,117.4,24559.0,7106.0,Utilities,55
1997Q1,1997,Q1,2000.7,828.9,1171.8,0.0,0.0,806.9,718.6,364.9,240.9,144.8,23946.4,6917.0,Utilities,55
1997Q2,1997,Q2,2167.2,782.0,1385.2,0.0,0.0,946.7,803.0,438.5,252.5,139.0,24452.4,6584.8,Utilities,55
1997Q3,1997,Q3,2737.8,1363.9,1373.9,0.0,0.0,902.9,838.2,471.0,462.9,276.8,24409.8,6371.8,Utilities,55
1997Q4,1997,Q4,2329.3,953.3,1376.0,0.0,0.0,1026.5,714.1,349.5,280.7,139.4,25101.0,6136.0,Utilities,55
1998Q1,1998,Q1,1909.6,743.8,1165.8,0.0,0.0,1007.1,598.1,158.7,280.7,144.0,24894.3,5941.5,Utilities,55
1998Q2,1998,Q2,2242.7,969.5,1273.2,0.0,0.0,413.5,1312.0,859.7,244.3,145.3,24584.6,5590.9,Utilities,55
1998Q3,1998,Q3,3440.8,2090.8,1350.0,0.0,0.0,1262.3,544.2,87.8,392.1,216.3,25015.0,5628.5,Utilities,55
1998Q4,1998,Q4,2614.9,1307.0,1307.9,0.0,0.0,1103.2,687.6,204.7,206.1,162.6,24698.0,5634.0,Utilities,55
1999Q1,1999,Q1,2087.7,841.3,1246.4,0.0,0.0,851.579,847.321,403.021,228.7,143.211,26767.6,5550.7,Utilities,55
1999Q2,1999,Q2,2116.0,638.6,1477.4,0.0,0.0,1180.7,748.4,296.7,195.7,128.4,27960.2,5740.7,Utilities,55
1999Q3,1999,Q3,2957.0,1315.2,1641.8,0.0,0.0,1201.0,953.7,440.8,401.5,255.3,32142.8,6523.1,Utilities,55
1999Q4,1999,Q4,2509.3,1059.0,1450.3,0.0,0.0,1328.2,619.2,122.1,76.2,96.1,36229.0,6870.0,Utilities,55
2000Q1,2000,Q1,2723.32,835.725,1887.595,0.0,0.0,1365.0,1059.0,522.0,198.705,110.0,36461.641,6673.722,Utilities,55
2000Q2,2000,Q2,2749.164,945.578,1803.586,0.0,0.0,1247.0,1090.0,556.0,229.5,137.0,36928.537,6345.235,Utilities,55
2000Q3,2000,Q3,3653.203,2251.202,1402.001,0.0,0.0,440.342,1538.605,961.659,632.771,360.151,37918.628,6492.473,Utilities,55
2000Q4,2000,Q4,2591.313,1930.494,660.819,0.0,0.0,2154.953,-1041.08,-1494.134,-4052.975,-2549.86,35100.0,3930.0,Utilities,55
2001Q1,2001,Q1,2462.0,2053.0,409.0,0.0,0.0,940.0,-431.0,-711.0,-1057.0,-617.0,36264.0,2930.0,Utilities,55
2001Q2,2001,Q2,2627.0,1136.0,1491.0,0.0,0.0,923.0,677.0,447.0,-164.0,-102.0,37398.0,2855.0,Utilities,55
2001Q3,2001,Q3,4043.0,1162.0,2881.0,0.0,0.0,1033.0,2044.0,1775.0,-600.0,-413.0,37062.0,2418.0,Utilities,55
2001Q4,2001,Q4,2304.0,548.0,1756.0,0.0,0.0,-1293.0,3253.0,3049.0,5870.0,2167.0,36774.0,4605.0,Utilities,55
2002Q1,2002,Q1,2587.0,520.0,2067.0,0.0,0.0,1668.0,577.0,309.0,100.0,84.0,33717.0,4758.0,Utilities,55
2002Q2,2002,Q2,2926.0,866.0,2060.0,0.0,0.0,761.0,1491.0,1203.0,951.0,665.0,34298.0,5484.0,Utilities,55
2002Q3,2002,Q3,3997.0,1142.0,2855.0,0.0,0.0,1868.0,990.0,704.0,526.0,352.0,33873.0,4417.0,Utilities,55
2002Q4,2002,Q4,1978.0,675.0,1303.0,0.0,0.0,-103.0,1700.0,1406.0,-51.0,-24.0,33284.0,5795.0,Utilities,55
2003Q1,2003,Q1,2532.0,786.0,1746.0,0.0,0.0,1426.0,626.0,311.0,98.0,57.0,35184.0,5872.0,Utilities,55
2003Q2,2003,Q2,3133.0,1015.0,2118.0,0.0,0.0,1886.0,502.0,224.0,15.0,24.0,35192.0,5968.0,Utilities,55
2003Q3,2003,Q3,3833.0,1399.0,2434.0,0.0,0.0,1339.0,1083.0,830.0,787.0,544.0,35622.0,5342.0,Utilities,55
2003Q4,2003,Q4,2656.0,924.0,1732.0,0.0,0.0,1406.0,711.0,326.0,103.0,197.0,34962.0,5512.0,Utilities,55
2004Q1,2004,Q1,2510.0,922.0,1588.0,0.0,0.0,1069.0,519.0,240.0,165.0,97.0,35818.0,5544.0,Utilities,55
2004Q2,2004,Q2,2919.0,992.0,1927.0,0.0,0.0,2036.0,-90.0,-382.0,-611.0,-374.0,36233.0,5116.0,Utilities,55
2004Q3,2004,Q3,3188.0,1330.0,1858.0,0.0,0.0,1070.0,1051.0,788.0,494.0,813.0,33738.0,5777.0,Utilities,55
2004Q4,2004,Q4,2359.0,729.0,1630.0,0.0,0.0,1183.0,737.0,447.0,214.0,379.0,33269.0,6178.0,Utilities,55
2005Q1,2005,Q1,2446.0,807.0,1639.0,0.0,0.0,1191.0,729.0,448.0,298.0,201.0,33463.0,6229.0,Utilities,55
2005Q2,2005,Q2,2649.0,1142.0,1507.0,0.0,0.0,1098.0,702.0,409.0,214.0,201.0,33537.0,6750.0,Utilities,55
2005Q3,2005,Q3,3783.0,991.0,2792.0,0.0,0.0,2004.0,1091.0,788.0,564.0,462.0,35508.0,7095.0,Utilities,55
2005Q4,2005,Q4,2974.0,1490.0,1484.0,0.0,0.0,882.0,893.0,602.0,489.0,273.0,34791.0,7334.0,Utilities,55
2006Q1,2006,Q1,2751.0,1476.0,1275.0,0.0,0.0,815.0,773.0,460.0,295.0,258.0,34651.0,7815.0,Utilities,55
2006Q2,2006,Q2,3001.0,1149.0,1852.0,0.0,0.0,1405.0,808.0,447.0,268.0,177.0,35151.0,7999.0,Utilities,55
2006Q3,2006,Q3,3802.0,1522.0,2280.0,0.0,0.0,1317.0,1284.0,963.0,770.0,458.0,36291.0,8453.0,Utilities,55
2006Q4,2006,Q4,3067.0,1021.0,2046.0,0.0,0.0,1576.0,755.0,470.0,332.0,288.0,36261.0,8624.0,Utilities,55
2007Q1,2007,Q1,2912.0,803.0,2109.0,0.0,0.0,1482.0,971.0,627.0,459.0,333.0,36639.0,8915.0,Utilities,55
2007Q2,2007,Q2,3047.0,1267.0,1780.0,0.0,0.0,1520.0,3394.0,260.0,93.0,93.0,36983.0,8950.0,Utilities,55
2007Q3,2007,Q3,3942.0,1786.0,2156.0,0.0,0.0,1257.0,1239.0,899.0,728.0,474.0,37820.0,9304.0,Utilities,55
2007Q4,2007,Q4,3211.0,1143.0,2068.0,0.0,0.0,1583.0,829.0,485.0,314.0,211.0,37562.0,9359.0,Utilities,55
2008Q1,2008,Q1,3083.0,1028.0,2055.0,0.0,0.0,1255.0,968.0,628.0,465.0,299.0,37951.0,9389.0,Utilities,55
2008Q2,2008,Q2,3382.0,1210.0,2172.0,0.0,-56.0,1391.0,880.0,506.0,345.0,261.0,39005.0,9374.0,Utilities,55
2008Q3,2008,Q3,4111.0,2597.0,1514.0,0.0,0.0,550.0,1292.0,964.0,723.0,452.0,41666.0,10188.0,Utilities,55
2008Q4,2008,Q4,3536.0,1156.0,2380.0,0.0,0.0,1885.0,941.0,495.0,253.0,178.0,44615.0,10424.0,Utilities,55
2009Q1,2009,Q1,2812.0,927.0,1885.0,0.0,0.0,1332.0,917.0,553.0,388.0,250.0,44429.0,10675.0,Utilities,55
2009Q2,2009,Q2,2834.0,911.0,1923.0,0.0,866.0,2287.0,19.0,-364.0,-510.0,-16.0,41881.0,10497.0,Utilities,55
2009Q3,2009,Q3,3664.0,1438.0,2226.0,0.0,0.0,1458.0,1228.0,768.0,676.0,403.0,42772.0,10730.0,Utilities,55
2009Q4,2009,Q4,3023.0,993.0,2030.0,0.0,0.0,1590.0,865.0,440.0,299.0,212.0,41444.0,9841.0,Utilities,55
2010Q1,2010,Q1,2810.0,903.0,1907.0,0.0,3.0,1409.0,954.0,498.0,393.0,236.0,42357.0,10976.0,Utilities,55
2010Q2,2010,Q2,2741.0,866.0,1875.0,0.0,0.0,1524.0,807.0,351.0,220.0,344.0,43055.0,11089.0,Utilities,55
2010Q3,2010,Q3,3788.0,1446.0,2342.0,0.0,0.0,1480.0,1361.0,862.0,774.0,510.0,45566.0,11541.0,Utilities,55
2010Q4,2010,Q4,3069.0,888.0,2181.0,0.0,0.0,1767.0,969.0,414.0,271.0,166.0,45530.0,10583.0,Utilities,55
2011Q1,2011,Q1,2782.0,766.0,2016.0,0.0,0.0,1566.0,931.0,450.0,281.0,200.0,46161.0,10676.0,Utilities,55
2011Q2,2011,Q2,2983.0,905.0,2078.0,0.0,0.0,1698.0,930.0,380.0,254.0,176.0,47075.0,10726.0,Utilities,55
2011Q3,2011,Q3,3981.0,1616.0,2365.0,0.0,0.0,1501.0,1318.0,785.0,683.0,426.0,47672.0,11015.0,Utilities,55
2011Q4,2011,Q4,3014.0,867.0,2147.0,0.0,0.0,3466.0,-785.0,-1319.0,-1481.0,-839.0,48039.0,10055.0,Utilities,55
2012Q1,2012,Q1,2856.0,898.0,1958.0,0.0,0.0,388.0,820.0,389.0,115.0,112.0,49384.0,9990.0,Utilities,55
2012Q2,2012,Q2,3057.0,1098.0,1959.0,0.0,0.0,399.0,856.0,420.0,104.0,97.0,49388.0,9945.0,Utilities,55
2012Q3,2012,Q3,4070.0,1882.0,2188.0,0.0,0.0,333.0,1157.0,713.0,477.0,215.0,50545.0,10023.0,Utilities,55
2012Q4,2012,Q4,2062.0,4316.0,-2254.0,0.0,0.0,-3245.0,1131.0,991.0,1080.0,-449.0,44394.0,9432.0,Utilities,55
2013Q1,2013,Q1,2632.0,1726.0,906.0,0.0,0.0,414.0,929.0,492.0,384.0,298.0,45155.0,9555.0,Utilities,55
2013Q2,2013,Q2,3046.0,2124.0,922.0,0.0,0.0,993.0,367.0,-71.0,-184.0,-70.0,45027.0,9355.0,Utilities,55
2013Q3,2013,Q3,3960.0,2779.0,1181.0,0.0,0.0,392.0,1194.0,789.0,665.0,463.0,46698.0,9689.0,Utilities,55
