Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,944.7,237.6,707.1,0.0,0.0,470.2,330.5,236.9,165.9,100.4,10544.0,2823.0,Utilities,55
1995Q2,1995,Q2,840.3,200.3,640.0,0.0,0.0,465.9,282.2,174.1,104.3,50.7,10518.5,2827.3,Utilities,55
1995Q3,1995,Q3,985.1,242.9,742.2,0.0,0.0,504.0,328.4,238.2,173.7,98.1,10507.7,2872.5,Utilities,55
1995Q4,1995,Q4,980.5,228.3,752.2,0.0,0.0,547.7,399.6,204.5,139.3,72.6,10559.4,2895.8,Utilities,55
1996Q1,1996,Q1,1028.2,311.7,716.5,0.0,0.0,523.4,288.3,193.1,133.2,73.9,10497.3,2918.7,Utilities,55
1996Q2,1996,Q2,871.9,199.7,672.2,0.0,0.0,566.2,195.0,106.0,46.4,19.9,10543.4,2853.8,Utilities,55
1996Q3,1996,Q3,955.5,308.1,647.4,0.0,0.0,566.6,172.0,80.8,24.2,9.7,10394.5,2826.8,Utilities,55
1996Q4,1996,Q4,936.5,320.2,616.3,0.0,0.0,656.3,98.9,-40.0,-98.2,-67.9,10741.7,2689.3,Utilities,55
1997Q1,1997,Q1,975.4,340.5,634.9,0.0,0.0,523.0,975.4,111.9,51.7,25.4,10669.5,2676.8,Utilities,55
1997Q2,1997,Q2,903.3,276.9,626.4,0.0,0.0,639.4,81.7,-13.0,-77.4,-56.5,10454.3,2595.4,Utilities,55
1997Q3,1997,Q3,977.1,332.3,644.8,0.0,0.0,629.5,977.1,15.3,-58.1,-44.5,10612.0,2543.2,Utilities,55
1997Q4,1997,Q4,979.0,338.7,640.3,0.0,0.0,561.6,216.3,78.7,-24.3,-29.8,10414.4,2509.2,Utilities,55
1998Q1,1998,Q1,958.9,353.5,605.4,0.0,0.0,548.0,958.9,57.4,3.2,-10.6,10271.7,2516.4,Utilities,55
1998Q2,1998,Q2,874.8,306.1,568.7,0.0,0.0,474.8,200.9,93.9,23.3,13.1,9958.4,2500.8,Utilities,55
1998Q3,1998,Q3,974.4,334.6,639.8,0.0,0.0,527.0,974.4,112.8,31.3,11.1,10555.6,2508.4,Utilities,55
1998Q4,1998,Q4,959.6,302.3,657.3,0.0,0.0,614.3,460.0,43.0,-172.3,-133.9,10387.4,2351.2,Utilities,55
1999Q1,1999,Q1,1043.4,380.4,663.0,0.0,0.0,552.3,302.7,110.7,40.4,24.4,10384.7,2370.9,Utilities,55
1999Q2,1999,Q2,1038.6,377.4,661.2,0.0,0.0,571.6,190.4,89.6,25.3,6.2,10348.5,2350.9,Utilities,55
1999Q3,1999,Q3,1240.5,592.8,647.7,0.0,0.0,480.8,384.6,166.9,74.7,36.9,10264.9,2367.9,Utilities,55
1999Q4,1999,Q4,1148.8,547.7,601.1,0.0,0.0,442.8,698.1,158.3,15.1,-10.4,9688.1,2340.8,Utilities,55
2000Q1,2000,Q1,1382.321,768.372,613.949,0.0,0.0,416.115,315.414,197.834,133.934,79.345,10741.008,2619.988,Utilities,55
2000Q2,2000,Q2,1414.973,816.165,598.808,0.0,0.0,452.271,256.969,146.537,63.564,16.119,10762.243,2517.054,Utilities,55
2000Q3,2000,Q3,1581.947,918.778,663.169,0.0,0.0,485.826,310.506,177.343,113.848,68.295,10565.38,2564.985,Utilities,55
2000Q4,2000,Q4,1497.379,817.911,679.468,0.0,0.0,506.388,328.523,173.08,90.955,-178.183,10217.149,2369.783,Utilities,55
2001Q1,2001,Q1,1800.544,1166.972,633.572,0.0,0.0,315.261,1098.796,318.311,249.598,114.867,11245.935,2435.282,Utilities,55
